movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Ford v Ferrari (2019) - 7.3
","Ford v Ferrari (2019) - 7.3Act 1 - 6.7Act 2 - 7.3Act 3. - 7.9
1st act creation and failiure and now Shelby is in chargeFight is great2nd act win Daytona and practicing and letting Miles drive3rd act the race and devastationCorporate greed ruining a pure momentNot a fan of Bale's performance as it feels like a caricature and not a real person at timesDidn't like how they had him constantly talk to the car while driving and those scenes would have been more powerful with silence and focusDamon gives a good performance and is someone who is easy to root forThe top brass at Ford felt unbelievably generic and no qualities that were unique and stood outFilm tries to be a rousing inspiration but falls flat at timesThe race scenes are filmed very wellThe ending is a bummer but it is real life and real life doesn't always go as plannedDialogue doesn't always connect and the direction is sometimes shoddyThe stuff with Miles's family works good and the first act of the film with the setup could have been cut down a bit to save time as this film does feel its lengthFilm is still well made overall and I'm sure will hit well with the typical audience memberFilm was just too by the number for my liking and didn't take any chances to liven this film up a bit",7,1,4,16 November 2019
Men in Black 3," Men in Black 3 (2012) - 6.5
",Men in Black 3 (2012) - 6.5Act 1 - 5.5Act 2 - 6.7Act 3 - 7.3Movie starts off uninspiredInteresting way of fictionalizing major historical momentsJosh Brolin is great as KWill Smith is charismaticCharacter of Griff was used wellCool how they intertwined J and K's livesBrought their relationship to a more emotional level,7,0,1,3 June 2019
Miracle," Miracle (2004) - 7.3
","Act 1 - 7.0Act 2 - 7.0Act 3 - 7.8
Hockey scenes are executed well and are entertainingHerb's motivational methods worked great on screen and understood who he was as a personFilm about dreams and stopping at nothing to achieve themLove the bonding and evolution of the teamGreat moment is sports and American history with cultural impactScore felt like a motivational sports movie wouldWell made film that will keep you entertained and hit its emotional spots wellWould recommend to most1980 olympics during Cold War, huge game between US and RussiaHerb Brooks becomes coach of team USA hockeyHerb revolutionizing the way his teams play with hybrid of styleRussians heave been an unstoppable powerhouse at the gamesStarts up work seven months before the gamesBest college players around the world come to try outHerb makes his roster after just the first day, wants the right players not the best, makes his own decisionsTeam has history playing against each other but must learn to work togetherMost kids from either Boston or MinnesotaHerb starts overlooking his wife and family because his focus is all on hockey, reconciles quicklyHerb was on the 1960 USA team as a player but lost, chasing a dreamAssistant coach scared Herb is pushing the team too hardHerb playing the bad guy to push his playersGreat scene making team skate lines after a game even after the lights go out, shows passion to be there on the teamKid finally gets it and says he plays for Team USA, no longer divided, ends skating drillNews shows Russians even beat NHL all stars 6-0Makes team work harder than anyone to win, a lot of conditioningTeam bonds more and buys into Herb's system, good chemistryReal world issues taking place in the background of filmCoach took Herb off his team in 1960 a week before the games and his team went on to win the gold medal without him, tragicHer threatens to do the same thing to one of his players, kids say they are a family and have been bonded through hard work and sweatHerb listens and sends the new kid home, Herb's plan continues to workCoach has to cut his final man and it's RalphThree days before the opening ceremony Team USA has a game against Russia as a precursorSoviet Union plays hard and fast and won 10-3Jack gets hurt in the game threatening his future in the gamesTries to motivate Jim to be better in netLake Placid Winter Games in NYJack can't play til medal round but keeps him because he earned itHerb knows exactly how to motivate his players, geniusCrazy they tie the game up in the opening game against Sweden in the last minute and then beat Czechoslovakia in game twoHerb doesn't let reporters talk to his players as they are a team, no individual is better than the rest, when questioned if he is hogging the spotlight he sends out his assistant coach to answer questions after next gameWorld makes the Soviet Union and USA game about the political climate and Herb wants it to be about the game itselfClassic sports uplifting score throughoutJack cleared to play in the medal gameCool all the fan mail hung up in locker room, USA looking to hockey team as a source of hope and American prideWorlds eyes on this gameCrazy goal at end of 1st to tie gameSoviet Union takes out the best goalie in the world on the bench after the firstJim gets hurt but stays in game at goalSoviet's up one 3-2 going into thirdHockey scenes are really good and well shot for entertainmentTeam USA wins 4-3 in a truest great moment in sports and USA historyLike Herb celebrating by himselfTeam USA wins gold against FinlandTeamwork and a bond made them winDreams come true
.",7,0,0,5 March 2020
Raiders of the Lost Ark," Raiders of the Lost Ark (1981) - 6.0
","Raiders of the Lost Ark (1981) - 6.0Act 1 - 6.1Act 2 - 5.8Act 3 - 6.0
Effects aren't very goodIndie is trying to get to the ark of the covenant before the NazisDon't feel the excitement that I shouldScore is very goodPure adventure filmEnd of the movie gets pretty weird with the ark killing all the NazisSeemed out of placeMovie does not hold up very well in my opinionAction and sets felt dated and were unimpressiveHarrison Ford was pretty good in the roleCinematography was blandDidn't have the Spielberg magic that sweeps you up in the world of the filmOverall mediocre film",6,1,5,21 August 2019
Casablanca," Casablanca 7.0
","Casablanca 7.0
6.6
6.7
7.6Good
All lead performances were good
Sharp and memorable dialogue
Good score
Tight story
Good direction
Strong pay off
Holds up wellBad
Slow in beginning and middle
Some annoying old timey delivery of lines",7,1,6,5 May 2019
John Wick," John Wick (2014) 8.1
","John Wick (2014) 8.1
Act 1 - 8.3
Act 2 - 8.2
Act 3 - 7.7GoodAmazing actionMemorable charactersKeanu was perfectSimple story that worksRoot for WickGreat world buildingGreat revenge taleJust a really cool film
Bad
Sometimes a little too campyAudio problems during some conversations and music blaring in the backgroundSoundtrack sometimes doesn't fit well with what's going on screen",8,1,1,30 May 2019
Rocketman," RocketMan (2019) 7.1
","RocketMan (2019)Act 1 - 6.9Act 2 - 7.2Act 3 - 7.3I like how they are telling the story through Elton John's eyes so the film plays as his own interpretation of his life, therefore things can't be taken 100% as truthFantastical retelling of Elton's lifeFull blown musicalKid actors are very mediocre in beginning of the filmCool learning about Elton and Bernie's processEdgerton does great doing his own singingGreat when Elton is performingGoes into childhood and relationship with parents, works wellBad relationship with parentsGrandmother seemed nurturingJohn Reid seems like an asshole in this film, was also manager of Queen were he was perceived as a nicer guyWeird that they played pinball wizard, seemed out of placeSome interesting visuals and set piecesTaron does a great overall job with the roleEven looks like him including mannerismsWish it was a more traditional biopic at points to learn more about the man but it was always interesting in the style that it was doneHeld my attentionShows that Elton went through hard times in his personal life with relationships and substance abuseDid a good job doing slightly different renditions of his songsAcknowledges that Elton John is a character and not the real manMusical numbers showed what was going on in his life at the time which was an interesting way of displaying his issues and moving the plot forwardMovie didn't shy away from Eltons lifestyleDidn't know he got married to a womanEnjoyed Elton and Bernie's relationship. One of Elton's only true relationships that went both waysJamie Bell was very good as BerniePicked the right songs for the moments in his lifeOverall enjoyable and entertaining filmGreat for any Elton John or musical fan",7,2,3,11 June 2019
Captain Marvel," Captain Marvel (2019) 6.2
","Captain Marvel (2019) 6.2
Act 1 - 5.9
Act 2 - 6.3
Act 3 - 6.5Good
Good visuals
Liked Sam Jackson
Liked the cat
Ben Mendelsohn was good
Interesting story structureBad
Fight scenes
Dialogue
Forced 90s nostalgia and music
Movie felt artificial
Generic hero movie",6,1,8,9 March 2019
Us," Us (2019) 7.7
","Us (2019) 7.7
Act 1 - 7.4
Act 2 - 7.2
Act 3 - 8.4
Good
The score and soundtrack was incredible
Every piece of the film leading up to the doppelgÃ¤ngers arriving is set up for the rest of the movie
Performances all around for a very good jarring at times but with reason
The ending hit hard and made sense everything that they talk about or show you in this movie has meaning and pays off later in the film to a great degree
Movie is intelligently crafted by Jordan Peele with a very interesting subject matter that you care about all the way through the film
Every character choice and characteristic has a reason for later in the film
Every scene has meaning and purpose behind it
The ending of the movie elevates the rest of the film
Strong visuals throughoutBad
Tone of film is inconsistent and didn't work at times
Jokes were fine until the doppelgÃ¤ngers arrive and they should've been abandoned for a more serious tone
Humor should have gone away from the impact of the severity of the scenes that we are seeing
Film didn't hit as hard as it could've
Some moments of the film don't know whether to laugh or to be taken seriously",8,2,10,23 March 2019
"South Park: Bigger, Longer & Uncut"," South Park: Bigger, Longer & Uncut (1999) - 8.2
","South Park: Bigger, Longer & Uncut (1999) - 8.2Act 1 - 8.5Act 2 - 7.8Act 3 - 8.2
Film opens with a musical number and the nostalgia hits right away, great numberThe boys go to see the new Terrance and Phillip movie and is rated R and learn a bunch of new explicit phrasesThen we get the amazing musical number Uncle 
The boys immediately implement their new offensive phrasesClassic scene with telling me garrison to suck his ballsOutrage stems from the mothers mad about their kids language and take up arms against Terrance and Philip and all of Canada in the processMr. Mackey's song is also fantasticKenny dies and goes to hell in a pretty good sceneBlame Canada number is another classic as they form Mothers Against CanadaMAC ambush Terrance and Phillip of the Conan show and arrest themCanada then bombs the Baldwin's as retaliationClinton declares war on Canada and they will retaliate by executing Terrance and Phillip, Kyles mom is leading the chargeBack to Kenny and he meets Satan in hell and Sadam is his gay loverKyle's mom song is also incredibleCart man gets a chip implanted in his head to stop his swearing with electric shocksMakes fun of parents who go way above and beyond to control their kids and what they watch and sawThere's always something that parents will blame for their kids behaviorBrian Boitano song is so ridiculous and amazingIn hell we see that WW3 is about to start and Satan says it's his time to reignCartmans mom gets crapped on in a porn video when they are on the internet and sending out a message to other kids to meetMovie shows the stupidity of war and the dumb excuses people use as their causeSadam and Satan's relationship is ridiculous and very funny, Sadam is just using Satan for sexCartman relays Kenny's message to the other boys about SatanThe boys have their meeting and hatch a plan to save Terrance and PhillipAmazing racist moment with the military and operation human shieldSo many random and hilarious moments throughout the filmLa Resistance Lives in is a good song tooEvery musical number hits and works perfectly, strongest part of the whole filmBoys meet the Mole who hates God and is going to help them free Terrance and PhillipSadam's song is solid and fits who he is perfectly, still the weakest of the songsMakes fun of the film industries guidelinesThe Mole is a fantastic and dark characterWinona Ryder's ping pong ball trick was greatBig Gay Al's song is so memorable and great, one of the main things I remember for this filmThe guard dogs kill the Mole because Cartman messed up, use his death perfectlyTerrance and Phillip are still freed and WW3 beginsThe mothers realize what they have doneKyle finally stands up to his mom but she still kills Terrance and Phillip anyway freeing Satan and SadamSadam is taking control from SatanCartman realizes he has electric powers from his fried V Chip and uses them to fight SadamSatan has had enough and throws Sadam back into Hell where he gets impaledSatan grants Kenny's wish of having the world go back to the way it was sacrificing himself and takes Mr Hat to hell with himWe get to see Kenny's face and he talks clearly for the first time which is a great momentFilm ends on a happy song with everyone holding hands and Kenny going to heavenFilm still holds up and is very funnyMusicals are fantasticStill some political and PC satire in the film",8,0,0,10 November 2019
