movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Just goes to show what you can do with a great team...
","This is just great! Bale and Damon are really convincing as a pair of 'individuals' who design and build - with the help of some wooden door wedges - a magnificent feat of motor engineering despite their own personal demons; corporate America - exemplified by a thoroughly odious Josh Lucas and the pretty horrible French weather. Noah Jupe, who plays Bale's son Peter is also superb. The race photography and sound are wonderful - you really do get sucked into the exhilaration of it all. The only thing missing is the smell of the petrol fumes. I was slightly dubious that I could ever want a Ford (think: box, square, dull, Henry Fonda) to defeat a Ferrari (think: sleek. red, classy, James Dean) but in the end, I sort of did. 2½ hours just flies by. Interestingly, there is a distinct paucity of swearing in this film, too. Big screen/sound essential.",8,0,1,18 November 2019
Howl's Moving Castle," As subtle an anti-war story as you will ever see, with plenty of love and generosity too.
","Certainly my favourite Miyazaki film. The animations are a touch angular, but colourfully and stylishly depict this story of a beautiful young girl who is cursed by an evil witch. In despair, she sets off, directionless, from home and comes across 'Howl' and his moving castle - and the sprite 'Calcifer'. She begins a journey of discovery - about herself as much as anything. 'Howl' - the ultimate free spirit is also facing down demons of his own that he is struggling to reconcile with. 'Calcifer' provides the conduit for them to get to better understand each other and also much of the humour as they seek to break the spells that bind them. This works on many different levels and each time I see it, I seem get something different from it.",8,1,1,10 December 2019
Raiders of the Lost Ark," A great action adventure in the best traditions of Hollywood.
","This is trailblazing stuff - a great action film in the vein of earlier Technicolor swashbucklers. Harrison Ford is engaging and hugely charismatic and his battles with Karen Allen and Paul Freeman make for a considered, slightly dark but funny and memorable piece of cinema. So many great films have a depth in the cast that offers a multi-layered approach to storytelling. Spielberg cast John Rhys-Davies and Denholm Elliott excellently as Ford's stalwarts. John Williams has a golden baton when it comes to action-scores (akin to Korngold) and the story clearly has a tint of George Lucas' imagination to it. Historically, there is plenty of fiction but that spoils nothing. Not the best of the series, but a very good start...",7,0,0,18 December 2019
Rocketman," Reg (almost) Strikes Back.
","I enjoyed this, but somehow felt a little underwhelmed! There is something tame about Taron Egerton's performance. Sir Elton has never been shy in admitting to the excesses of his pursuit of happiness in the 70's - perhaps there was a reluctance to have this rated 18 (R) so much of that was left to our imagination? Jamie Bell, Richard Madden and Charlie Rowe make creditable contributions but it still lacks punch! Maybe, so soon after 'Bohemian Rhapsody' it just doesn't quite have the rawness and/or edginess? The soundtrack - provided by Egerton, himself, is the stuff of legend, though and all-in-all it is still a most enjoyable watch.",7,1,1,24 November 2019
Star Trek," Better than the interminable 'Star Trek - Motion Picture' by light years....
","I quite enjoyed this. It is a simple, end-to-end action adventure set in space. It doesn't attempt to moralise or philosophise, it is just an interstellar shoot 'em up. Chris Pine is pretty wooden, Zachary Quinto does a passable Mr. Spock and Anton Yeltsin seems to be having a good time trying to get the onboard computer to recognise his particularly thick accent. Sadly Eric Bana completely lacks menace as 'Nero' and Simon Pegg's 'Scotty' is just plain irritating but the special effects are stunning. If you're just looking for a bit of brain fodder with phasers, then this is your film...",7,7,20,31 December 2019
Rogue One: A Star Wars Story," Great stand-alone sci-fi in the original 'Star Wars' tradition.
","For some reason, there appears to be a bit of snobbery about the standard of the recent Disney productions, but I thoroughly enjoyed this tangent to the 'Star Wars' brand. Felicity Jones tries to help the rebels obtain the plans for the planet-blasting 'Death Star' that was designed by her father (Mads Mikkelsen). It's end-to-end action, with great special effects and a whole slew of new characters to get to know/like/loathe, without having to have seen any of the other films. Diego Luna and Ben Mendelsohn don't quite cut the mustard for me; and indeed the cast could all gel a bit better as actors; but the story is exciting and much closer to the action-packed style of the first trilogy. What's not to like...?",8,0,1,9 February 2020
Beauty and the Beast," Well worthy of it's Best Picture Oscar nomination
","This is a magical animated interpretation of the Jeanne-Marie de Beaumont fairy tale. A handsome, but vain and selfish, Prince finds himself on the wrong end of a curse - and is condemned to live a life of solitude, hideously disfigured - until someone falls in love with him and breaks the spell. Meantime, 'Belle' is living in the village trying to avoid the endless amorous attentions of local beefcake 'Gaston'. Her father is travelling through the forest when he becomes caught up in a storm and seeks shelter in the Prince's castle - but he picks a rose and is duly imprisoned. When 'Belle' discovers he is missing and follows his horse back to the castle, she manages to get the Prince to agree to swap; they gradually get to know each other and... He has an array of servants who all shared his curse and were transmogrified along with their boss - 'Lumière' the butler/candlestick rules the roost with 'Cogworth', 'Madame de Garderobe' and the wonderful 'Mrs. Potts' (Angela Lansbury) as the teapot/housekeeper with her little 'Chip'. All of these characterisations fit the mood perfectly and as the story develops each one becomes more engaging and sympathetic to their poor inflicted master's predicament, as we build to the really quite tense, but satisfying denouement. The songs - and the singing - are superb; the artwork and colours bring it all to life and the script is fast and funny. It's a thoroughly enjoyable demonstration that looks aren't everything...",8,0,0,2 April 2020
Hotel Rwanda," A powerful reflection of the true horrors of genocide.
","Don Cheadle is super as Paul Rusesabagina, the manager of a Belgian-owned hotel in Kigali in 1994 during the civil strife that saw Hutus relentlessly and ruthlessly persecute the minority Tutsis in Rwanda. Once he is directly touched by one such incident, he decides that he must do something to help and so turns his luxury accommodation into a refuge for hundreds of dispossessed and terrified people. With the help the Red Cross and some foreign press he walks a delicate tightrope trying to keep everyone safe, fed and watered. This is a brave and compelling story of the unimaginable brutality and ultimately compassion that stays with you long after you've finished watching.",8,0,0,12 January 2020
Star Wars: Episode VI - Return of the Jedi," Good film ruined by puppets and cuddly toys
","This third of the original Star Wars films is probably my weakest. Possibly because the writing is not too tight but for me, more so because the Ewoks take over the thing and they are just stupidly annoying. What had potential to pitch the ultimate evil partnership again the Rebel Alliance became a toy-fight straight out of a Laurel and Hardy comedy - the storyline was infantile. Still a great film to look at, and enough menace and diversion in the first hour to make it well worth watching.",7,2,3,17 December 2019
Alien," A ruthless battle for survival...
","Back in the day before Sir John Hurt took to being little more than a highly paid cameo-man, he was a great actor and here is a prime example. His merchant ship is travelling through space when it receives a distress call. They stop to help and one of their number becomes infected with a... well, now you have to watch it. Sigourney Weaver is superb as the feisty, no-nonsense 'Ripley' who leads the defence against a beastie that has brute strength, determination, intelligence and an astonishing ability to move at speed through the corridors and conduits of the ship. Ridley Scott allows the tension to rise gently and violently, by degree, and the clever use of sound and light; Jerry Goldsmith's tense score and excellent supporting performances from Tom Skerritt and a wonderfully seedy ian Holm make this a seminal sci-fi horror film that still makes you want to hide behind the sofa - 40 years on!",8,1,2,29 March 2020
