movie_title,title,review,rating,helpful,total,date
The Lobster," A Weird Delight
","The Lobster brings me back to a nostalgia that I used to find in Terry Gilliam films such as Brazil and 12 Monkeys. A very odd film in a very weird dystopian society. The Lobster is very Ayn Rand like in it's message and humor. A film which questions the very existential nature of one's own individuality. A genius of a film in many ways, zany in other ways and everything else in between for the rest.Colin Farrell nails it in his role as someone who is kind of human, but almost robotic in a robotic like society. Very funny at times and well acted by the entire cast.A must see film for the ages.",7,0,2,6 December 2016
The Perks of Being a Wallflower," What a Great Movie
","Probably one of the best romance movies in years, and maybe the best all time for high school movie romances. Great chemistry, great acting. Logan Lerman is a great actor and will be going very far with his career. His performance along with Emma Watson's are the glue of the film.All around though a very well made movie, it takes it's subtle time with anticipation to make all of those little nuances pay off towards the end.Also not just a great romantic movie, but a very deep psychological look at someone going through the troubles of life and then some such as school, child abuse, mental illness, suicide and suicidal thoughts, and this movie amazingly deals with them on such a true and sincere level, no BS with this movie.I also like the fact that Lerman's character has to take the initiative such as going up to someone and trying to make a friend at the high school football game to having the guts to go out and dance on the dance floor with 2 people he likes as friends. Most films would have the person being shy and then the other person would bring that person out of their shy-box, but in life it never really works like that, if you're shy or not, you usually have to take the initiative, and I like that also about this movie. A great film to watch, you will not be disappointed.",10,0,0,10 December 2013
Source Code," It Works for What it Is
","The Source Code is not bad, but not great either. It works for what it is. It's one and two dimensional in which it only scratches the surface for the subject matter it is speaking about. A much better movie that goes deeply down the rabbit hole on this kind of subject matter and explores limitless possibilities is Mr. Nobody with Jared Leto. Again though, the Source Code isn't bad, it makes for an interesting story. The acting is good by Jake, and Vera, and a little over the top cheesy by Miss Michelle, but still not bad. At one point in the film Jake's character talks about if he can change the train accident from happening would that alter another world and Jeffrey Wright's character said no, in which Jeffrey Wright's character was wrong of course according to this movie. Basically though through the Fifth Dimension, the mind, Jake's character creates a parallel universe and even a multiverse. In the so called 'real' world, Jake's character is dead, Vera's character is probably imprisoned, and so forth and so on. But now in this other multiverse, Jake's character is still incubated, Vera and Jeffrey's character no nothing about any bomb threatening a train, and so forth and so on. Then in the other dimensional world, Jake's character lives happily ever after with Michelle in another man's body. Very smart and great concept, but again, only scratches the surface. Still not bad to watch though.",7,0,0,12 May 2014
The Hunger Games," Interesting Concept But Very Insulting
","I haven't read the book. No nothing about it. Based on what I watched though in The Hunger Games, the concept is brilliant. Wars destroying everyone and everything, reverting back to Roman like times but also having a mix of modern times with Reality TV, having tribute games to satisfy the 'the suffering/the anniversary of when it all ended and/or satisfying the Gods in some sense of the matter', et al. But the big gap in the film, the major gap that is insulting is having kids do the fighting as the tributes, kids killing each other in gruesome, horrible ways. No one in their right mind would accept this and there would have been a lot more riots from the get go then the one that is in the film. Not saying that children/adolescents haven't been executed in time of wars or just killed in wars period, but the point that people would actually want to watch a Reality Tribute TV show about adolescents killing each other is just plain stupid. I can buy that people could be conditioned over time with watching tough warrior adults killing each other on Reality TV, that's why Arnold Schwarzenegger's The Running Man is a good flick because it could ring true. Plus in The Running Man, they are criminals killing each other in the Arena. But with kids being picked to kill each other, no way, there's just some things people would never be conditioned on no matter how much you tried to condition them to accept it, and watching kids kill each other on Reality TV is one of them. It is said that Michael Haneke hates human beings. This may or may not be true. But it has also been said that Michael Haneke was so upset on what movie audiences liked, such as torture films that were glorified to be cool and entertaining. Ergo Michael Haneke made a film called Funny Games. Haneke demonstrates in both versions of Funny Games how unbelievably awful true torture is, that it isn't entertaining or glorifying in any way, so in some sense of the word, Funny Games was Haneke's way of bringing people back into reality and was also in some sense his big F U to audiences who love torture films. My point is, if Michael Haneke was ever to get a hold of directing any of the sequels that were to come for The Hunger Games(which i'm sure there will be a dozen, only until they stop making lots of money), you better believe Haneke would show the true nature of what it would be like to watch kids kill each other on TV. Nothing glorified about it, as was the case with The Hunger Games, Haneke would make us sick to our stomachs the way he did with Funny Games after he was finished doing a Hunger Games Sequel. But of course, Haneke would never get ahold of a sequel to The Hunger Games. That's just a hypothetical. The Producers of these types of movies want to make money and keep people in the dark, not brought into the light.",5,0,2,5 April 2013
Don Jon," The Statement is Great, the Movie, Pretty Okay
","For what the statement is saying about the world is very powerful and true to modern day living. The movie as a whole is pretty okay to good. Great acting all around. Always great to see Rob Brown doing stuff as he's a great actor.Very true statements to where everything is detached anymore and the character Don Jon finds his way back to a humanity that he never quite knew before. I love the line his sister gives in the movie, the only line she has but you cheer when she says it. How many of us would love someone as aware as his sister. Although she's detached, or might I say attached at the hip to her cell phone, however one can't blame her with the kind of non sense family she has to deal with.The ending is sublime, as we all just see where it goes, enjoy the moment with ourselves and each other, and just see where the now takes us in our humanity, not our detachment.",7,2,2,28 February 2014
Deadpool 2," Better than the first
","The role Ryan Reynolds was born to play! Fast, Slick and always funny, in fact laugh out loud funny for a lot of the way through, better than the first. Love TJ Miller, his lines are always funny, but heard he will not return which is a shame. Best line of the movie, 'It's a fanny pack you sick bastard!'A must see for all comic fans, comedy fans and Ryan Reynolds fans. You won't be disappointed. If you liked the first, you'll love this one!",9,2,3,3 September 2018
Midnight in Paris," What can You Say about Allen
","He's brilliant, Woody Allen. He can have so many things going on and make you look at what's wrong with all of them and at the same time be smart about it, without getting too condescending. Midnight in Paris is basically telling you 'come to terms with what you really want, stop the denial, stop fighting what is.' Owen Wilson's character wants to live in Paris. He finally does that. Let's take a look at the Life Lesson 101 this film is dealing with: 1. Would it matter what time period you lived in? Allen is saying no, as Joel O'Steen says, 'Happiness is a choice', almost to the eye of the beholder. Where ever you go you'll be happy or unhappy, the glass is full/half full concept.2. If Rachel McAdams' character had some awareness, she would have realized that Wilson's character was 10 times more brilliant than her one dimensional 'so called' intellectual friend Paul. This is the case with most people unfortunately in relationships, friendships, and families. 3. In order to have new growth, you have to let go of what's dead, in this movie's case Wilson's character lets go of McAdams' character and the United States, and the new growth that comes to him is living in Paris, writing a better book and meeting a new girl who is nice, who doesn't mind walking in the rain and who, I might add, doesn't have a stick up her butt like McAdams' character and her parents. 4. You can learn anything about life from anything and anybody if you're open to it. I believe Woody Allen is saying Read some freaking books because you'll learn a lot about yourself and the great riddles of life through some great books such as books by Hemingway, Eliot, and so forth and so on. This is definitely a movie worth watching for the viewer, to almost find out and to get down to the nitty gritty about what we really want for our individual selves in this life. Not what we think we should do, or what we think is the right thing to do, or what is safe, but just what we really want without worrying about what anyone else will think of us. A great movie to see!",9,0,0,23 May 2012
Hotel Rwanda," What can you say, A great movie!
","Everything under the moon has been said about this movie. The real aspect this film should bring to the viewer is how lucky or blessed we are to live in a republic of the United States of America. If nothing else, this movie should bring some awareness into your life. Don Cheadle's performance is so excellent in this movie, just brilliantly acted all the way around by every actor from top to bottom. It's said that close to 3 million people were killed during all of this in Rwanda. And then 2,000 miles away Somalia was having their ordeal as well during the time that this movie takes place. The film Black Hawk Down shows the struggles 'in a day in the life in Somalia'. Almost a million were killed in Somalia when it was all said and done and overall in Rwanda and Somalia about close to 2 million people went unaccounted for, and I can only guess that probably half of those people were dead and were just not found. A truly great movie that Hotel Rwanda is, so very thought provoking that it will make you think twice about how 'bad' it is where we live(meaning the U.S.) The United States isn't perfect, believe me, but it's truly a blessing to live here, and we shouldn't forget that. And this movie reminds us of that. A must see!",8,1,1,1 June 2012
Star Wars: Episode VI - Return of the Jedi," Looking at it as a Metaphor
","Everything has been said on IMDb and everywhere else about Return of the Jedi once, twice, a million times, okay maybe not a million times, but I want to bring up something that's only been maybe brought up, say, a few hundred times. Where Star Wars, The Empire Strikes Back, and Return of the Jedi lead is to a great metaphor on life. My grandfather promised my Uncle, when my Uncle was 15 years old, that he could take the car out to a school dance if my Uncle cleaned the car, cleaned it really good and so my Uncle worked on the car all day, cleaned it perfectly as I'm told from my sources. My grandfather decided it didn't look good enough and told my Uncle he couldn't go,(unfortunately this way of being is my Grandfather's M.O.), so my Uncle took the car anyway and went to the school dance, when he got back, my grandfather kicked him out of the house, and my Uncle has lived on his own since he was 15 years of age. That's who my Grandfather is, in so many ways or words my grandfather is the Emperor, and my Uncle as a metaphor is Luke, and all of us make a choice in life on whether we become Vader or not. You can imagine the hate my Uncle had for my Grandfather, and he doesn't talk to my grandfather to this day, which I don't blame him, I wouldn't either, but my Uncle let that hate go, and even though his life hasn't been perfect, he's lived his life, a good life, and he's been married for almost 50 years now, and I'm proud of him. It wasn't easy for my Uncle though, he could have easily chosen the dark path, a path of drugs, murder, prison, just a path of hatred towards everyone and resentment towards my grandfather for his whole life(believe me, my Uncle has had resentment towards my grandfather over the years, but he let it go eventually, and I don't blame him for having that resentment either).The same goes for Luke, he makes a choice, and it's all about choice, Happiness is a choice, everything is a choice no matter where you been. Some things in life are more messed up than others, and in the end, it's how you deal with them. It's okay to be human and feel anger and sadness, and whatever, but it's how you recover that defines you. I once heard someone say that 'It isn't the easy times in life that define one's manhood, it's the tough times that do.' Luke almost kills his father and becomes evil, going past the point of no return which leads to a bad heart, a victim mentality, and never being able to finally forgive and move on and live his life. Luke is angry, but he ends up doing the right thing, and he forgives his father in the end. Perhaps it might not have been so easy for Luke to forgive Vader if Vader, Luke's father, would have lived, but that's the 'what if' and the 'who knows' which one can't or should probably not dwell on too often. The 'what ifs' and the 'who knows' are out of our control anyway. Luke didn't go to the dark side as he could have easily gone to, but Luke is a good-strong person, he was tested, just like we're all tested in life(I say 'tested' in the meaning of we're all going to go through the ebb and flows of life sometimes, again some greater than others), just like my Uncle, and that metaphor, on top of so many other great things the Star Wars Trilogy offers, is priceless. Again, as so many have said, thank you George Lucas.",8,0,1,11 February 2012
The Best Years of Our Lives," The First of The Best
","I think The Best Years of Our Lives is rightly justified as being on AFI's 100 Best Films list. However, It is a long and somewhat boring movie, but it's one of the first films to really show soldiers coming home back to, well, their regular lives again(The Best Years of Our Lives is the pioneer in that category, which is a very valid and significant topic in history). Going back to the same job, to the family you love, dealing with the same problems and/or new problems as is the case in Homer's situation. Life goes on and stands still for no one. The acting is fantastic in this movie, and it's also very significant in the fact that it is the very first film to ever use a disabled actor in a leading role, that actor being Harold Russell.Originally I thought Russell's performance was perfect except for the fact that he seemed very disconnected to the girl he came back to, and what I mean by this is, it didn't seem as though Russell was connecting the emotion to the scene with her but then I realized that his disconnection was perfect in the scenes with the girl he came back to(played by Cathy O'Donnell). The confusion of what he's feeling is the true genius of his acting with O'Donnell in those scenes, whether he meant to or not, it was great acting and Russell won the academy award that year for best supporting actor.This is a movie that makes you think and that will effect you more(that you will probably realize you like more) as it digests more in your system over a few days or a few months or even a few years. Every one of us can relate in some way to the 3 main characters in The Best Years of Our Lives and I, myself personally, have had a girlfriend just like Dana Andrew's character had in the movie, I mean delineated to the core, so I felt his pain in a lot of ways.Also, I really enjoy the real world feeling this movie generates. It's a real solid script as There are no Cliché speeches given here. Things are dealt with in a real manner, a true to life manner and I respect that about this film.The Best Years of Our Lives is a very significant movie, and should be seen, at least once, by anyone who considers themselves to be a film buff or film historian so that they can truly appreciate the pioneer movie of this kind of material.",7,2,4,17 January 2012
