movie_title,title,review,rating,helpful,total,date
Insidious: Chapter 2," Not as good as the first one but still a good Horror movie overall.
","Insidious Chapter 2.I really liked Insidious Chapter 1, it was a really good horror movie after a long time in my opinion. When I heard they were making a second part (no surprise there as part 1 ending suggested it clearly), I had some doubts because sequels of Horror movies ALWAYS suck. I'm glad this didn't follow the tradition. The story follows the previous part and all the cast is back. IT was good and answered some of the questions that were raised in the previous part. The horror stuff wasn't that much. Same goes for the atmosphere and tension. I really liked the fact that the two detectives were also back and they had some funny scenes too. Would be awesome if those two can get a whole movie. It wasn't as good as part 1 but still was a good horror movie. James wan sure is a savior of Horror movies in these times. 7/10.",7,2,2,20 January 2014
Captain Phillips," Thrilling movie.
","Based on true events about the first American cargo ship to be overtaken by pirates in a long long time. The ship was under Captain Phillips control, the pirates were Somalian. The event is somewhat recent, taking place in 2009. Now the movie premise is simple enough, ship gets taken, hostage situation, negotiations etc. The execution of it all is great. The movie slowly builds up tension and it continues to do so till the very end. The last hour or so was really tense, I was just keep wondering what will happen, who will survive etc etc. Acting was great, especially by Tom Hanks. He was exceptionally great at the last scene, I really felt that moment. The pirates were great too. You actually feel for them as the movie shows you their background (somewhat) and its not a simple good vs bad guy scenario, it could have been more fleshed out though. The soundtrack was good, cinematography was great. 8/10",8,2,4,20 January 2014
John Wick," Keanu Reeves is back.
","Keanu Reeves is back, HELL YEAH!!John Wick is a movie about, well, John Wick, a normal guy whose wife recently died and her dying gift to him was a dog. Theon the d**k less a**hole from Game of thrones was being his usual d**k self in this movie and decides to kill John wick's dog and steal his sweet ass mustang. Little did he know that John wick wasn't just some normal guy. And we get our revenge action movie. You don't kill someone's dog and steal their ride, you just don't. While many people might find the plot stupid or something, let me tell you, there is a lot more to it than a simple revenge tale. The movie knows what it is and executes it perfectly. But underneath all that revenge, there is some really cool world building going on. There are these rules, managements, neutral zones etc, which push John Wick from being just a simple brainless revenge movie. I hope they make sequels to it as there is A LOT of potential for this become an awesome franchise. Coming back to Keanu Reeves, HOLY S***, he was awesome in this movie. Being a Keanu Reeves fan, it is so great to see him finally get a role where he can shine again. The dude kills it as John Wick. He is cool, he is sleek and he is a total Bada**. Hell, he might give Liam Neeson and Matt Damon a run for their money. :p You appreciate him even more knowing that he did 90% of the stunts in this movie. Because of that, the action scenes consisted of long takes instead of the usual quick cuts we see in Hollywood movies and made the action SO MUCH BETTER. Couple that with good cinematography, slick and sleek directing and pumping soundtrack, and you get yourself an awesome RARE action movie. Another thing this movie did well was that even though John Wick is shown to be one of the best or THE BEST in his work, he is not invincible or immortal, at the end, he is a human. Many similar movies forget this point and make their heroes way TOO good that it takes you out of the experience. I really really hope this movie does well enough on the box office that we get a sequel from the same team. Highly recommended if you are looking for an action movie or are a Keanu Reeves fan. 8.5/10",8,9,22,16 January 2015
Gravity," A thrill ride unlike any other.
","I'm still shaken up from what I saw, amazing experience. The movie is a thrill ride unlike any other I have seen. The movie is pretty short, clocking in about 1 hour and 20 mins only. The story is pretty basic and straightforward. A crew of Astronauts are in earth space orbit and something goes wrong, now they are in a fight for their survival. What sets it apart is how it was all executed. There is a good amount of symbolism and hidden meaning in this movie. Stuff like Acceptance, Moving on etc. Sandra Bullock gave a pretty good performance as a terrified Astronaut struggling to survive. George clooney was his usual charming self, he has perfected that role. From the get go, you'll see that the movie is breathtakingly BEAUTIFUL. The cinematography is amazing, the CGI is amazing, the scenery is amazing, it just melts your eyes. One of the best looking movie ever. The views of Earth are oh so mesmerizing. The action/destruction scenes are really thrilling and impactful. You don't hear anything (no sound in space), just see stuff getting shredded and destroyed in an awesome yet terrifying way. There is just something very eerie yet great about how it was handled, LOVED IT. The soundtrack is equally amazing. It switches from beautiful emotional score during emotional or mesmerizing scenes from really tense and thrilling score during action/destruction scenes, enhancing everything to a new level. Make sure to watch it in HD with a good sound system, lights off and no disturbances. It enhances the experience, trust me. The immersion factor in this movie matters a lot. I only wish I could have seen it in Cinema in 3D.One of the best movie of last year and one of the most visually stunning movie EVER. Definitely a BLU-RAY buy for me. 8.8/10",9,1,3,14 January 2014
Lone Survivor," Brutal and Awesome.
","This film took me by surprise. I was not expecting it to be this good especially considering the guy who directed this (Peter Berg) also directed Battleship. Based on a true story, it is about a group of four US Navy seals on a mission in Afghanistan to hunt down a Taliban leader and it goes horrible wrong. What I really liked about the movie was how brutal and realistic it felt. Seriously, there were times when I was cringing and saying 'OUCH' etc. Pretty brutal stuff they went through and it is portrayed in a great way. The cinematography was great and really made these scenes epic. The movie also doesn't depict Afghanistan as just plain EVIL all round and US soldiers being the good heroes. The last act was really refreshing for me and it became even more awesome considering it was based on True story. There is some cheesiness here and there that you usually get with war type movies and the character establishment of Mark Wahlberg and other guys at the start could have been better and longer. Also, it did felt very realistic during war scenes BUT there were a few occasions where it became kinda hard to believe they survived that much punishment.Overall, a great film and a must watch.8/10",8,2,5,16 March 2014
Green Room," A refreshing watch in this genre
","Green Room is a movie about a young small-time band getting a gig in some shady place and they find themselves in a sticky situation there after accidentally witnessing a murder. I thought this will be another run of the mill slasher gore-fest flick where stupid kids die one by one, but was pleasantly surprised to see the execution. I mean the story is what you'd expect from such film, and the basic formula is similar, but the way they presented and flowed it was somewhat refreshing. The flow of the movie was its defining part for me. It felt natural, giving the situation a realistic feel and creating an ever present feel of tension when things go down. The movie wasn't super violent or gore-y just for the sake of it either. It was a bit tamed, and the way violence was presented made you feel uneasy, like it should. And being named as 'Green Room', there was an overall green tint in the visuals, a nice touch. Some of the acting was really good, like from Anton Yelchin (Rest in Peace) and Imogen Poots, AND of course Patrick Stewart as the main villain. Wish he had more scenes being all evil and stuff. But some of the other cast wasn't always good. And of course, character make stupid decisions, some that feel fine considering the situation while some were just plain dumb. And with the movie focusing on providing realism, there were scenes which felt totally off from it, breaking the immersion and tension and taking me out of the movie for that duration, which is a shame as if those scenes weren't present, this could have been a solid great watch. Still, it is enjoyable nonetheless. And if you are into these types of movies, then I definitely recommend it. 7.5/10",7,1,4,10 August 2016
Spotlight," Great ensemble cast
","'If it takes a village to raise a child, it takes a village to abuse them. That's the truth of it.'It is amazing to see how much is buried under the rug in the world. Spotlight is a movie based on a true story about a special division in the Boston Newspaper called by the same name, who stumble upon a story that just shakes their very core. A great ensemble, I mean we got Micheal Keaton, Mark Ruffalo, Rachel McAdams, Liev Schreiber, John Slattery and more. And all of them were at the top of their game. Great performances by everyone. And the movie took a very subdued approach to it. You see these people just doing their job, they are not portrayed as big heroes or anything, and as the case gets more deep, you see subtle expression of disgust/shock/worry on their faces, with increasing intensity. It just felt very realistic. The movie did felt slow at times. The pacing was almost constant but I guess the nature of the movie made some parts feel slow. Not boring though, just a bit slow. I didn't really know what the movie was about and that kinda made it more interesting as the movie kept on going, so it is better I don't talk about it. All I'll say is that the more it went on, the more shocked I was that it all actually happened. 8/10",8,0,0,27 January 2016
Black Mass," A comeback for Johnny Depp
","'It's not what you do, it's when and where you do it, and who you do it to or with. If nobody sees it, it didn't happen.'Black Mass is a film based on true story about a gangster named Whitey Bulger, who makes a deal with the FBI to take down his competition.Now I was really looking forward to watching this because it looked like this will be the comeback of Johnny Depp, and it certainly was. All the acting was top notch but Johnny Depp was the obvious standout. His portrayal of the gangster was chilling, intense and at times creepy. He was again wearing tons of makeup but it added rather than distracting. Easily his best work in years.The movie was also really well shot. Great cinematography. This, and Johnny Depp's acting really made some scenes really great and intense, and made you go 'I want more of those'. And I wish we had gotten more such scenes instead of the other stuff we got.The problem with this movie was that it lacked focus in its story. Events are happening but you don't really feel invested in them. Most of it felt empty. There was no emotional attachment to it. The whole movie had this anti-climatic feel to it. You get scenes with great performances and all but the linkages don't carry out well. It was also predictable at times.In the end, you just get this hollow feeling, like there was no payoff, and that was a disappointment because the movie definitely had the potential to be a great gangster film. The acting was great, the premise was interesting and it was shot really well. And is definitely worth a try for that, just don't get your hopes up for this being something spectacular.7/10",7,0,0,20 October 2015
Captain America: The Winter Soldier," Now this is how you do a sequel.
","Now this is how you do a sequel. Captain America: The First Avenger was my least favourite movie from Avengers Phase one, this is easily my favourite movie from phase two. We are shown how the captain is dealing with living in current times and working for shield. He is a real bad ass in this one. Even if you never liked Captain America's character before, I'm guaranteeing it that you'll like him after watching this movie. The story was really good and gripping. Had some really good twists and turns. It wasn't just a superhero movie, it was more like a conspiracy/political/Action Thriller with a superhero in it and that really made it different from other Marvel superhero movies and I loved it for it. Chris Evans upped the ante as Captain America, he was great in this. Even more awesome was how fleshed out Black widow, played by Scarlet Johansson, and Nick fury, played by Samuel L Jackson, were in this movie. Both got their best roles respectively so far in MCU movies. Nick fury was plain BAD ASS. And black widow has come a long way from that typical robotic spy-ish character from Iron man 2. Her character was great in the Avengers and it was greater still in this. The chemistry between her and cap was nice too. We are introduced to a new character too, Falcon, who acts like a buddy to cap, and he was pretty good. The winter soldier was a pretty good villain. His presence was powerful and fearful and was always accompanied by a great score. Wished he got more screen time though. The action scenes were AMAZING. Hand to hand fights, car chases, gun fights, aerial combat, you name it, ALL were just awesome to watch and really made up for the lack of action in the first part. Soundtrack was pretty good.The only thing I didn't like was that there was no mention of Hawkeye. I mean he works for Shield so they should have at least come up a with a line or two to tell us that why isn't he helping out etc. That and no Agent Coulson, he was like the go-to familiar guy in MCU movies, not having him this time was sad. The events of this film have made the wait for Avengers 2 even more hard. It is one of the best movie of the year so far and one of the best MCU movie. Aside from Iron man 3, phase two has been really strong. Highly recommended. 8.7/10",8,1,3,6 August 2014
Interstellar," Nolan's Most Ambitious Project Yet.
","'Man kind was born on earth, it was never meant to die here.'IT has been two days since I watched it and I still can't get it out of my head. I can safely say that it has been a long LONG time since a movie had this much effect on me after watching it. And the only thing I can think of now is to somehow Re-Watch it again. This movie was surprisingly different from Christopher Nolan's recent works because they had been great cinematic entertainment pieces catered to a wider audience with a blockbuster approach, this certainly didn't felt like that and hence the polarizing response it got. It is an ambitious project that is not meant to merely entertain, walk into it knowing that. I'll say this though, If it works for you, you'll be in heaven.The premise of the movie is that Earth is no longer capable of supporting humans on it, we must find a new home to avoid extinction. This scenario is told from a very personal perspective and not from a Global scale like some sort of apocalyptic catastrophe disaster film. At the core of the movie is the Father- Daughter relationship. The movie takes its sweet time to develop it too. Mathew McConaughey, not surprisingly, gives an amazing performance as the main lead. He really carries the film, some scenes were very emotional due to his great performance. The rest of the cast does a great job as well, especially the Daughter played by Meckenzie Foy. The One character that I never expected to be great was the robot TARS. He also acted as the source of the humor in the movie, well executed, timely and grounded. Interstellar tackles a lot of themes, Survival, Humankind, Love, Time etc, out of which 'Time' had the biggest impact on me. With relativity being a big part in the film, the whole sequence about it just struck me very deeply and I found new respect for Time. I'm actually at a loss of words to describe it. Also, there is a lot science in it so it can be confusing for many and in Nolan's tradition, it also has twists and mind numbing ending, where the more you think about it, the more numbing it gets. The visuals of this movie are breathtaking. Great cinematography and CGI. The depiction of wormholes and blackholes and other space entities were the best I have ever seen. They just suck you into the movie. Along with that, you get to listen to one of Hans Zimmer's best scores. The score not only felt personal, going perfectly with the movie, but also different from his recent works. There were times where combination of epic photography and soundtrack made the scenes timeless, like I was completely sucked into it and didn't had a clue about my surroundings. I didn't want those scenes to end. Alas, the movie was not perfect. My biggest gripe with it is that the pacing and editing was off at times. Some scenes dragged on while others were cut far shorter. The beautiful views of space could have definitely benefited from a few seconds longer on screen time. Also, I wished there was more space exploration in it.With all the remakes, rehashes, reboots and sequels we are getting in these times, it is great to see original gems like these. This movie is definitely one of this year's best, one of Nolan's best work and one of the best movie I have seen in recent years. 9.5/10",9,2,8,22 November 2014
