movie_title,title,review,rating,helpful,total,date
Despicable Me 2," As enjoyable as the first but with more laughs and a superb soundtrack
","Having already enjoyed the original, I really wanted to see the sequel, which I'm renting out as I type. It has a slightly different plot from the original but it has more funny moments than the original as well.The animation is just as good as that in the original with the same quirky character designs (one reviewer has previously said that Lucy looked too much like Audrey from 'The Lorax' but to me she looked quite different from her) and futuristic visuals plus some completely different backgrounds such as the shopping mall like no other and the minions' island inside a giant flask. The incidental music is similar to that in the original and Pharrell Williams's 'Fun, Fun, Fun (the song that accompanied the original's thrilling roller-coaster scene)' was used again in Agnes's birthday party scene near the beginning. Despite these musical similarities, I like Pharrell's other song 'Happy (which I heard before seeing this film due to it being a massive chart hit)' as well as Mungo Jerry's 'In The Sumnertime,' David Guetta, Flo Rida and Nicki Minaj's 'Where Them Girl's At,' Bob Marley's 'Jammin' and Pitbull's 'Don't Stop the Party' plus also the minions' hilarious renditions of 'I Swear' and 'YMCA' during the wedding scene at the end. There are also certain elements from the first that are present such as the freeze gun and the fart guns (there are more of them in this film) but I liked the fact that there were differences such as the minions becoming mutated into vicious purple creatures. All the characters from the first film are just as entertaining here while Lucy is sweet and a great companion to Gru.Overall this is another worthy sequel to an original film with its soundtrack, animation and funny moments being its best elements. 8/10.",8,0,0,29 March 2014
Kung Fu Panda," Not the best Dreamworks CGI but at least it has a top-notch voice cast and stunning action scenes
","I received this on DVD for Christmas in 2008 because I wanted to see it at the cinema but didn't get around to seeing it. When I finally watched it on DVD, I felt somewhat disappointed and underwhelmed because it didn't meet all of my expectations. The weak points of this film include Po's father being a goose (it makes no sense, despite the fact that he's a supportive character), the darker scenes being less detailed than those in daylight, some scenes being forgettable and the ending being somewhat silly and abrupt, in spite of the emotion of Shifu apparently dying but in fact he finds peace. The film is also clichéd in places such as including a number of uses of slow-motion, one of the Furious Five telling Po he'd be late for work in his dream at the beginning and his father saying the same when Po awakens and Tai Lung falling through the ground leaving a hole in his shape upon Po defeating him. Also the majority of the Furious Five only have names that are the same as their species, although Tigress is the most inventive name of them all.On a more positive note, this film has a well-known voice cast; epic martial arts action scenes; twists and turns in the dumpling scene between Po and Shifu; an engaging back-story of Tai Lung (he looked very cute there); a breathtaking fight between the Furious Five and Tai Lung on the rope bridge (the bridge itself was reminiscent of Shrek), and some funny moments, especially Po imitating Shifu when he and the Furious Five eat noodles. I also like the 2D animation in Po's dream (despite the cliché I mentioned earlier) and the end credits as well as the beautiful illustrations for the majority of the end credits (making them unique from having them scroll up a black background) and the post-credits scene where Shifu offers Po a dumpling and Po accepts. The scene where Oogway is lifted up to the sky by blossom petals is beautiful if a tad sentimental. I could relate to Po in a sense because he eats when he's upset (I.e. comfort eating) and I've eaten for comfort in the past.Overall, this film wasn't as good as the Shrek franchise, but it was worth watching for the artistry, action scenes and voice cast. 7/10.",7,0,0,8 June 2013
Beauty and the Beast," A stunning childhood Disney Classic that I should have seen more often
","I saw this film once or twice as a child upon owning the VHS and started watching again when I was 18 upon borrowing it from a volunteer/social worker but sadly fell asleep halfway through due to having had the tendency to tiring very easily. Today, which is Boxing Day 2013 as I type, my mum suggested we watch a Disney film and I insisted we watch this one due to its inclusion of a couple of memorable musical numbers ('Be Our Guest' and the titular song) that had equally memorable animation sequences and were also on my 'Sing Along Songs: Be Our Guest' VHS I had when I was five and retrieved from eBay a year or two ago. I also insisted on watching this because I mistakenly thought this was my mum's favourite Disney film but it is in fact 'The Little Mermaid (and one of mine)' although she found this one very good as did I.The 2D animation is fluid and smooth with beautiful interior and exterior backgrounds but there were one or two that looked a tad CGI-ish for the film, especially the ballroom during 'Beauty and the Beast' but it looked magnificent nonetheless. In addition to the musical numbers I've already mentioned, I also liked the opening song ('Belle/Little Town?'), 'Gaston,' and 'Something There' although I found 'The Mob Song' and 'Human Again' pretty forgettable as well as some of the incidental music, which was also pleasant if dramatic in parts. The script has its fair share of humorous and poignant moments, the former including the antics of Gaston's bumbling sidekick Lefou, Cogsworth's line, 'It it ain't baroque, don't fix it (my mum was in stitches with that one)' and some of the townspeople's goings on during the opening musical number; and the latter including the falling rose petals and the Beast apparently dying. While Belle remains headstrong yet sensitive throughout, I liked the Beast's change of character after their argument while Belle tries to treat his wound/scratches from the wolves. Lumiere and Cogsworth are comical side characters while Chip is very sweet and Gaston became what some may perceive as a good man gone evil. I also liked the stained glass windows that accompanied the back-story of the Beast at the beginning as well as the final one depicting him as a handsome human being with Belle.Overall this is a stunning Disney Classic that I regret not seeing as much as 'Peter Pan,' 'The Little Mermaid' (both of which are as good as this one) and 'Cinderella (which is nearly as good but still a favourite of mine)' due to the majority of musical numbers being memorable and the animation being Oscar-worthy. 9/10.",9,2,2,26 December 2013
"Crazy, Stupid, Love"," A different kind of rom-com although somewhat disappointing
","I wanted to see this film when it came out at the cinema with a member of support staff who worked at the house I moved to shortly before it was released but due to staff shortage, I didn't get to see it until today when I rented the DVD. The reason I wanted to see this film in the first place is because there aren't many romantic comedies that focus on couples getting a divorce, so its theme of Emily wanting a divorce from Cal was one of the film's strongest points. While this has more strengths than weaknesses, I was somewhat disappointed with the film's length being a little too long for my liking, the dialogue being clichéd in parts, particularly within the first half, and the uneven pacing.Further to the film's concept, the acting was well done and mostly subtle. While the script had its clichéd moments and pop culture references to Twilight and Dirty Dancing, it had sound funny parts, especially about a female character's PG-13 life (possibly a fourth-wall joke relating to the film's certification in the USA); the film had some creative cinematography, particularly the shots of Cal's head covering Jacob's privates while they're in a locker room and the close-up shots of Jessica applying her make-up before taking nude selfies; and there was also a decent soundtrack with funky, contemporary and emotive snippets of incidental music and some pleasant if forgettable songs. The best songs for me were Goldfrapp's 'Ooh La La,' 'I've Had the Time of My Life' from Dirty Dancing, Spandau Ballet's 'True (also featured in the 2000 film remake of 'Charlie's Angels') and Middle East's 'Blood' that played into the closing credits. As for the story, I liked how the subplots of certain characters were revealed such as Bernie turning out to be Jessica's father and Hannah being revealed to be Cal and Emily's eldest daughter. The cast includes some well-known stars such as Steve Carell (Cal), Julianne Moore (Emily), Ryan Gosling (Jacob), Zathura's Jonah Bobo (Robbie) and the face of the EE mobile network Kevin Bacon as Emily's work colleague David.All in all this film has some enjoyable, engaging and memorable moments but it also had some aspects that left me slightly dissatisfied. 7/10.",7,0,1,19 June 2014
Madagascar," A fun, adventurous film for children and adults alike
","I first saw this film when I was 18 and I enjoyed it back then. When watching it with my mother recently (she owns all three films in a box set) we both had a laugh and there were a few parts of it I didn't notice first time around, such as the 'Planet of the Apes' reference and recognisable pieces of music (most notably 'Chariots of Fire' that was used in London 2012 Olympics coverage and the 'Hawaii Five-0' theme that plays when Marty surfs towards the beach).This film has witty characters, delightful sight gags (especially when Marty spots a woman wearing a black and white striped top) and luscious backgrounds, particularly the island of Madagascar itself. I also liked the scene where the four main animals were shown inside their boxes whilst being shipped to Madagascar - it was cleverly executed and had a similar style to split screen mode. The 'Who's the cat?' Chase scene between Alex and Marty is hilarious and uses the principle of follow through and overlapping action perfectly. The voice cast is well known as well. While this film is mostly aimed at children, there are parts of it that may go over their heads such as the psychedelic hallucination sequence when Alex is tranquillised and the 'American Beauty' reference. Mort, the baby lemur, is very cute too.Overall, this was a highly enjoyable film. It was no 'Shrek,' but it still had its funny moments. 8/10.",8,1,1,7 July 2013
Ted," A decent comedy that quickly goes from cute to irreverent
","I remember this film being promoted two years ago and in the television advertisement for this, I liked the line, 'My bad! I was sending a Tweet,' which for me is one of the funniest and most memorable lines in this film. One of my housemates rented out this film in the same year it was released but I only watched about the first fifteen minutes of it at that time. More recently I rented it myself and when I watched it the whole way through, I was slightly more satisfied despite the film dragging on from the middle and it was also a little overlong.For a start, Ted was well-animated and comically voiced by Seth MacFarlane who brought us 'Family Guy.' Speaking of which, the irreverent dialogue in this would appeal to fans of the said animated sitcom and Ted's mention of Peter Griffin was a cracking fourth-wall joke and pop culture reference rolled into one. Other pop culture references I noticed were to other films distributed by Universal such as E.T. and Jurassic Park and I figured that they could pay homage to Universal's centenary in 2012. Back to 'Ted,' the titular character's animation was one of the best assets of the production values as were the cinematography and some beautiful uses of scenery, particularly John's snowy childhood neighbourhood (plus also the lens flare effect over it) and the park. While the incidental music was pretty grand for the film's genre, the music accompanying Ted falling down after having been torn in half was simple yet suitably chilling and dramatic. I also liked the song played over the opening credits as well as the use of the Flash Gordon theme, Norah Jones's ' Come Away with Me' that she briefly performed live and Tiffany's 'I Think We're Alone Now.' Both Joneses (Sam from Flash Gordon and Norah) were surprising additions to the cast and what surprised me even more was Norah's dialogue since I never saw her to speak in a tongue-in-cheek way but Sam's appearance was more worthy, especially when he demonstrated his Flash Gordon actions. With regard to the leading human characters, the chemistry between Mark Wahlberg and Mila Kunis may have been typical rom-com cliché but their bonding with Ted has made this chemistry somewhat new. The narration from Patrick Stewart was engaging and almost as irreverent as the film itself.Overall 'Ted' is a worthwhile comedy that has its cheeky moments but funny ones too, albeit its sluggish pacing and long running time. 7.5/10.",7,1,3,10 May 2014
Spice World," One of my favourites, whether of all-time or from my childhood with great music and laughs
","Between the ages of 9 and 11, the Spice Girls were my favourite pop group, which was a legitimate enough reason to see this film. It was the first film I ever saw at the then-new Virgin Cinema (now a Cineworld) in Spytty Park, Newport, South Wales and I have loved it ever since. Within the following year when the video was released, I was in my now-defunct local Woolworth's with my mother and sister and when my mother asked if I wanted her to buy this movie on video, it was an offer I couldn't refuse. I have watched it several times when I was younger but not in recent years because the video is in my bed drawer with the bed drawer side to the wall (like my 'Charlie's Angels' movie DVD) so I decided to rent the DVD after not having seen the film for as long as I could remember. It's as excellent today as it's always been and upon watching this today, I spotted a few things that I hadn't noticed in previous viewings such as Mel B styling Bob Geldof's hair at a party, Jonathan Ross interviewing the girls early in the film and Barry Humphries playing the hot-headed newspaper editor Kevin McMaxford.While this film has lines that are silly and make no sense (such as Clifford's hair-in-plug holes announcement) and a cheap-looking scene of the Spice Bus jumping over the Tower Bridge as the girls rush to their concert, the dialogue is memorable and funny in parts, the cinematography is suitably varied, the editing is straightforward yet effective, the pacing is swift and the acting is just right with the Spice Girls truly allowing their personalities to shine, particularly Emma and Victoria (who smiles a bit more here than people may think). Despite some of the songs having different instrumentations than one would normally hear, the music is a essential asset to this romp and it was a good idea for the Spice Girls to use their second album Spiceworld as the main soundtrack and there were even some delights from their debut album Spice. The incidental music may be rarely used but it included a groovy piece when we first see the girls' pregnant friend Nicola and creepy, tense music when the bald photographer steps out of the toilet for example. Although the Spice Girls are the main stars here, there was fantastic support from Meat Loaf (who references one of his songs before the girls encounter some aliens) as Dennis the Spice Bus driver, Richard E Grant as Clifford, Naoko Mori as Nicola and Claire Rushbrook as Deborah plus more celebrity cameos from the likes of Elton John as himself, Michael Barrymore as Mr Step and Stephen Fry as the judge.Overall, this is an excellent musical comedy that didn't deserve the Razzie it received. 10/10.",10,3,4,20 May 2014
Finding Nemo," A vibrant underwater adventure with a simple yet engaging story
","As a fan of films and TV shows set underwater, this one appealed to me without doubt. I saw this film at the cinema 10 years ago while I was going through a difficult stage and I enjoyed it then but initially found the jellyfish scene frightening (even though I was 16 at the time). Nowadays I find the film more enjoyable than I did on my first viewing.The underwater scenery is vibrantly coloured as are the majority of sea creature characters that are also realistically designed. A lot of the dialogue is memorable and it has parts that cleverly link to other scenes, have hints of wit and an element of Chinese whispers when the message of Marlin looking for Nemo is passed through several sea creatures and reaches Nigel. I also liked how the story alternated between Marlin's search and Nemo's antics in the fish tank in the dentist. One thing I noticed for the first time today is that Bruce and his shark friends are in a group that is almost like Alcoholics Anonymous and similar groups. The story is straightforward yet captivating with some funny moments such as bubbles rising to the surface upon the explosion of the underwater mines, thus making a pelican thinking another had farted, Dory speaking whale, the seagulls' constant cries of 'Mine! Mine! Mine!' and Marlin's interrupted attempts at telling others the mollusc and sea cucumber joke until he finally succeeds towards the end. I also spotted a couple of pop culture references such as the scene where Bruce chases Marlin and Dory and says, 'Here's Brucie!' that pays homage to 'The Little Mermaid' and 'The Shining' while one fish shown during the message about Nemo being passed on looked like Flounder. The background music was better in the first half than the second half but I liked the use of the screeching violin music from 'Psycho' when Darla enters the dentist and the end- credits song 'Beyond the Sea' by Robbie Williams. As for the voice acting, Albert Brooks played a typical father figure as Marlin, Ellen DeGeneres was comical as Dory while Alexander Gould was cute as Nemo, I liked the late Joe Ranft's French accent for Jacques and John Ratzenberger was recognisable as the School of Fish that direct Marlin and Dory to Sydney (I also liked the shapes they made to form fish, an arrow, the EAC and the Sydney Opera House).Out of all the CGI underwater films I've seen ('Shark Tale,' 'The Reef,' 'A Turtle's Tale: Sammy's Adventure' and this one), 'Finding Nemo' is my favourite and a sheer delight to watch. 9/10.",9,0,1,2 October 2013
Rise of the Guardians," The best Dreamworks film since the Shrek franchise, albeit its confusing title
","When I first heard of this film, I got it confused with 'Legend of the Guardians,' a live-action fantasy film about owls. Due to my passion for animation, this appealed to me more when I saw this trailer, which had the most impressive character designs since those from the 'Shrek' franchise, particularly those of the guardians themselves.The animation quality is on par with that from the 'Shrek' franchise with intricate character designs, pretty special effects and atmospheric backgrounds if some were a little too dark. The musical score is powerful, epic, poignant and magical while the closing credits song is absolutely beautiful. As for the story and dialogue, they both have a fine mix of excitement, sadness and humour while the story is adventurous and uses representations of Jack Frost, Santa Claus, the Tooth Fairy and the Easter Bunny in an entirely new and unique way. The funniest characters for me are the elves (they reminded me of the minions in the 'Despicable Me' franchise if they were not quite as humorous), the Easter Bunny and the furry creatures with moustaches. With regard to the main characters, Jack Frost is ambitious, Tooth is bubbly, Sandy is an effective communicator by expressing himself through facial expressions, body language and various sand symbols floating above his head and surprisingly comes back to life towards the end of the film, North is supportive, the Easter Bunny (I love his accent) is cynical yet comical and Pitch, while reminiscent of Voldemort from the Harry Potter series and Maltazard from 'Arthur and the Invisibles,' is threatening yet suave. The child characters are sweet and full of fun, especially Jamie Bennett and his little sister Sophie. Moving on to the voice acting, Chris Pine, Alec Baldwin (despite his Russian accent making his voice as unrecognisable as Steve Carrel's voice for Gru in the 'Despicable Me' films), Isla Fisher and Hugh Jackman all provided a brilliant variety of voices to their characters while Jude Law provided Pitch with a chilling combination of intimidation and menace.To conclude, 'Rise of the Guardians' is a stunning fantastical adventure that is better than 'Shrek the Third' and 'Shrek Forever After' and nearly as good as the first two 'Shrek' films. 9/10.",9,4,6,27 April 2014
Tangled," A beautiful, moving, dark and funny take on Rapunzel
","I first saw this at the cinema two years ago with a temporary support worker at my former care home and we both enjoyed it. Likewise with 'Horton Hears A Who' and 'Igor,' this is another film I found more entertaining than I did on my first viewing.Although the entire film could easily be mistaken for a Pixar film due to its CGI animation, it is beautifully rendered with characters whose styles tend to differ from those of typical Pixar characters, stunning colours and realistic backgrounds. The floating lanterns scene is exceptionally gorgeous as is the glowing effect on Rapunzel's hair. The animation itself is just as good as that of recent Pixar films such as 'Toy Story 3' for example. I also liked the majestic if poignant and tense incidental music with a touch of Celtic authenticity and the songs, especially 'When Will My Life Begin?,' 'Mother Knows Best' and its reprise where Mother Gothel sings about Rapunzel knowing best as a clever twist, 'I've Got A Dream' and 'I See The Light.' While Rapunzel was cute as a baby and a slightly older child, the teenage/young adult version of her is as aspiring as Tiana from 'The Princess and the Frog' and as excitable as Tiana's friend Lottie (the scene of her up-and-down feelings upon leaving the tower is one of the most memorable), Flynn Ryder/Eugene is amusing (especially the joke about his nose being drawn incorrectly on his wanted poster) and suave while Pascal is cute and provides some laughs with his colour changes but the funniest character here has got to be Maximus the horse with his dog-like traits. Mother Gothel is a wicked so-called maternal figure who is reminiscent of the queen in 'Snow White and the Seven Dwarfs,' Malificent from 'Sleeping Beauty' and Lady Tremaine/Cinderella's stepmother - I liked the shocking twist of Rapunzel discovering that she is not her real mother. The writing has a fine mix of humour, emotion and darkness with a hint of intelligence and Mandy Moore was a more than worthy choice to voice Rapunzel since she can both sing and act (I remember her as a singer from my early teenage years) if the other voice actors are not quite as well-known. Another positive aspect is the Steamboat Willie logo to commemorate 'Tangled' as Disney's 50th animated classic. It's not just a Disney Classic, it's a modern Disney Classic. While I have previously mentioned that 'The Princess and The Frog' bridged the gap between 'Bolt' and this one, this bridges the gap between 'The Princess and the Frog' and the 2011 version of 'Winnie the Pooh,' Disney's most recent 2D animated feature length film to date. Not only that but this is one of Disney's best films to come out in recent years and the short follow-up film 'Tangled Ever After' is a must-see as well. 9/10.",9,1,4,16 November 2013
