movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Cinema Verite Fright...
","Is THE BLAIR WITCH PROJECT a masterful ghost film or a gimmick to create a multi-media event?  It is both.  The picture, shot on super 8 video and 16mm film displayed in a squared, documentary-like frame, is quirky, annoying, and spectacularly scary.  The scenes at night quite frankly scared the hell out of me.  The gimmick that THE BLAIR WITCH PROJECT is created confusion and wonder over whether or not the footage shot was real life.  Now, we all know the truth, but the French term 'cinema verite' is defined by this grisly film.A guaranteed cult classic, BLAIR WITCH has 'Heather, Mike, and Josh' heading off into the allegedly hexed woods of Maryland looking for the Blair Witch or whatever else may exist up in those hills.  For most of the film, it is very unclear.  The beginning excerpts ingeniously set up the three participants to believe they are a) experiencing the supernatural, b) being played like a fiddle by the suspicious townspeople or c) just completely out of their minds.  Its up to the viewer to decide but my money is on option A.Most filmgoers know that the filmmakers Sanchez and Myrick used their MAC cards and cookie jars to put this phenom together and I commend them.  This is a tour-de-force thriller that does indeed seem real.  Its all improvised and 'verite' like and the best part about the movie's many chills are based on the basic premise that scares most of us:  We are generally frightened by what we cannot see.  Many times throughout the film, the screen is completely dark with sudden bursts of screams and grainy scenery.  For the sake of the suspense, the film may have been better if we did not know the gimmick.  The realism is sometimes smothering.True, the hand-held camera can make you achy in the head, but the way the actors play off each other is magic and not for the faint of heart.  I viewed the film on DVD with someone who was not feeling too well because of the dizzying camera, but somehow the black and white and color and rain blend together and allow Myrick and Sanchez to do what they were attempting to do.  Spooking an audience with unseen forces is so effective and I was reminded of Robert Wise's original THE HAUNTING from 1963 with the groans and the cries and the shrieks.  A baby's giggle can be heard during one spellbinding scene when the tent the 3 students sleep in takes on a life of its own.Much has been made about a similar film made in similar fashion by some other young auteurs well before THE BLAIR WITCH PROJECT was released.  I never saw it and if it was as good as this film we would've seen it. Nonetheless, this past summer shocked and surprised me with the amount of good horror pictures around.  In the woods, no one can hear you scream either.Rating: ***1/2",8,78,146,25 October 1999
Vertigo," A Visual Work of Art That Must be Seen on the BIG Screen...
","Alfred Hitchcock's VERTIGO has always been able to connect over the years, whether on TV or the restored video version.  To really appreciate this incredible flick from the Master of Suspense, you MUST see it on the big screen in 70mm.  Check the papers for revival houses in your area where old films from Hollywood's 'Golden Age' can truly be revered.  The opening title sequence, one of the best in cinema history created by the immortal Saul Bass (NORTH BY NORTHWEST, CAPE FEAR), seemed entirely new to me in the darkened theatre.  Hitch made his most artistic picture with wondrous color schemes and amazing screen composition.  Just look at the ghostly greens and reds that help this complex tale absorb you and engage you.  Kim Novak's character is absolutely 'from amongst the dead' in the mind of Jimmy Stewart (in his second best role) and the lengths that he and Hitchcock go to are exhausting and mystifying.Most film buffs know that VERTIGO is considered Hitch's most personal film, mostly because of how he molds his actresses to look perfect much like the Stewart character does with Novak. The two actors have fantastic chemistry that changes drastically from initial obsession, to love, then back to obsession.  Not much happens in terms of pure action, but as pure cinema, this movie is a landmark.  I can't remember a film that can be so visually captivating without a word of dialogue for long stretches of time.  The viewer becomes just as obsessed with 'Madeleine', played sensually by Novak. It really is hard to figure out if there are some supernatural undertones at work, especially in the world of Hitchcock.Bernard Herrman's legendary score sounds crisp and emotional in its new, restored form and is as much a character in the film as the colors and the flowers and the hair twists that come to mean so much as the film progresses.  The 'special sequence', or nightmare that Stewart has is VERTIGO's crowning achievement.  The animation and coloring must have awed audiences of 1958, who actually did not accept the movie at the time. Time has done wonders to VERTIGO and the people at Universal who painstakingly put the film back together for theatrical release have done an amazing job. I only hope the rumors regarding a restoration of REAR WINDOW are true. Look for it in late 1999 !?RATING: 10 of 10 NOTE: Stewart's best performance was in the great MR. SMITH GOES TO WASHINGTON",10,9,14,31 May 1999
Star Wars: Episode I - The Phantom Menace," Critic-Proof Extravaganza That Will Please Most Viewers...
","To deeply criticize this wonderfully fun motion picture is to miss the point.  George Lucas and his Star Wars galaxy is so out-of-this-world, how can a critic, or even an angry fan pick it to pieces?  Does it not have sensational sets, spellbinding space battles, perky aliens, and, most importantly, the beginning of a long journey of the cinema's most famous villain? It does and Lucas wows us with a new look to an old universe. People cannot forget that this whole deal takes place 'a long time ago, in a galaxy far, far away.'  It's called escapist entertainment, people, and who better than George Lucas, the creator of the original critic-proof trilogy and the Indiana Jones Trilogy to allow us to catch up with some young versions of some old friends and see sights you will never see in real life.EPISODE I - THE PHANTOM MENACE is a sprawling thrill-ride that is meant strictly to entertain and produce candy for the eyes.  It's geared towards kids, but with some universally adult themes.  So were the others.  With this effort, an unforgettable story of failure and redemption has its beginnings.  Sometimes a bit confusing, those with a discerning eye for detail and a general knowledge of episodes IV through VI will get it (this would include most of the civilized world, excluding the negative critics who place too much emphasis on the wrong things in this film).  It's funny that my comment regarding a terrific movie is actually a defense argument against those who miss the point of the Star Wars films.  Suspend disbelief (of course), realize that this is only the FIRST in a succession of films that will tie all confusing loose ends this episode presents together (isn't that what we wish for), and just sit back and let the film fly over you.True, the performances and the dialogue are dry and as corny as a farm in the summer, but weren't the other 3 films of the same mold.  The story and the world the characters exist in is what we watch these films for, not for some revolutionary method acting or drama.  STAR WARS - THE PHANTOM MENACE is a throwback to the old Flash Gordon serials, with great-looking bad guys and a beautiful Queen to boot.  Just check out the saber-duels between Jedis Obi-Wan(Ewan McGregor) and Qui-Gon(Liam Neeson) with a dark lord of the Sith 'Darth Maul'.  He is memorable in appearance and fighting abilities only, but it was enough for me.  The duels are technically perfect, exciting and riveting.I would ask the makers to kill off 'Jar Jar Binks' the most annoying character in a film since Mickey Rooney played 'Puck' in 1935's A MIDSUMMER NIGHT'S DREAM.  Other than that, the performances are measured, but well within the context of the story construction and special effects.  Why do critics want Jedis winning Oscars, or Paul Newman-esque acting in the films? They don't need it.  For the young at heart, both in life and at the movies, take EPISODE I for what it is - brilliant entertainment and the start of a long, strange trip through a galaxy a lot more fun than ours.RATING:  Let me think...a 10 !",7,1,2,19 May 1999
Raiders of the Lost Ark," Old-Time serial brought to excellence by Spielberg...
","RAIDERS OF THE LOST ARK, the best of the Indiana Jones trilogy, is a throw-back to the old cliff-hanger serials of the 30's and 40's as we all know. It's just how well it is done that is absolutely awe-inspiring.Spielberg is a master technician, filming some of the most difficult stunt sequences ever put onto celluloid. His themes of Naziism and his obsession of WWII appear blatantly for the first time (not including 1941). There are great images of the swastika being denounced. Blood is sprayed on it from a boneheaded brawler and the ark burns it from the box it is enclosed in. Indy even escapes from the map room with a rope tied together with a Nazi flag. The small touches of humor add to the incredible sense of excitement: a mischievous monkey solutes the Nazis, Marion's drinking game, 'It's not the years, it's the mileage' - What a perfect action/adventure film. John William's score helps a lot as well. The break-neck pace and non-stop scenes of pursuit make these 'raiders' something to remember.",10,2,4,4 March 1999
Casablanca," Hollywood System Gem...absolute must!
","There is really not much you can say about the greatness of this movie because of its universal timelessness and appeal.  A famous love story with Nazis and war as a backdrop.  Rick and Ilsa, the interrupted love affair renewed, this time each knowing that they must sacrifice their love for a larger good.  The famous saloon, where international bravado rules and exit visas are rampantly desired.This is undoubtedly the funniest and most cynical of Bogart's characters and Bergman is an absolute stunner.  My favorite shot in the film is that of Bergman as she looks out of the corner of her eye for Rick as Laszlo goes to the bar.  It is a quick dolly in to her right side, her look explaining everything.  This is a movie you must own if you're a film lover.  It can be watched over and over.",10,1,1,19 February 1999
Chinatown," Deep, Dark Noir...Sunny on the Surface
","Roman Polanski's CHINATOWN, is a must for fans of L.A. CONFIDENTIAL, although that film does not hold a candle to this.  Not only does it have style, but it has as much substance, something rare in most movies.  And yes, it is a product of the 1970's, the first decade when films showed the influence of their predecessors.  This is an homage to film-noir, of course, but it elevates the genre to a whole new level because of its deep psychological themes.  I could discuss the plot, which is as thick as a dictionary, but 1000 words is not enough to encapsulate this fantastic movie.Jack Nicholson plays JJ Gittes in an understated, Bogart-type way, however he is still a difficult man to figure out.  The film ends, fittingly, in Chinatown, where Gittes got his start in this business.  We don't know what went wrong with him there, something hinted at while in bed with Dunaway's Mrs. Mulwray, but it must have been messy.  The ending is a stunning payoff to what has transpired.  It is unexpected and it is sad.  Dunaway turns in a deceptively great performance as the tortured femme fatale.  Notice her mannerisms whenever her father is brought up.  First time viewers will cringe when they find out why she acts this way.Legendary director John Huston plays the father, Noah Cross, one of the most reprehensible characters in recent memory.  You sense evil when he's on-screen and he is symbolic of the drought in L.A.  The man is soulless and insane. Polanski brings together a great cast of stars and then unknowns to create an ever-unfolding plot that turns left when you expect a right.  He even puts himself in the mix, taking a piece out of Gittes snoopy nose.It is also beautifully photographed, with golden daylights remembering a more golden age, and serene sunsets and nights.  Underneath is the evil of murder, theft, and incest.  Think of all of the elements.  Its like a Hitchcock filmography of props: B/w photos, dead decoys, bi-focal glasses, water basins, broken taillights, the eye of a fish, bandaged nose, a sister, and a daughter. Jerry Goldsmith's musical score echoes loss and tragedy as everything comes to a rousing, murderous halt in CHINATOWN.(NOTE: This film should be seen in its widescreen format on video.  Each shot is almost portrait-like and watching the pan-and-scan cropped version is like pressing your nose against the glass and watching.)",10,1,2,4 March 1999
The Birth of a Nation," Painful Opening of the Cinematic Curtains.
","I first saw BIRTH OF A NATION in a film class and I found it very hard to stay awake.  That was 8 years ago.  My eyes stayed open this time to witness a film of monstrous racism and an epic feeling of sympathy for the Ku Klux Klan.  Of course, I know all of the significance and importance of the movie and how director D.W. Griffith invented the language of modern cinema, at least as far as the silents go.  I must say that the influence, techniques, and  legendary status of the picture goes out the window because of some idiotic ideas and horribly racist scenes that made my stomach churn. 
Its a shame the first ever feature length film has few moments that can only be appreciated unless you consider them within the context of time.  Filmed in 1914, there are massive crowd scenes, re-enactments of critical moments during the civil war, and even the first known depiction of the assassination of President Abraham Lincoln (done quite well by the way). Griffith's huge mistake was to show the KKK as heroes and to sympathize with the Confederacy ideals of a Southern republic.Word has it that Griffith was raised by African-Americans and even loved them.  He pays them no respect or even any credit for anything in this miserable play on race.  That's really the problem.  Innovative techniques aside, Griffith must have never realized the pain that is surely felt by African-Americans today who must study this film or even see it for its renowned 'importance'.  BIRTH OF A NATION is for buffs only and believe me when I tell you this.  I could not look past the white actors playing blacks as drinking, jumping, would-be rapists in dark-face.  And what is with the 'mulatto' who tries to create a black empire only to be foiled by the 'glorious' clan members ?  Griffith shows great empathy for the clansmen who look a lot more ridiculous in their clown outfits than the actors in black-face.  I don't mean to sound like a civil rights activist (I am a white guy from the suburbs), but BIRTH OF A NATION is a document not only of the racism that existed in the 1800's, but also of the early 1900's. The first ever film to tell a cohesive story, feature-length style, should be forgotten.  Luckily, Griffith was able to redeem his social image as far as history has written it with some more imaginative films. 
RATING: *",3,29,65,25 January 2000
Shakespeare in Love," A Better Love Story Than Romeo and Juliet Itself...
","England, 1589. A young playwright named Will Shakespeare is trying to start a new play. He is up on a 'deadline' and rival playhouses are all over him to produce the work. It seems Will can only write about something personal to him, for instance, his latest muse. Romeo and Rosalind, he'll call it. No, Romeo and the Pirate's Daughter? Not a good title. Will doesn't know it, but an unknown, upper-class wannabe actor/actress up for a part in his unwritten play will be his Juliet. Shakespeare IN LOVE, John Madden's winner for best picture of 1998, presents this speculative story of a struggling literary giant with such originality and sensibility, it may surpass Mr. Shakespeare's own fable of forbidden love.Joseph Fiennes IS Willie Shakespeare in a performance so strong and passionate, it is simply amazing how overlooked it was. The film is written so well, the words erupt from the actor's mouths much like Shakespeare's own plays do. Screenwriters Marc Norman and Tom Stoppard even address the long-time myth that Shakespeare was not the sole creator of the most famous literature ever written. Collaboration comes from suggestions in a pub, speakers in the street, and real-life experiences. Could it be that the Bard himself also took his own life experiences and filtered them into his own work? Maybe. It is certainly a practice universally performed by modern writers, authors, and poets. This is Shakespeare IN LOVE's premise and the love story portrayed is both eloquent and sensual.Gwyneth Paltrow is the object of Will's affection and superb at recreating Elizabethan charm. You find yourself falling in love with her. 'Romeo and Juliet' comes about through their experiences together. Fiennes even climbs a tree up to Paltrow's balcony, a great moment from the play. This is all juxtaposed with the play's rehearsal. These scenes are tender, but they also inspire laughter because of what we already know about the story of Romeo and Juliet. Geoffrey Rush provides some more comic relief in a screenplay with so much depth, it is a unique work of art. Each character is given enough screen time to make an impression on us. Even Dame Judi Dench's 8 minutes of Oscar-winning acting is a treat.I've never seen Shakespeare himself portrayed. This is pure fiction, but Fiennes breathes life into the mysterious figure behind so many colossal texts. For Shakespeare illiterates, you can still enjoy the picture. Everyone speaks in prose, not poetry. A general knowledge of Romeo and Juliet would be helpful, however. The film looks and feels of the time, but a great love story of the 16th century is brought to life in 20th century cinematic fashion. Did it deserve the Best Picture award? No. SAVING PRIVATE RYAN did. No matter. It is a true wonder to watch.RATING: 10 of 10",Null,1,2,1 April 1999
12 Monkeys," Finally, A Time Travel Story Done With Suspense and Originality.
","Without a doubt, 12 MONKEYS is one of the best films of the Sci-fi genre and director Terry Gilliam is no stranger at pulling off such cinematic originality.  An apocalyptic film that holds you completely spellbound, 12 MONKEYS never lets up and has you guessing all the way throughout. Excellent use of Philadelphia locales and netherworld sets create a gothic sense of tragedy and two people caught in time at the wrong place.Bruce Willis escapes his macho image and portrays a true loony who happens to be right about all that will happen.  He is actually sane, but the people of the future (or present if you will) distort this guy's head so bad through time travel, no wonder he unravels.  He gets sent to World War I just after beng sent to the wrong year to find out how the Army of the Twelve Monkeys pulls off the annihilation of civilization as we know it. They finally get it right and in what is truly a remarkable screenplay to match the performance, we get to see Willis, Madeleine Stowe and an ominous Brad Pitt cross-referenced over the course of 6 years.Stowe is sensual and solid as the risk-taking shrink who slowly starts to realize that Willis may not be as cracked up as he seems.  A captivating element of the relationship between her and Willis is their sense of 'seeing' each other before, in another place or time.  12 MONKEYS is essentially about time and the madness the futuristic people immerse into it and the times of the present, when killers and a psychotic genius can alter the world.The brooding city of Philadelphia is a dark and gothic backdrop for Willis' plight to complete his mission which is, against all usual Hollywood stereotype, NOT to save the world.  He is gathering information.  The film plays tricks on the viewer as well, placing Willis in a new setting at the drop of a pin.  This must have been an extremely difficult picture to make but Gilliam seems to be the master of hard-boiled movie making.  He even drops in some humor reminiscent of other great works like TIME BANDITS, and BRAZIL.  The screen is this man's canvas and he knows how to paint a sometimes terrifying picture of the world and its possible future within the mainstream atmosphere of big-budget films.  If you want sincere madness and ironic tragedy, see 12 MONKEYS.RATING: 9 of 10",9,17,25,27 June 1999
L.A. Confidential," Spectacular Cop Drama That Rivals CHINATOWN...
","This stylish, action-filled cop story is maze-like in plot and looks absolutely incredible. Not only is there an Oscar winning performance by Kim Basinger, but a discovery of 2 fine Australian actors, Russell Crowe and Guy Pearce. They seem as American as apple pie on-screen, bringing to life the main protagonists of James Ellroy's novel. The hard-boiled script by director Curtis Hanson and Brian Helgeland brilliantly follows through with the evolution of these seemingly one dimensional characters, both on opposite sides of a police officer's moral code, who find they have a lot more in common than first glimpsed. Sure, its a recollection of film-noir, but it is without a doubt a 90's film. The 1950's are relived with great nostalgia and period set-ups, however, it is not the showcase of the film. Its plot and acting are what is so great.Kevin Spacey headlines the troupe, playing slick Detective Jack Vincennes, a consultant to 'Badge of Honor', a fictional TV show based on Dragnet I guess. There are many nuances to real-life people and events, not the least being Lana Turner in a hilarious scene, or Johnny Stompanato, her mob bodyguard boyfriend who was later shot to death by Turner's own daughter (not in the movie). Spacey is the cop who 'busted Mitchum' which he takes great pride in. Crowe is such a presence as the brutish enforcer who has a soft spot for abused women for a very good reason. This is where Basinger, a Veronica Lake look-alike (and noir film fixture), is able to come across as a hooker with a mind and ambition beyond what she does. It's a good performance, maybe not Oscar-worthy, but noteworthy, nonetheless. Pearce plays the stodgy, son of a cop lieutenant, who along with Crowe, realizes there is more at stake here than a simple murder/robbery.To get into any more plot aspects or characterizations would be ridiculous. Just view the film and see how unique and important it is. This is not your usual police squad period portrait. Most importantly is L.A. CONFIDENTIAL's ending, which consists of a shootout, something that would usually turn movie buffs away. 9 out of 10 cop dramas end this way uneffectively. Here, we see a revelation. A shootout that holds you in a trance and surprises with each blow. It is to climactic shootouts what FRENCH CONNECTION was to car chases. As far as comparison to CHINATOWN, there really is none. This is not to say they do not belong in the same league. They even have the same Musical composer, Jerry Goldsmith, who again utilizes the trumpet to resonate corruption and deception. These are 2 distinctly different visions of Los Angeles cop warfare. CHINATOWN was more of a character study and had more to say on some pretty deep issues. It took place pre-WWII and was a direct homage to the dark noir pix of the 40's and 50's. L.A. CONFIDENTIAL, while deep in substance in its own right, is more action oriented and simpler. Both will always stand as a testament to old-style police melodrama.NOTE: Like CHINATOWN, see it in its 2.35:1 aspect ration, the widest of Widescreen images.RATING: 10 of 10",10,2,3,27 March 1999
