movie_title,title,review,rating,helpful,total,date
Whip It," Usually...
","...movies don't get better as they move along, but here's one that really flowers in the second half. The first half is rickety and blunt. But as these very strong performers (particularly the supporting ones) garner more time on the screen, the more you fall for them.Ellen Page is a little too winsome for my tastes. She's beautiful and brings a persona that's fresh to the screen, but I always feel like her performances are rehearsals and she needs one more take to nail it.But once the second half of the movie arrives (after a party where she connects with a guy), I really fell in love with Ellen Page. The film builds to a choice her character has to make, and while it's a little generous to think a young kid would make the choice she does, it's very heart-warming. Her scene with Marsha Gay Harden sitting in front of a refrigerator is one of the nicer pieces of acting this year. And all of that is boosted by a sensational performance by Daniel Stern as Page's Dad. He epitomizes great screen acting.The roller derby team which Page's character joins is likely the reason most of us bought a ticket to see this movie. It's an eclectic bunch and everyone fulfills what we like to think roller derby mama's might be like (always happy to see Zoe Bell doing ANYTHING on the screen). Unfortunately, Barrymore bit off a little more than she could chew in making the roller derby sequences coherent or exciting, and that drags the movie down. Even the crowd scenes feel hollow, and at least we can still look forward to that great roller derby movie in the future.But Barrymore does make the heart of this movie both touching and fresh. Since it's like a hundred movies we've probably seen, that's quite an accomplishment. We know where the movie is going, and Barrymore keeps steering just slightly off course so we don't anticipate too much. I look forward to a quieter, more intimate film from her, since I think that's where her talents really lie.Just to mention: We get to see a great deal of Juliette Lewis in full roller derby scowl. I couldn't wait for her character to reappear and each time she does, the movie lights up. More, more, more (please).",8,1,6,2 October 2009
Angels & Demons," Decent...well, not decent, but not bad, although....
","This is terribly silly material mounted as though it was a revelation from some high-browed expose of the Catholic Church, I guess. The Church's history is certainly full of colorful, tawdry, lurid stories that really don't need a layer of 'symbolology' veneered over it. There's very tight, well-directed movie making here, but it's all pretty silly when we're supposed to gasp that a statue's arrow is pointing in some direction to another statue that's pointing in another direction, and there's a big jug of anti-matter (science is poorly used here) boiling somewhere about to go off.Tom Hanks needs to write this one off. I think he's a rare talent, but intellectual posturing isn't encompassed in those talents. The rest of the cast (save Ewan McGregor who can't wait to pull out the stops and chew the marble pillars...he does...have patience, he does) is miles above the material, as is the director and everyone else involved.I won't say this is a good popcorn movie (like 'National Treasure' or 'The Mummy' installments which are really its companions) because it has pretensions far above that. Those aren't really made clear, but it's mounted like a million bucks, yet it's only drivel.Ron Brown's books are written like movie scripts. Too bad that Hollywood thought Brown had something serious to say. It's above anything in 'Star Trek'...and in fact there are comparisons. Perhaps Ron Howard should try his turn with the new cast of the Enterprise. That might produce a really fine blockbuster.",5,1,4,19 May 2009
Black Swan," This is pretty grand, Guignol
","Truthfully, if I had to sit through one more preview of the trailer of this film, I thought I was going to scream. Aronofsky is someone I just don't get, and the deluge of publicity for this film as well as all the award nominations made my heart sink that I would have to man-up and buy a ticket to see 'Black Swan.' The big surprise is this is the most coherent film Aronofsky has managed to make. And good for him! I could finally join the legions who applaud him. I was, however, reminded often of two Polanski films: 'Repulsion' and 'Rosemary's Baby.' But I won't begrudge the achievement. This is a rip roaring horror film on tippy toes.The heart of the film belongs to Natalie Portman. Just go ahead and give her all the awards. She's magnificent. But so are her costars, Mila Kunis, Vincent Cassel, Winona Ryder and the incredible Barbara Hershey. But to be honest, I couldn't wait for Mila Kunis to reappear in whatever scene was next, usually precluded with a slamming door; she's absolutely riveting.While the hook here is ballet (and it's all very well accomplished and convincing, which is admirable) this might as well have been a Freddy Krueger film. Quite a few scenes are (were) unwatchable. And the suspense/dread Aronofsky creates earns the price of admission.While I won't say it's the best film of the year, Ms. Portman elevates it to something near that. While it pawns itself off as a study of the stress put on performing artists, it's really just a good scary film. And it's a great job from everyone involved.",10,6,13,19 December 2010
Changeling," A surprising disappointment
","No one involved in this project has anything to prove. The assembling of such talent pretty much assures a positive outcome, yet, there's something missing here, and what's missing is crucial. The director focuses on the surfaces of this story and everything seems glazed and frozen. Particularly, Ms. Jolie who brought such passion to 'A Mighty Heart'; she never convinced me of the desperation a mother must have felt in this situation.But the real fault is in the screenplay by J. Michael Straczynski which has to incorporate some pretty sensational material that the viewer constantly wants to reject. At least 40 minutes of the entire running time of this film incorporates a second story that is absent in the previews. That story belongs in a genre of films like 'Se7en' or 'The Texas Chainsaw Massacre.' While I'm a big fan of horror films, I was unprepared for where this story went. All the facts here are documented by court and police records, yet as presented it's too fantastical to believe. And given the care of the elements in art direction, it's easy for the viewer to remain focused, say, on how carefully Ms. Jolie's elaborate make-up is applied.Eastwood is capable of masterpieces. 'Million Dollar Baby' is a film that any director would have been proud to have his name on. Throughout his career he's been surrounded by the perverse and the extreme, and 'Changeling' seems only an excuse to wallow in the perverse and the extreme.It's too bad, because the material, in the right hands, would have been electrifying. This, however, is only tedious with a few sequences that show promise, then we get the death thoes of someone shoved in our face while Ms. Jolie stands and looks beautiful; and, we wonder what on earth the character must be thinking (and where on earth is the director besides fussing with some period detail).",6,6,16,8 November 2008
Requiem for a Dream," Edith Bunker takes a pill
","In fairness to the filmmaker and anyone who may be reading this, I viewed `Requiem for a Dream' in the same week I saw `Hannibal' and `Pollock.' Afterwards, I hurried over to a local cinema to see the sing-a-long version of `The Sound of Music' in an effort to balance things out, but the box office had posted a sign `SOLD OUT UNTIL END OF RUN. DON'T EVEN ASK!' I guess a lot of other people need a sugar `fix' as well.
When we meet the four central characters in `Requiem for a Dream,' they're already fatally damaged. Their `goals' aren't anything we're rooting for, and as they spiral predictably downward, we encounter very familiar material that's been covered in literature and moviemaking for years: drugs aren't safe (prescription and non), materialism corrupts, spiritual emptiness leads nowhere, diet fads are bad, it's pathetic to watch game shows, capitalism is inherently selfish, aging will leave you lonely, the mental health system is inadequate, always ask who's going to be at the orgy you've agreed to show up for, and rotate veins when you shoot upÂ…. You get the picture. It's not a pretty world out there. All of that is well and good if you have something new and bold to say. But I didn't come away with any new insights. [Well, that's not true. I learned never to let Louise Lasser color my hair or encourage an actor to vomit directly into the lens.]There is something striking about Aronofsky's command of the medium. Using visual and editing styles from music videos with some spectacular performances (Jennifer Connelly in particular) he's created an intense and powerful experience. But so is buying a ticket to have someone hammer a nail into your skull.",5,0,0,25 February 2001
The Hangover," The Unchecked Id
","Zach Galifianakis, Ed Helms and Bradley Cooper fall so perfectly into the circumstances of a night out without the wife/girlfriend—a bachelor party, no less—that we're all happy we're safe in the audience clucking our tongues but secretly envying every single moment (one that includes the ever watchable Heather Graham). These boys fall and fall hard, and trying to pick up the pieces of a night they strangely can't remember brought more laughs than the last time I laughed this consistently (that was 'There's Something About Mary').The cast never forgets that they are actors here and not on an episode of 'Jackass' as Apatow's comedies often feel. There's tight control on the dialog and we never descend into simple slapstick. Oh, there's broad humor, but we're watching terrific actors in very broad situations. The trailer is a perfect sample of what you're going to get, although it may veer into raunch perhaps a little more than the trailer hints. But it's never just sensationalism, because I can—regrettably, I confess—relate to waking up in a room with a chicken and not knowing exactly from whence it came.Galifiankis has the most unique character (well, besides a naked Chinese fellow, but you can discover that one for yourself) and he's wonderful to watch. Not everything he does comes off 100%, but when he scores, it's so far out from our own comfort zone, that when the jaws of the other characters drop, we're right there with them. Rachel Harris deserves special mention as the girlfriend who demonstrates why marriage can be so fearful.This is as tidy a script as 'My Best Friend's Wedding' and just as beautifully shot. The cinematography could be pulled from any of the Las Vegas Chamber of Commerce ads, and it only adds to our confidence that whatever is coming around the next corner, we don't have to worry that it will wreck all that's gone before. The makers of this little gem are as much in control as the characters are out of control, and it was joy to finally get a great farce that we're very sorry to see end. I see that 'Hangover, 2' is in development, and I hope lighting strikes twice.(The standard for wedding singer has been set. Anyone want to top this?)",10,150,293,6 June 2009
Star Trek," If this was a spoof....
","...and a 150,000,000 dollar spoof (!) maybe this could be called entertainment, but it only succeeds in a surface reference to the original cast and leaves the audience waiting for something interesting to happen.Instead, we get one of the least imaginative 'back stories' and an even lamer telling of those stories that have ever been mounted for a major motion picture.The cast is terrific, but they have nothing to do but try to hit a mark that some of the original actors did. Poor Leonard Nimoy is hauled out to mumble something or other about parallel universes which brings confusion to stupidity.The art direction and special effects are above average, but only that. They aren't used to awe or frighten; they're used as filler.Hopefully, someone will use this cast for something closer to what the original series did: Bring something thoughtful and interesting to consider, and have a clever way of telling that story. This wasn't that...by 150,000,000 whatever's...this wasn't that.",6,20,37,10 May 2009
Public Enemies," Hunter and Hunted
","The film's biggest hurdle is to distinguish itself from other genre pieces like 'Bonnie and Clyde,' 'The Untouchables,' even films like 'O, Brother, where art thou?' where some of the same characters that inhabit those films also inhabit 'Public Enemies.' Unfortunately, it fails at that, but there is much to admire.With a pedigree director, a distinguished (beyond belief) cast, and all the time it wants, various set pieces are riveting. Great care has been taken in developing a soundtrack that lets the audience discover what slugs of various weights of lead sound like when passing at high speed through various substances, like air, plaster, brick, stone, tree trunks, motor vehicles, etc. It's spellbinding and the sound crew should find awards at the end of the year.But what's missing most is form in the screenplay. It's not that there are too many characters that we have to sort through, there are too many that we have no idea of who they are or why we're watching them. In the cast, it's Christian Bale as Melvin Purvis who makes the most impression as a man who traditionally is the hero, and has to bring an era of crime—apparently single-handedly—to an end. But his methods are the first herald of modern day criminology, and it's fascinating to see early wiretaps and case development. Billy Crudup gives us a hint at what a full portrait of J. Edgar Hoover might be like (we're overdue for a full bio film on Hoover). And the amazing Marion Cottilard is always a rare and welcome presence, but the role created for her is too trite; nevertheless, she carries just about all the weight in her scenes with Depp.Johnny Depp has never been boring even if he misses the mark. But here he seems not to even be present. There's probably a reason we've never had a film about John Dillinger. While myth abounds, he was a brutal psychopath. The screenplay goes for the myth, and we're left feeling ambivalent about the people he hangs with, the choice of vocation he's made, and many people we see blown to smithereens in the course of the film all to bring him and his raiding to an end. He makes a distinction early in the film that he's not taking a customer's moneyjust the bank's. In today's perilous economic environment, it just doesn't play well.The film is fully scored using some music from the period, but nothing sounds like the period. That's at odds with the detailed art direction which appears both shabby (to reflect the world of the Great Depression) and extravagant in the use of cars and art nouveau architecture from the period.Any schoolboy (or possibly girl) knows the end of this story. So what the film needs to give us is some reason to care when that end comes. But I didn't. The shootout at Little Bohemia Lodge which is a prelude to 'the end' is exciting, but we don't know who the people are running around. 'Is it Dillinger?' Christian Bale asks. I shrugged, and muttered, 'Don't ask me.'",8,5,9,5 July 2009
Us," Great filmmaking...but the need to explain every little thing sinks it
","The quality of the production values and the cast get the highest praise.What begins has the quality of a different kind of horror film like 'Jaws' with vivid color and cinematography and a killer soundtrack plus some of the best actors working today. A disturbing prologue set in 1986 in one of the creepiest places on the planet (the Santa Cruz Boardwalk), we cut to the opening credits with the close-up of a caged rabbit and a gorgeous choral composition by Michael Abels that sets the audience on edge because we don't know where we are or what or why we're looking at it. (And for my money, there needs to be a whole lot more of me asking why, not the director/writer explaining it, taking the mystery and certainly the scare out of whole enterprise.)There's a remarkable affinity by this director to timing and editing that explains his superb use of music throughout the film. It's sensational. But again we don't need to understand the lyrics of 'I Got 5 on It' to enjoy it. And as the story unfolds, the more we're told...well, the more has to be explained. There was little need to have a title card about the 'underground tunnels' networking the U.S. Who cares? I started asking questions like 'So where do you shop for groceries?' or 'What's the bathroom situation?' since 'we're flesh and blood just like you'...well, not really.This is basically 'Night of the Living Dead' with some clever twists, but in Romero's film we're much too involved with survival than wanting explanations. Yet this cast is game and does well at sticking with what they're given to say and do. I finally just stopped listening to the dialog and watched the actors and 'performance art' set up around them. There's a solid sense of the conflict within family units that was the most enjoyable thing for me to watch. But ultimately, I was left unsatisfied and wanting the 'mystery' that is the heart of horror.",8,2,4,25 March 2019
127 Hours," An experience, near death
","The biggest hurdle anyone would face in putting this material on the screen is how to make it cinematic. Danny Boyle takes hold of the static and gives it such visual verve, you might recoil and dismiss it as grandstanding. But considering the alternatives, almost without our noticing, Boyle infuses life and its need to preserve itself to a situation that couldn't be more lifeless: a man's near death pinned under a rock in a dark canyonfor four days.We waste no time in getting to the dilemma, and after a stirring Koyaanisqatsi open credit sequence, we're there pinned down, and the 'action' begins. If you've ever seen any of the real footage Aron Ralston shot when he was actually trapped, it's impressive how Boyle recreates it but takes us inside the mind of a man who rationally looks at this situation and tries to keep hold of that matter-of-factness while slowly losing his mind. It's a superior feat by someone who is becoming one of our greatest directors (rather than simply a stylist), and the work James Franco contributes by transferring Ralston's epiphany and physical ordeal to the screen is equally amazing.Most anyone will know what happens before they see the film. But the emotional catharsis displayed here will surprise even the most cynical viewer.",10,0,2,26 November 2010
