movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Polk Salad Annie
","Too bad I couldn't see this film in the cinema, it's incredible! Damon and Bale have such good chemistry that they make you like the movie more, and all the racing scenes are awesome!You definitely have to see it.",9,1,1,10 January 2020
First Man," Two separate movies in the form of one
","This movie felt like two separate movies, one a family drama and the other how the Apollo 11 became Apollo 11.The first one its good but a lot of tragedy happened to the family lol but it doesn't have a lot to add to the other movie.The other movie shines with the visual effects, are awesome and the score is so fresh. The movie it's cool.",8,1,1,9 January 2020
Catch Me If You Can," Bravo Bravo
","A masterpiece. I haven't read the book but now I will, from the things that I saw from Spielberg this is definitely one of the best ones.DiCaprio, Hanks and Walken are perfect in this movie. I had a lot of fun I will re-watch it again of course!I recommend it to everyone, amazing movie.",10,1,2,10 October 2019
Hereditary," Ari Aster you're a genius.
","After a day of processing this movie, I think it's the best horror movie i've ever watched.In this movie Ari Aster makes clear what a great director he is and what a great movie he can pull with 4 great actors. Toni Collete probably gives the performance of her life, Alex Wolff, Milly Shapiro and Gabriel Byrne are awesome but Collete and Wolff are the ones who really shined in this movie. Toni scared the s**t out of me in this movie and i'm probably going to have nightmares.Ari Aster is a genius and I can't wait to see more of him.",10,2,4,5 January 2020
Casablanca," A bit slow but the third act stole the movie
","Well, I can tell why this is a classic but it isn't a masterpiece, the movie is slow but the idea is very well executed.",8,0,1,15 January 2020
Se7en," Ernest Hemingway once wrote, 'The world is a fine place and worth fighting for.' I agree with the second part.
","What to say about this movie? It's a masterpiece. Period.Se7en is very well crafted, skillfully written (Andrew Kevin Walker) and directed (David Fincher), starring Brad Pitt, Morgan Freeman and Gwyneth Paltrow. This movie is about two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives. The creation of suspense and terror in this movie is amazing, it keeps you with the same information that the detectives have and you keep up the investigation.A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic 'John Doe' sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...It amazingly well constructed with great dialogue between characters and the acting of the 'John Doe' is amazing. The dark construction and design is perfection. The soundtrack also is very good.This movie enters in my top 50 movies of all time for sure. Its worth every second. Bravo",10,0,0,10 November 2019
Fight Club," The first rule of Fight Club is you do not talk about Fight Club.
","Fight Club follows the story of the Narrator (Edward Norton) whose name is never mentioned, he is an employee of a car company who suffers from insomnia. The narrator attends a support group of testicular cancer victims and, after convincing them that he too is suffering from the disease, finds an emotional release that cures his insomnia. He becomes addicted to therapy groups and to the farce of posing as a victim, but the presence of another impostor - Marla Singer (Helena Bonham Carter) - bothers him, so he negotiates with her to avoid meeting at the same meetings.After a flight home on a business trip, he finds his apartment destroyed by an explosion. She calls Tyler Durden (Brad Pitt), a soap salesman she had met on a plane, and they meet in a bar. A conversation about consumerism prompts Tyler to invite the narrator to stay at home. Tyler accepts on the condition that he is beaten. They both engage in a punching fight outside the bar, for the narrator to later move into Tyler's emaciated home. They continue to have more fights outside the bar, which attracts a couple of curious people. The fights pass into the basement of the bar, where a fighting club is formed governed by a set of rules.Fight Club is a black comedy and psychological film that manages to open your eyes to a reality that many ignore after paying attention to the material instead of living their lives. The satire about consumerism goes hand in hand with a dark comedy, touches of drama and suspense about who Tyler Durden is and to what end he does what he has to do. This almost unique piece shows us the wild and anarchist life of a group of 'knights' who don't want to die without scars. It is not an example to follow, nor is it to initiate chaos or to be masters of disorder... Just don't forget The First Rule.",9,0,0,7 October 2019
Memento," Remember
","Wow, Christopher Nolan is truly a genius. Probably one of the best original movies ever made, the screenplay and directing from Christopher Nolan is incredible and he deserved more recognition.This is a rare film because it's going backwards while the black and white scenes go in chronological order and that is a smart move and not an easy one. You need to see this film before you die.Now, where was i?",10,2,3,11 January 2020
Inglourious Basterds," One of the best from Quentin Tarantino
","Inglourious Basterds is one of my favourite movies of all time and i'll tell you why.Inglourious Basterds is a 2009 movie by Quentin Tarantino set in 1941 when the Nazis occupied France. In the first chapter Colonel Hans Landa (Christoph Waltz) is introduced. Landa is the main antagonist of the film and in the first chapter he is looking for the Dreyfus family in France, however, Landa finds them but Shosanna Dreyfus is the only survivor.One of the first things you notice about the film is the great acting, amazing ambience of France during the WWII, Ennio Morricone's music is extraordinary and the writing and directing of Quentin Tarantino is still spectacular. The 2 hours and 30 minutes of film are worth it.My only problem with the film is the ending of Hans Landa but apart from that the movie is incredible.I think every award that the movie won is totally deserved and I would recommend it to everyone who likes war or dark comedy dramas. It's certainly one of the best movies from the writer and director Quentin Tarantino without doubts.",10,0,4,17 September 2019
Shaun of the Dead," Hilarious but a little bit overrated
","'Shaun of the Dead' a really funny movie but not everything, some of the jokes were a bit forced. Anyways, Simon and Nick have a great chemistry and is what makes this movie great. Edwar Wright first 'masterpiece'...?",8,0,1,14 January 2020
Knives Out," Had a fun time
","Wow, this movies is awesome. It feels like a tribute to Agatha Christhie.The cast is masterclass, the script and performances are hilarious and is very well directed. Had a fun time at the cinema and my dad loved it!.",10,0,4,5 January 2020
The Irishman," The king is back
","Scorsese is back one more time for a bit of the old ultraviolence. I gotta say i was worried because the movie is 3h30m long but is worth it if you're a fan. The movie is slow and has to collect every piece of information for the last final hour. The soundtrack is amazing and the thing that shines the most in this movie is how superbly acted is the movie. De Niro, Pesci and Al Pacino together are great, along with Keitel,Cannavale, Plemons, Paquin, etc. Everyone is great and the de-age effects are EXCELLENT, you get confused if you're seeing the real actor or the de-aged version.If you're a fan of Scorsese you will love the movie, get comfy and enjoy it because it's one of the best pictures of the year.",10,2,5,15 December 2019
The Prestige," Masterpiece
","What a masterpiece of cinema, of Christopher Nolan's best films.The performances, cinematography, direction, and script in this film are some of the best I have seen in 21st century cinema.10/10",10,4,6,17 September 2019
Ready Player One," Had fun! Sorry nerds
","I don't know why so much people don't like this movie.. i know they skiped a lot from the book but it's a fun movie with a lot of pop culture references! Just have fun!Its hilarious to read all the one or two star review because they are all people who are obsessed with the book, well sorry not sorry but this movie is incredible.The vfx are stunning and what I didn't like about the movie is that end to early!Now i'm going to read the book, definitely.",8,0,0,5 January 2020
Molly's Game," Jessica Chastain kills it.
","This movie is amazing, one of the best from 2017. Jessica Chastain was perfect for the role. Aaron Sorkin nails it again with amazing script and directing. Loved the soundtrack and of course all the stars.",10,3,5,8 October 2019
Shutter Island," On the nature of daylight
","What to say about 'Shutter Island'?This movie is spectacular, Scorsese and DiCaprio are spectacular together and this movie proves it. Leonardo's performance is incredible, at a top level. The directing and visual effects are stunning. I loved this movie and there's a unexpected plot twist at the end. What really shines in this movie are the acting, production design, visual effects and soundtrack.AMAZING.",10,0,1,13 December 2019
Star Wars: Episode IX - The Rise of Skywalker," GO WATCH IT! IT'S WORTH IT.
","I just got back from the cinema where I saw a Star Wars marathon, the Skywalker trilogy. I have to say that I didn't have low or high expectations, I saw a mix of reviews (more positive than negative but not relevant); and the truth is that it is one of the best films I saw in 2019. The special effects, sound mixing, sound editing, and the score are what shine most in the movie!, the cinematography and production design were also spectacular. I saw a mix of Harry Potter and a little Endgame but executed brilliantly. Adam Driver and Daisy Ridley are some of the best in cinema today and their performances are brilliant. Carrie Fisher (RIP) and other cameos did well too.What I can't understand is because there are so many disappointed fans (and some without seeing the movie), it's a good end to this stage and the Skywalker trilogy. Highly recommended for everyone and I recommend seeing it in 3D, it's worth it!",9,31,71,19 December 2019
The Godfather: Part II," One of the greatest films ever made.
","To say that this film is a sequel is a sin.
Al Pacino and Robert de Niro win the Oscar for this film, Robert de Niro's performance as Vito Corleone is perfect, every scene in which this one is perfect. Al Pacino as always perfect and unlike the first film, he is much better.PROS:EVERYTHING. The script, the direction, the cast, the performance, everything in this film is perfect and its 3 hours are worth it.CONS:NOTHING. This movie is perfect.",10,4,4,6 October 2019
The Shining," saw it in 35mm
","WENDY, HONEY... LIGHT OF MY LIFE.What a *mastapiece*Jack, Shelley, and Danny, the three of them stole the movie. Just amazing. Go watch it.",10,2,2,9 January 2020
