movie_title,title,review,rating,helpful,total,date
The Devil's Advocate," Great movie!!!
","The quality of this movie came as a big surprise to me.  I thought this would just be another attempt for Keanu Reeves to try and make a good movie, but I was wrong.  The suspense was great, if a bit cheesy at times.  Pacino gave an awesome performance, as usual.  Also great performances from the supporting cast(you'll recognize a lot of well known faces).  This was definately one of the better horror/thriller movies of the 90's.  The film is definately not for all tastes, but horror lovers will eat it up. **** out of *****.",Null,2,2,11 March 2003
Requiem for a Dream," Very disturbing and a somewhat overrated, but still worth a look if you have the stomach for it
","I was expecting this film to be a little bit better, considering its rated like #25 in the 250, but all it really was is a bunch of repeated disturbing images that take front seat to the interesting storyline.  Ellen Burstyn plays an elderly Brooklyn woman who becomes addicted to diet pills, and fantasizes her own dream world, at the same time her distant son(Jared Leto) is having his own drug problems.  The repeated visuals are very weird and are bound to stay in your memory for a long time.  The only real reason to see this film is to see a really weird, and somewhat visually fascinating film.  I cant give it any more than a 6/10.",6,1,2,16 September 2003
50 First Dates," Not a great Adam Sandler movie, but still watchable and entertaining
","After a string of truly poor comedies(Little Nicky, Mr. Deeds, and Anger Management), Adam Sandler somewhat gets back on his feet with this silly, but good natured comedy. Sandler plays sea animal veterinarian living in Hawaii who enjoys having several short flings with tourists. He spots an attractive Drew Barrymore in a diner one morning and strikes up a romance with her. He goes back again to meet her the next morning, but she has no idea who he is. He realizes that her short term memory gets erases every night and she starts out with a clean slate every morning. He figures that she is worth his time, so he tries to go back to the diner every morning and win her over again and again. The story consists of one running joke that quickly runs thin, but there are still enough funny/touching moments to make it worthwhile. Dan Aykroyd has a fun cameo as Barrymore's doctor and Sean Astin is a hoot as her brother. 6/10.",6,1,2,24 May 2005
Friday Night Lights," Terrific Sports Drama
","This is one of the few thoroughly well made sports dramas. Billy Bob Thornton gives one of his best performances as the small town high school football coach that is determined to see his team succeed. We get to see all of the disappointments and mishaps that are involved with sports as well as all of the tension and heartache that occurs behind the scenes. The aspect that I admired most about this film was that it didn't rely on happy endings and romance to win the audience over. It is a realistic film that tells its story like it is, without any gimmicks or fancy tricks. Tim McGraw was terrific as one of the players' abrasive and abusive fathers. This is a film that tells it like it is. ***1/2 out of ****.",9,0,2,6 July 2005
The Big Lebowski," Hugely Enjoyable
","I have wanted to see this movie for a long time now, but I was a little leary, because the two other Coen movies I saw(The Hudsucker Proxy and Miller's Crossing) kinda sucked, but this film is a huge improvement over them.  Although the plot is rather messy, the film is very funny and charming, I loved Jeff Bridges' character 'The Dude'.  Since then I have seen 'Fargo', 'Blood Simple' , and 'Raising Arizona', the only dissapointment of them was 'Blood Simple'.  Some people will find this movie way too strange and stupid, but others will love it.  I'll give it a 7.5 out of 10.",Null,0,1,3 April 2003
Fight Club," Yuck!!
","Wow, what boring, repulsive and overrated movie.  I have always kind of avoided this film because the whole idea sounded kinda stupid, but not only was it stupid, it was gross and disturbing, I mean the whole seen with the human fat, just plain disgusting.  Dont even get me started on the ridiculus plot.  I hated the other Fincher film 'The Game' even worse than this one though, I hope 'Se7en' is a giant step above these two movies.   Overall I think this was the most overrated film of the decade. *1/2 out of ****",Null,1,2,22 February 2003
As Good as It Gets," One of the best films I have ever seen
","From the first time I saw this movie I loved it. The story is so great, and I could really relate to the characters.  Jack Nicholson was hilarious as the man with OCD, Helen Hunt was great, and so was Greg Kinnear.  This is a simply wonderful movie that everyone should see.  This movie was directed by James L. Brooks, and if you havent already, you should see some of his other work(Terms Of Endearment,Broadcast News), because they have simalar tones, and they both have Jack Nicholson in a supporting role.",Null,0,1,28 July 2002
The English Patient," Not good enough
","When a movie recieves best picture at the academy awards, I expect a great film, this was not, as a matter of fact, I have a hard time saying that its good.  What it is, is a wandering, poorly paced melodrama about shallow characters.  There are a few breathtaking moments scattered throughout this overblown picture, but not nearly enough to make up for its weaknesses.  I feel bad that Willem Dafoe(usually a very un-hollywood-like actor) took part in this overblown picture.  This film should not have even been nominated for best picture, let alone win it.  My Best Picture of 96: Fargo.  Overall this is not worthy of the hype.  5 out of 10, to be generous.",4,5,11,12 June 2003
The Fifth Element," Visually stunning, but lacking in everything else
","I could never understand the appeal for this film, it was has a much higher rating than 'Independance Day', the big action/sci-fi hit from the summer before, which I, and most other critcs agree, is a better film.  The plot of this movie is absolutely mind numbing, aliens are ready to destroy earth, and Bruce Willis and his gang go to destroy them.  Throw in a few real oddball characters to make it even weirder, and a whole load of futuristic images, and you have 'The Fifth Element'.  Don't get me wrong, its fun, but never take it seriously, or expect anything great, because its not.  So just sit back and be prepared for something real weird and incoherent.  My user rating: 6.1/10, mostly for the futuristic stuff.",6,1,2,23 August 2003
A Bridge Too Far," Decent war flick
","I know that quite a bit of work and money went into this film, and unfortunately it fizzled at the box office and lost quite a bit of money. It's not a bad film, mostly due to the excitement of seeing all of those familiar faces.  A lot of the action scenes drag, but the enthusiasum of the characters make up for that.  I have a feeling that making this film was a lot like trying to gain control of those bridges, a difficult gamble. Overrall I dont regret watching it.  If you decide to watch it, dont expect anything excellent, but you may enjoy it.  6.5 out of 10.",7,1,2,8 April 2003
