movie_title,title,review,rating,helpful,total,date
The Devil's Advocate," Carrying bricks
","* * ½ (2½ out of 5)The Devil's AdvocateDirected by: Taylor Hackford, 1997
`Guilt is like carrying a f**kin bag of bricks. Put it down.' - Al Pacino, as the devil.
Spiritual and gothic thriller that amidst blinding performances still suffers from familiarity. The apparatus of the script is weak, so the viewer is constantly one step ahead of the main character of Kevin Lomax (Keanu Reeves), and his dance with the devil. 
Charlize Theron is wonderfully headstrong and focused as Lomax's wife, while Connie Nielsen is sexy, sophisticated and breezy as the office vamp. Of course, the agenda in The Devil's Advocate is clearly Al Pacino. By getting him to play the devil, the moviemakers were halfway home already.
Pacino was made for the role and he knows it. He's all over the place. With him, it's always a pleasure. He's cocky, provocative and dangerously seductive. The dialogue is chewable, and Pacino relishes in it, his eyes widening and his cheeky smiles going ear to ear. 
The moral reasoning is even reflective and The Devil's Advocate is also at times an entertaining subversive comedy, but this mix of Rosemary's Baby and The Firm sorely lacks any real sense of surprise.",Null,0,0,27 May 2000
The Blair Witch Project," Hype backlash bigtime
","* * ½ (2½ out of 5)
The Blair Witch ProjectDirected By : Daniel Myrick, Eduardo Sanchez (II), 1999Hype backlash bigtime
Tremendously over-hyped horror hit (grossed over $130 million in US) that collapses under it's own weight regardless.Three kids, two cameras (a handheld and a 16mm) and an investigation into the cold, rainy woods of Washington searching for witches and superstition make out The Blair Witch Project. The `documentary' is presented throughout as a true story and was even preceded by much internet and word-of-mouth hype as to whether or not it was a true story. Of course it is only a movie.
Very repetitive (day, night, day, night) and be advised to leave most of your logic at home (No mobile phone? One compass only? One map only? No clue as to sun-reading at all?). Thank you.However; the premise was intriguing. The back-to-basics approach of filmmaking, the superb acting (mostly ad-libbed) and the desolate scenery make for an interesting experience. The intimacy and anxiety is enhanced by the great performances of Heather Donahue, Michael Williams and Joshua Leonard. It would have been interesting to observe (or be) one of the few who viewed this just when it was taking off, because frankly I wasn't convinced at all.
Nevertheless, viewing Blair Witch in a packed cinema a few days after opening night, where 90% of the crowd consisted of teenagers, I made an interesting observation. The last horror film that most of these kids saw was probably in the vein of  'I Know What Jason and Freddie Did Last Spring'. So naturally, they wanted gore! Or did they? Some made remarks during the movie ('Is this it?' 'When does it start?' 'Alright with all that name calling!').? Maybe they had just heard that this was the movie that had fooled everyone across the sea and that it was genuinely scary and tested new ground. If that is the approach, then be prepared to be hugely disappointed. Sure, I was annoyed at these spoiled and  'illiterate' (pun intended) MTV-generation youths, that had apparently been feeding on junk-and-dollar horror for too long. At the same time  however - their reaction is somewhat understandable. The hoax was part of the package. Kind of like de-masking Jason.  State of the art special effects may show him to be ugly as nothing you've ever seen, but he looked so much more frightening with his hockey mask on. He was MUCH more terrifying when shrouded in mystery. This is the trick and trap that Blair Witch reminds us of, and ultimately falls for itself. Kapow. The Blair Witch Project is a small movie celebrating it's own originality and thereby to an extent forgetting the initial task. Which is to scare! Yet it is somewhat charming and most importantly solid proof of how spoiled and unimaginative many have become when watching horror.
Note : The last ten minutes should keep you on needles though. And the ending is brilliant.",Null,0,0,6 December 1999
Alien 3," Been there, done that
","* * (2 out of 5)Alien3Directed by : David Fincher, 1992
If you liked Aliens, it is probably best you don't see Alien3. It, for some reason, turns the triumph of Aliens and the conclusion herein into a depression deeper than the vastness of a hundred black holes.First off, the characters of Hicks, Newt and Bishop - who went through such a terrible ordeal in Aliens - are mysteriously dead as this one opens and obviously not due to anything terribly story related. Other than that, director Fincher (of former MTV fame) dishes up a stylized alien universe and his camera style  more close-ups and more zoom shots  is easily different from both Ridley Scott (Alien) and James Cameron (Aliens). Where Fincher is an original artiste this also quickly becomes annoying when any real suspense is missing (there is a lone alien running around again), the story is a no-story and when no characters (other than Ripley) are even vaguely interesting. Ellen Ripley is joined by one, big, faceless mob.Alien3 has moments; yet everything ultimately seems like a huge deja-vu. Charles Dance and Sigourney Weaver even share some interesting chemistry (that should have been further built on) - that too fizzles.
Weaver co-produced this time, she also shaved her head (literally) and if nothing else Alien3 has a magnificent scene where Ripley - at last - comes face to face with an alien. We are talking inches.Note : The ending was one move that Warner wish they had never done. See Alien : Resurrection.",Null,499,547,6 February 2000
Raiders of the Lost Ark," Can't beat Indy Jones
","* * * * * (5 out of 5)
Raiders Of The Lost Ark
Directed by: Steven Spielberg, 1981
George Lucas wrote and Steven Spielberg directed. There you go.
Raiders is a groundbreaking, exhilarating and rugged action-adventure, that literally set a new standard at the time, while it also payed homage to the old time swashbuckling Hollywood movies in grand style.
Filled with wit throughout, a great story, some unbelievable and awe-inspiring stunt work, a wonderful and inspired cast lead by Harrison Ford, Karen Allen and Paul Freeman, and Raiders is as good as it can possibly get. From camera work to dialogue, from backdrop use to editing, from coloring to effects, this is truly inspired entertainment.
Ford totally embodies the role of Indiana Jones with his charming never-say-die attitude, bull-whip and omnipresent fedora hat (he did most of the stunt work himself too), and it is important to state that the movie would have suffered immensely had Ford not been chosen (Tom Selleck was originally cast).
Also; check out the fluidity and ease with which Spielberg directs. Amazing.
This is how you do it. If nothing else how about that musical (John Williams as always) score? You will know it when you hear it. Trust me.",Null,0,0,27 May 2000
Fight Club," Knockout
","* * * * (4 out of 5)
Fight Club
Directed by: David Fincher, 1999
A surprising, glamorized and visceral pop-culture feast by David Fincher (Alien3, Se7en, The Game) based on the writings of Chuck Palahniuk. Alternative only in style (Fincher all the way), Fight Club is really just another coming-of-age movie along the lines of American Beauty (1999).
While it's sensibilities are none too deep there's still plenty too get excited about. Both Brad Pitt and Edward Norton deliver some pounding performances and Helen Bonham Carter is a slick cartoon slut come to life. Fincher's visual style leaves you pinned in your seat - he simply rubs you raw -  and Fight Club screams for repeat viewing to catch the subtleties and re-experience the plot twists.The funny - and true - thing about Fight Club is that it actually works and comes full circle against impossible odds.Criticized for almost everything when it was released; the whiny and infantile philosophizing (courtesy of the narrator and the machine-gun pep-talks by Pitt), the hefty blood n' guts routines of the bare-knuckle brawls, the general gung-ho testosterone filled outlook on life and the fact that it offers no answers to the muddled ideology it preaches, Fight Club got as much of a rough beating in the press as it served up itself.
But the issues in Fight Club - primarily the sheer desperation of the shuttering male angst - can never be deemed vacuous because they are genuine signs of our times and to depict them this colorfully and with this much energy, anger and invention is frankly entertaining as hell.",Null,0,1,21 September 2001
As Good as It Gets," Attitude to spare
","* * * ½ (3½ out of 5)
As Good As It Gets
Directed by: Albert Brooks, 1998
A contrived feel-good vehicle obtains a life of its own by way of some outstanding performances. Helen Hunt is touching, tough and obscenely huggable as the down-and-out New York waitress who gets a helping hand from a seriously disturbed and obsessive-compulsive regular customer (Jack Nicholsen). Hollywood's favorite freak, Nicholsen, is on a delightful eyebrow-arching rampage in this standard romantic comedy by Albert Brooks (Terms of Endearment, Broadcast News). His performance may well be his best to date. The movie is not. Lacking both depth and needed working class feel, its low points are when Brooks lets the sappiness take control (Harold Ramis as a cartoonish Dr. Feelgood).
However: As Good As It Gets wants you to believe that there's an innocent charm to life, and by staying slow-burning conservative and soberly delivering the goods, this is actually achieved. Amusing and sweet fun.",Null,0,0,27 May 2000
Alien: Resurrection," No more please
","* (1 out of 5)Alien ResurrectionDirected by : Jean-Pierre Jeunet, 1997Clumsy, dumb and sputtering sequel has Ripley running around another spaceship, fighting another batch of aliens with help from another group of space pirates and grunts.            In hoping to re-energize the `franchise', Frenchman Jeunet takes a turn as director. The alien universe seemed a nice match for him (remember his City Of Lost Children) on paper Â– and like Alien3, Sigourney Weaver had a consulting say on this one too - but the movie is ample proof of how wrong theory can sometimes be.Jeunet is certainly no Cameron and we get drowned in over-achieving visuals on top of a stupefied story (Ripley is cloned some 200 years after her death. Get the picture?). And yes, that's Winona Ryder as the android. The last 20 minutes may actually have Alien fans going suicidal. It's that bad.",Null,1,2,6 February 2000
The 13th Warrior," Inconclusive journey to Valhalla
","* * (2 out of 5)   The 13th Warrior
Directed by: John McTiernan
Intriguing but fragmented and limp adventure tale that suffers from post-production re-shoots and incoherent editing. A mixture of sword and sorcery (Conan, Excalibur) yet appealingly featuring  the same monumental, raw and ragged surge also present in Jean-Jacques Annaud's classic Quest for Fire. Based on Michael Crichton's 1976 novel Eaters of the Dead (from the Scandinavian tale of Beowulf). Thirteen Viking warriors set off to fight a rival tribe in 1000 AD northern Europe, only to encounter remnants of a vicious Neanderthal clan. 
Director McTiernan and writer Crichton disagreed on the final cut and it shows. There's a misplaced romantic opening (featuring Omar Shariff) and a disappointing rushed ending. 
Other than that, there's quite a lot to get excited about; McTiernan infuses a nice, honest and unself-conscious atmosphere and he makes his characters believable with just the bare essentials of dialogue. Audacious performances by most of the cast. Great sets and scenery, dark and fascinating   battle scenes and astonishing outdoor cinematography (shot in British Columbia, Canada). 
However, the make-up department should maybe have taken it easy. Why have the rugged warriors all got unblemished faces and why is Antonio Banderas wearing mascara? Not forgetting to mention the preposterous way that Banderas' Arab character learns to speak the indefinable language of the Scandinavian Vikings.",Null,0,0,30 August 2000
Rocky V," Memory Lane
","* (1 out of 5) Rocky VDirected by : John G. Avildsen, 1990By bringing back the original director and returning to the same streets of Philadelphia as in the original Rocky, this is a shout out for just an ounce of credibility (which went completely out the window in the previous, Rocky IV). Unfortunately a stupid, stupid story (Rocky is poor all of a sudden and due to a scam by Paulie?) only backfires as the actors sleepwalk through this one. Talia Shire seems drugged.Watching Stallone put on his old black leatherjacket, hat and bouncing ball and cop his very own old accent is sad. One remembers how honest, rewarding and snappy the original Rocky was. The ending was altered after lackluster response from test audience (the script called for Rocky`s death in the final street fight). So we get another shout out to Ay-dri-aaan by a beat up Balboa. Wuptidoo.",Null,0,2,6 February 2000
"South Park: Bigger, Longer & Uncut"," Bigger, Longer, Uncut and it actually works
","* * * ½ (3½ out of 5)
South Park : Bigger, Longer and Uncut
Directed by : Trey Parker, 1999The essence of Trey Parker's South Park - the television show - is crude and foul-mouthed social commentary dressed up as an ugly drawn (low-tech paper animation) cartoon, that on a good day can be as politically sharp and relevant as it can be magnificent fun.
The show chronicles the lives and adventures of third graders Kyle, Stan, Cartman and Kenny, as they endure down the path of life towards adulthood in the small, hick town of South Park somewhere in desolate Colorado.
Obviously influenced not only by such raunchy and classic adult animation as Fritz The Cat (1972), but by more recent 90s favorites  the dead-on teenage angst and dimwitted humor of Beavis and Butthead, the charming and intelligent social satire of The Simpsons, and the subtle, white-trash, rural middle America characterizations as depicted in King Of The Hill - South Park has nevertheless clearly distinguished itself in both tone and style if not subject matter.
How? By being twice as rude, offensive, obnoxious, absurd and calculated as anything ever before.
This formula works because South Park - however repetitive it may seem with a constant cavalcade of filth, wall-to-wall-cursing and depraved acts - relentlessly keeps the punches coming and has both heart and grit enough to do so, thus ensuring that the only safe bet is that the character of Kenny will get killed sooner or later (no spoiler, a trademark). `No one here gets out alive´ seems to be the message. If Jim Morrison was alive today he would be a fan.
Amazingly, the movie too wins you over because of this general element of surprise and flow in the verbal attack, and 'Bigger, Longer and Uncut' is actually a very descriptive subtitle to the full-length movie (it runs 80 minutes). It is exactly that.
However, Parker has also built this pro-longed edition more in the veins of a musical than a regular episode thereby making everything seem very fresh and initially different. Fans may be annoyed at the many musical moments (some are more entertaining than others) but it makes for a nice pacing and an appropriate abrasive feel (as South Park should be).
The good song and dance routines are superbly written and robustly crafted in the best of musical traditions. I will be the first to admit that they had me singing along more than once. Blatantly humming something like: 'Shut your f**king face, uncle f**ker' - as the four kids do after having seen their heroes Terrance and Phillip's R-rated film, 'Asses On Fire' - whilst laughing my head off and tears rolling down my cheek, is not how I would like to be remembered. Yet it happened to me. You have to hand it to Trey Parker: South Park can be genuinely addictive.
That is because there is a much needed moral behind all the adolescent obscenity. The moral being not only anarchistic, but both intelligent and reflective. Creators Trey Parker and Matt Stone slam censorship and intolerance, and make a hard case against the lack of parental guidance - in general, not only at the movies. Kids nowadays in America are not necessarily victims of any sleazy outside influence or a decaying society, but namely of a lack of communication with their parents. An issue that can not get enough of a forward push in the United States today.
On the downside; some parts of the movie work better than others. For instance, I never took to the Saddam Hussein and Satan relationship. It carries on too long and is unfortunately at center throughout. There is also mock genitalia shown simply to shock - and that is beneath even South Park.On the upside however, other vulgarities, like the ethnic stereotyping - a tireless joke in the world of South Park - takes on a whole new meaning towards the end of this movie (Q: Chef: 'Ain't you heard of the emancipation proclamation?' A: Army General: 'I don't listen to hip-hop'). The movie nakedly addresses cultural and racial misunderstandings, minority bashing and human shallowness in a both hilarious and sinister fashion without tooting any specific horn. Brilliant.
The experience of viewing South Park : Bigger, Longer and Uncut rests primarily on the unknown factor (as much as it is also jam-packed with inside jokes which may seem unfamiliar to many non-Americans), so I will not reveal anything more. If you can stomach the extreme vulgarity that resides in the small mountain town of South Park, Colorado, and want to be wooed by some wry and open-minded wit, then you are surely in for a joyride.
Summing up the warped but wonderful humor of South Park is best done by quoting a news reporter as heard in the movie itself :[Covering a bloody war] : 'It doesn't matter if it's loaded with violence, as long as there's no foul language, then the MPAA says it's safe for children.'",Null,0,0,12 February 2000
