movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Ford vs Ferrari is a gem of movie.
","I really, really liked 'Ford v Ferrari.' I'm not a car nor racing enthusiast, but my god does the movie make me want to be one. There's a lot of precision and heart put into this, and Christian Bale nails the role of Ken Miles as perfect as a smooth drift. Yes, it's a long one, but the runtime complements its storytelling.It has the best car sequences I've ever seen in any movie, and one that employs a mixture of stress and exhilaration. The cinematography is used as a tool and not just an aesthetic what with its well-calculated sequences especially during the race scenes.'Ford v Ferrari' also features the best sound design and score that I've heard in a long time since 'The Social Network.' Every minute is carefully paired along with its corresponding music, making it look and feel a little more expressive and resonant.It's such an awesome experience sitting through 'Ford v Ferrari,' something I'd like to relive again and again.I'm not a car guy, i don't understand the engineering of race cars, or anything like that, but this movie might change that. Loved it....",9,1,2,30 December 2019
"The Adventures of Priscilla, Queen of the Desert"," Watch & Listen
","Loved everything!! The characters, the story, the cinematography and dance numbers!! The costume design is gorgeous and I believed every character. You really don't want the film to end, that's how enjoyable it is to watch these characters together.",9,0,0,26 March 2020
Changeling," 'Yours is a story with a happy ending, Ms. Collins. People love happy endings.'
","I liked it slightly less on this rewatch. Not because it's long or because there's too much/not much going on. It's because there are certain moments where the film is catering to the audience, making the viewers feel outraged when the main character is wronged or content when something goes the way it should. Not that it's a big issue but this subjective approach becomes a little too intruding at times. Maybe the script is too self-indulgent or maybe that's just Eastwood being Eastwood and over-directing. Talking about Eastwood being Eastwood, his score for this movie is quite galling, that same piano piece playing throughout the movie to the point of suffocation.Nevertheless, Changeling is a magnificently crafted film, with pristine cinematography and marvelous production design, giving palpable life to a world set in Los Angeles in the first half of the twentieth century. The acting is good across the board, with stand outs Angelina Jolie as a mother fighting to find her missing child and Michael Kelly as a detective who works on the case. Based on true events, the story is interesting and intense, touching on many aspects of the life back in the day in LA, like gender inequality, political abuse and police corruption. Great movie.43 likes",8,1,3,28 March 2020
The Perks of Being a Wallflower," Just Like.... Amazing.. That's All..
","Ah yes this movie about privileged rich kids dealing with their meaningless shallow problems like the lingering trauma of childhhood sexual abuse, dealing with grief over your best friend's suicide, being openly gay and receiving brutal homophobia and dismissal from the man you love, being cheated on and abandoned in relationships and dealing with depression and crippling social anxieties by making connections and bonding with people, to find some form of solace and beauty in a world filled with such deep pain. this movie was the first time i ever saw someone that felt like me, and it's still one of the only ones. this movie has helped me through initial doubts over my diagnosis, over depressive periods throughout my entire life, through my intense self hatred and physically violent lapses. it has existed with me and grown with me and now as i approach the end of my adolescent self, i look back and imagine charlie and dream for him a world where his traumas healed and everything became okay. makes me believe that mine will too.",9,0,0,27 December 2019
Gravity," So Great?
","Yes. Yet another five star rating for Gravity. Before I go on, the five stars are for the experience. I don't know how you rate films, but my rating is for a great deal based on the fact that I just walked out of the theatre having seen something I have never seen before. Gravity is Jurassic Park's dinosaurs. It is a technological marvel urged on by a director who is intent on discovering how far he can stretch the medium. Many have said it and I have to agree. This was made for IMAX and probably shouldn't be seen any other way.What makes Gravity so great? It is the totality of the immersive experience, the relentless ruthlessness of the script towards its characters and the fact that the pacing is immaculate.The way Cuaron shoots his film, with his familiar fluid camerawork, creates the tether to the main characters. It's up close and personal. After the absolutely stunning opening sequence is over, we never really leave Bullock and co. We hover with them, sometimes even allowing access to their suit and experience everything through their eyes. This narrow focus is utilized optimally to create the unbelievable tension. Cuaron's choreography of the action is amazing in these scenes. Never losing sight of what is going on and genuinely taking you by surprise at points. In what is essentially a disaster thriller, immersion like this is a prerequisite for a connection with the audience. And boy did it connect with me. There were scenes that had me gasping for air, scenes that made me feel claustrophobic and scenes that had me shifting in my seat, urging our heroine on. The coldness of space is apparently one of the scariest movie villains imaginable.The fact that the very lean plot keeps bombarding the characters with problem after problem means that there are very few moments to come up for air. These days films apparently have to run for at least 2 hours, especially the bigger films. Gravity takes 90 minutes, the perfect length for a movie. It is stripped of practically everything, we get the smallest of backstories about the characters and the plot goes from A to B like it should, leaving behind only the intent of the film. To grab you by your throat and take you on a ride you'll never forget. All in the guise of an extremely realistic thriller set in space.Cuaron does seem to want to give us some pinpricks of an underlying theme running through Bullock's character arc. Cuaron literally allows her to be reborn. There is, what is perhaps the most beautiful scene of the film, a shot where she floats like an embryo. The crying of a baby, Buddha smiling down on her and of course the final scene, all show a rebirth of Bullock's character. Some might feel this change to be a bit heavy handed, I absolutely loved it. It works, mainly because of a very understated performance by Bullock. I normally don't care much for her, but she was excellent here, especially in the quieter, more intimate moments.Gravity manages to appeal to a primal fear. The fear of the absolute nothingness. The coldness of the grave, here in the shape of the final frontier. It is a constant threat, a constant presence. And the main reasons for it working the way it does are the dedication to realism and the sublime cinematography. The latter is where the main innovation seems to lie. The line between what is actually shot and what is digitally created is completely blurred here. Everything jumps off the screen with resounding beauty and clarity. It is awe inspiringly gorgeous. I am fully aware I am gushing out a ludicrous amount of praise now, but the beauty of what they have created here left me gaping at the screen and that just doesn't happen often.Gravity is a small step for a film, but a giant leap for cinema.",9,2,3,17 November 2019
Citizen Kane," This is Cinema
","The fact that this film continues to inspire and demonstrate the craftsmanship that can go into film is extraordinary. Orson Wells delivers a tale of an epic individual who lives a life of many regrets. Through revolutionary techniques from extremely well thought out shots, incredible detail in scenery, and the use of light, are but a couple of examples of how Wells is able to orchestrate this masterpiece. The score is incredibly powerful and the overall morales the story teaches to this day have been cherished from generation to generation. Citizen Kane is without a doubt, a masterpiece in itself.",9,1,2,23 March 2020
The Rookie," John Lee Hancock.. again..
","Disney does like a good old fashioned sports story with a human interest angle. I'm a huge fan of Baseball and Baseball films in general, so even though this is Disney and likely to be a sugar-sweet family friendly film devoid of any real conflict and turmoil , I decided to give this one a punt.
I'd be a liar if I said I had even heard of Jim Morris, the unlikely hero of this true story about a Baseball pitcher who makes his Major League debut at the age of 35. It's the stuff of dreams, and with Dennis Quaid giving a decent account of himself as the humble but tenacious High School teacher who follows his dream after a pact with his pupils, this is actually quite inspiring. Quaid looks the part too. Yes I'm sure there were some special effects used, certainly in the sound department, but he threw well and was fairly convincing. His debut at Arlington against the Texas Rangers did make my heart flutter a little, but hey, this is Disney. Aside from Quaid and Rachel Griffiths who played his wife, there's only a small cameo from Brian Cox of any note in an otherwise cast of nobodies.
Jim Morris apparently had two years as a reliever with the Tampa Bay Devil Rays although according to his stats he never really altered the outcome of any of his games with a record of 0-0. In a day when sportsmen are getting older and carrying on for longer, maybe Morris's story won't be a one-off much longer and that day when I stride out at Fenway to pitch against the Yankees becomes a reality.",6,0,0,12 March 2020
Knives Out," wait for the Benoit Blanc cinematic universe.
","The rollercoaster that this film is keeps my eyes opened from start to finish. The combination of wit, sarcasm, and playful allegories in this comes in just the right amount, sufficient but not enough to overshadow the thrilling whodunnit the film is supposed to be. I had a great time laughing at Daniel Craig's accent and even better at the rich white liberals proving that they only uphold liberalism ideas when it fits their agenda and their self-entitlement. Not to mention Toni Collette's character is everything and you can't imagine how refreshing it is to see ChrisEdit: Evans acting so unlike Steve Rogers. Delightful treat.
Modern American Gothic Tale. Loved every twist and turn and really connected to it. On a personal level. Being cooked and then having a couple share the first names of your own grandparents is trippy af, especially when what they're saying actually describes your family. Everything great about Clue updates to this century. Vaping was not needed.",9,1,5,30 January 2020
The Irishman," another Italian-American movie... really..?
","This movie is a eulogy to the fake Italian-American accent gangster movies reproduced by Martin Scorsese. The acting was good, the story was good but I felt the story was over flooding with content to cover. The story was trying to make a screen adaptation of 'I Heard You Paint Houses' about Jimmy Hoffa's rise and fall and his people that were there for his rise but not his fall, and then there was the original thought provoking story of Scorsese's gangsters getting a reality check. It was hard to keep watching after two hours, but I'm glad I kept watching. The digital makeup to make the actors look younger was uncomfortable to watch because I knew there was old men under there, but I think that was the point. Scorsese loves to make his watchers uncomfortable, and I appreciate it. Movies should challenge our emotions and thoughts just like a painting or book.This movie is great for anyone who loves the long dialogue, suspenseful, violent, Italian-American gangster Scorsese films. But if you aren't a fan of that kind of movie, I wouldn't recommend you commit to watching it.",6,3,4,15 December 2019
Dear John," Sparks
","One of the bests film of Sparks filmography
The end is quite different to the other films, and that's why I enjoyed it.
I watched it several times and I'm not tired of it.
The book is better, but this film is a perfect choice for who loves romantic films.
Even if It's really romantic it's also realistic and make us think about real love.
I can't tell you more! You must watch it!",6,0,0,22 March 2020
