movie_title,title,review,rating,helpful,total,date
Million Dollar Arm," Million Dollar Arm (U/A) English ----------- my Rating: ★★★★★ BRILLIANT & AMAZING
","New movie Reviews and lots more Hot news .... LIKE THIS PAGE : English Hindi TAMIL TELUGU Facebook : Movie Review by Yunus Irshad https://www.facebook.com/YunusIrshadsMovieReviewMillion Dollar Arm (U/A) English ----------- my Rating: ★★★★★ BRILLIANT & AMAZINGSTRENGTHS :- * Casting and Performances : were Oscar winning performances.... * Concept : based on true story well taken.... * Screenplay and direction : perfectly done without any lacks.... * Camera and Editing : were best in dusky shades of India and the beautiful America..... * AR Rehman's BGM : was awesome in Trailer and the movie.....FINAL VERDICT :- * Overall... the movie grabs the audience with its extraordinary trailer..then the movie inspires all ... it is highly recommended for a must watch ... proud of you guys Dinesh and Rinku.... A sports agent stages an unconventional recruitment strategy to get talented Indian cricket players to play Major League Baseball.Director: Craig Gillespie Writer: Thomas McCarthy (screenplay) Stars: Jon Hamm, Aasif Mandvi, Alan Arkin | See full cast and crew »",10,0,2,26 September 2014
Men in Black 3," Men In Black 3 (U/A) 3D-----------------Rating:3/5
","Thankfully there isn't much mumbo-jumbo about time travel that is thrust upon the audience and the focus - as expected - is much more on the camaraderie between Will and Josh. However, and to one's disappointment, it is this very area where the film fails to hold your attention, especially during the second half where neither the drama works, nor the one liners. Oh yes, both Will as well as the ones behind the dialogues and screenplay try hard to inject some humour quotient but frankly, except for a stray four-five points where you do get a smile on your face, there is not even a single 'bring on the laughter' moment.In such a scenario one would have expected the action to do the talking but even that never rises above the ordinary. Now that's a pity because the film is presented in 3D (seems like a conversion case and not really shot in 3D) but still there aren't any wow moments whatsoever. This means that whether it is the action sequence set in a Chinese restaurant or the one where both agents race on their innovative bike and follow a car, you don't really feel enthralled. Even the climactic sequence set around a rocket launcher station hardly arrests your attention. Men In Black 3 (U/A) 3D-----------------Rating:3/5It is an Sci-fi action flick.... 3D effects and visual effects were great.... Will smith has done a great job.... the monsters and creatures are very dangerous to be viewed.....Agent J travels in time to MIB's early years in the 1960s, to stop an alien from assassinating his friend Agent K and changing history.Of course the revelation soon after the climax is good and one can join the dots here. Still, the excitement is rather too later in the day because by this time one has actually lost good level of interest in the proceedings. Moreover the culprrit is also some of the repulsive shots in the very first 30 minutes of the film with aliens and their body parts making you look in a different direction.Yes, Will Smith does well but then he too is saddled with the kind of script that hardly allows him to bring on his characteristic histrionics. Tommy Lee Jones is hardly there, Jemaine Clement is always cartoon-ish and never quite threatening while Josh Brolin is decent, not exceptional.All in all, a film that you won't regret skipping this season.",6,1,4,29 May 2012
Captain Phillips," Captain Phillips (U/A) English ---------- my Rating : ★★★½
","Captain Phillips (U/A) English New movie Reviews and lots more Hot news .... LIKE THIS PAGE : English Hindi TAMIL TELUGU Facebook : Movie Review by Yunus Irshad https://www.facebook.com/YunusIrshadsMovieReviewCaptain Phillips (U/A) English ---------- my Rating : ★★★½STRENGTHS :- * Tom Hanks performance * Story inspired by True events * Direction was awesome * Camera was great between the ships WEAKNESSES :- * Screenplay slows in the second half .... * Editing must have done more work in cropping the movie ....FINAL VERDICT :- * Overall... u will be the fan of tom hanks after watching this... The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",7,0,0,14 January 2014
The Twilight Saga: Breaking Dawn - Part 1," The Twilight Saga: Breaking Dawn - Part 1 (A)----------------Rating: 4/5
","The Twilight Saga: Breaking Dawn - Part 1 (A)----------------Rating: 4/5An action romantic adventure flick.... very beautifully filmed this is an vampire movie.....The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.There is a melodramatic tone throughout, amplified by the music, whether it was the piano-heavy soft moments, the epic score (often played over non-epic moments), or the emo rock songs. A little melodrama is fine, but it goes on for most of the movie, and when there is little hook of a story, it just becomes a drag. Even people who are fans to the series will admit that dialogue has never been its strong suit. Bill Condon attempts to make the sex scene and honeymoon to be tender, but it came off more sappy and overbearing.'Part 1's' strength is that it is the best-acted of the series. Stewart certainly gives it a good go and Lautner gives what is a half-way decent performance. Pattinson was slumming it, but with some of the cheesy dialogue he has to say, even someone like Laurence Olivier would have struggled.Condon does have a few moments of visual darkness, including the dream sequence in the beginning with its juxtaposition of bright white clothing and blood and Bella and Edward standing on top of a load of corpses. The birth scene was actually intense and gory. But these are counter-balanced with goofy moments, one of the most infamous being a psychic werewolf argument.The whole wedding sequence and honeymoon plays like a young girl's fantasy, sort of idealistic. This is fine, but hardly dramatic and not likely to have wide appeal.Previous 'Twilight' movies have had some interesting side issues that could and should have been explored. This is not the case with 'Part 1.' There are no issues of a man resisting his urges and dark side, a young teen forced into being a vampire, an army of powerful new vampires being formed and the idea of there being a vampire council. There is nothing like that. The few themes there are include a look into Edward's past, a brief debate about abortion and the idea of imprinting, which is basically brainwashing. A better idea could be looking at somebody forcing someone else to love them. That would be a dark story.'Breaking Dawn Part 1' is the weakest movie in the series so far and I speak as someone who is neutral to the overall experience.",8,0,6,16 June 2012
The Perks of Being a Wallflower," The Perks Of Being A Wallflower (U/A) English -------- my Rating : ★★★★ REFRESHING
","For more Complete reviews and Hot news ... Just LIKE this page ?Facebook : Movie Review by Yunus Irshad https://www.facebook.com/YunusIrshadsMovieReviewThe Perks Of Being A Wallflower (U/A) English -------- my Rating : ★★★★ REFRESHING STRENGTHS : - * Casting and Performances : realistic and enjoyable ..... * Camera and Direction : complete Perfection ...... * Story and screenplay : is good refreshing ..... * Second half : especially the climax ..... * Background music : a bunch of songs plays behind he scenes ...WEAKNESSES : - * First Half : is lengthy and draggy ...... * Certification : it must have awarded with an 'A' certificate because it contains vast dialogues and some scenes .....FINAL VERDICT : - * It is a movie which u can watch more than one.... Don't miss this one ... Go for it .....An introvert freshman is taken under the wings of two seniors who welcome him to the real world.Logan Lerman, Emma Watson, Ezra Miller.",8,2,4,14 March 2013
10 Cloverfield Lane," 10 Cloverfield Lane (U/A) ------ my Rating: ★★★½ Twist at the End
","10 Cloverfield Lane (U/A) ------ my Rating: ★★★½ Twist at the End STRENGTHS:- * Superb screenplay keeps fascinating... * Visual effects * Cast delivers some good performance... FINAL VERDICT:- * Overall.. it is a great attempt in delivering some suspense thriller.. keeps you at seat edge at the last moments.. Main twist is at the end... So don't miss it.... After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack. Director: Dan Trachtenberg Writers: Josh Campbell (story), Matthew Stuecken (story) | 3 more credits » Stars: John Goodman, Mary Elizabeth Winstead, John Gallagher Jr.",7,1,4,4 June 2016
Skyfall," Skyfall (U/A)------------my Rating : 4.5/5 stars MEGA HIT
","for more movie Review like this page::::: https://www.facebook.com/MovieReviewByYunusIrshad.Skyfall (U/A)------------my Rating : 4.5/5 stars MEGA HITIt is a power-packed action movie which has a brand of JAMES BOND 007....VERY GOOD:- *Direction - just he makes u entertain from start till end *Cinematography - superb locations which are pleasing to watch *Performance - Daniel rocked the screen with action stunts *Action - fights were taken brilliantly *Music - title track was good *Background Score - superb crystal clear sound quality *Visual effects - fantastic during the titles at the beginning *Editing *Screenplay - doesn't make u bore *Story - good much have better with some twists and turns *Costumes - i loved *Production team - spent 1000 crores to get a wonderful output which i have seen todayVERY BAD:- - Bond girls -Actresses has no role really wasteThis movie will not disappoint u catch it guys i strongly recommend this flick..... don't miss the introduction scene very importantBond's loyalty to M is tested as her past comes back to haunt her. As MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",9,1,15,4 November 2012
Iron Man 3," Iron Man 3 (U/A) English ----------- my Rating : ★★★½ VISUAL EFFECTS WERE ROCKING
","Thanga Meenkal (U) TAMIL New movie Reviews and lots more Hot news .... LIKE THIS PAGE : English Hindi TAMIL TELUGU Facebook : Movie Review by Yunus Irshad https://www.facebook.com/YunusIrshadsMovieReviewIron Man 3 (U/A) English ----------- my Rating : ★★★½ VISUAL EFFECTS WERE ROCKINGSTRENGTHS :- * Visual Effects : were mind-blowing worth watching ...... * Action Sequences : especially in the climax ...... * Casting and Performances : were excellent especially the Villain ... * Sound Effects : were enjoyable and real...... * Budget : 1320 Crores spent on it ...... WEAKNESSES :- * Post Interval portion : was little draggy ......FINAL VERDICT :- * Overall.... movie is a watchable one .... it has a great action .... Lets see in IRON MAN 4......When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7,1,2,6 September 2013
Airlift," Airlift (U/A) Hindi ------------ my Rating: ★★★★★ WORTH WATCHING
","New movie Reviews and lots more Hot news .... LIKE THIS PAGE : English Hindi TAMIL TELUGU Facebook : Movie Review by Yunus Irshad https://www.facebook.com/YunusIrshadsMovieReviewAirlift (U/A) Hindi ------------ my Rating: ★★★★★ WORTH WATCHINGSTRENGTHS:- * Story: based on true events well scripted.... * Casting and performances were mind blowing.... * Screenplay was gripping second half was seat edge... * Music: some good songs to hear.... * Dialogues were very meaningful and punching....FINAL VERDICT:- * Overall... it is a clean family entertainer, akshay delivers a perfect movie for republic day. I cannot see any weaknesses, each and every scene were realistic and very gripping. I salute and I strongly recommend to watch this movie. Please watch this flick and it must be celebrated. When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen. Director: Raja Menon Writers: Ritesh Shah, Suresh Nair | 2 more credits » Stars: Nimrat Kaur, Akshay Kumar, Sameer Ali Khan | See full cast & crew »",10,0,1,26 January 2016
Gravity," Gravity (3D) (U/A) English ---------- my Rating : ★★★½ FIRST EXPERIENCE TO SPACE
","Gravity (3D) (U/A) English New movie Reviews and lots more Hot news .... LIKE THIS PAGE : English Hindi TAMIL TELUGU Facebook : Movie Review by Yunus Irshad https://www.facebook.com/YunusIrshadsMovieReviewGravity (3D) (U/A) English ---------- my Rating : ★★★½ FIRST EXPERIENCE TO SPACESTRENGTHS :- * Casting and Performances : were brilliant .... * Camera and Direction : was innovative * 3D effects and Visual effects : were breathtaking ..... * Sound effects : as we are in the space ..... * Screenplay : was engaging ....WEAKNESSES :- * Story : is simple ..... * Clooney misses away .....FINAL VERDICT :- * Overall... it is a best sci-fi movie with a large some experience .... experience it in 3DSandra Bullock, George Clooney, Ed Harris A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space.",7,1,2,19 October 2013
