movie_title,title,review,rating,helpful,total,date
Skyfall," Uneven (6.5)
","My take on Skyfall is that while it has several truly iconic/beautiful cinematic moments, the plot is rather contrived in many places, and it feels somewhat uneven overall. So while it definitely is not bad, it is not all that great either.Pros: The cast. Javier Bardem plays a very memorable, scene stealing villain, believably psychotic. I was pleasantly surprised to see Ben Winshaw (Bright Eyes) as Q. Some nice moments between Bond and M. The opening sequence is pretty good. The Shanghai building sequence and the nighttime Skyfall sequence are both wonderful cinematic stylizations, either of which could respectively house a great film. Adele is a nice choice to sing the theme song.Cons: The theme song sequence is like a directing/editing identity crisis, rotating between beautiful, corny and so on. Several of the different settings feel like they came out of different films. Yes, I can make leaps, but it just seems that the whole is a bit noncohesive. And lastly, the plot at times feels like it goes the way it does not naturally, but just because it has to in order to set up whatever is coming next. Overall, I have seen worse, and I have seen better. Meh.",7,2,6,18 November 2012
Star Trek Into Darkness," Fun Action Film, Bad Star Trek Film
","With Star Trek Into Darkness, there is quite a divide between those who enjoy it for its entertainment value, and those who despise it for its abandonment of classic Star Trek principles. Honestly, I can relate to both camps. It simply comes down to what one values as a viewer, and it should not be difficult to understand those with opposing perspectives. That being said, when viewed as part of the Star Trek franchise, this film is very much a disappointment.What Stark Trek Into Darkness has going for it is that it is an exciting, fast-paced, visually attractive action film with a great cast. It is easy to watch and beautiful to look at. One must admit that some of the Star Trek films of the past, whatever their virtues may have been, were extremely boring. That is no longer the case, and in and of itself, the engaging style of these new films is not a bad thing. The franchise needed to be refreshed, and made more accessible to general audiences. The problem with STID is that the story itself has been give the lowest of all priorities, and that is why it is not a good Star Trek film.The opening sequence serves as a microcosm of the larger film. It is comprised of a series of narratively-nonsensical set-pieces that exist for no other reason than to look cool. And they do look cool, no argument there. But something like the Enterprise 'hiding' underwater is just purely ludicrous. Yes, we get a fantastic visual of a starship rising from the ocean, but it makes not a lick of sense either within the science of the Star Trek universe, or within the story line at hand. Not every viewer will be bothered by such things, of course, but it should be simple enough to acknowledge the issue.From there, the story unfolds more or less accordingly, with pseudoscientific (within Star Trek) plot twists holding together a narrative that is deeply conflicted. The conflict is between the good story idea that begins with Benedict Cumberbatch's character's introduction and ends with the same character's destruction. Somewhere within the murky husk of Star Trek Into Darkness is a good film about terrorism, militarization and the end of innocence. Unfortunately, the film's defining characteristic is its ill-advised homage to a set of classic scenes from another, much better Star Trek film that was made thirty years ago.John Harrison is a good new character. The idea that he is actually Khan Noonien Singh does not make sense. It is completely contrived. However, the greater problem is the winking recycling of what is arguably the most iconic scene from the most iconic film in the franchise, Star Trek II: The Wrath of Khan. From my subjective standpoint, it is offensively ill-conceived, not to mention poorly executed. A small moment in a long film, perhaps, but for this longtime Star Trek fan, an exceedingly hard pill to swallow.Again, from the perspective of someone who is simply looking for an exciting space action film, none of that may matter. There have been Star Trek films that were bad films, period. This one is not a bad film; it is just a bad Star Trek film. This franchise, as other reviewers have noted, is supposed to be about thoughtful commentary on society (which requires a well-written story) and exploration of new frontiers (which requires a plot that is not focused on making nods to the past).To suggest, as the front-page user review here in IMDb does, that one should 'ignore the critics,' is to over-simplify the situation here. By all means, do not let anyone else's subjective opinion dampen your enjoyment of something. But by the same token, try to understand that Star Trek is a deeply meaningful thing to many people, and that this film sacrifices much of its core attributes in order to be more accessible to the average viewer.The tragedy is that there is no reason why a Star Trek film cannot be both thoughtful and exciting, well-written and visually stimulating. It simply takes the right people being involved in the production. I do not want another Star Trek Into Darkness, but neither do I want another Star Trek: Insurrection. There can be a balance, and hopefully in the future, there will be a film that finds it.",4,3,6,6 December 2014
Batman Returns," Stylistically intoxicating, if you can get by the intense darkness.
","Basically, the downside of this film, to me, is how dark and depressing (and at times, disgusting) it is. This is one of those examples where whatever shortcomings the story and/or character development may have, it is nevertheless an addictively compelling work of visual art, and it works on that level alone. The plot is not bad, but it is not really what drives Batman Returns. The cast is very good, I think. Keaton is IMO underrated as Batman, DeVito and Pfieffer convincingly portray twisted criminal insanity, and Walken is crucial in giving the film a greater level of complexity.Again, the visual look is a wonderland of Tim Burton-isms. The icy winter setting, whimsical penguin commandos and circus crime gang, incredibly cool Batmobile and Batmissle vehicle sequences...there are just so many things to capture the imagination.The problem, of course, and it is a significant problem, is how dark this film is. It is scary, violent, sometimes gross, and ultimately depressing. Batman should be dark and thought-provoking, but this one reaches prohibitive degrees of darkness. It is definitely not appropriate for family/children, and arguably may not really have much redeeming value for adults, either. (The whole issue of which was kind of responsible for the much different excesses of the Joel Schumacher films.) Batman Returns is like one of those really weird paintings that may qualify as works of genius art, but which may not be worth looking at, just the same.",7,1,5,7 July 2012
X-Men Origins: Wolverine," A Disappointing, Clumsy Mess of a Film
","Well, where to begin? I am not even sure what to say, but I know how I feel about this film. For one thing, the title is not very artistically conceived, and I consider that a retrospective harbinger to the issues present in the film itself. After the interesting opening scene, the entire 'let us now recap decades of story action in one montage' begins the trend of trying to tell far too much story far too quickly, without regard for finesse. Telling a good story is often helped by limiting the scope, allowing more time to really look at the characters and get inside their minds.The whole 'look' of the film is very 'glossed over,' with a certain sort of sheen to it that I find nauseating (similar to Lord of the Rings, but much worse here). Perhaps that is a technique to help the visual effects blend in, but to me it just makes all of it look fake. And then there are sequences such as the one in which Wolverine flies through the air, slicing through helicopter blades with his claws. Now, I know that adamantium is the stuff, but come on. That is bending reality too far, and I could not suspend my disbelief to accommodate it.There are lots of characters, and while the cast and acting are all pretty good, the story is what trips them up. Gambit is unsatisfying. Stryker seems pretty vanilla compared to his portrayal in X2, but that may be excused since he is younger here. I am not an X-Men know-it-all, but the whole film just feels to me like a mess of far too many elements being thrown together in hopes of something good emerging. Who was editing this film? I assume that time constraints were in play.The one thing that I think is truly great about this film is the brief segment in rustic Canada, where Logan/Wolverine is working as a lumberjack and spending quiet moments with Lynn Collins' character (Silverfox?). There are some absolutely beautiful scenes, in particular the one at night where she tells him the Native American lore about the moon...and the Wolverine. They could have made a *great* film by focusing on that aspect of his backstory, but instead decided to cram nearly a century of time, tons of peripheral characters, and a relentless barrage of often ridiculous action sequences in a couple of hours. Sigh. I cannot recommend this as a good film. For an X-fan, it is of interest in the same way as Star Wars Episode I is of interest to classic a Star Wars fan...For the record: (X-Men 9/10) (X2 10/10) (The Last Stand 4.5/10) (First Class 9/10)",2,1,2,5 December 2012
About Time," The Beauty & Sentiment Win Out
","For me, there is no getting around the fact that it just feels wrong for Rachel McAdams to be in a film so undeniably similar to her previous film The Time Traveler's Wife. That just is what it is.However, even though it feels a bit derivative in plot and pushes the bounds of even time-travel logic here and there, this film gets at least a 7.5-8.0 rating from me on the strength of the story that is being told, and what a purely beautiful takeaway it gives.It is not really about time travel. It is about relationships, but not in a saccharine, run-of-the-mill way. McAdams is unbelievably cute of course, but Domhnall Gleeson is absolutely brilliant as the lead character and the entire cast is superb.I wont' drone on...About Time is one of the sweetest, mostly beautiful, most inspiring films that I have seen in a long time. It does not take its high-concept premise too seriously (which is a good thing) but it takes the characters and their humanity and their connections to each other very seriously ( which is to say that it has real emotional weight - also a very good thing). Better than it looks like it will be from a distance, just tearfully gorgeous up close, and thus it gets my recommendation.",8,2,5,20 November 2013
Star Wars: Episode VI - Return of the Jedi," Epic and Entertaining in Spite of Flaws (7.5)
","RETURN OF THE JEDI was my favorite Star Wars film as a child. From an adult perspective, I find it a bit flawed and frustrating in some ways, but that should not take away from the many fantastic elements at work, and the very satisfying high that it ends on.The biggest issue is the light, sometimes throwaway silly tone that is present in parts of the film. There is a little of that in the Jabba's Palace sequence that makes up the front end of the story, but of course it is the Ewoks who are the prime expression. It is my understanding that early drafts of the story called for Wookies to be utilized instead of Ewoks. That would have made logical sense, given Chewbacca a great emotional anchor and made for fantastic storytelling. However, the more cuddly, teddy-bear-like Ewoks were created, and the sight of them taking on Imperial Stormtroopers, while frequently entertaining and humorous and a well-meaning metaphor, is just silly. It takes away from the dramatic tension that was built up in THE EMPIRE STRIKES BACK.Beyond that, ROTJ also just feels kind of uneven overall, as though it is several separate films spliced together. But don't get me wrong, a lot of it is really great. Jabba's Palace is exotic and intriguing, the speeder bike chase through the forests of Endor is classic, and it is nice to see more of how the Rebel Alliance is made up of so many alien races, all pulling together for the common ideal of freedom.There are at least two things about ROTJ that are absolutely fantastic. One is the space battle around the second Death Star in orbit over Endor. As a special effects sequence, this is still mind-blowing 30 years later. There will almost certainly never be another model-based orchestration like this. I shudder to imagine how much work went into creating the dizzying ballet of starfighters and warships spinning through the void of space in a hailstorm of laser bolts. Incredible.The other incredible part is Luke Skywalker's final, climactic confrontation with Darth Vader and the Emperor. As others have noted, it's not as much an action sequence as the Luke-Vader duel in TESB, but rather a psychological crucible. John William's haunting musical score is perfect for the dark, emotionally apocalyptic setting. It is a very powerful character-development setpiece for Luke.Regarding the 'changes' made by George Lucas for the 1997 Special Edition and the 2004 Special-er Edition, I find them almost universally horrible. The new Jabba's Palace dance sequence is painful to watch, not to mention hideously cheap looking CGI. I will always take costumes, makeup and animatronics over CGI in these sorts of instances. And of course, the ending where Hayden Christensen replaces Sebastian Shaw as Anakin Skywalker (while Alec Guiness is *not* replaced by Ewan McGregor) is just plain puzzling. What was George Lucas thinking?Overall, RETURN OF THE JEDI - the ORIGINAL 1983 THEATRICAL VERSION - is a wonderfully entertaining conclusion to the original STAR WARS trilogy. It's a great film for kids, and while my adult self really wishes that the story had been written more seriously, it is nevertheless a captivating creation and very enjoyable.",7,1,3,15 January 2013
Captain America: The Winter Soldier," Strongest Marvel Studios Film to Date
","This is the most serious, fully-realized, across-the-board result that Marvel Studios has produced thus far, in my opinion. While it may not be quite as big, or have quite the flashy lineup of superhero characters as The Avengers, CA: The Winter Soldier is clearly a better film.Good, real-world relevant story, excellent visuals, thrilling (really thrilling) action. Terrific ensemble cast. Robert Redford, Emily VanCamp and Anthony Mackie are all wonderful additions. Redford especially lends a crucial weight of charisma.This is really a SHIELD movie, and it does a great job of both building and breaking the backbone of these Avengers-related films. It also provides a great series of question-mark setups for the future of this saga.As far as weaknesses, I found the humor to be a bit flat in several cases. Other than that, though, pretty solid overall.Once you accept that this genre (superhero) is all about painting with broad strokes -- meaning relatively simple plot structures, archetypal characters and emphasis on visual impressions -- this film can be given credit for being remarkably mature and literate. A good sign for the future of the Marvel Studios machine.",8,1,2,9 April 2014
Life of Pi," Beautiful, Unusual, Strange Aftertaste
","I am not completely sure what to think of Life of Pi. Certainly, the majority of my thoughts equal a thumbs up. But when all said and done, it seemed...hard to pin down.Pros: Almost everything; Directing, writing, casting, acting, music, cinematography, and most especially incredible, unique visual imagery and artistically gratifying use of 3D.Cons: There is long one shot scene near the end that felt like it scrubbed a lot of the story's momentum, and put more questions in my mind as to what was really supposed to have been going on. That may be the intended effect, but I found it more confusing than intriguing or thought-provoking. Also, like several other films that I have seen this year, the 'main idea' is not nearly as well fleshed-out as it aims to be. What is this story really about?Overall: Life of Pi contains some of the most gorgeous, overwhelmingly magical, otherworldy visuals that I have ever seen, and it is the first time that I have enjoyed watching a film with 3D glasses on. (All others that I have seen in 3D, which granted did not include Avatar, struck me as cheap, artistically bankrupt gimmicks - but not this one.) It is worth the price of admission for that alone. And there are plenty of other reasons to see it, which I will not spoil. Ang Lee is, for my money, one of the best directors out there, and this film most definitely does not fall into any 'lowest common denominator' category. It is something special.Is it a masterpiece as a whole? I am not willing to go quite that far. Avatar has a more concise story, and that counts a great deal to me. However, Life of Pi is arguably the more genuinely intriguing of the two. I would recommend it.",8,1,3,25 November 2012
Ant-Man," The Ant-i Ultron
","Ant-Man is a welcome respite from the overdriven, mile-a-minute spectacle that the average action film has become. In this movie, dialogue is often relaxed, musical cues generally subtle and the scale far more intimate. Not just small in size--heh, heh--but in terms of spending more time with characters doing normal-people things. Sure, there is high concept science-fiction and the usual corporate mustache- twirling, but those elements are tempered by an overall 'relaxed' feeling. Great cast, wonderfully inspired visuals, and a different sense of humor. If Age of Ultron (or Transformers, etc) made your brain feel like a chia-pet with sensory overload, give this one a try. It's not great, but it is good, and it's different in a good way.EDIT: Since first posting this, I have noticed a pattern in the reviews at large. Once again--I've seen it before--the majority of the reviews for Ant-Man are positive, but most of them have been voted not- useful, often receiving '0 out of however many' upvotes. So essentially, users who liked this film are taking the time to say a few words about it, and users who either disliked it or simply dislike the positive reviews are downvoting those reviews. Ladies and gentlemen, I give you the internet.",7,0,8,24 July 2015
Captain America: The First Avenger," A Nice Film, Considering How Many Hats It Wears
","I am a fan of the character and really wanted and expected this film to be good. Initially, I was disappointed, but subsequent viewings have greatly improved my opinion. I have enjoyed Captain America: The First Avenger more each time that I have watched it, which I think speaks well for the film. It clearly is not perfect, but in my opinion is not deserving of some of the very harsh reviews that others have given.First of all, CA:TFA suffers from being used as the most overt prequel to The Avengers. An ideal Captain America film would not be so concerned with setting up another film. The tessarect plot angle is the most obvious element in this regard - such 'cosmic' themes do not come to mind when one first pictures Captain America. However, when you accept the franchise-building role as part of the package, this film is not a bad effort, and really quite likable.The Good - Chris Evan is very well cast in the lead role, earnest and believable. The score is inspiring and nostalgic. Most of the supporting cast members work well, particularly Stanley Tucci, Hayley Atwell, Tommy Lee Jones, Toby Jones and Dominic Cooper (as a Howard Hughes-inspired Howard Stark). The retro-40s aesthetic design work is generally enjoyable to see. Some of the 'vintage sci-fi' HYDRA technology is very gee-whiz cool-looking. The story has a lot heart, even if it is stretched thin.The Not So Good - Visually, there is a lot of faux-3D feel when viewed in 2D, the fakeness of which unfortunately undermines what should be a more rustic WWII aesthetic (not nearly as bad as other weird-looking films like Warhorse and Kingdom of the Crystal Skull, though). Sebastian Stan as Bucky is utterly forgettable and uninteresting. The Red Skull could have been a bit more gritty (and realistic) and truly menacing. The pacing is somewhat uneven.Regardless of what you may think of Joe Johnston, I feel that he was a good choice to direct this film. CA:TFA is actually very, very similar to Johnston's earlier film The Rocketeer, and there are some shared virtues with October Sky as well. Again, I enjoy and appreciate this film more each time I watch it, absorb more of its lovingly-crafted details and come away each time feeling inspired and with a smile on my face. It could have been better, but like most of Marvel Studios' productions, CA:TFA is a worthwhile adaption that treats its subject with sensitivity. I find it compelling enough to give it at least 7.5 out of 10.",7,1,4,29 September 2013
