movie_title,title,review,rating,helpful,total,date
The King's Speech," the royal voice that shakes
","Tom Hooper has delivered a masterful display here. There's no questions that this piece of art is worth for all these Oscars and other accommodations that it has won. Made just for under 20 million, it became a worldwide hit. And that's a big achievement for purely British movie. I have to admit, my expectations were sky-high and it didn't live up to that hype, but I still enjoyed it though. I wasn't aware of King George VI's life that he was a stammer which gave the basic to that a good inspiring story. Now I know that and I suggest others to be known about that too.Colin Firth and Geoffrey Rush are the best part of the movie. Perfect for the roles and they are worth their nominations. It's hard to realize that Firth is not actually a stammerer. An Oscar for that is what I call job well done.I think almost everyone has had a moment when they are to speak in front of some size of audience and then they just can't say the words. That's called out of words. Welcome to King George VI's world.",8,2,3,18 May 2011
Black Swan," two sides
","Director Darren Aronofsky is truly one of a kind. He has directed another winner. For me, Black Swan is his best. I gotta tell you, this movie is really something. It's pretty hard to pass down all that what I just saw. It's so intense, so thrilling, so gripping. I mean, there's no point to look any information about this movie. Just go see it. Like a breath of fresh air. It plays with your mind at the highest level and in the end, gives you a great satisfaction. This one is surely one of the films of the year. A certain nominee for Oscars.Natalie Portman is my cherry on top of the cake here. Whether it's a comedy, a drama, a thriller, she always wins my heart. So cute and so likable. She shines throughout the movie. I knew she's great, she proved that again. Mila Kunis was a big surprise. I felt like I was loving two women on the screen same time. Oh man, she was so hot. But not only sexy, she gave a great performance as well. Vincent Cassel seemed like he is not an actor. More like a real life artistic director.The movie makes you think how hard it is to live in the frames. When you finally are able to get out of these frames, you could be a different person. Like your other side comes up and takes over. This a a mind stuff.",10,2,5,15 January 2011
Walk the Line," love is a burning thing
","Johnny Cash's music is truly unique. That legendary man will always be membered by as the one the greatest country singers ever. Johnny Cash's life was full of success. It was marred by personal problems such as drinking, drug addiction and unstability. Nevertheless, it doesn't reduce the influence he has had to the country music. Walk The Line follows John's life through tough childhood to the frenzied success all over the America. The film focuses mainly to his relationship with his beloved singer June. James Mangold does a great job here. This is just not a movie which circles around the love relationship. It still has space for music. The movie offers some great on-stage music performances. Joaquin Phoenix (Johnny) and Reese Witherspoon (June) does have a great match here. It works well.The man who sang that love is burning thing, really knew what he was singing about. Johnny Cash walked the line almost entire his life. His music is called classic nowadays. Watch the movie and listen to the music and you may get it.",8,0,0,3 January 2011
Lucky Number Slevin," bad dog
",Wow! Impressive stuff. Wasn't expecting something like that. Totally gripping movie. Perfect story with some twists you certainly don't expect. In the end gives you even more straws to pick. Watching this movie is like doing something that you really love to do. It gives you satisfaction. I'm not gonna open the script for you here. I just suggest to see that as soon as possible. You may be surprised of what you have been missed.Bruce Willis was the coolest of the bunch. Josh Hartnett was the biggest astonishment. Morgan Freeman and Sir Ben Kingsley are on top form. This cast makes this movie even stronger.Every dog has its own day. See that and you know what I mean. Powerful emotions guaranteed.,10,5,6,27 January 2011
Requiem for a Dream," addiction
","Director Darren Aronofsky is really one of a kind. His films are the ones people are looking forward to see since Requiem For a Dream. And there's a reason for that. Requiem For a Dream is a brutal film. It's brutal because of the subject it handles which is drugs and addiction. It's also brutal how seriously and honestly it has shown to the viewers. It may shock more vulnerable people. It's a good drama still. It's a pressure-cooker so you may need extra focus to see that movie and get the point.Well, what about cast? Ellen Burstyn is Oscar-nom, Jennifer Connelly is cute. Obviously the only serious role played in Marlon Wayans acting career, but he's OK. Jared Leto is one of my favorite musicians and he is getting my nod here as well.I suggest to see this movie. It may say that, it's actually necessary to see for some guys. It's a little bit creepy but powerful.",8,1,2,3 January 2011
Stop-Loss," i see talent
","Stop-Loss is quite a controversial movie. It's not your regular war movie. It has few scenes which the story happens in Iraq, but mainly it goes in US where the soldiers have returned from the mission. They are trying to conflate back to civilian life which actually seems harder than going through battles back in the far east. It's intriguing because the movie has a point against the government system which has a fail spot. But for me, what I really enjoyed, was the story more important than the vital factor for which the movie wanted to point the finger to.I liked the cast. Young and talented actors such as Ryan Phillippe, Channing Tatum, Joseph Gordon-Levitt give all good performances. And also we got good-looking Abbie Cornish. Stand-out performance - Joseph Gordon-Levitt.I suggest to see the movie because of its talent. You see the future and probably you like it.",8,0,0,5 June 2011
Fight Club," one of the best
","This movie is one the best ever. When you are going to see this, it may confuse you. But that's what I really enjoy about this movie. It's confusing in strange ways and makes up many questions but keeps your mind intense and focused at the same time. It's so fascinating.Edward Norton and Brad Pitt are a great combo here. A terrific match-up. I really like the bewildering intelligence Tyler (Brad Pitt) uses, to express himself. The Narrator (Edward Norton) develops his role extremely well too. In addition, the soundtrack of the movie is really cool.This movie is a must see. It blows you away. A jaw-dropping stuff!",10,2,4,1 January 2011
Inglourious Basterds," Tarantino's point of view
","Quentin Tarantino is truly one of a kind. His well-known earmarks are always fun to watch. I think it's phenomenal how he can make films which are so full of personality and quality - brilliant performances, epic quotes, satisfaction. Inglorious Basterds had been waited for some time and I gotta tell you, it absolutely delivered. I thought it might be good, a real shooter. What I didn't think was that it would make a list to my elite films. It was a surprise at times, but when I think now, it isn't. Why? Because it's Tarantino's. You just know you get great stuff.Obviously, it is Christoph Waltz in the role of Col. Hans Landa, to whom all the applauds are going to. His performance is second to none. But I wouldn't underrate Brad Pitt's role as Lt. Aldo Raine. Terrific actor, extremely versatile.Believe me, Quentin Tarantino gives a new look to the WWII. It may like you, it may not. It probably does. In the end, it's your call. I arrant enjoy it. I thought it was a work by a genius. Well done.",10,4,9,20 April 2011
The Girl Next Door," squeeze the juice
","The Girl Next Door is a perfect film for the movie night. It's fun, entertaining. It's not that serious, but at the same time it has a point. And I liked a plot a lot. Quite original in my opinion. Credit to director Luke Greenfield for not letting this one to go too out of hands by putting in some intense scenes as well. It's a top notch entertainment.Young actors Emile Hirsch and Paul Dano look very young here. They do fine, especially Hirsch by developing his character. But it is Elisha Cuthbert who steals every minute of the screen. Arguably one of the hottest characters. Her sexiness is irresistible. Jeez, burns like a fire.There is definitely something instructional in this movie. It is summed up nicely in this metaphor used in the movie: 'you got to know whether the juice is worth to squeeze or not.' So squeeze whenever you can. I prefer orange juice.",9,2,2,17 January 2011
127 Hours," 1 1/2 hours
","127 Hours is truly unique movie. I have waited for it some time. Now I have finally seen it. I didn't have to disappoint. I usually don't watch trailers and I must say the film was exactly what I pictured it. Still I liked it very much though. It gives you gripping view of one of the ultimate true story survivors. It has some really ghastly scenes but it made the movie more real. You don't see that kinda stuff often, so it's definitely worth a look. James Franco (Aron Ralston) gives his greatest performance ever. This is by far the best acting he has done. A certain Oscar nominee at least.Aron Ralston spent 127 hours stuck in the fault line. You can get that experience with less than an hour and a half. Take that chance. You'll still be fine after that.",8,1,4,23 January 2011
