movie_title,title,review,rating,helpful,total,date
The Avengers," The Avengers
",If you like the Marvel franchise of The Avengers then you're in for a treat. This is a must see,9,0,0,3 February 2020
Angels & Demons," Angel's and demons
",I thought Tom Hanks was superb in this film about the Vatican. Not completely sure about the accuracy of the facts conveyed in the film but pretty convincing. I recommend it's a must-see if you have not seen the film,8,0,0,24 September 2019
Star Wars: Episode I - The Phantom Menace," Star wars phantom menace
","I thought Ewan McGregor Natalie Portland and Liam Neeson were excellent in the Star Wars version The Phantom Menace 1999. If you are a true Star Wars fan, then this is a must see",7,2,3,10 April 2020
The Equalizer," Equalizer
",The Equalizer was a wonderful movie drama with lots of action. I thought Denzel Washington delivered a very good performance very believable performance. If you like Denzel Washington as I do you'll find this movie extremely well done.,10,1,2,21 November 2019
Iron Man 3," Iron man 3
",If you like the Marvel franchise Iron Man is a great part of that Robert Downey jr. Plays an excellent part in this. I recommend this one,8,0,1,1 March 2020
Rocketman," Elton john
",Rocket man was an excellent adaptation of the life of Elton John. If you love true stories of celebrities than this is a must see,9,1,2,8 May 2020
Captain Marvel," Captain Marvel
",Brie Larson Samuel Jackson were really good in this Captain Marvel movie. I didn't realize Captain Marvel started out as a woman. If you are my real fan like myself you got to watch this one,10,2,5,23 February 2020
Captain Marvel," Captain Marvel
",Oh Captain Marvel was an excellent movie of the Marvel franchise sell Brie Larson was superb and her role you're a Marvel fan you have to see this movie I highly recommended,10,2,10,24 February 2020
Iron Man 2," Iron man 2
",Very good addition to the franchise. Samuel l Jackson added his name to a growing list of stars appearing in the franchise,9,0,0,24 January 2020
Iron Man 2," Iron man 2
","Love the iron man franchise. This does not disappoint. Robert Downey jr., Micky Rourke Gwyneth Paltrow and Samuel L Jackson deliver a memorable performance",9,0,0,24 January 2020
Thor: Ragnarok," Marvel realms
",I am a true fan of Marvel Stan Lee. I think Thor Ragnarok what is the best Marvel movie I've seen them quite a while. I think there's plenty of action plenty of humor and drama. I think Jeff Goldblum place a decent villain. This one is a must-watch if you're a true fan of Marvel Comics!,10,3,12,23 February 2020
Snatch," Snatch
",Clever comedy about boxing promoters and unscrupulous henchmen. Not a dull moment but kind of off the wall criminal humor,7,0,1,18 April 2020
Spider-Man: Homecoming," Spiderman
",Robert Downey jr. Tom Holland and Michael Keaton were excellent the discontinue the adventures of Spider-Man highly recommended film. Has a lot of stop becoming of age,9,0,0,1 March 2020
Fast & Furious 6," Fast &furious 6
","Great movie, plenty of action, drama and energy.
Vince Diesel and Dwayne Johnson were great in this franchise. Highly recommended",8,0,0,25 May 2020
Captain America: The Winter Soldier," Captain America winters Soldier
",Chris Evans does not disappoint in this trailer Phase 1 of the captain and America franchise. Samuel Jackson Scarlett Johansson were also very good in this picture. Even Robert Redford made an appearance. Highly recommend this and all the Marvel movies.,9,3,3,15 February 2020
