movie_title,title,review,rating,helpful,total,date
10 Cloverfield Lane," The aliens were unneeded
","It was a great film was really enjoyable but it could've just ended with her taking the mask off then going to live her life, no one would've complained. Just found the alien bit just unnecessary but all in all the film was actually good and I'd fully recommend.",7,0,0,17 May 2020
Hereditary," Horrendous
","That was the biggest waste of time ever. I strongly recommend you not watch this film, the rating is a complete lie. If you have a brain listen to me and please for the love of god don't watch this crap.",2,0,3,16 February 2019
Detroit," Wow
",That film was amazing in my opinion. It was so intriguing and touching I could easily watch that film over and over again. It's a long film but that time flew by. Will Poulter was the stand out actor he played his role to perfection.,8,1,3,9 March 2019
Lone Survivor," Absolutely incredible film
",That film was absolutely amazing to watch I was on the edge of my seat the entire time. It's absolutely crazy to think that actually happened to some soldiers. The acting was absolutely class all round and would highly recommend this film to anyone it's impossible not to like it.,9,1,2,4 March 2020
Fury," What an incredible film
","That was genuinely one of the best films I've ever seen. The acting from everyone involved was out of this world, that group of Actors are some of the best actors of our generation. It genuinely annoys me that it took me this long to watch it. If anyone is even debating to watch it, just watch it you won't be let down.",10,1,4,2 December 2019
The Maze Runner," Better then expected
",I went into this thinking it was going to be a very average film but I was very wrong. The story was good and It was moderately easy to follow. I'm definitely going to watch the second one and hope it as good if not better then this one.,8,0,0,20 September 2019
Captain Marvel," Throughly enjoyed
",I very much enjoyed that film. I thought it started quite slowly and I was a little lost but picked up and was very intriguing. Also Samuel L Jackson was really really funny.,7,2,7,19 March 2019
World War Z," Absolute banger
","That was amazing, finally a zombie film where the zombies are actually a problem not just zombies that walk at 1mph. Brad Pitt is 100% one of the greatest of out generation. Great film and fully can't wait for the second one hope it comes out soon as possible.",8,0,1,11 May 2020
The Impossible," They forgot you know, the tsunami
","They could've gone into more detail on the actual tsunami not just a 5 minute part of the film. I would've loved to have known how the dad and two little kids got on during the tsunami. Also how was the dad completely battered and bruised but the two kids he had held of didn't even have a scratch on them. Also it was so stupid how the dad went to the hospital and barley looked around he literally had a quick look for like 5 minutes. Tom Holland was really good to be fair, the only saving grace. Also how was Naomi watts nominated for an Oscar she was lead in an hospital bed for half the film.",4,0,1,11 May 2020
Us," Was expecting better
","Was hoping for a lot better then that. People hyped it up to be an amazing film that was better then get out but us doesn't even compare in my opinion.
In my opinion it wasn't really a horror Is was more a thriller, I get scared really easily and I wasn't scared once during this.
Also I don't understand how all these freaks with scissors can take out an entire state of people are you trying to tell me no one with a gun can just take them out because the black family took out 8 of them but the rest of the people can't take out any Abit weird that.",5,1,1,16 April 2019
Don Jon," Pointless
","The characters were incredibly unlikeable and there was no point to the film, the film was literally pointless. That was literally just time of my life that I'll never get back.",2,3,4,24 November 2019
Zodiac," Outstanding
",I thought that was incredible i was incredibly invested for the entire film. The film didn't feel as long as it was which Is perfect for a film this long. The acting from Jake Gyllenhaal is incredible as you'd expect was a pleasure to watch. I was close to giving this a 10 but I settled on 9 which was a very hard decision.,9,0,1,7 May 2020
