movie_title,title,review,rating,helpful,total,date
Vertigo," Hitchcock's lost masterpiece
","This movie is really great!  At the time of it's release, it was considered a disappointment, but now it's considered one of Hitchcock's finest.  I also think it's one of Jimmy Stewart's best performance, and is acting is incredible, especially at the end in the tower.  He starts shaking Madeline (Kim Novak) because he's so angry.  I think that part is very unlike Stewart, who usually played the nice guy who never lost his temper.  I also think the performance by Kim Novak is brilliant.  She was known as more of a sexy leading lady without really dramatic parts.  But in this, she really shows her ability to use her beauty to fool a man, and drive him to near insanity.'Vertigo' is a wonderful movie, with a beautiful score.  Any Alfred Hitchcock fan really needs to see this, which many consider today to be his 'lost masterpiece'.",Null,3,3,31 January 2000
Raiders of the Lost Ark," Great!
","Although I've seen 'Raiders of the Lost Ark' several times, my boyfriend made me gain a new enthusiasm for it. It's really a fantastic movie that has to be seen by everyone. And it's the kind of movie that you appreciate more every time you see it. I think it's one of Steven Spielberg's greatest movies, and one of Harrison Ford's most memorable roles. I definitely recommend this movie, so go out and see it if you never have, and watch it again if you have.",1,2,68,27 February 2002
Casablanca," 'The' Romance of the century
","This is the greatest movie!  Everyone always remembers the final airport seen ('Here's looking at you, kid.'), but there's a great movie before the end!  It's full of wonderful dialogue, great actors, and an outstanding plot.  It's become a legendary classic.  'As Time Goes By', 'Casablanca' never loses its charm!",10,1,1,21 June 1999
Chinatown," My favorite Nicholson movie
","This movie is really great!  Jack Nicholson and Faye Dunaway are great as the main characters, Jake Gittes and Evelyn Mulwray.  And John Huston gives a frighteningly good performance as incestuous Noah Cross.  'Chinatown' is a great film-noir with the classy yet sleazy setting of the 1930's.  If you're a fan of Jack Nicholson, Faye Dunaway, or John Huston, you really should see 'Chinatown'.  You should also see it if you're just in the mood for an incredible movie!Rating: 9 out of 10!",Null,0,2,31 January 2000
Se7en," This is great!
","'Se7en' is one of the best movies I've seen in a long time.  It has great actors, especially Morgan Freeman, who's wonderful.  But I think the man that steals the show is Kevin Spacey as Jon Doe.  He's absolutely Oscar worthy in this challenging, complex role.  He's magnificent.Therefore, 'Se7en' gets a 10!~",10,0,0,16 June 1999
As Good as It Gets," Funny, witty, and overall enjoyable!
","I can't say enough about this movie, which is one of the best from the 90's. Jack Nicholson is absolutely hilarious as the cranky obsessive-compulsive Melvin.  Helen Hunt proves that she can be a fantastic movie actress, as well as a TV star.  Cuba Gooding Jr. is fantastic as usual.  And can anyone honestly say that they didn't adore that dog??  'As Good As It Gets' is a sophisticated comedy-drama that will win over everyone.  It's truly one of my favorite movies, and I strongly recommend it.",Null,0,0,30 September 2001
Citizen Kane," Simply the best!
","'Citizen Kane' is quite possibly the best film ever made.  It was a masterpiece of it's time and still is today!  It's uniqueness and creativity is something film makers have been wanting to accomplish since it's release. Orson Welles, dubbed the 'Boy Genius' really proves his talents in this. He's incredible as the part of Charles Foster Kane...a power-hungry leader. It also features magnificent performances by the Mercury Theater players. Even though 'Kane' was made 58 years ago, it's still as brilliant as it was the first day.",10,1,2,17 May 1999
12 Angry Men," One of the best movies ever made!
","This is one of my favorite movies.  Henry Fonda once again proves that he's a fantastic actor with his brilliant performance.  There are also great performances by notable actors such as Martin Balsam, Lee J. Cobb, Jack Klugman, and John Fiedler. '12 Angry Men' proves that you don't need a fantastic scope to have a great movie: all but a few minutes of this takes place in a jury room, plus it's in black and white.  All you need to create a classic is great actors, and a magnificent script.  '12 Angry Men' has both of these, so I strongly recommend it!  It's a must see.",10,0,1,24 September 2000
L.A. Confidential," Fantastic film-noir
","Although most of the greatest film-noir movies were made in the 1930's, 40's, and 50's, 'L.A. Confidential' breaks that tradition.  Kevin Spacey is his usual fabulous self as Jack Vincennes, a cynical cop, and Russell Crowe ('The Insider', 'Gladiator') is also riveting as Bud White.  And Kim Basinger is great in her Academy Award winning role of Lynn Bracken.  I think it's her greatest achievement.Winner of two Oscars, 'L.A. Confidential' is a cinematic masterpiece, and should be seen by any movie buff.  I give it a 10 out of 10.",8,0,0,17 May 2000
Butch Cassidy and the Sundance Kid," A brilliant biography!
","This is a wonderful movie!  I think Paul Newman and Robert Redford are both outstanding as Butch and Sundance.  The movie takes two outlaws and turns them into sympathetic characters, particularly at the end when they lay there, mortally wounded.  My favorite part is the knife fight, where Butch throws Harvey off by talking about rules.  Then...whack!!  1, 2, 3, GO!!!!!!",Null,0,4,1 January 2000
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb," Stanley Kubrick's finest
","This movie is pretty cool.  I love the names of the men...they're so funny! My favorites are Major T. J. 'King' Kong, General Jack D. Ripper, President Merkin Muffley, and, of course, Dr. Strangelove.  Peter Sellers is amazing at portraying three different characters.  I also think that George C. Scott is really, really good as General 'Buck' Turgidson.  He says one of my favorite lines in the movie: 'Mr. President, I'm not saying we wouldn't get our hair mussed. But I do say no more than ten to twenty million killed, tops...depending on the breaks.'This is certainly an interesting and very different movie, as are all of Kubrick's movies.  Some parts can be a little boring, but the end with Slim Pickens and James Earl Jones is really full of suspense.  So, I give 'Dr. Strangelove' a 9 out of 10.",8,1,3,1 October 1999
The Best Years of Our Lives," One of the best WWII movies
","The reason 'The Best Years of Our Lives' is so great is because unlike so many World War II films, it doesn't show what happens before or during the war.  It shows the aftermath of the war, which was the most dramatic.  For instance, Al Stephenson (Fredric March) doesn't want to return to his position at the bank.  He also drinks heavily.  And Homer Parrish (Harold Russell) tries to adjust to his life after losing both arms at the elbows. He doesn't want anyone to pity him, and he doesn't trust the love of his before war sweetheart Wilma (Cathy O'Donnell).  Fred Derry (Dana Andrews), married a flashy girl (Virginia Mayo) he barely knew while he was in the war.  She was just impressed with his uniform, and wants him to wear it even after he's discharged.  So Fred turns to the comfort of another girl (Teresa Wright).This movie tells the story of three men (Homer, Al, and Fred), who meet on a plane going home, and who try to adjust to post-war life.  It's sweet and very moving.  Although all the actors are brilliant, I think the best are Myrna Loy, who plays Al's wife, Millie, and Oscar winners March and Russell. I think Russell is especially good, because he wasn't a 'real' actor.  He was a guy who lost his arms in the war, and he literally plays himself in this.  If I didn't know that he wasn't an actor beforehand, I wouldn't have been able to tell.  He shows the talent of March and Andrews, and of some of the best actors ever in cinema. 'The Best Years of Our Lives' is so unique and wonderful, that everyone really must see it!  I give it a 10 out of 10.",Null,2,3,18 April 2000
The Grapes of Wrath," John Ford's Classic
","This is a good movie.  Although I find it really depressing, the actors make up for it.  Henry Fonda is incredible as Tom...he breaks my heart with his soft speech and gentle looks.Like I said, the movie is very, very depressing, but you really should see it.  It's a classic, and you shouldn't miss Henry Fonda's greatest acting, which makes my vote a 10!",9,3,6,12 July 1999
Forrest Gump," Tom Hanks deserved the Oscar!
","I really enjoyed this movie.  It made me laugh and cry, but it also made me think.  Forrest might have a low IQ, but yet, he smarter than most people I know.  He knows it's not right for Jenny's boyfriend to hit her.  He's also very loyal.  Even though Lieutenant Dan gives Forrest a hard time, Forrest always stays his friend.  He also keeps his promise to Bubba, by starting the shrimp business.  Finally, he's always loyal to Jenny, the love of his life.  She changes with the times, but Forrest always waits for her.  Also, when Forrest goes to visit her grave, he leaves the note that young Forrest wrote to her.  He told his dad not to open it, so he didn't.  That too shows that Forrest keeps his promises.Just when I thought that Tom Hanks's performance in 'Philadelphia' was his best, he comes out with Forrest Gump.  He is one of the best actors today, if not the best.  'Forrest Gump' is a movie you'll want to see again and again...it's a masterpiece!",Null,0,2,9 January 2000
The Godfather: Part II," Because the original just wasn't good enough
","'The Godfather: Part II' is one of the best sequels ever made, because it's so unlike other sequels.  It not only tells the ongoing story of Michael Corleone, but it also tells the story of his father's rise to being the Godfather.  Al Pacino superbly reprises his role of Michael, and Robert De Niro is, in one word, perfect as Vito Corleone.  Imagine not only learning your lines, but learning them in Italian, and all the while trying to sound like Marlon Brando.  If you can't imagine any one else besides Brando as Don Vito, just check out De Niro's brilliant, Oscar-winning performance.  This is a must-see for any film fan, and especially any fan of the first 'Godfather.'  I actually know people who prefer this sequel to the already fantastic original.  I can't say enough about this movie.  My one piece of advice is see 'The Godfather: Part II.'",Null,1,1,3 October 2001
North by Northwest," Suspenseful masterpiece!
","I think 'North by Northwest' is great!  Cary Grant is his charming self as Roger Thornhill, and Eva Marie Saint is delightful as Eve Kendell.  I also think James Mason gives an excellent performance as bad guy Vandamm. 
My favorite part is the auction scene.  Roger knows that Vandamm's men are surrounding the place, and that he would never get out alive.  So the only way to escape is to create a disturbance, and be escorted out by the police. This is exactly what he does, and it's hilarious!Although everyone has seen the famous and climactic chase scene across Mount Rushmore, there is a great movie before and after that.  I think that this movie contains one of Hitchcock's best 'Mac Guffins', which is an extremely slight reference to what makes the enemy so bad.  As the Professor says, Vandamm exploits 'government secrets'.  Hitchcock always said that this wasn't important to the plot, because we only need to know that Vandamm is after Roger.  I definitely recommend 'North by Northwest' to any Hitchcock or Cary Grant fan, or someone who just wants to see an outstanding movie!",10,1,1,25 February 2000
Doctor Zhivago," Another David Lean classic
","What more can I possibly say about 'Doctor Zhivago' that hasn't already been said?  It's full of great performances, especially by Rod Steiger, one of the most versatile actors ever.  And the lush musical score adds to the romantic yet tragic story.  Even if this movie doesn't seem like it will appeal to you, it's one of those that needs to be seen.  Plus, it's got something for everyone to enjoy.  I strongly recommend this as another David Lean masterpiece.",7,0,5,7 November 2001
American Beauty," My favorite actor's Oscar winner
","Kevin Spacey is definitely the best actor today, and he's magnificent as Lester Burnham.  Although he looks very strange to us, sometimes when a person goes through a mid-life crisis, they can do some very peculiar things.  'American Beauty' also shows us what can happen behind closed doors.  Carolyn Burnham (Annette Bening) looks like the perfect modern woman: career oriented, a good mother, and of course, an expert gardener. But behind that, there lies a neurotic, self-absorbed woman who is never satisfied with life.  'American Beauty' is definitely one of the best movies I've seen in a long time.  Although everyone is superb, I think Wes Bentley turns in a magnificent performance.  The part with the plastic bag shows deep and true emotions and feelings, and incredible acting skills.  So I recommend 'American Beauty' to anyone, not only because of its 5 Oscar wins, but because it truly was the best picture of 1999.",9,0,0,15 May 2000
The Usual Suspects," Kevin Spacey is magnificent!
","This is a great movie that echos the classics from Hollywood's Golden Era. Kevin Spacey is great in his Oscar winning role.  And even though his part was technically considered a supporting role, he really steals the movie and makes it truly memorable.  I highly recommend 'The Usual Suspects' to any movie fan!",Null,0,1,31 January 2002
Gone with the Wind," A masterpiece
","What else can you say about 'Gone With the Wind'?  It's a perfect movie!  It has brilliant actors, a fantastic score, and beautiful scenery.  It also includes a history lesson!  It's one of my favorite movies, and the American Film Institute ranked it number 4 on their list of the century's top 100 movies.  If you don't agree with my comments, see it again (maybe for the first time!)  I assure you, you won't be disappointed!!",10,0,0,23 December 1999
Lawrence of Arabia," A classic
","'Lawrence of Arabia' was recommended to me by a friend.  I didn't think I would like it, because there isn't a woman playing one of the main characters.  But I was wrong!  'Lawrence' was incredible!  There are excellent performances by Peter O'Toole, Omar Sharif, Alec Guinness, Anthony Quinn, and many, many more!  I also love Claude Rains in one of his later roles as Dryden.This movie is a classic, and as far as dealing with World War I, it's as great as 'All Quiet on the Western Front'.  Both movies give an idea of what the war was like from a non-American point of view.  'Lawrence of Arabia' is a great movie, and everyone should see it.",6,4,13,14 August 1999
The Graduate," Great!!
","I like this movie.  It shows how Benjamin (Dustin Hoffman) struggles with his life and what exactly he wants to do with it.  And I don't think the Mrs. Robinson thing helps him any!!  An affair with a woman old enough to be your mother never does help a situation, I gather!  If the story doesn't sound juicy enough for you, at least watch it to see what all the fuss is about, with all the imitations everyone has seen!  =)  It really is an awesome film though.  Definitely see 'The Graduate' at least once this year. Let it be your New Year's Resolution!",6,1,4,1 January 2000
Singin' in the Rain," Fantastic!!!~
","I have adored this movie for years!  The singing and dancing are fabulous, and the story is witty and highly entertaining.  Although there are magnificent performances by Gene Kelly, Debbie Reynolds, and Jean Hagen, I think it's Donald O'Connor who steals the show.  His dancing is magnificent. When you watch the 'Moses Supposes' number, it looks like he is just as good a dancer as Gene Kelly, who was considered one of the best.  And no one can deny that 'Make Them Laugh' is hysterically funny and shows great talent.Nominated for two Oscars, 'Singin' in the Rain' is a wonderful musical comedy with romance and unbeatable performances.  I highly recommend it to anyone, and give it a rating of 10 out of 10!",10,2,6,24 June 2000
Life Is Beautiful," 'Life is Beautiful'
","This is definitely one of the best movies I've seen in years.  What I think is so spectacular is that it doesn't try to be perfect, with fancy locations and extravagant costumes.  It gets right down to what a movie should be, which is an incredibly acted and heart-warming story. 
I hadn't seen this movie when Roberto Benigni won the Oscar for Best Actor. In fact, I thought he was just an enthusiastic guy, and really nothing more. But when I saw 'Life is Beautiful' a few months after the Academy Awards, I realized that Roberto Benigni was truly a talented actor...one of the best today!  'La Vita è bella' or 'Life is Beautiful' is a wonderful story that is romantic and touching.  It also shows the horrors of concentration camps. So I give it a 10 out of 10, and recommend it to anyone!",9,1,3,28 February 2000
The Untouchables," A great crime-drama
","This is definitely Brian De Palma's best film, and an ultimate crime movie. Sean Connery shines in his Oscar-winning performance, and this could also be Kevin Costner's best performance.  This is definitely a must-see movie that I strongly recommend!",Null,12,22,22 February 2002
