movie_title,title,review,rating,helpful,total,date
Angels & Demons," I gave up after about one hour. Not for me I'm afraid.
","Following a friend's recommendation, I started to watch 'Angels and Demons', directed by Ton Howard and starring Tom Hanks with really knowing what it was all about.As soon as the movie started, I realised I had made a mistake.I am not totally against 'action movies' or indeed any decent suspense or clever mystery yarn with 'baddies' and 'goodies', but it has to be really good – an Oscar winner, or close to.By way of example, a recent action movie that I thoroughly enjoyed was 'The Town': a bank heist, cops and robbers pic set in Boston and it was one of the best in that genre that I have ever seen. There was plenty of drama, action, suspense, and real people with real dramatic lives, to the extent that you actually believed in them and cared about what happened to them. But in the main, most of the formula-ridden junk that the film studios churn out these days leaves me absolutely cold.I read Dan Brown's Da Vinci Code, as it was a world-wide phenomenon, and I wanted to see what all the fuss was about. Well, it was a clever romp with some genuinely suspenseful and exciting story lines. I know I am being elitist, but I thought the quality of the writing was pretty ordinary, to say the least. However I was sufficiently interested to view the hyped up movie of the same name, but frankly, I couldn't even make it to the halfway stage. To me, it was totally boring garbage.And now, inadvertently, I was watching a Dan Brown 'sequel', complete with Tom Hanks performing a reprise role. I decided to give it a chance and watch it for a while, for something in the back of my mind reminded me that this movie was reckoned to be a much better film than the Da Vinci Code.It was a certainly a well-produced flick, and the 'no expense spared' production values oozed out of every inch of footage. The actors, including Hanks, were doing their best, but frankly it became very tedious. There was no chemistry between the two leading stars and there were lots of stereotypical, creepy Cardinals and other nasty Italian priests playing all the bit parts. The plot might have been fascinating in print, but to this reviewer, it was a piece of boring nonsense and the behaviour of the leading participants didn't contain one iota of credibility. The story involves a sinister, murdering group of scientists, whose ancestors went underground in the middle ages to protect them from persecution by the catholic church. Then these evil men, who kidnap and kill 4 cardinals and then blow up Vatican city with a piece of stolen anti-matter was, to say the least a bit far-fetched. But in this day and age, it was just another variation on a totally unoriginal theme. I am okay-ish with unbelievable plots – even way out science fiction plots - but the characters must always behave in a convincing and credible manner. In this movie, as in so many of a similar ilk, they simply don't. There was no way to relate to them as being believable, real people - they are just comic-book, cardboard cut-out dummies, with their strings being pulled by avaricious studio producers.I gave up after about one hour. Not for me I'm afraid.",3,0,1,3 May 2016
Captain Phillips," A masterful, towering movie of excitement, drama, suspense, shock and ultimately, intense emotion.
","I wasn't particularly looking forward to watching Captain Phillips as the subject matter didn't really appeal to me, but almost from the opening credits, I was completely hooked. It is a masterful, towering movie of excitement, drama, suspense, shock and ultimately intense emotion. In my humble opinion, it is far and away finest performance by Tom Hanks. Based on a true story, the film is about a gigantic, ocean-going container vessel being hijacked by a tiny band of desperate Somalis, and the immediate aftermath of this daring but utterly criminal act. We get to know the two main protagonists: Captain Phillips, (Tom Hanks), who is the strong, silent and incredibly brave master of the vessel, and the Somali hijack gang leader, Muse, (Barkhad Abdi).I cannot write much about the plot without spoiling the story for those of you who haven't yet seen it, but suffice to say that it romps along at quite a pace and things develop in dramatic and unexpected ways. I can guarantee that you will never become bored for one millisecond while watching this exciting and brilliantly acted movie. All the cast are totally believable in their roles, and there are no one- dimensional or 'plastic characters' – not even in the US Navy. The cinematography and direction (by Paul Greengrass) is so realistic that sometimes you think you are watching footage of the actual event.Even though we in the west deplore these hijackings and hostage taking, the film manages to perform an incredible task – it actually succeeds in evoking a measure of sympathy for the plight of the Somali perpetrators, and in particular, their leader, Muse. In the end, few watching can fail to be moved by the physical and emotional torment of Captain Phillips and if you leave the cinema dry-eyed and also without a feeling of being uplifted by the turnout of events, then you are not human.I note that the user reviews on IMDb are almost 100% unanimous in their high praise of this very worthwhile and 'must-see' piece of entertainment.",10,0,2,10 April 2016
Gravity," Strip away the 3D effects and what do you have left? Not very much I'm afraid
","When I was a kid growing up, I was a great lover of science fiction. I would devour stories by the likes of Arthur C Clarke, John Wyndham and H G Wells and as a kid, before I had any television in my home, I became entranced with radio Sci-Fi programmes, such as 'Journey into Space' and 'The Kraken Wakes'. In my teens I became a fan of early TV Sci-Fi, such as Dr Who, (of course), The Twilight Zone, and how can I ever forget Star Trek with the indomitable William Shatner.By today's standards, many of these programmes were pretty corny – particularly with regard to the special effects – but I loved them, and the stories just caught my imagination.For many years as a young, budding author, I dreamed that my first great novel would be in the science fiction genre.I suppose the last science fiction production to take me in, hook line and sinker, was the wonderful, '2001 – A space odyssey' which I went to see in London with a friend when I was about 23 years old.Sometime after that – I can't say exactly when or why – I fell out of love with science fiction. Every film or TV programme or book seemed to be yet another 'variation on a theme' and for some reason, I could no longer suspend credibility and become immersed in the fantasy.It was all too boring and frankly - corny; despite the millions spent on special effects and prosthetics that were supposed to transform humans into credible aliens.I will probably upset many of my readers by including such acclaimed masterpieces as 'Star Wars' in my boring, corny category. These wide screen extravaganzas that cost obscene amounts of money to make, and have attracted hundreds of millions of viewers throughout the world, leave me cold. I actually fell asleep through one of the Star War epics, when I was dragged to see it by my family. It was all too silly and superficial for me.So in a long, very roundabout way, this brings me to Gravity, which is hardly science fiction at all, as most of what takes place is almost within the bounds of present day feasibility.But it's as close to Sci-Fi as makes no difference, (IMDb classify it as Sci-Fi), so I confess that I was probably already predisposed to dislike it before I pressed the 'start' button.There is no question that the film relies heavily on its special effects to woo the audience; so if you, like me, watch it without the benefit of 3D, then I'm afraid you may be in for a tiresome 90 minutes.I am told that the 3D effects are incredible, and I don't doubt it, but strip them away and what do you have left? Not very much I'm afraid. I think I would rather watch a present day Doctor Who episode than this 'Gravity' tosh , and I haven't seen many of those in recent years as the 'bore factor' kicks in.The Gravity story is simple. Sandra Bullock and George Clooney are on a space-walk around the Hubble telescope, way out in space. The 'brilliant' Sandra is in the process of trying to fix a faulty part on Hubble when all hell breaks loose. They are showered in debris which was the result of some Russian missile doing something it wasn't supposed to do, and are they cast adrift and lose contact with mission control back on earth. Their own space ship is disabled and the remaining personnel are all killed. The remainder of story is about their attempts to get back to Earth by trying to propel themselves to alternative space crafts, (Russian and Chinese), that are floating around the firmament in various stages of disrepair. It is unclear what happened to the inhabitants of these craft.There is little or no character development and I was unimpressed with George Clooney's 'cardboard hero' persona and his distinctly unfunny, homespun dialogue. Bullock lurches from crisis to crisis, telling us along the way about her dead daughter, (which is supposed to make us feel even more sorry for her) and screaming and sighing at appropriate moments when it seems all is lost. To be honest, you don't particularly care whether either of them make it back or not and you certainly shed no tears. While many may enjoy this spectacle on the big screen in all its 3D glory, if it is stripped of that major selling point, the dialogue, acting, and even the music rarely rise above the mediocre.What astonishes me about this movie is that yet again, the professional critics are raving about it, and it picked up a whole gamut of BAFTA awards including best British film, best Director and best music, and an amazing 7 Oscars, including best director, best cinematography and best music. Call me a cynic, but is this the George Clooney/Sandra Bullock/ 'establishment' connection.?Just in case you think I am alone in thinking that Gravity is just a piece of mediocre dross, let's see what the good folks on IMDb have been saying:'Stop advertising this as a good movie! I just don't understand why this score and all the good reviews over the net are all about This movie has no story development, no character development and the script sucks'Gravity is Weightless. Did those who've written glowing reviews of Gravity see the same movie I did?Honestly, they go on and on.Just what is it with these professional film reviewers and us amateur dummies? Just who is it that knows a good movie when they see one?",3,1,3,14 April 2016
Argo," A good film - pity about the factual inaccuracies.
","This is the film about the rescue of 6 American diplomatic personnel out of revolutionary Iran in 1980. It is directed by and stars Ben Affleck.The movie has won almost every award going and Affleck picked up countless best director awards, and even though he was not nominated for a best Director Oscar, he did pick up the Oscar for best film. This type of movie has never particularly appealed to me, but I have been a huge fan of Affleck ever since his excellent film The Town in 2010, and given the universal acclamation, I decided to give it a go. I wasn't disappointed. It is a very good film. As I heard someone say the other day, it was so good that you got totally caught up in the drama and excitement of the rescue, even though you already knew the outcome. A good movie has the ability to do this, as is evident in such blockbusters as 'The Titanic', where everyone knew exactly what was going to happen.There is little I can find to say in criticism of this movie - but I will try... The cast provided a great ensemble performance, with no single actor being particularly outstanding, and the story romps along at a good pace to prevent our interest and excitement from flagging. All in all a highly enjoyable, and expertly made film, but whether it deserves the superlative accolades that have been showered upon it – I remain unconvinced. Personally, I think that 'The Town' is a much better movie. It's probably just me; I'm sorry but I just cannot find John Goodman believable in any role he has played since he was Roseanne Barr's husband in the long-running American sitcom. To my mind, he always has been and always will be that slob of a working-class father with dysfunctional kids and a nutcase for a wife. Everything else he has tried to do, in my opinion, simply doesn't come off. He certainly doesn't ruin Argo, and does his best to deliver as good a performance, but for me, he is always the slob from 'Roseanne'.There are also a number of totally unnecessary and silly factual inaccuracies. These deliberate errors glorify the America's involvement while disparaging or ignoring the contributions of other countries. This is quite sad, and it took a number of protests before Affleck conceded he had indeed misrepresented the truth. It leaves a bad taste in the mouth - a pity, because in all other respects, Argo is a pretty good film.",7,0,1,18 April 2016
The Danish Girl," A well made movie - but not for everyone.
","If this film had not been amongst the Oscar nominees, I would not have bothered to watch it.I have absolutely nothing against transgender people – indeed, some of my good friends in Thailand have been Thai lady-boys. but I wasn't sure that I really wanted to watch a film about transgender surgery. I also wasn't sure that I wanted to see Eddie Redmayne in drag.Again, I have nothing against men in drag, but it just isn't my thing.As with Brooklyn, the film is beautifully made and I had already fallen in love with the brilliant and beautiful Alicia Vikander following her roles in Testament of Youth (a great film!) and Ex-Machina, (also pretty good).It is Copenhagen in 1926, and Vikander plays Gerda an artist, the wife of Redmayne, who plays Einer, also an artist.Einer believes he is a woman in a man's body and decides to change his appearance into a female and his name from Einar to Lili. Gerda continues to love and support Lili in his/her quest to become a female. Lili becomes the first person to ever undertake transgender surgery.Redmayne was nominated for best actor for this role. Quite frankly, I couldn't see it. I couldn't totally see it last year when he won the Oscar for playing Stephen Hawking; but this time around, it seems that the luvvies of Hollywood have nominated him for the nature of the role, rather than the way he actually played it.He was okay-ish but nothing special. I am sure that there are hundreds of actors out there who could have made a better fist of it – What's wrong with using one of those brilliant Scandinavian actors who all speak excellent English? They act their socks off in their 'Scandi noir' dramas. But Redmayne is the man of the moment and no doubt a draw for audiences.The film is beautifully shot and sensitively directed, and for what it's worth, it does hold your attention, especially when Vikander is on the screen. It's an interesting story, and the setting of Copenhagen in the 1920's makes for some fascinating sets and cinematography.It goes without saying that Swedish Alicia won the Oscar for supporting actress – the first of many I suspect.The Danish Girl isn't for everyone; but if this is the kind of subject matter that appeals to you, you could do worse than give this well- made film the once over.",7,0,1,27 March 2016
Spotlight," I cheered out loud when it won the Best Picture Oscar
","I saw this movie before the Oscar winners were announced. I wasn't particularly attracted to it, as although the subject matter sounded interesting, I was fearful that it might be a rather plodding film – about journalists slowly uncovering a scandal that is no longer as shocking as it was back in 2001.(Indeed, does anything shock us anymore?)As with Brooklyn, I couldn't have been more wrong.In many ways, this is an old-fashioned type of film and brings to mind similar films such as 'All The Presidents Men'. Spotlight, is a well-made, thoroughly professional film that was a joy to watch. It relates the true events of The Boston Globe's investigative reporting unit, who uncovered widespread abuse of children by catholic priests in the Boston diocese. Even more, it uncovered the indefensible and disgraceful cover-ups by senior clergy – in particular, the head of the archdiocese, Cardinal Bernard Law – in order to protect the perpetrators and the 'good name' of their church.Spotlight was the title of the Boston Globe's four-person unit that went into battle against the powerful catholic establishment.They came under enormous pressure from those on high to cease and desist.The film traces events back to the very start of the investigation when there weren't even enough facts to make a publishable story. Later, when it became clear that there was indeed a verifiable story which involved a single abusive priest; the editor refused to publish the story until they had uncovered the whole sorry mess. It was only after the Spotlight team succeeded in gaining access to hitherto court protected documents that they were able to blow the scandal wide open. As soon as their story was published, hundreds more victims of abuse came forward to give their own stories of abuse at the hands of Catholic priests in the Boston area.One priest alone was revealed to have raped or molested 130 children for decades while Cardinal Law moved him around to different churches rather than going to the authorities and having him charged. Cardinal Law also orchestrated secret settlements for claims of abuse made against at least seventy of his priests, in which families were paid to keep silent about the molestation and rape of their children. The cardinal resigned after the story became public, but two years later he was promoted to a prestigious position in the Vatican by Pope John Paul.Since the Spotlight's gritty exposition in 2002, the mass sexual abuse of children has been uncovered in the Catholic Church – not only throughout the United States but all over the world.The tight paced direction, the great music score, and the brilliant ensemble acting by Michael Keaton, Rachel McAdams, Liev Schreiber, John Slattery – and especially Mark Ruffalo – have all made this a film well worth watching. I promise you won't be disappointed.Along with most people, I was fully expecting The Revenant to get the nod for Best Picture, and I actually cheered out loud when they announced the most coveted Oscar of all went to Spotlight. It deserved it.",9,2,3,31 March 2016
Youth," A masterpiece of film-making which will entertain and uplift you in equal measure.
","Michael Caine is yet another one of a small select group of actors who always turns in a great performance and will make any movie he appears in feel a bit special. He is now in his 80's and some of my other favourites, such as Pacino and De Niro are not too far behind in the age ranks. I'm not too sure who is going to replace them in my affections when they finally call it a day - probably no one. The last Caine film I saw was the excellent Harry Browne, in which he plays an avenging, retired marine. The part suited him down to the ground. I am not convinced that Caine was perfectly cast in Youth, although the old trooper pulled out all the stops and delivered his usual blistering performance. Caine was, is, and always will be a cockney. He is pretty good at American accents and he had a wonderful upper-class British accent in the film that made him - Zulu. But in Youth, Caine plays the part of a world renowned, retired maestro - an orchestral conductor on a par with Barbirolli or von Karajan. I'm sorry, but dear old Michael, however hard he tries, doesn't quite pull off the right accent. He wasn't a Malcom Sergeant - not even a Colin Davis. He tries to speak in an educated middle-class accent, but to me, his cockney strains still came through.I doubt if the director, Paolo Sorrentino, who also wrote this fine movie, even realised the problem existed - after all, he's not English. I know Caine was supposed to be a bit of a rough diamond, but how rough a diamond can you be if you have lived and breathed the world of classical music for your entire life. I can't see anyone's cockney accent surviving that. But I guess it's only the English who will notice it.The film's screenplay was very original and the film was beautifully made. Together with Harvey Keitel, who plays an ageing film director, Caine is holidaying at an exclusive upmarket Swiss hotel in the Alps. The hotel caters for the rich and famous where healthy food and exercise is the order of the day. We have a female British pop star (Rita Ora), a very fat Maradonna look- alike, a real Miss Universe, a high-class escort, and many more diverse characters, most of them young and beautiful.Caine is visited by the Queen's equerry, who asks Caine to conduct some of his own compositions for Prince Philip's birthday. He declines - twice. Keitel is surrounded by a ragbag trio of young impecunious screenwriters who are helping him to complete his latest screenplay. The two octogenarians also have their respective son and daughter with them, who are married to each other; but the Keitel's son dumps Caine's daughter soon after the movie starts. So what are all these people really doing there and how do they interact with each other? Will Caine eventually change his mind and agree to conduct for the Queen? Will 'has-been' Keitel get his script finished and will he get the money to shoot it? Will the arrival of feisty Jane Fonda as Keitel's leading lady change anything? Then there is Caine's estranged wife - who is dying.The film quite clearly has Italian roots. There's some titillating nudity and a few doses of 'rumpy-pumpy' to spice things up a bit, along with a healthy dose of surrealism and a lot of laugh out loud, witty humour. It is about two successful men at the end of their lives, thinking back to the days of their youth. It is also about the youths themselves and the intense, fleeting relationships they have with each other. It is a masterpiece of film-making and it will leave you feeling entertained and uplifted. I can't explain why - it just does.My wife, who is Thai, couldn't make head or tail of what was going on, but that doesn't surprise me. She struggled mightily with the dialogue - which is at the heart of the film. In any case, there's no discernible plot in the traditional sense, it's far too Italian for that. As another IDMb reviewer has written, 'Either you love it or you get nothing from it.' I loved it and my wifewell...she...(guess)",9,1,3,28 April 2016
Tinker Tailor Soldier Spy," Overall, it was an enjoyable ride.
","I am a life-long fan of John Le Carré. He is one of my favourite 20th Century authors – and he is still going strong in his 70's. 'Tinker Tailor Soldier, Spy' was a classic of the cold war spy genre and it wasn't long ago that I watched the BBC 1979 adaptation, which I enjoyed very much, although I found the background music somewhat grating. So it was with great anticipation that I sat down to watch the 2011 celluloid version of Le Carré's classic.On the whole I did enjoy it and I think I will probably watch it again as I feel it is that rare kind of film that requires more than one viewing to fully appreciate its 'finer points'. I have to say that if I hadn't read the novel and recently watched the BBC version, I doubt that I would have had much idea about what was going on. The film is a 'film noir' to outdo all 'film noirs' and I think you would have you be a bit of a clever-clogs to really follow all the nuances of the convoluted plot if you hadn't previously read the book or seen the BBC adaptation. But given that I had and I did, I managed to follow where the film was going – just about, as they did change some of the finer points of the story line. I also found some of the scenes quite brilliant in their ability to evoke to a bygone age and atmosphere.I am now devoted fan of Gary Oldman who gave a masterful portrayal of George Smiley, but I do feel that most of the other main characters were pretty one-dimensional. Not the actors' faults, as they were all top drawer, and did their best with the material at hand, but more a fault of the screenplay. The exception to this was Smiley's wife, of whom we only ever caught the briefest glimpses, yet in some indefinable way, we somehow knew all about her. It is a 'patchy' piece of work – brilliant in parts and sometimes baffling, but never, as some have asserted, boring. The plot moves along in brief 'snapshots' of dialogue and action and as a consequence, you have to be pretty quick-witted to fully appreciate what is actually happening. Overall, it was an enjoyable 'ride', and I particularly loved the scenes of the spooks' 70's 'office Christmas party', which were so evocative, grotesque and almost scary. I also loved the ending, but I won't spoil it for you. Oh the music is totally brilliant!",7,2,2,25 April 2016
The Hateful Eight," Most Tarantino Fans will probably like it.
","Although tipped as an early runner for a heap of Oscars, in the end, the only nominations it received were for best supporting Actress (Jennifer Jason Leigh) and for cinematography and music. About par for a Tarantino film. It won for music. (Ennio Morricone)I have always been a keen fan of Quentin Tarantino, who wrote and directed this epic western, but I don't think it is one of his best. Having said that, I am not a particular fan of the western genre, as in my younger days, it was done to death, both by Hollywood and by the television networks.But of course, a Tarantino western is no ordinary western. Darkly comic and violent as it is, in some ways, it is more like an Agatha Christie murder mystery – and is often just as silly and superficial. One man is poisoned, another is shot in the head, another has his head blown clean off and another is hanged, and so on. Almost to the end, we don't know who the baddies and goodies are – in true Christie fashion.The film is a massive 3 hours in duration. It is set just after the end of the civil war and nearly all the action takes place inside a single room of a stagecoach stop in the middle of the Wyoming prairie. Outside, a violent snowstorm prevents anyone from leaving. It could have very easily been a stage play and who knows? One day, it might be just that.The ensemble cast, including Samuel L Jackson and Kurt Russell, are outstanding, although I am not convinced that Jason Leigh should have been nominated for best supporting actress for playing the part of a deranged, violent criminal gang leader. But the superior acting by one and all and the regular insertion of grizzly violence keeps the simple plot moving along quite well.I suspect that Tarantino had planned to make a western masterpiece, but in my opinion, he didn't quite make it. The dialogue is good, without being outstanding. For me, the film was missing something that would take it right out of the ordinary. It didn't quite make the sum of its excellent parts.I can't fault the cinematography, the acting, the brilliant direction, and the great music score and for this reason, I rate this quite highly. The Hateful Eight is not for everyone, but most Tarantino fans will probably enjoy it, unless they are heavy smokers.",8,1,3,27 March 2016
Life of Pi," Funny, exciting, frightening and inspiring - all in equal measure.
","I heard about this novel by Yann Martel some years back when it won the Booker prize, but I confess that the subject matter did not inspire me to sit down and read it. However all the hoo-ha surrounding the release of this movie in 3D, which was directed by one of my 'must see' film directors, Ang Lee, encouraged me to go and see when it opened in 3D here in Pattaya.I loved this movie. It was a visual feast, it was funny, exciting, frightening and inspiring, all in equal measures. It is a magical adventure story about an Indian youth who finds himself adrift in the Pacific Ocean on a lifeboat with a zebra, a hyena, an orang-utan and a Bengal tiger named Richard Parker - all of them fighting for survival. One might imagine that boredom would soon set in such a film in such a setting, (as it did for me in Castaway), but not a bit of it. Indeed, Tom Hanks would probably have benefited from having a dangerous animal or two on his castaway island. The story races along, and there is never a dull moment as the young man struggles to survive and come to terms with the presence of a tiger sharing his space. It is riveting stuff.I have yet to be convinced by the use of 3D in movies and still believe that it will eventually turn out to be a passing fad. But in The Life of Pi, the use of 3D is absolutely stunning and is an incredible feast for the eyes. There is no question that when it is used in particular situations, as it was in this movie, it certainly does enhance the viewing pleasure.Suraj Sharma in the lead role as Pi is a treasure and is totally believable as a young, pubescent teenager coming to terms with his situation with humour, angst and not a small amount of courage and ingenuity. As the story drifts further and further from reality, there is an intriguing twist in the tale, which I will not recount and so spoil your viewing pleasure, but will simply say that for me it was the 'icing on the cake' of a highly entertaining and thought provoking film. Well done and thank you to Ang Lee and Yann Martel.",10,0,2,18 April 2016
