movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," Blade Runner 2049 did to Blade Runner, what Rogue One did to A New Hope.
","Blade Runner 2049 is not only one of the best Sci-Fi films to date, but has instantly become one of my favorite films of all time. It is first a piece of art before being a means of revenue, and was the best and only approach to the classic film that anyone could have asked for. It not only answers dying questions but presents news ones, and is a great addition to the beautiful landscape of the Sci-Fi genre as probably one of the best films that the genre has ever seen. The acting is superb, the visuals are to die for, and the story is unforgettable. Sure some might argue that the pacing of the film is slow at times and some characters are left underdeveloped, but Blade Runner 2049's negatives come with their trade offs. Both Zimmer and Wallfisch bring back Vangelis' iconic score in a new and creative way, and Villeneuve has solidified himself as one of the greatest directors of our time. In the end I decided to give Blade Runner 2049 the highest rating I could possibly give it, as it won itself The Golden V as well as 'Straight V's' on theVade Review Bar or a 10 out of 10. And with all that being said, my closing thoughts on Blade Runner 2049 are ironically the same as to what the film is meant to represent. It is a replicant that is more human, more masterful, and more beautiful than its original will ever be.Read more at theVade.",10,3,16,8 October 2017
Sherlock Holmes: A Game of Shadows," The better of the two films.
","Sherlock Holmes: A Game of Shadows was ultimately the better of the two films, and was honestly a fun and entertaining movie. Although the movie suffered from pacing issues in the first half of the film, the villain and twist definitely made up for the boring first half. And even though I wanted to give this film a 'Very Good' on theVade Review Bar, an alright first half and a very good second half just don't add up to be a 'Very Good' in the end. So with that being said, I decided to give Sherlock Holmes: A Game of Shadows a 'Good' on theVade Review Bar or a 7 out of 10. It is a fun film with one of the best villains I've ever seen, and yet it suffers from some minor pacing issues. But still go out and watch this film as the third installment might be on its way very shortly..Read more at theVade.",7,2,2,11 July 2017
10 Cloverfield Lane," It's worth renting, but not a buy in my opinion.
","10 Cloverfield Lane was a good movie, and definitely one I'd recommend. Was I disappointed I didn't view it in the theater? No. 10 Cloverfield Lane was a good late night movie full of some surprising twists. The plot and pacing of the movie were very well done, but I felt the end and some character arcs lacked a bit in detail. So to finish things off, I decided to give 10 Cloverfield Lane a 'Good' on theVade Review Bar or an 7 out of 10. It's worth renting, but not a buy in my opinion.Read more at theVade.",7,5,8,11 July 2017
Catch Me If You Can," There wasn't much that I found wrong or exceptionally great about this film.
","There wasn't much that I found wrong or exceptionally great about this film. It had some great comedic moments, and I felt that it was an entertaining flick all the way till the end. How much of it is true is beyond my knowledge, but for a man to get away with so much.. it's kinda crazy. I will say that other than the great characters and their development, this did not feel like a Spielberg film. It just didn't have that masterful touch that I usually get from his other films. Is that bad? Well, no. It just doesn't feel like his best movie. So in conclusion I gave Catch Me If You Can a 'Good' on theVade Review Bar or an 7 out of 10. Although I wanted to give it an 'Alright' this film's characters and actors were outstanding and really made this film a good movie. The small issues with how the story was told, and Jennifer Garner's character (kidding) really held this film down from being a truly memorable one. If this film showed each event in chronological order this movie would have had great suspense and would have be a great movie overall, yet all it really gives us was Jennifer Gardner, and no one really wants that.Read more at theVade.",7,3,4,11 July 2017
It," One of the greatest horror films that I think the genre has ever seen.
","Other than some really really minor issues I had with the film, It ultimately provided audiences with one of the greatest horror films that I think the genre has ever seen. The fantastic cast, characters, scares, and tone leaves this as one of my all time favorite movies, and a film I will have no problem watching in the years to come. Because of It's fantastic direction in its story, acting, and execution, I have decided to give It The Golden V as it also receives 'Straight V's' on theVade Review Bar or a 10 out of 10. Chapter Two cannot come any faster, as it has me counting down the days until 2019, but until then I will just have to continue reviewing horror films with the constant line of, 'Still not as good as It.'Read more at theVade.",10,5,10,13 September 2017
Detroit," A little unworthy of the big screen.
","Although this was a great film with some minor flaws in its pacing and exposition, it still provided some incredibly tense moments and some great acting. There are of course some times where you begin to ask yourself how much is fiction and if that could truly happen, but then again this was a completely different world that these people lived in 50 years ago. In the end I decided to give Detroit a 'Good' on theVade Review Bar or a 7 out of 10. Although this is a story that everyone should know and remember, it's a story that only takes a half hour to tell, which is a little unworthy of the big screen.Read more at theVade.",7,2,7,16 August 2017
Memento," Nolan nails it again.
","This was a great film, and another favorite from Christopher Nolan. The story was fantastic, the acting was superb, and what else is there to say? Nolan nails it again. Sure there was a few issues with the pacing in the beginning of this film, but in all it was completely necessary to explain the unique type of storytelling that this film uses. So with that in mind, I decided to give Memento a 'Very Good' on theVade Review Bar or a 9 out of 10 since it is just another great film from the Nolan brothers.Read more at theVade.",9,1,2,11 July 2017
Rogue One: A Star Wars Story," Rogue One is the prequel you're looking for.
","Rogue One is not only one of my favorite Star Wars films, but also one of my favorite films of all time. The great story, characters, visuals, and so forth made this film incredibly memorable, as this movie will hold a special place in my heart. Although the score sucked, and the pacing was a little choppy in the beginning, I can forgive most of that. In the end, I decided to give Rogue One 'Straight V's' on theVade Review Bar or a 10 out of 10. So yes, Rogue One is the prequel you're looking for.Read more at theVade.",10,6,8,11 July 2017
Passengers," Just a good movie.. Barely.
","After thirteen months or waiting, horrible marketing techniques, and numerous issues within the film, Passengers ended up being a good movie in 2016 yet not the best movie of 2016. So with that I decided to give Passengers a 'Good' on theVade Review Bar or a 7 out of 10. With so much going for it, I felt like what I looked forward to the most about this film (the screenplay), ultimately turned out to be what I didn't enjoy the most about this film.Read more at theVade.",7,3,5,11 July 2017
Zootopia," One of Disney's most political movies I've ever seen.
","Zootopia was another great Disney film, and the better of the few that they've made in the past decade. Yes, Disney and Pixar are two DIFFERENT entities. So to conclude, I decide to give Zootopia a 'Good' on theVade Review Bar or a 7 out of 10. The film had fantastic characters, animation, and adult (semi) references, but its lack of clarification on its exposition, and forced relationship issues just bogged down the movie a little too much, to the point where I felt the need to dock the movie for those issues. In the end Zootopia is one of Disney's most political movies I've ever seen, but the use of fluffy little animals still doesn't give it enough momentum to make a change in the real world. It does make for a good kids movie, though.Read more at theVade.",7,2,6,11 July 2017
