movie_title,title,review,rating,helpful,total,date
"Run, Fat Boy, Run"," One of the better Rom-Coms out there
","Okay, I don't DO Romantic Comedies. I have an absolute aversion to anything even remotely resembling a love-story with laughs. There are notable exceptions however, 'Eternal Sunshine of the Spotless Mind' being one of them, and now 'Run Fat Boy Run'. For a start, Simon Pegg is in it. As an actor he's hilarious. He manages to play his role with a self-deprecating air with a character that in less skillful hands would have been completely unlikeable. Thandie Newton is also in it, and as usual, she's luminous and turns out a star performance. Hank Azaria pulls a performance out of nowhere. Usually I can't stand him, but in this he's actually funny, and girls, check out those abs! OMG! The best thing about 'Run Fat Boy run' is that, unlike most Romantic Comedies, there is no lag in the middle. It's played for laughs all the way and hilarious throughout. Thank you Mr Schwimmer for restoring my faith in romcoms!",7,1,2,2 September 2008
Lucky Number Slevin," Either very good or very bad
","I just can't make out 'Slevin'. I am in two minds, its either very good or very bad. It's far too clever for its own good and just a little pretentious. Josh Hartnett takes on a great role switching from good to bad guy with ease and Bruce Willis is okayish as an aging hit man. Ben Kingsley and Morgan Freeman are the two bad guys and play their respective roles with relish, Morgan Freeman as a bad guy? Horrors! Stanley Tucci has the sexiest role he's ever played and predictably goes out with a bang. Lucy Liu excels as a sweet female lead, with none of the kick-ass attitude she usually has. The real problem I have with it is that it's so UGLY. The cinematography is gritty and has a retro look to it and the apartments are all decorated in 70's kitsh. Yuk!",5,1,4,7 January 2007
In Bruges," Effing funny!
","'In Bruges' is easily the funniest movie I've seen this year! Brendan Gleeson shines in his role, Colin Farrell is sweetly believable and Ralph Fiennes steals the show. The supporting cast is also outstanding, ably supporting the stars. Bruges is beautiful, a fairy tale town I'd never even had heard of before this movie! The script is a cracker..the dialogue sparkles and the banter between Brendan Gleeson and Colin Farrell is hilarious! 'In Bruges' is one of those films that demands repeat viewings simply because you're laughing so hard that you might miss the next one-liner. Admittedly, it may be offensive to those of a sensitive dispostition, but if you watch it with an open mind, you'll be surprisingly entertained. My favourite movie of 2008 so far!",10,3,7,18 November 2008
Se7en," Dark and chillingly brilliant
","Se7en takes the tired and clichéd serial-killer genre and twists it on it's head. Literally. Andrew Kevin Walker wrote a doozy of a script and the acting by a stellar cast is superb. Morgan Freeman and Brad Pitt match each other scene for scene and Kevin Spacey's performance is nothing short of outstanding. He is chillingly believable as the morally ambiguous serial killer. The only one who disappoints is Gwyneth Paltrow, her character not given much time to develop due to not receiving much screen time. The final scene between the three male leads is electrifying. The cinematography is bleak, raining in almost every scene except the last. The denouement is shattering and leaves one feeling very unsettled. Despite there being little to no violence on- screen, it is extremely dark and chilling. This is a movie that will leave you questioning the morals of the world around you. David Fincher directed a movie that is nothing short of a masterpiece. One that demands multiple viewings.",10,1,2,14 November 2010
Shaun of the Dead," My favourite Rom-Zom-Com ever!
","As far as Romantic Zombie Comedies go, 'Shaun of the Dead' is the best of the genre! What? It's the ONLY one of it's genre? No way! But, that's where 'Shaun of the Dead' excels, it's original. It's audacious. It's HILARIOUS. The funniest zombie movie, intentionally funny, at that. Most Zombie horrors take themselves far too seriously and 'Shaun of the Dead' pokes fun at them every step of the way. The script is an absolute cracker! The cast, not one of them can be faulted, are uniformly excellent. Bill Nighy has great fun in a relatively minor role and adds weight to the film. I saw it, and promptly went out and bought it on DVD, so that I can enjoy it over and over again. The soundtrack is best of British, one scene in particular, with Queen's 'Don't stop me now' is absolutely inspired. A British comedy masterpiece.",9,2,5,2 September 2008
Pirates of the Caribbean: Dead Man's Chest," Overblown and overlong
","Hmmm...I really wanted to enjoy this. I LOVED the first one! Johnny Depp is the coolest pirate in the world and Orli is just gorgeous BUT Keira Knightley is just the most overrated actress on the planet. (Barring Scarlett Johannsen) Dead Mans Chest is just too long and overdone. While it does have some magnificent set-pieces, it's just TOO MUCH! The giant wheel scene goes on and on and on and on and on....... The script is bog-standard and the acting okayish. Bill Nighy steals every scene he's in though. Gotta love him! Having said all that, however, the cinematography is pretty and the effects rather spectacular and everyone looks like they're having a real good time. I hope the third instalment redeems the series.",5,4,6,28 December 2006
Hot Fuzz," Hilarious!!!
","'Hot Fuzz' is hysterical. Simon Pegg once again proves why he's regarded as one of the funniest guys in the UK! As Nicholas Angel, he's a cop-on-a-mission, making the rest of guys in his unit look bad, which Bill Nighy tells him in one of the films funniest scenes. He gets transferred to a village deep in the heart of the English countryside and once he gets there, he proceeds to show the local yokels how it's done. Simon Pegg is hilarious in his role and Nick Frost once again is his able stalwart. Other notables hold their own in 'Hot Fuzz', notably Martin Freeman, Billie Whitelaw, Jim Broadbent and Paddy Considine. It also stars one of the best Bonds, Timothy Dalton, who turns in a wonderful performance as a sleazy bad-guy, 'Hot Fuzz' is worth watching for this character alone!The humour is as dark as it gets and it's not suitable for kiddies, although having said that, my two year old niece managed accidentally to watch parts of it, and giggled delightedly at the sight of two grown men chasing a swan! :)Not to be missed!",9,1,2,2 September 2008
Juno," Pretentious and overrated
","Okay, the acting is good. It's worth seeing only for Alison Janney and JK Simmons' performance as Juno's parents and even the usually dull Jennifer Garner shines, but where Juno fails is that the subject matter is treated very lightly and the character Juno herself takes her predicament far to lightly and finds a solution to her 'problem' extremely easily and without much emotion at all. The script is horrible, peppered with words like 'Dude' and 'like, totally, whatever'. Juno is supposedly so intelligent and yet speaks like a twelve year old and yet wasn't mature enough to have protected sex? Huge plot hole, Miss Cody!!! Diablo Cody did NOT deserve her Oscar. The film is pretentious and extremely overrated.",5,13,21,1 September 2008
Pirates of the Caribbean: At World's End," Great fun!
","Okay, it's a mess, it's busy, but oh BOY is it FUN!!! A fitting end to the POTC trilogy, (Hmm, we'll see about that!) 'At Worlds End' sees the gang reunite to fight the East India Company for their freedom. It's a whole lot of fun, the script sparkles and Johnny Depp relishes his role as Captain Jack Sparrow. It's fair to say that he's carried the series. Keith Richards makes a surprise appearance halfway through the movie as Capt Jack's father, and the interaction between them is hilarious. Orlando Bloom's character Will Turner seems to take a back seat to Elizabeth Swann which is a great pity because Miss Knightley is not the world's greatest actress and screeches half of her roles like a fishwife in a market. Geoffrey Rush also has great fun with his role as does Bill Nighy as Davey Jones. The addition of Chow Yun Fat is a good one, he also has great fun in his role. All in all, a fun movie for the family, so long as the kiddies aren't too young as the three hours plus running time may be a little too much for them.",8,4,5,25 June 2007
Tinker Tailor Soldier Spy," Vintage Le Carre brilliantly told!
","No-one does a Spy thriller better than the British and 'Tinker Tailor Soldier Spy' ranks as one of the best. This is vintage Le Carre (A fantastic novel that I waded through in the late 80's) and its themes of class, corruption, moral uncertainty remain intelligently intact. On the other hand, you may struggle to fathom what the bloody hell's going on. This is a film that assumes it's audience has a brain, in fact it almost insists on it. Concentrate and you will be richly rewarded. The script is flawless, the direction faultless, the cinematography is stunning, evoking a murky 1970's London. The cast is absolutely magnificent. Gary Oldman, John Hurt, Colin Firth, Ciarian Hinds, Mark Strong (playing against type), Toby Jones, the delicious Benedict Cumberbatch, Kathy Burke and the gorgeous Tom Hardy. One of the best movies of the decade. 10/10",10,2,5,29 May 2013
