movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," 'A stunning sequel that truly belongs.'
","Blade Runner 2049 is directed by Denis Villeneuve and stars Ryan Gosling, Ana de Armas, Robin Wright, Jared Leto, Sylvia Hoeks, Harrison Ford, Mackenzie Davis and Dave Bautista.A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years. (15 cert, 163 mins)The year is 1982. Ridley Scott's Blade Runner has been poorly received in its theatrical run. Jump forward to 2017. Blade Runner is widely regarded as one of the most skilfully crafted world-building sci-fi achievements in film history. A sequel is upon us. Blade Runner 2049 is here. But how does it perform? Does it require you watch the original? The answers I give you are simple and will not spoil a thing.Denis Villeneuve is one of the best directors working today. Arrival. Sicario. Incendies. Prisoners. Enemy. He has an incredible body of work to fall back on. When I heard the news of Villeneuve directing a new Blade Runner, I was intrigued. I knew that he could create something truly brilliant, and he has. To answer the questions above; it performs extremely well. Not only does it continue the story faithfully, it's perfectly able to stand on its own. However, I'd highly recommend watching the original before seeing this. Like it or not, it acts as the foundation for this sequel. Despite the huge gap between the two films, the story and characters feel consistent. It hasn't been tacked on just to earn money, in fact the box office numbers prove otherwise. This is a worthy sequel that truly belongs.Ryan Gosling leads with what looks to be a simple, single-shaded character but as the film unfolds, the layers of his performance do so too. By the film's end we are totally connected to Officer K, just as much as Deckard, played by Harrison Ford in a surprisingly strong and brilliant returning act. Alongside the aforementioned are a talented range of actors who each bring life to their wonderfully textured characters. Robin Wright is remarkable. Jared Leto performs with complexity, creating the strange yet fascinating presence of Niander Wallace. Sylvia Hoeks is the menacing Luv, and one of my favourite performers in the film. Ana de Armas and Mackenzie Davis are both delightful supplements. This cast is incredible.Just as before, the futuristic vision of Los Angeles is intricately created and every single set and location looks the part. I'd liked to have seen more of the dystopian city, but I have to admire the direction to delve into the unfamiliar and expand the world of Blade Runner. It's been 30 years since Deckard disappeared, so you'd expect some advancement in technology and whilst there may be slight improvements, the world is at a stand-still after the 'blackout' 27 years prior.After working together on two projects previously, Villeneuve enlists Roger Deakins as director of photography and the result is stunning. Each frame tops the last. Even in its state of stillness the camera feels very much alive. Somehow, Deakins manages to capture the bleakness in such a way that it's simply beautiful to look at. Even when the film reaches its slower moments you can rely on the cinematography to keep you invested. Paired with this is the incredible sound design, tearing through the frames like a knife to a painting, but in no bad way. This leads me onto something very important; music.The music was such a huge part of the original Blade Runner, with Vangelis' beautiful synth-driven score. In order for 2049 to fully return us to that world, it required a worthy composer. Given Villeneuve's relationship with Jóhann Jóhannsson, it was no question he would take on the challenge. However, as the film neared completion the music wasn't capturing the feel intended, and so Jóhannsson was out. With very little time, Benjamin Wallfisch and Hans Zimmer stepped up and provided the film with some of the best synth work I've heard in years. It's dark. It's gritty. It's loud. Most importantly, it captures the sound of Vangelis' work on the original, but takes it in a whole new twisted direction. The duo have delivered something that may split audiences. It's not as melodically pleasing as I'd hoped, and I could wish for more cues like 'Mesa,' but I truly believe the score fits perfectly in the atmosphere of this film. It doesn't shatter what was created before, that goes for the music and the film itself. It simply builds upon these creations and provides a faithful continuation. Here's how I'd put it; Vangelis created warmth, Wallfisch & Zimmer created coldness. Watch both films with that in mind and you'll start to notice it.Without saying too much; I found it to be better than the first, most notably in the storytelling. Beyond a few moments of slow-pacing, I can't fault it. This will go on to be a sci-fi classic, without a doubt.Verdict; Blade Runner 2049 is a stunning sequel that truly belongs. A careful continuation, yet standing on its own. This is one of Denis Villeneuve's best works.Blade Runner 2049 – ★★★★★ (9/10)",9,3,14,8 October 2017
Zootopia," Heartfelt and extremely fun.
","Zootropolis is directed by Byron Howard, Rich Moore & Jared Bush and stars the voice talents of Ginnifer Goodwin, Jason Bateman, Idris Elba, Nate Torrence and many, many more.Judy Hopps is a courageous rabbit who has only one wish, to be an officer in the Zootropolis police force. Though, after a day in the city, she learns how tough it is to strive in enforcing the law. After attempting to prove herself to her boss Chief Bogo, who doesn't believe in Hopps, she hatches a plan with mischievous fox Nick Wilde to crack a conspiracy case much bigger than themselves.Zootropolis is a stunning combination of fun and heart. It has laughs and it has drama. It's beautifully animated and carefully thought through with a story filled with adult themes as well as the usual child-friendly humour. The movie picks at a lot of the problems our world is currently suffering from, so the timing couldn't be more perfect.Ginnifer Goodwin and Jason Bateman have admirable chemistry as our misfit pair of heroes and push the story along gracefully. There are a lot of fun characters that instantly become highlights such as Flash the Sloth and Clawhauser the ZPD receptionist. There are many references to other movies and TV shows including Breaking Bad and The Godfather which are very secretive for the younger audience but hilariously obvious for the adults. I love everything about this movie. The original score by Michael Giacchino is pumping with life and energy. Including many instruments catered to the scenes, this is another fantastic frame of work by Giacchino that will please fans and audiences alike. It's fun, action-packed and features loads of refreshing sounds & melodies.The animation is smooth and incredibly detailed throughout, with an extreme amount of colour and being. There's lots going on around the main characters and will open the eyes a little more than any of Disney's previous efforts. My verdict; Zootropolis packs a punch with a talented cast, a fun screenplay, crazy action and a whole lot of awesome music by Giacchino. This is yet another brilliant piece of work by Disney and will undoubtedly do wonders in the domestic and international box office. This is just as much one for the adults as it is for the younger audience. Zootropolis, 8/10.",8,6,13,3 April 2016
The Danish Girl," Remarkable, but not a masterpiece.
","The Danish Girl is directed by Tom Hooper and stars Academy Award Winner Eddie Redmayne, Alicia Vikander, Ben Whishaw and Matthias Schoenaerts. Loosely inspired by Danish artists Gerda Wegener and Lili Elbe, The Danish Girl explores the marriage of Lili & Gerda as they experience Lili's ambitious journey as a transgender pioneer.Eddie Redmayne returns to the screen with admirable strength and skill, with such a diverse character to play. He is as convincing as Lili Elbe as he was Stephen Hawking. With his incredible portrayal in The Theory Of Everything, capturing everyone and gaining major attention from critics and the Academy, Redmayne is an actor who has stepped into the spotlight for filmmakers. And respectfully so. His portrayal of Lili in this film is remarkable, well handled and instantly worthy of the recognition. He gives off an electrifying performance and very emotionally attaches himself to the personality of this character. A truly brilliant performance. Alicia Vikander is magnetic as Gerda, she just clicks. Again, a very emotional performance throughout. I do believe she deserves more attention from the critics than she's getting at the moment. These are two of the four outstanding factors of this film. The third is the music by Alexandre Desplat. Absolutely beautiful piano melodies and string motifs as usual. He always writes with impeccable focus on the visuals and the touching performances on-screen. This is yet another score by Desplat that I will be happily purchasing.The final pillar holding this film up is the visuals. The camera work is stunningly supportive of the story and screenplay. Slow, intimate and colourful.Apart from these four points, I couldn't really attach myself to the film or its story. I felt it outstayed it's welcome after the 90 minute mark. If it were shorter by around 20-30 minutes I believe it would have flowed easier with less moments that felt out of place or less meaningful. Which is a bit sad when this is a story about such a compelling and controversial subject. It was handled with love and care but I didn't find myself feeling enthralled by anything particular. Don't get me wrong, it's very nicely written. But I wasn't deeply engaged as much as I should have been. It's a shame. I do, however, believe that it's a film that should be seen by everyone, and discussed beyond the award ceremonies. My verdict; The Danish Girl is a piece of art in itself for its wonderful visuals, music and performances by Redmayne and Vikander. If a little more care and attention was applied then this could have been a modern masterpiece. But don't let that turn you away, there's still something deeply planted in this film.'I think Lily's thoughts, I dream her dreams. She was always there.'The Danish Girl, 7/10.",7,10,16,25 January 2016
The Irishman," 'I heard you paint houses.'
","Watched at LFF 2019 Closing Night Gala.Well, those three and a half hours flew by graciously. This is a hefty, meaty film. De Niro, Pacino & Pesci - ALL phenomenal. Pacino especially stole the show for me. What Martin Scorsese accomplishes here is something of a cross between GoodFellas and The Wolf of Wall Street, with sprinklings of the rest of his work throughout.The de-aging (which seems to be the talk at the moment) is pretty solid. Once you adjust your eyes, you forget it's even there. I will say though, the actors are old now, and they clearly don't move like they used to. So it's not so much the 'younger skin' that would be a giveaway, but the way in which the actors move and carry themselves.It is a long film. But not once did I feel like it was outstaying its welcome. The last hour and a half was particularly enjoyable for me - there were some real nice moments between several characters. The script is juicy, with a mix of hilarity, preciseness, and even a little poignancy.It may be the post-film hype talking here, but I think The Irishman is Scorsese's best. It's certainly my favourite piece from him. It feels like a farewell. We'll see how that fares when I rewatch next month on its official release.",10,37,81,15 October 2019
The Hateful Eight," 'Got room for one more?'
","The Hateful Eight is directed by Quentin Tarantino and stars Kurt Russell, Samuel L. Jackson, Jennifer Jason Leigh, Walton Goggins, Demián Bichir, Tim Roth, Michael Madsen and Bruce Dern. Some years after the Civil War, in the cold winter of Wyoming, a hangman and his prisoner stumble upon a bounty hunter looking for a ride in their stagecoach. With conversations had and deals made, they head up a way until they bump into a soon-to-be Sheriff. The only thing these folks seem to have in common is their destination: Red Rock. But on their journey they are forced to hold up at a stagecoach stopover cabin called Minnie's Haberdashery until the blizzard calms. As time passes by, the eight folk start to get a little eager to figure out who each of the men really are...Firstly, I was lucky enough to attend a special roadshow event for this movie, and I am glad I spent the (now incredibly reasonable) £20 ticket admission price. The movie was presented in Ultra Panavision 70 and projected on the classic Cinerama single-projector system. There was a musical overture to start, with an intermission after the first act of the movie. We were also given programs as memorabilia. This is a roadshow. And since the 50s-60s, hasn't been done in this fashion. Tarantino was very specific and direct in how he wanted to shoot, and present this movie, and has done so, wonderfully. Special thanks to the staff at ODEON Leicester Square; working the projectors - a seamless run, with no problems.The Hateful Eight is an experiment, of sorts. Tarantino wanted to see what would happen if he threw eight strange and compelling characters together in a small space and see what would happen. This is reminiscent of his first movie, Reservoir Dogs, yet has so much more strength in character background and screenplay that it completely blows it out of the park. He has a drive to get long, beautiful and interesting shots that can last 30 seconds to 1 minute, with no cuts. The opening shot lasts around a minute or two, with the full credits of cast and crew appearing on screen with haunting music by legendary Maestro, Ennio Morricone. When you're watching a Tarantino movie, you're getting an experience that no one else can deliver quite the same way. The acting all around is just outstanding. The 'hateful eight' are incredibly strong characters that interact with each other with so much energy that it would be ridiculous if it were to miss out on Awards season. From Russell and Jackson, to Jason Leigh and Roth; the charisma in both taking everything they've got to portray these characters as Tarantino imagined, and delivering lines, was spot-on. They are genuine, realistic performances.The script is roaring with strength throughout, with quotable lines and humour. This is something that needs to be perfect, or near-perfect in a movie. But with The Hateful Eight, being a dialogue-driven event, it needed to be interesting. Tarantino has worked up a wondrous script with so much life and passion that it completely takes control of the movie and doesn't let up one bit until the credits roll. This is how you make a good western. It has that classic 'who done it' thriller genre nailed down tightly. There hasn't been one like this for a long time, so it's much needed. Music by Ennio Morricone is hauntingly beautiful, making a big return to the western scoring front after 40 years, with original music bleeding through the landscapes and performances by all of the cast. I had listened to the score before seeing the movie and was curious to see how it fitted with the picture, but Morricone being the genius that he is completely changed the way I listen to the score. It fits perfectly with the story. This could be one of the last western scores that he releases, and I believe it's a triumphant return.Visual effects are few and far between but if you're familiar with Tarantino's work then you know there's some violence and gore in there somewhere, which is correct, and it's over the top and extremely bloody. Which I'm a huge fan of, so I was absolutely loving it. There's more I could say but that would eventually mean spoiling and that's something I really try to avoid. My verdict; The Hateful Eight kicks off 2016 in style, with the largest 70mm release in over 20 years. If you have the chance, get to a cinema that's screening the movie in film, it's absolutely worth the price of admission. Quentin Tarantino is still on his filmmaking high and I'm sure will continue this reign of storytelling for years to come. The Hateful Eight, 10/10.",9,16,38,10 January 2016
Moana," 'Exciting visuals, high-spirited characters and a rich soundtrack.'
","Moana is written & directed by Ron Clements, Don Hall, Chris Williams and John Musker and stars Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison and Jemaine Clement.In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod and set things right. Walt Disney Animation Studios are famously known for pictures such as Zootopia, Frozen, Wreck-it Ralph, Snow White, The Lion King and many, many more. But, Moana is different. Something about this film really intrigued me - more than just the animation, as usual - and that was the title character, Moana. She's not a princess, and this is stated by the fiery sea voyaging enthusiast, voiced by Auli'i Cravalho, many times during the film. She has a vast amount of abilities and charisma, with a beautiful array of colourful characters to support her in her calling to save the world. I also noticed that, unlike Frozen, the original songs haven't been so incredibly 'out there' during the film's release. This is something that stopped me from seeing Frozen back in 2013 and to this day I still haven't watched it. I didn't like the music I was hearing, but with Moana it's entirely different. I really enjoyed the songs in this film. They have been carefully placed throughout and wonderfully performed by the cast. I must congratulate Auli'i Cravalho on her successful debut and praise her strong vocal range. There's a real cherishable warmth present and it only gives more to the delightful story. Dwayne Johnson is a surprising addition to the list of memorable moments from this film. His character, Maui is hugely energetic, adding a fun and witty shade to the bond between himself and Moana. The supporting cast also did a terrific job of bringing their characters to life, highlighting Rachel House as Grandma Tala. As a big fan of animation and having studied it briefly before, I was excited to see Ancient Polynesia come to life with some of the greatest animators working on the project. With a lot of research and delving into the history of Polynesians, the team have done an extraordinary job of crafting and fine-tuning these characters and environments. The animation is smooth and the visuals vibrant, with some subtle details which most may never notice, but eagle-eyed viewers will love.The original score by Mark Mancina is somewhat disappointing, but only in its overall pay- off. The approach is great, using some of the traditional instruments with the support of Opetaia Foa'i's knowledge in the musical background, but these aren't used nearly as well as they should have been. However, the themes are nicely composed and, as aforementioned, the original songs by Foa'i and Lin-Manuel Miranda are basking in tenderness.Simply put, Moana is a blast. Everyone involved has brought something great to the table and it shines through blissfully. I'd like to see more of this world explored in the future. Not so much in a direct sequel, but with the cultural history and environments so gloriously presented in this film, it would be hard to let go. That said, I've always admired Disney's creativity and diversity. Verdict; Moana utilises a fine blend of exciting visuals, high-spirited characters and a rich soundtrack, becoming one of Disney's finest films yet.Moana, 8/10.",8,2,12,13 December 2016
Spider-Man: Homecoming," 'Tom Holland's Spidey is the best yet.'
","Spider-Man: Homecoming is directed by Jon Watts and stars Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau, Jacob Batalon, Laura Harrier and Zendaya.Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in New York City while fighting crime as his superhero alter ego Spider-Man when a new threat emerges. (12A cert; 133 mins)With this being the third iteration of the friendly neighbourhood Spider-Man, and the first in the Marvel Cinematic Universe (MCU), it can be said that the origins are well-known, as is the character. The concept of another reboot was a surprise for many, some liked the idea, others didn't. I was within the latter. That said, with the announcement that Spidey would be joining the MCU, I was curious. Directors Anthony & Joe Russo handled the use of Spider-Man perfectly in Captain America: Civil War. Tom Holland won me over. He became a glowing highlight for me and many others. After that; I was excited to see Spidey in his own movie again.Finally, after a long year of waiting; we have Jon Watts' Spider-Man: Homecoming. Crossing between 'high school romantic comedy' and an action-packed adventure, this telling of Spidey's roots is refreshingly fun, albeit a little messy. Instead of introducing Peter Parker all over again, we're thrown right into his world. Peter is struggling to balance his superhero antics with his high school life, but when he discovers a new threat, he begins to hear a calling.It begins very strongly, setting up the villain and continuing the overarching story from Civil War. But, as Tony Stark (Robert Downey Jr.) mentors Peter, his involvement becomes a tedious distraction. I understand that Peter (Tom Holland) is a kid, but I want to see his evolution into the strong asset that he can be. Every time Spider-Man tries to help, Stark is there to bring him back down. I get it, he's being protective. But, this is supposed to be Spidey's movie. I felt it was a little choppy with its storytelling and wasn't quite sure on its comedic placement. There were times when a serious tone was present, which is exactly what is required to help you connect with the characters, but then it pulls you out with a misplaced joke. That said, there were a couple of serious scenes that were played out very convincingly by Holland and Michael Keaton. Especially within the third act, as Stark's presence seemed to have dissolved quite significantly.Apart from a few misguided comedic elements, Spider-Man: Homecoming is highly entertaining. Tom Holland is the best Spidey yet, there's no denying. There's a great balance between his life as a student and his Stark 'internship.' He delivers his lines brilliantly both in and out of the suit. Also, his interactions with Jacob Batalon are perfect, they capture 'nerdy youth' in a nutshell. Then comes Michelle (Zendaya), a sassy student who keeps an eye on Peter and his happenings. She becomes a fun addition to the cast and I hope to see her return in the future.As aforementioned, Keaton delivers his lines very well. The character of Vulture is dark and not be messed with, and this is evident right from the start. There's a clear reason behind his path in life, and it's revealed momentarily. Aunt May (Marisa Tomei), Happy (Jon Favreau) and Liz (Laura Harrier) all appear in smaller roles, but present a likable charm and a comedic element that works splendidly.The cinematography and editing is smooth and clean, no scenes with jarring issues or a misunderstanding of what's happening on-screen. Everyone in the special and visual effects departments have done a skillful job with the action sequences, it's all very easy to follow and great to look at. Something I was very pleased with was the sound. This film sounds incredible. Any time you see the Vulture coming, you feel the air pulsating and the low frequencies crunching. Truly amazing work by all involved in the sound design.Michael Giacchino's original score is functioning as it should, with memorable motifs and an energetic funk, but as its own listening experience, it can be a little bland. However, it does support the picture as it should, and becomes a fine component to the overall experience.Verdict; Though Stark's involvement can be tedious and the comedy a little misused, Spider-Man: Homecoming is still an enjoyable action-packed thrill ride. Tom Holland's Spidey is the best yet.Spider-Man: Homecoming – ★★★★ (7/10)",8,2,9,11 July 2017
Suicide Squad," One of the most enjoyable comic book movies in recent years.
","Suicide Squad is directed by David Ayer and stars Will Smith, Margot Robbie, Jay Hernandez, Adewale Akinnuoye-Agbaje, Joel Kinnaman, Jai Courtney, Cara Delevingne, Viola Davis, Karen Fukuhara and Jared Leto.Following the events of Batman V Superman, a secret government agency recruits a group of extremely high-profile super-villain prisoners to execute black ops missions in exchange for clemency.First off, this was hugely superior in contrast to Batman V Superman and ultimately worked a hell of a lot better. Margot Robbie is energetic and crazy as Harley Quinn, delivering one of my favourite performances of the movie. Will Smith is awesome as Deadshot, I loved his character. We get to see a little more of his back story than others, and at times I felt I could really side with his decisions. It's great to see Smith back at his best and looking like he's having the time of his life. Hernandez, Akinnuoye-Agbaje, Courtney and Davis were all casted well and gave us realistic performances throughout. Fukuhara takes her first movie role in style with a kick-ass persona and tightly choreographed action sequences. Delevingne was fairly average as Enchantress, often being great and other times not so much. However, she is still new to the acting world, and therefore needs time to settle. Overall, she was a beautiful and interesting character. Jared Leto's take on the Joker is very different to what we've seen before, and one of the most anticipated portrayals this year. Leto settles into the role brilliantly with his bright green hair and broken teeth, giving his unique take on the famous character. Although I enjoyed his scenes, he simply didn't get enough screen time to allow me to fully judge his portrayal. I can't comment on his story or overall characteristics other than the fact that he's a hard thinker and at times unpredictable. I look forward to seeing him in a bigger role, either in Harley's solo movie, or somewhere else in the DC universe. All of these characters have great chemistry with each other and share some genuinely touching moments, most notably Deadshot and Harley Quinn.The visuals are vibrant and eye-popping, especially during the introduction to the characters within the first 20 minutes. Ayer has taken this movie in a direction I wasn't quite expecting, but it was a really cool direction. The writing felt very consistent throughout, and although some of the characters failed to grab my attention, it seemed a lot more grounded than BvS was.The story was handled almost perfectly, I loved that the characters were introduced quickly and there wasn't a reliable origin story to fall back on whenever you needed to feel for a character. There were simply a few scenes tied together that essentially did the same thing an origin would have, but in less time. The pacing is constantly fast and rarely halts for a breath, which is exactly what you need with a movie such as this. The only thing I didn't really like was the main antagonist, which I won't spoil for you, but it felt a little overkill for me. However, with characters such as these facing the threat, it didn't really take away from the entertainment. Steven Price pairs up with Ayer again with another intricate and dramatic score that feeds through the story suitably well. In between this, you have a collection of tracks that are attached to certain key moments, mostly the introductory sequence at the beginning, which feels like it was greatly inspired by Guardians of the Galaxy. There's a moment where 'Spirit in the Sky' is used and this took me out of the experience for a moment, as I'm used to hearing that in Guardians. But apart from that, the soundtrack and score are really nicely weaved into this story and it serves as one of the most memorable things about the movie.Overall, I'm very pleased with how all this turned out. I could wish for more Joker screen time, but that was never majorly promoted, so why dwell on something so little? I think everyone involved has done a wonderful job bringing the world back to life after the disappointing BvS a few months ago.My verdict; Suicide Squad is one of the most enjoyable comic book movies in recent years and David Ayer has delivered a truly unique experience for all to see. Highlighting Will Smith and Margot Robbie's performances, this is an awesome, fun and colourful look into some of the best characters in the DC universe.Suicide Squad, 8/10.",4,1,2,6 August 2016
Doctor Strange," Visually, think Nolan's Inception mixed with Kubrick's 2001, but on a serious acid trip.
","Doctor Strange is written & directed by Scott Derrickson and stars Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen, Tilda Swinton, Michael Stuhlbarg and Benjamin Bratt.A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts.Expand Your Mind. This tagline defines the film perfectly. Marvel's Doctor Strange takes us beyond our world and explores the many alternate dimensions, using phenomenal visuals to further expand the Cinematic Universe. In some ways this film feels secluded and disconnected from the MCU, yet it features the familiar wit and style of previous instalments. It's satisfying to experience something so vastly different to what we've seen before with such an incredible array of colour and critique. The history feels real, the set pieces and locations feel real, and most importantly, the characters feel real. This film is so refreshingly short and sweet, allowing for a more immersive experience, without any feeling of painstaking pacing issues. Cumberbatch is surprisingly brilliant as Stephen Strange, a substantial amount of importance is present in his performance. It seems we have another comical addition to the MCU, with Strange being similar to Tony Stark. His humour is sharp and well- timed, but in no way detracting from the dark quality of this film. Tilda Swinton plays a mysterious character named 'The Ancient One' who reveals to Strange the unseen powers beyond our dimension, with wonderful charisma. Wong, as Wong, delivers many humorous opportunities for Strange, and thus becoming a recurring back-and- fourth. Kaecilius isn't developed enough as a character to be judged to a huge extent, however Mikkelsen's performance is satisfactory. McAdams co-stars with a fairly underwhelming act but has some good moments. Hopefully her character will be developed in the future to give McAdams some room to expand on the background and ongoing relationship with Strange.'Expand' seems to be a recurring theme, doesn't it? Leading me to the original score by Michael Giacchino, which is somewhat memorable if only because the main theme is cutting undeniably close to his work on Star Trek. The other pieces are fitting but I felt a more ancient approach could have been taken, in order to branch out the theme of the entire film. However, there are some beautiful string arrangements, which is always the case with Giacchino. I wouldn't expect much more from a Marvel soundtrack, though at least it feels like they're trying to push in a more appealing direction. Speaking of new directions, the visual effects are stunning. This is a visual spectacle, a masterpiece. The MCU has never looked so beautiful, vibrant and alive. With Strange's new metaphysical abilities, we can see the world in a new light. Think Nolan's Inception mixed with Kubrick's 2001, but on a serious acid trip. The Art Direction is impeccable and everyone from the Art, Sound, Special and Visual Effects departments should be extremely proud of their work. This is captured and showcased superbly by Ben Davis, who has worked on some brilliant projects in the past, including James Gunn's Guardians of the Galaxy in 2014.Overall, there are some small improvements to be made, but I have no doubt that these will be developed upon in future instalments. These are barely noticeable, however, and in no way detract from the amount of fun you will have watching this film.Verdict; The story is great, the characters are great, but it's really the visual design and effects featured in Marvel's superior Doctor Strange that puts the icing on the cake.Doctor Strange, 9/10.",9,2,5,30 October 2016
Lion," Emotional, gritty and real. Lion is a must-see.
","Lion is directed by Garth Davis, starring; Dev Patel, Rooney Mara, Nicole Kidman, David Wenham and introducing Sunny Pawar.A five-year old Indian boy gets lost on the streets of Calcutta, thousands of kilometres from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.It's rare in film to encounter a first act so thoroughly emotional, gritty and real. In Lion, director Garth Davis introduces us to Sunny Pawar, who at only eight-years old gives one of the most genuine, touching performances I've seen from any young actor. The first 50 minutes are mostly silent, similar to the opening act of Pixar's WALLE, in which very little dialogue is used. During this time, Pawar is acting through raw expression as he stumbles around the unforgiving streets of Calcutta, laying down a vital background before cutting to a grown Saroo, 25 years on.The cinematography in this film is simply stunning, capturing India and Australia with a smart eye for composition, complete with a grade that only slightly brushes the screen with a finishing gloss. Each and every shot is dark in tone, especially in the first act, and documents the poverty situation without holding back, making the picture feel that bit more realistic.This is a work based on an incredible true story, and it's definitely one of the most heartfelt tales to ever hit the big screen. During the final act, though inevitable, the execution is thorough enough to make us shed a few tears. The real success here is the telling of Saroo's unexpected journey, miles from home. Once Dev Patel's grown Saroo appears, the impact gets lost somewhere in the background, though in the final act it's rekindled with spirit and we are pulled through many emotions until the picture fades to black. Original music by Dustin O'Halloran & Volker Bertelmann is warm in colour, with a ravishing piano lead that drives the emotional bind between score and imagery. Lush string arrangements are present, but only serve as an underlying texture for the prominent use of piano. The music also stands on its own as a delightful listening experience.This is a must-see. Whether it's at the cinema or during its home release, make it your priority to see this lovely film.Verdict; Garth Davis' Lion is a work of art, featuring a powerful first act that captures fear, wonder and sadness all encased inside one wonderfully raw performance from Sunny Pawar.Lion, 10/10.",10,0,2,2 March 2017
