movie_title,title,review,rating,helpful,total,date
The Avengers," Ok
","Just ok. It's a serious drama a majority of the film. Not fun. I don't like how Disney have developed The Avengers. Should be lighter, funnier and fun. Can only be accessed by teenagers, not accessible for children. A Superhero film that kids won't understand? Superhero films are supposed to be universal.",5,0,5,24 April 2020
It," Er...
",No back story of why and how the clown is doing what he is doing. No basis for what is going on is mentioned. Thin plot. Not enough story. Didn't enjoy it.,4,2,4,14 May 2020
12 Angry Men," Don't believe the hype!
","Doesn't allow you to guess the end! Introduces evidence that the audience isn't aware of at the end of the film! Poor writing, what a bore.",2,1,13,20 February 2018
Spider-Man 2," Quite good
","Quite good, much better than the original. More emotional content, more fun and humour.",6,0,1,29 April 2020
Chicken Run," Fun
","Fun animated film. Humorous, although young children won't get all the clichés or puns about chickens. Decent fun.",6,0,1,30 May 2020
Spider-Man 3," Quite good
","Quite good. Fun, humour, better than the original.",6,0,1,29 April 2020
Thor: Ragnarok," One of the best Marvel movies
","This is one of the best Marvel movies. It's funny, got action, adventure. Good plot. It's engaging. I really enjoyed it.",8,2,5,26 March 2020
Spider-Man: Homecoming," Good
",Good reboot to the series. Lighter and more fun than the Avenger films. Enjoyable.,7,0,1,27 April 2020
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb," Borin
","I love Peter Sellers. The Pink Panther films, and Shot In The Dark are brilliant; amongst the best comedies ever made. I have grown up watching them. They remain as tight as when I first watched them. The Party is another classic. Two Way Stretch great. Wrong Arm of the Law good. Murder By Death Brilliant.I am a massive Peter Sellers fan and have recently been watching films of his on the net that I haven't seen yet. This one is a waste of time. Not funny. The last three I have watched for the first time have all been crap. This, the Lady Killers and I'm Alright Jack. They are a waste of time. Not funny. Not ones I'll be arsed watching again. Just simply not funny.I've rated these 3 films 2's out of 10. 2 just cause Sellers, and respect for him, but on all the lists I've read about him, This always seems to rated as the best. That's not true.",2,6,16,2 June 2013
Interstellar," Ha!
","What a waste of time!Don't believe the good reviews, this is rubbish!I was expecting a film like Prometheus, with a good storyline about humanity's future endeavours. This is poor. The ending is really bad, and doesn't make any sense. Very unbelievable. Very overrated. Ha ha, ten, Best film ever, ha ha!",4,5,20,16 July 2019
Oblivion," Hmm...
","Looks great...Great special effects..
It is a promising premise...Quite a confusing story...I think the protagonist narrating could have explained the story more clearly..It doesn't really develop that emotional connection you should have for the characters in the film..A let down by the end.",5,0,0,25 March 2020
Watchmen," OK
","Left underwhelmed. Not very engaging.6/10 = DI only recommend films that are a
7/10 - C or above.10 - A+9 - A8 - B7 - C6 - D",6,0,11,24 July 2019
