movie_title,title,review,rating,helpful,total,date
Angels & Demons," Factchecking Aside, A Pretty Good Thriller
","Being neither a fan of conspiracy tales or particularly of the earlier novel 'The Davinci Code', I was less than optimistic that I would become a big fan of this new effort by Ron Howard and Tom Hanks. So it was a bit of a surprise to find 'Angels and Demons' is not a bad film at all. But it surely stretches credibility with its quasi- and at times pseudo-historic underpinnings. This is story-telling at warp speed; sometimes you want to have the film rewound for a few frames to verify what has been said by Tom Hanks' (as Roger Langdon).Langdon's frenetic pace to prevent killings of high priests in the Vatican is the meat of the story(s). Thrown in to crank up the action a little further is the theft of antimatter, of course of much interest to all. And there are outward and internal tensions caused by the Swiss guard, Vatican figures gathered to select a new pope also have in- and external issues. And then of course there arethe Illuminati.With all these characters embroiled in catching a serial killer (who focuses on highly-placed priests) working for who-knows-who, we have the makings of a pretty good thriller. And if you can decipher Langdon's rapid-fire explanations as to why the pursuit should be conducted his way, you are ahead of his law enforcement colleagues.There are two exceptions, naturally. Langdon's physics-oriented partner – involved initially with the theft of antimatter she had a hand in developing (Ayelet Zurer as Vittoria Vetra)- quickly demonstrates a remarkable knowledge of Church history. Ewan Mc Gregor, who is acting essentially as the acting Pope, also understands seems to understand what is going on.The fun is in listening to Langdon's rapid delivery of his analysis of the crime scenes and the criminal, and how and why it is all tied together. There are a number of so-called facts spouted that may or may not be true; but that is to be expected in both the novels of Dan Brown and the subsequent films.The opening shots of the film are right on the money, conveying a real sense of the inner workings of a lab specializing in quantum physics. Credit this work to the director; Ron Howard does know how to make a film.Three Stars.",8,2,5,5 June 2009
Kill Bill: Vol. 2," All Eyes On Darryl
","I have never seen Splash, nor can I even recall Darryl all that well in her early years.  But mama look at her now.  Uma Thurman in the same get up as Elle Driver wouldn't cut it; there aren't a handful of women, not discounting Hollywood actresses that could pull off what Darryl does here.  She is the best villainess we've seen, perhaps ever.  Never warmed by Uma, I am a fan of hers now.  She indeed shows us talent we never expected or frankly even demanded.  Usually the most wooden of actresses, she redeems all her career just speaking to us through the windshield of her car as the movie opens.  But she is never as riveting as her co-star; Ms. Hannah is a total showstopper in every frame in which she is visible, and that includes phone calls.  This by way of introducing THE FIGHT.  When Uma and Darryl have at it, as we hope they will, all girlfights ever recorded are left in Mohave trailer dust.  Even the superior opening fight of Vol. I pales in comparison to this frenetic kinetic combat.  We've never seen anything like this.  And so it goes for all of the film.  Interspersing humor, raw violence and quiet introspective minimalist dialog we get a stew of visual and aural greatness.  Of course this movie is all about style.  Why would you want or expect otherwise from a Tarantino flik?  None in the audience spoke, looked at their watch or even wiggled.  And what more can you say of the hypnotic powers of film?",9,1,2,21 May 2004
50 First Dates," Bad Start Tanks Effort
","There are some ridiculous scenes at the beginning of `50 First Dates' that for all intents and purposes tank any opportunity there might have been for us to love this movie.  Forever after we wince often for fear Adam Sandler will pull an over-the-top Jerry Lewis moment, disturbing our attempt to understand  or at least ponder - Drew Barrymore's problem.  And her problem, one of a permanent short term memory loss rendering her incapable of recalling her yesterdays, is pretty fascinating.   
	Lucy Whitmore's (Barrymore) father and brother have built a world for her that is as touching as it is odd  they preserve a particular day for her to relive every morning.  Since, like Guy Pearce in the phenomenal `Memento' of a few years back, she cannot create new memories and every day is a new day. Thus they go through tremendous effort to see that she is not made upset by essentially anything new in her life. 	Alas, this is not `Memento'.  Absolutely none of the gritty realism, sheer guts of the main character as he searches for truth, none of the mystery or in particular the drive on the part of the memory challenged person to compensate for their new-found handicap is ever presented.  Lucy just wafts along, borne on the breeze created by the fanning of the spectators in her life.	`50 First Dates' is a disappointment in that generally films not offered for wide release yet starring some really talented actors often have a chance to be very good.  So we suspected this might be a sleeper, perhaps in the vein of the very interesting 2002 Sandler effort `Punch Drunk Love'.  But no, Sander has reverted to form.Granted, he shows some real talent and even sensitivity in acting as a talented and caring young aquarist.  But when it comes to comedy Sandler has one dimension, and it is from the Jim Carey School of Goofiness.  So we get totally inappropriate outbursts, sort of juvenile and most definitely silly. Consider two particular examples of this in the film.  At the very beginning Henry (Sandler) concocts an enormously unbelievable tale designed to assist in brushing off a one-night stand.  Later in a restaurant he illustrates (in front of Lucy) the hammiest crying jag recorded by anyone in recent memory.      Drew Barrymore, on the other hand, is such a treat to watch.  She has a few energetically comic moments and plays her character very believably, given her opportunities.  But for the most part Sandler acts as a moth to her flame, which has the effect of diluting, not enhancing, her performance. Ms. Barrymore can equal the best work of any of the good young actors available today and can be admired for trying just about anything role. 
There are enough quality moments in `50 First Dates' to allow that it has some appeal.  But in no way is it of the caliber of `Memento', and it should be quickly forgotten. 	Rating: 2.5 Stars.",Null,0,2,28 June 2004
Finding Neverland," The Only Best Picture Contender That Is A Yawn
","Of the five nominated films for Best Picture this year, 'Finding Neverland' is in our view the weakest of the lot. And in fact we would argue it should not have been nominated at all. 'Kill Bill 2' or 'Hotel Rwanda' would have been better choices. But why might 'Finding Neverland' not meet our expectations?For one, this is a fairly boring tale. There is not one adult situation that hints of stress or personal conflict, or at least not in any normal human way. And we are beset with the New Age twist to how we should behave around kids; we hear an awful lot of 'quiet voices' and as is customary in tales embracing the adoration of all things child-like children are afforded the powers of observation and acumen of adults.Prior knowledge of the Peter Pan story is requisite. And while that tale has most undoubtedly been treated well in many of our lifetimes, the background of how J. M. Barrie came to render the original story is less than compelling, really. That Barrie subsumed himself in a child-like fantasy world is amusing, but no more than that. 'Finding Neverland' might be a far more interesting account of the principal's lives if it had been more true to real life and if we had been shown even a smidgen of chemistry between the real-life Sylvia Davies (Kate Winslet) and J. M. Barrie (Johnny Depp).Johnny Depp no doubt gives a seminar in acting, as he always does; he is one of our finest actors. In an interview (http://www.the-trades.com/column.php?columnid=2898) director Marc Forster describes Depp 'as a 'great creative collaborator'. 'The amazing thing is Johnny ultimately trusts the director,' Forster explains, 'and Johnny Depp trusting me is the highest compliment anyone could give me.'' Nonetheless Depp's carefully nuanced performance is no better than Kevin Kline's own in 'De-Lovely', and one could say they are even similar, with Kline getting the edge for the risks he takes and the passion he brings to the screen.Of the films nominated, these are the IMDb and Rotten Tomatoes ratings, respectively: Sideways (96%, 8.1/10), Million Dollar Baby (93%, 8.3/10), The Aviator (89%, 7.7/10), Finding Neverland (84%, 8.2/10) and Ray (82%, 7.9/10). In like manner, 'Kill Bill Vol. 2' checked in at 85%, 8.2/10 and 'Hotel Rwanda' garnered scores of 90% and 8.5/10. We leave it to you to make the final determination, but 'Finding Neverland' is exactly the type of film that will leave art film detractors delirious with delight; it is a yawn.Rating: Two and ¾ stars.",6,1,7,6 February 2005
Star Trek," Good Followup On The Original Premise
","Having never been a Trekkie, I approached the latest in the long line of films and television shows with no real love for the genre. I was hoping that at least the special effects might be good; they generally are nowadays. With a story of some interest and intriguing cinematography there's little wonder that is a box office hit.What we have for a plot is an almost bewildering blending of the past, the present and the future, all stitched together in a satisfying manner. But unlike the concurrently running 'Angels and Demons', this plot is actually believable, even though this is science fiction. The difference is the pacing and 'Stat Trek' has no trace of conspiracy; the enemy is well defined right from the beginning.What is definitely fun is that we meet the main characters of the film early on in their formative years; James Kirk, Spock, Scotty, Uhura, Sulu and even Dr. McCoy all reveal something of themselves. We now know a little more of how they came to be the crew of the Enterprise.The effects are quite remarkable, and any fan of space adventures will be satisfied with them. There is a plot point involving time travel that is the only blemish on the narrative; this seems to be like the use of magic in movies. Contrive a difficult situation and have characters saved by supernatural imposition. The artful dodge of movie making.This is probably the smartest of the summer blockbusters.Three stars.",7,2,10,25 May 2009
Coffee and Cigarettes," Seinfeld: The Movie
","`Coffee and Cigarettes' is an old tale, but until now only bits of this long-building fabrication have been available.  Begun in 1986 as a TV piece for Saturday Night Live, director Jim Jarmusch has stitched together a fabric of inter-related stories; remarkably coherent snippets as if Woody Allen has filmed Seinfeld episodes. 	Shot entirely in black and white, there could be no other way to get the gritty feel of most of the locations in color.  Since we intend to listen, the wardrobe doesn't particularly interest us, and what better way to envision a coffee shop than in B&W?  Thinking of it in reverse fashion, what would have been gained in filming in color?	'Ghost Dog; The Way Of The Samurai' has probably been the only movie that Jim Jarmusch has made that most might have heard of, but the current offering is more his trademark.  He certainly likes to use musicians as actors, for example; the cast of this film continues this tendency.  And certainly the use of black and white, as in Dead Man, seems an awfully comfortable medium for him as well. 	There are a total of eleven vignettes in the movie.  Each has its own title, and of course each has its own plot.  The best of the lot include Somewhere in California (starring Tom Waits and Iggy Pop), where these professed non-smokers sit in a booth and drink coffee, smoke and shoot the breeze.  The best idea in the entire film can be attributed to Steven Wright (Strange To Meet You) as he describes to Roberto Benigni why he likes to drink coffee before he goes to bed.	Perhaps watching Renée French (in Renée) reading magazines would be the hippest thing in the entire movie.  We need no explanation (and none is offered) why such a knockout would be casually thumbing through gun mags, but we love the notion that there might be a girl out there that does that.	The best faces in all the vignettes (No Problem) belong to Alex Descas and Isaach de Bankolé.  Their expressions are terrific as these friends wrestle with suspicion and disbelief, just as they might in real life.  Lastly, Steve Buscemi (Twins) apprises us of his suspicions about an unknown brother of Elvis and the real impact that purported surrogate had on myth surrounding the King.   	Rating: Three Stars.",Null,1,2,14 July 2004
Spider-Man 2," Spiderman II Will Beget III
","Sequels of successful movies (by definition box office receipts determine which films might be candidates) may or may not be up to the quality of the original work.  The same metric (ticket sales) determines, in the final analysis, whether subsequent releases might be in order. `Spiderman II' will certainly beget `III', but there are many of us that will not be in the theater the third time around.  	In the newest release we find that Spiderman has put aside his crime fighting compulsion to pursue a normal existence.  He has confronted real life and found his own progress  and he is a very young man, not an adult  unsatisfactory.  That is, unsatisfactory when measured against personal achievement (school and girls, primarily) and to a lesser extent the expectations of others.  Of course in true sub-adult behavior he has taken ownership of others problems as well, and unlike most of us is besieged by memories (his uncle, for example) of the sentimental persuasion.	But as always in the comic book kingdom there are forces at work beyond society's ability to deal with them.  A physicist (Doctor Octavius, played compellingly by Alfred Molina) has gotten completely out of control, and he himself does not know (nor do we) where the power of forces he has harnessed might lead.  It becomes necessary for our hero to come out of exile, as it were, and save The City (never been a superhero that saved an endangered species, parcel of BLM land or estuary). 	 	It might be helpful for a viewer to be a real comic book fan to appreciate this newest release.  The effects are, for all their hype, just okay.  More specifically, Spidey's flights through The City are cartoonish looking; certain aspects of Doctor Octavius' appearance are very nice, though.  But all in all comic book art is as real as that seen in the new CGI world. 
	What really enervates `Spiderman II', however, is the talking (mostly monologues) and extended action scenes.  In order to show us this more sensitive superhero we must suffer an awful lot of nonessential plot points (consider his aunt and her issues) and Kirsten Dunst's (playing Mary Jane) parallel search for happiness.  And by the way, the train sequence is WAY too long.   		Tobey Maguire (Peter Parker) certainly is one of the best choices ever made for the regular guy component of the Superhero/mortal man formula.  Thinking of The Hulk, Superman or Batman in film history we find there have been no more believable or likeable equivalents.  But Peter's humanness is exploited to the extent that future visits to this mine might yield very little in the way of additional sensitivity nuggets.    	Fans of a particular movie or movie genre are opinionated and, to their credit, informed, compelling us like them to find out for ourselves whether the sequel is equal or better.  In this case we should consider that the novelty of `Spiderman' has worn off, and we find in viewing `Spiderman II' that if some editing (approximately 30 minutes) had been done, the film would be far more likable.  And that Tobey Maguire is up to recreating his role in any number of sequels.  But this one is not better than the original.	Rating: Three Stars.",Null,0,0,4 July 2004
Finding Nemo," All About The Reef
","In `Finding Nemo' we have not only a movie designed for adults and children but a tour-de-force in computerized animation.  The obvious attention by the filmmakers to real environments is underscored by our constant study of the screen; there is, like on a real reef, frenetic activity in all of our view.	Following the adventures of a father fish (Marlin, voice of Albert Brooks) in pursuit of his kidnapped (by a diver to his aquarium) son (Nemo, voice of Alexander Gould) we meet a bevy of characters along the way.   In turn we have fish schools (both of an academic nature and the more easily imagined natural sea configuration), non-traditional sharks, turtles and a host of other ocean creatures anthropomorphically styled.  There is nearly no end to the pleasure received from each animated revelation.         The obvious care with which the undersea environment is depicted speaks volumes for the research done by the studio artists.  With nearly all contemporary eyes cast heavenwards, it still remains that the vitality of reef life forms serve as a perfect centerpiece for cartoon mayhem.      
	During one particular chase scene involving sharks we see at its best the dynamic plasticity of animated characters; that quality of animators to stretch the physical reality of any corporeal subject, i.e, the mashing of an impassively expressionless fishes' face as it strikes an object, encouraging empathetic discomfort on the part of the viewer.  This is abstraction at its finest, since it imbues the pratfall with fantasy. 		There is a scene involving Dory meeting a whale that is for our money the funniest one moment ever recorded in animated film.   Combined with the entire body of work Ellen Degeneres offers towards the success of `Nemo' we see her in an entirely new light.	That  `Nemo' is one of the best animated films ever made is in little doubt.  This is a true four-star effort; there is not one flaw evident.  Or to put it another way, what would you have done differently?",Null,0,1,3 June 2004
The Day After Tomorrow," So Serious
","The Day After Tomorrow is well worth the effort it might take to see it at the plex.  This is a film that recognizes the value of the big screen and is a treat to look at.  Not in the sense of cinematographic beauty but as a sensory wake-up call.  Unlike many action movies of recent years, I did not notice that the sound was so loud and insistent that it became annoying.  So the proper use of loud noise to underscore frightening moments was properly heightened.  Add to that the nice use of computer-enhanced graphics (except the wolves) and what we have is a perfectly fine summer adventure flik.  It is nice to see Jake Gyllenhaal and Dennis Quaid offered the opportunity to work a big-budget Hollywood extravaganza, and I hope they were well paid for it.  Both were up to the roles assigned.  It is too bad the character Quaid played (Dr. Hall) was so serious all the time.  This seems to be the requirement for important scientists in all of filmdom, so I don't hold him personally responsible.  Scientifically the premise of this film is one enormous stretch. Scientists to this day, like the Three Bears , cannot even agree on whether the Earth is cooling, warming or just right.  Type global warming and then type global cooling into a Search Engine; ponder the number of hits received on each.   In the adventure sense Day After Tomorrow is rather a larger fissure to jump, mountain to climb or river to swim.  The storyline regarding the trek undertaken by the distraught father (Quaid) to reach his son (Gyllenhaal) is peppered with unlikely issues.  In one case snowshoes are depended on to provide transportation and no Olympic athlete ever covered the distances cited in less than a hundredfold the time.  In any case the film is a fairly riveting action yarn with mild political overtones.  Even children can view it without fear of nightmares; they may laugh out loud at the stunts involving the aforementioned wolves, though, since they watch more cartoons than adults.",8,0,0,31 May 2004
Milk," Good Study Of A Maverick Character
","Sean Penn's interpretation of real-life politician Harvey Milk is spot on. His completely convincing role as a gay man, a politically active one at that, again shows the remarkable actor capable of seemingly anything. But there is a bit of a letdown, to me, about this new film. I say new because a documentary has already been about Milk (The Times of Harvey Milk, 1984), and that detracts a bit from the novelty of this work. And if you read a little about the earlier movie you will find that it was very good - 3 and a half stars from Roger Ebert alone (so you know it had to be at least pretty good!). If I would have known this story had already been covered, I would not have seen it. Remakes are almost always a bad idea. There are new ideas promulgated in Hollywood every week.This movie follows most closely Harvey Milk's years in San Francisco. He didn't arrive there until fairly late in life - he was 42. Within a short period of time he became totally immersed in city politics. His story is certainly unique in that he flaunted his gayness in a time when that was unheard of, and he tilted at seemingly every political windmill he saw. I leave it to you to follow his story, from local businessman - he bought a camera shop on Castro - to elected official, serving in City Hall. And we do see a bit of the personal side of Milk; he had a series of relationships over the years, and his last one was marked by tragedy.The movie does convey some of the energy of the times, and of Milk himself; late night sessions with his colleagues, making speeches on soapboxes, pressing City Hall on an unending stream of concerns. It is intriguing how the gay community grew in power in San Francisco, and Harvey Milk was part of that renaissance. It was at City Hall where he met his fate at the hands of fellow Supervisor Dan White - played well by Josh Brolin. Although I cannot see the reason for the Best Supporting Actor nomination Brolin received; his part is not particularly lengthy nor could it not have been done as well by another.This is a three star movie.",8,1,3,25 March 2009
