movie_title,title,review,rating,helpful,total,date
Despicable Me 2," e. There's little substance underneath the generic plot and minion skits, but that doesn't keep it from being a fun and enjoyable family outing to the movies
","Despicable Me was one of the biggest surprises out of Universal in 2010 with its heartfelt story,clever twist on portraying an anti-hero, and army of unpredictably amusing minions. The first film may have lacked depth, but it certainly didn't miss a beat when it came to tugging on the heartstrings. Not only did it bring in over half a billion dollars, but it also managed to be something special enough to audiences to really develop a fan base. Despicable Me 2 is looking to create the same fresh and heartfelt story as the original, but is this really the type of movie that warrants a sequel?Read my full review: wp.me/p1tyJd-sH",6,2,7,3 July 2013
The Avengers," The Avengers proves to be everything the nerd and mainstream audiences wanted, and maybe became a little bit more.
","This is is it. This is the movie fanboys have been hyping ever since we got a glimpse at Nick Fury at the end of Iron Man. The Avenger's is Marvel's very ambitious attempt to bring their A-listers(at least the ones they possess the rights to) all into one movie where they team up to fight evil. To accomplish this momentous task, Marvel brought in Joss Whedon(Buffy the Vampire Slayer, Firefly, Serenity) to both co-write and direct this film of sky high expectations. Whedon, whom has proved himself to be excellent with ensemble casts, has not directed a theatrical film since 2005′s Serinity which may have left fans scratching their heads when he was announced. On top of the wildcard director, the film also has to bring in all of the stars from the past Marvel Cinematic Universe films into one movie without taking away from the other casts members. As cool as the epic team-up sounds on paper, is it really possible to bring all of these elements into one movie together under one vision?Read the rest: http://wp.me/p1tyJd-aG",10,3,8,12 May 2012
Pirates of the Caribbean: On Stranger Tides," Good entertainment but not a great movie. Still worth a watch
","After a couple of overly complicated and convoluted sequels Pirates of the Caribbean returns to a more straight forward storyline with a new director,Rob Marshall of Chicago and Nine fame, and an almost entirely new cast. Only Johnny Depp, Geoffry Rush, and Kevin McNally return from past films to reprise their roles. While I have to say that I've enjoyed all of the films so far Dead Man's Chest and At World's End both felt entirely too long, convoluted, and overall full of pointless subplots that didn't go anywhere. On Stranger Tides is a remedy to this as it goes back to some of the principles of the first film as Jack Sparrow rushes to find the fountain of youth before the Spanish and British navies can get to it first. On Stranger Tides also introduces us to an almost entirely new cast made up of Ian McShane, Penelope Cruz, and Sam Clafflin who play Blackbeard 'the pirate all pirates fear', Angelica; Sparrow's new love interest, and Phillip Swift; a missionary who falls in love with a mermaid. While this certainly looks like a new start,the film has actually been down sized in scope and size in comparison to the last 2 films. Is this a bad thing? Are the Pirates worthy to sail for another sequel or has the series finally gone overboard?Check out the rest on my film blog http://mastersfilmreview.wordpress.com/2011/05/22/pirates-if-the- caribbean-on-stranger-tides-review/",7,0,1,22 May 2011
Men in Black 3," Men in Black 3 does manage to do some things right, but fails to really do anything special enough to leave an impression that this franchise is worth reviving.
","What would a sequel to Men in Black look like? This is certainly a question we wish we wouldn't have asked when the 2002 sequel was released with a flat story, an unnecessary revisit to characters whose story arcs were wrapped up, and an overall hit or miss version of the great comedy from the first film. It's been ten years since the underwhelming sequel hit theaters and fifteen since the original. The new questions are does this series deserve to be brought back? Is it something that people really want? Most of all; can a third movie to a fifteen year old franchise that was never really that special make the series relevant? Whether we want the answers to these questions or not; Men in Black is back in this third installment that reunites director Barry Sonnenfeld with Tommy Lee Jones as Agent K and Will Smith as Agent J to fight yet another alien threat to earth.Read the Rest: http://wp.me/p1tyJd-aV",5,2,7,3 June 2012
Sherlock Holmes: A Game of Shadows," Great Performances, great writing, and a better story make this worth the watch
","In 2009 Sherlock Holmes became a break out hit making over half a billion dollars and successfully brought the brand into the mainstream blockbuster film community making both Sherlock Holmes and Dr. John Watson both known to the average film goer and relevant to modern cinema. While the movie's story and concept themselves didn't boast anything new or above average, the movie did boast lightning in a bottle chemistry between Robert Downey Jr. and Jude Law as the leads as well as the very cool and stylized take on late 19th century England from director Guy Ritchie. Because of the chemistry and the style Sherlock Holmes was able to be successful with audiences as well as critics which now brings us to the inevitable sequel A Game of Shadows. While Shadows doesn't have as much to prove as its predecessor it certainly had a whole new set of problems to deal with; the biggest being just another sequel that tries so hard to recapture the original, but ultimately failing like so many other sequels out there. The movie does return with the entire original cast and the marvelous Jared Harris joins the cast as Holm's greatest foe Prof. Simon Moriarty. Is this sequel worth a look or is doe it join the sea of forgettable sequels that just can't live up to the originals?Read the rest here: http://wp.me/p1tyJd-70",8,1,6,18 December 2011
Iron Man 3," Iron Man 3 will deliver in every way you would expect it to, but do not hope for any surprises or new ideas that will push the genre forward
","Tony Stark has come a long way since his early days as a B-lister superhero. Ten years ago any comic book fan or film producer would have laughed at the notion of such a lesser known hero developing not one, not two, but three box office hits. That said, and here we are in 2013 with Iron Man's fourth outing and third solo picture where his popularity has never been higher. While Iron Man 2 was no doubt a stumble, the character still bounced back stronger than ever in The Avengers. We all know Robert Downey Jr. still knows how to deliver a crowd pleasing performance, but is there enough momentum left in the character to give us an exceptional third outing or does Iron Man 3 leave us with the same taste of disappointment that is found in most films ending in 3?Read Full Review Here: wp.me/p1tyJd-qk",7,0,1,16 May 2013
Argo," Argo is a rare movie that caters to a more adult audience because of its sophistication, tone, and intense story it's trying to tell
","Ben Affleck may be a bit polarizing when it comes to his acting career, but his directing career up to this point has been excellent with two very outstanding films The Town and Gone Baby Gone both receiving numerous awards and critical acclaim as well as moderate box office success. His latest film Argo attempts to give his directing career more genre diversity as it is a historical thriller that covers the recently declassified events that took place during Iranian Hostage Crisis that begins in 1979. Can Affleck successfully take on this historical event and do it justice or should he stick to more personal character dramas?Read the full review: wp.me/p1tyJd-j3",9,0,1,17 October 2012
Rise of the Guardians," Rise of the Guardians is some great family entertainment that will get everyone pumped for the upcoming holiday season
","It's almost Christmas time and with each new season comes its own slew of Christmas themed movies. Some years we're treated to a retelling of the classics like A Christmas Carol, Elf, or Home Alone while other years we're tortured by painfully awful cash-ins like Fred Claus and Deck the Halls. This year the Christmas movie season is kicked off with the Dreamworks animated Rise of the Guardians, a movie that not only touches on Christmas, but also covers other mythical holiday icons such as the Easter Bunny, the Tooth Fairy, and Jack Frost. Do we have a modern classic on our hands with Rise of the Guardians, or is this just another holiday flick going through the motions?Read Full Review:wp.me/p1tyJd-kH",Null,2,8,23 November 2012
Underworld Awakening," Underworld Awakening is an aimless sequel filled with flat characters, a very uninspired story, a cool look, and an average at best direction.
","When I was much younger I used to watch quite a bit of the sci-fi channel. I went through a phase where that was what I watched for many hours on weekends during the B-movie movie marathons. Among the movies I used to watch, the first and second Underworld movies were among them. Underworld has been a series that I have been pretty much apathetic of throughout the years, but when I heard a new one was coming out I for some reason became interested. I decided to go back and watch all three of the other movies, and when I was finished I discovered that the movies really did fit right in on the sci-fi channel. They may have been a step or two better than sci-fi original movies, but they certainly didn't lend themselves to anything remotely exceptional even in the arena of entertainment. While I did find them mildly entertaining, I was still did not see anything remotely better than run of the mill about them. They weren't B-movies, but they certainly weren't good either. This directly relates to the expectations I had for the new Underworld in which I was simply hoping for some decent vampire vs. werewolf entertainment. Does the new Underworld break the mold entertain in new and exciting ways, or does it fall in line with its mediocre at best predecessors?Read the Rest: http://wp.me/p1tyJd-8p",3,6,13,26 January 2012
Captain America: The First Avenger," Captain America: The First Avenger is a really good old fashioned adventure movie that will certainly entertain audiences and please fanboys
","Sigh. Another superhero movie this summer? This will have been the fourth major superhero movie this summer and by this point most of us are tired of it. The only shot Captain America has this summer is doing something different than its other competition by giving us an experience we haven't seen this summer. Luckily Captain America does just that. The movie is a period film set in the 1940s that also tries to feel like the serials that were popular at the time. The movie has a very old school feel to it which separates it from its competition, but can its retro style really make it one of the better films of the summer?Check out the rest at http://mastersfilmreview.wordpress.com",8,5,13,27 July 2011
