movie_title,title,review,rating,helpful,total,date
Walk the Line," Still good- don't let Ray dampen it for you
","While Ray was a really good movie, this one is almost as good if not as good if only for Joaquin Phoenix's and Reese Witherspoon's performances. Both of them are so electrifying as Johnny Cash and June Carter, the movie would just not be good with other actors playing them. The same can be said of Ray, and while some people are calling Walk the Line 2005's Ray, I really don't think that's true. Ray was sad and melancholy, and more of a full and broad portrait of Ray Charles than Walk the Line is of Johnny Cash. Walk the Line focuses in on his love for Carter and his addictions. Ray covers more of Charles' life while still feeling focused- Walk the Line actually is focused, and each works on its own terms.While the movie wouldn't be the same without Phoenix or Witherspoon, it supports its players well, connecting the different plot points well with each of their songs and allowing a glimpse of the characters past Johnny and June, such as Johnny's wife and father.A good movie- don't miss it because you've been told Ray's better. They're different and each one stands on its own.",8,1,2,4 March 2006
Mission: Impossible III," So Tom is a dork- still see this movie
","I will be the first to tell you that Tom Cruise is turning into a very stupid person. He's hurting the revenue of the movies he's in, whether or not they are good, he's hurting his own public image, he's hurting the public image of his poor young wife, and he's setting the stage for a rocky life for Suri.But Tom Cruise is not this movie. There are many other good things about this movie that have nothing to do with Tom Cruise at all- thank God.Philip Seymour Hoffman is one of them. He makes possibly one of the most realistic antagonists in recent movies. But while remaining realistic, he's still incredibly creepy and intimidating.The plot, too, is quite good. I didn't see the first two, but I didn't need to, and now I don't care if I did or not because this one was satisfying enough. The new impossible mission for Ethan Hunt in this third installment is to retrieve an agent from the possession of Owen Davian (Philip Seymour Hoffman), an arms dealer than keeps out of the public eye, but from this mission stems a far more dangerous one centering around something called the Rabbit's Foot. There's a twist that I saw coming, but I was the only one in my group that did, and it was still a good idea; I admire J.J. Abrams for pulling it off so well.So Tom's in it too, in case you didn't know. He's really not a bad actor, and though he tends to play the same character, he's very good at that character- intense gaze, everyman smile, casual talk. The man plays Tom Cruise very well, and he'll continue to make millions of dollars doing it through a great deal of movies, so I move that we accept that and move past it- because most of those movies are good. Like this one.Forgive it for having Tom in it, and see it despite that flaw.",7,0,1,8 May 2006
The Ring," Not scary enough, but still good
","This movie tells the story of Rachel Keller (Naomi Watts), a journalist who's niece has died of mysterious causes. Rachel wants to find out what these causes are, so, on a tip from her niece's friends, she seeks out a videotape that is said to kill those who watch it exactly seven days after seeing the tape. Inevitably she watches it and has 7 days to discover its secrets.The Ring is not so much scary as creepy and it spends so much time being creepy that, near the end, I expected it to be scarier, and when it wasn't, I felt let down. The Ring tells a good story and it sets itself up for a big payoff at the end, a climax that should have been very frightening, but in the end, rather than being terrified speechless, I asked my sister, who had already seen it, 'Is that all?' Now don't get me wrong, I liked the movie and I can't say that I wasn't scared for most of it. It's definitely worth seeing for those of us who like to scare the crap out of ourselves, but don't expect to be crapless when this movie is over.",6,0,1,26 July 2006
Finding Neverland," The best movie I've seen all year
","Granted, I haven't seen all of the critically heralded films of 2004, but I believe this would stay my favorite no matter how good the others turn out to be. The magic and wonder of this story captured me from the very first moment that Barrie meets the boys and gives them his dancing bear show.J.M. Barrie (real-life author of Peter Pan (please tell me you've heard of it) played by Johnny Depp in the film) is a playwright whose last play was not up to his usual snuff, most likely due to his lack of inspiration from his life with his wife, Mary (Radha Mitchell). Seeking solitude and ideas, Barrie goes for a walk in the park where me meets Sylvia Llewelyn Davies (a widow, Kate Winslet) and her children, a meeting that sparks many more meetings and imaginative games that inspire the story of Peter Pan.The cinematography is spectacular. Director Marc Forster makes excellent choices with the camera that seem to play along with the screenplay and the score. These three elements work together quite well and turn a simple story into a masterpiece. There are a few times when I felt I was being rushed through certain parts, but the movie makes up for it with it's incredible cast.After seeing Johnny Depp in Pirates of the Caribbean, I was shocked to see how well he can underplay a character. Depp gives an already poignant character and even more strikingly poignant manner with every inflection, movement, and look. Kate Winslet is equally touching, and while she does not have as much to do as Depp, she matches his talent with brilliant skill of her own. Julie Christie and Dustin Hoffman give good turns as Sylvia's mother and the producer of Barrie's play, respectively.I think the player that the critics have sinfully underrated is Radha Mitchell. I barely read any praise for her wonderful job as Barrie's wife in any review when she deserves just as much as Depp or Winslet.This is a moving story that everyone should be subjected to, no matter what age or mindset. Man, I loved this movie.",8,2,2,3 January 2005
Erin Brockovich," Good, but not great
","There's really nothing wrong with this movie. It's well-scripted, well-captured, well-acted (especially by Julia Roberts, but I'm sure I'm not the first to say so), well-staged, and well-decorated. There's a level of realism here not seen in a lot of movies, and I suppose that's something that gives the movie credit. But the truth is there's not much here.Julia Roberts is marvelously natural, and Albert Finney complements her well, though, truth be told, he only has one scene where his acting can really show off. There are touching moments between Brockovich and her kids and between Brockovich and George, her main squeeze during the movie. Marg Helgenberger gives a nice turn as a depressingly disparate victim of the company that Brockovich is attacking. But it all adds up do a genuinely moving but formulaic film that seems to add nothing new to the genre but one more movie.A lot of people seem to lift the movie up because of how brave its main character is and what she stands for. It's a worthy cause, to be sure, but is it cause to label Erin Brockovich as a great movie? I don't think so. It's good, I enjoyed it, but it's nothing special.",7,1,3,1 October 2006
Unbreakable," So close to being great
","It's really frustrating to find a movie that comes so close to being great and only a few minor faults are holding it back. Luckily, it's not so frustrating that it ruins the experience. Unbreakable is still an intense and emotional movie and I wish M. Night Shyamalan was still making movies like this.Bruce Willis plays David Dunn, a man unhappy with his marriage and his relationship with his son. David is trying to get a job in New York so he can move out of the house and move his life in his own direction. When his train back from New York derails, David is the only survivor and he is sought out by a fragile man named Elijah, who believes David is special.This could easily be cheesy, but Shyamalan wisely plays up the comic-book feeling of the plot while maintaining a certain sense of reality. Bruce Willis is a good choice as the passive David, a man not sure where he fits in the world. Samuel Jackson, always good, is great here; it's probably his best role that I've seen since Pulp Fiction. Robin Wright Penn also has some touching moments as Willis's despairing wife, as does Spencer Treat Clark as his neglected but loving son.The problem is not with the story or cast, but with the direction. There are some awkward transitions and some moments that should have been played out longer; it sometimes feels like Shyamalan is copping out on giving us real drama and instead giving us an outline of what happened. But no matter; it's still an intriguing movie and it has some great images. And while it may not be on par with his The Sixth Sense and Signs, it comes close, and that's good enough.",8,20,32,18 November 2006
Fight Club," Oh, Fight Club, you almost had me there
","Movies like this are intensely frustrating. They get so close to the greatness mark, enticing you with how good they are, and then, at the last second, as if to spite you, they pull back and go for the Hollywood ending. And then you almost forget the brilliance of the rest of the movie. And any filmmaker that can come close to blocking out the memory of the great parts of his movie with just one crucial scene needs to be beat up. Or have his face shoved into Meat Loaf's man-titties.But I can mostly forgive David Fincher for leaving that copout ending simply because the rest of the movie is so darn good. This seems to stem mostly from Jim Uhls's close adaptation of Chuck Palahniuk's novel, a masterpiece of existentialist grit and wit. The film follows the book through most of its plot, incorporating much of Palahniuk's clever and bitter commentary on our material society into Edward Norton's jaded voice-over narration, which is unnerving for the five seconds it takes to get into the rhythm of the story. That's how good this plot is adapted- we can settle right into a rhythm and a dark tone that match those of the book perfectly.Edward Norton is the perfect choice for Fight Club's bored protagonist, as is Brad Pitt as Tyler, the enigmatic man that encourages Norton's character to join him in starting a fight club. In this club, men come to the basement of a bar and essentially beat each other up in an attempt to reach into the core of their manhood (the screenplay says it with far more deftness than I do). But it's about so much more than the fight club, as Norton's narrator soon discovers. Tyler has a plan to change the very fabric of their society and in the process changes the very fabric of Norton's character's life- more than he realizes at first.For the entire movie, Fight Club is about man's slavery to society and his escape from it. Unfortunately, the ending, which I won't spoil, takes an entirely different direction from this theme, and, as a result, takes the movie an entirely different direction from greatness. The ending of the book, however, is perfect, and if Fincher had stuck with the book through the entire first two hours of the movie, why couldn't he use the book's perfect ending for the last 10 minutes?It's still a must-see though- the ideas expressed by this movie are some everyone should hear and ponder. Plus, it's freaking good entertainment.",7,31,57,21 December 2006
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"," Well worth it
","My sister and I have been waiting for a movie that could do this story justice for some time. As kids, we used to watch a cartoon version that was bland and pretty much boring. My mom taped a real life version off of TV that was a lot more entertaining than the cartoon and we watched that one instead for a while. We recently rewatched it, and I realized that most of the magical creatures (except Aslan, the fauns, and the centaurs) were added in with animation- really bad 2D animation- which pretty much ruined it for me. So I knew that any version that came out now would have to be convincing in its special effects or face my wrath on the IMDb voting polls.Then this came out. And I knew I didn't have to worry.Every creature looks real. Even if you can tell it's CGI, it's brilliant CGI and lets you sink into the world of Narnia without worrying about the fact that it's a movie. I was particularly worried about the Beavers, because in the TV version they were played by people in beaver costumes, and I don't care how young you are, you know they're people in beaver costumes. However, the beavers in this are wonderfully played by computer animation, made to look very real while still enabling them to talk, and given some of the best lines in the movie. Aslan, who I wasn't really worried about because they just HAD to get Aslan right, is a great piece of art and his eyes are as expressive as any human's. Liam Neeson is charming and soothing as his voice, completing the picture. The evil creatures are just as convincing as the good, if not as nice-looking. The landscapes are just as incredible as the magical animals, and it's no surprise that the same effects team that worked on Lord of the Rings did this movie too.The movie's effects aren't the only good thing about it either, thankfully. The screenplay stays true to the book for the most part, throwing in a couple of extra scenes that seem unneeded but provide for some good action and a backstory for the Pevensie family. The movie starts out with an effective air raid scene that is not in the book, and at first I was kind of annoyed, but as the movie progressed I realized that it was necessary, in a way, not to the story but to the movie. In the scene, Mrs. Pevensie is ushering her children to the bomb shelter when Edmund (Skandar Keynes) suddenly runs back to save a picture of his father, who is fighting in World War II. Peter (William Moseley) tries to stop him and when he brings him back to the bomb shelter he yells, 'Why can't you just do what your told?' Peter asks him the same thing again when Edmund is hurt trying to save Peter's life near the end.The cast probably was the most risky part of this movie for its director, Andrew Adamson. Finding convincing child actors who are capable of doing a dramatic film like this one yet actually look their age is tough in this day and age where children are usually the stars of bad screwball comedies. However, the four leads are definitely capable, especially Georgie Henley, who plays Lucy, and Keynes. Both of them are able to show a wide range of emotions, often in the same scene, and Keynes makes the transformation that Edmund goes through after being rescued from the queen perfectly evident through his wonderfully expressive face. Tilda Swinton was not the queen I was expecting after the TV version, but she grew on me, and by the end I had forgotten she was an actress and was riveted in the queen's evilness.This movie is worth the money if only for the effects, but luckily, your money is spent on a good cast and worthy screenplay. I don't think this will be up for any Oscars other than Best Visual Effects, but if it's up for Best Picture, I'll certainly be cheering it on.",8,0,0,7 January 2006
The Terminator," Ah, Ahnold
","He's buff, stone-faced, and genuinely scary in this movie- my first thought at the end of this movie was 'He'd make a good governor of California.' Well, perhaps not. But it's hard to imagine The Terminator without Schwarzeneggar (I attempted to spell it without looking), and maybe that's only because the Terminator and Arnold have become synonymous since 1984. You can't think Terminator without thinking 'Ah'll be back.' Of course, I wasn't even born in '84, so I don't really know how the movie was received before he became a cultural icon, but from the perspective of a 16-year-old here and now, I think it's a great movie.When you ignore the fact that now Ahnold is and always will be the Terminator, you can see that he really was good in the role. Sure, there isn't much for him to do- he talks in monotone, glares, and flexes- but his build, his accent, his face, everything about him was built for playing a robot- excuse me, cyborg. Kyle Reese would yell at me for being so glib.The hero of the movie, the aforementioned Kyle Reese, is played by Michael Biehn, who has a few shining moments, but doesn't really impress for the rest of the film. Linda Hamilton, on the other hand, shines throughout the entire movie as a young woman whose entire life turns upside down. She doesn't do the girlish freakout, a clich̩ that has grown really old, probably even by 1984; instead, she focuses on the fact that her life depends on every move she makes- while still showing fear. Hamilton pulls that off magnificently, despite a script that throws a few cheesy lines her way, thought she handles the cheese a lot better than Biehn does.I may sound pretty critical so far, what with the cheese and my disappointment with one of the main stars, but the truth is, despite those flaws, the rest of the movie delivers. Some people say this movie has an anti-nuclear-war message- I say, sure, for maybe five minutes. This isn't a message movie- it's a thriller, full of meaty action that really does thrill. The whole movie is basically a chase scene, but the chasing is gripping and creatively laid out. The only other James Cameron film I've seen is Titanic, and with these two movies I can tell that Cameron is very good at engaging the audience in intelligent action. The plot line is as creative as the action with its detailed mythology and harrowing climax. I don't want to ruin any of it though, because it's really a good story. Just see it, and you'll understand.It's a fun movie, and by now has been raised into the classic zone. And after seeing it a few times and not tiring of it in the least, I can see why.",8,0,1,28 April 2006
Hotel Rwanda," Powerfully emotional and inspiring
","I look back on this movie and I find myself realizing that it was one of the most moving movie's I have ever seen. Not that I've seen an incredible variety or astonishing number of movies. But I do know that I am a relatively average 17-year-old who loves movies and I was inspired by this movie in a way only a few other films have.Don Cheadle, a Best Actor Oscar contender for 2004, gives his all to his portrayal of Paul Rusesabagina, a hotel manager that sheltered hundred of refugees during the Rwandan genocide of 1994. Hotel Rwanda is more about Paul's story than the massacres in general, and that's not a bad thing. Seeing this catastrophe through the eyes of a man in Paul's position means that we are party to key figures: a U.N. Colonel (Nick Nolte) who wants to help but is constrained by the limits of his orders, a spoiled general (Fana Mokoena) who provides military protection for Rusesabagina's refugees in response to flattery and bribery, and an American journalist (Joaquin Phoenix) who delivers one of the key revelations of the movie: 'I think if people see this footage, they'll say 'Oh, my God, that's horrible.' And then they'll go on eating their dinners.' Africa is too far away for it to be of any concern to people like us.But all these characters take back seat to Paul in the narrative; they occasionally provide obstacles, such as when the general refuses to give any more police support until Paul bluffs desperately, but the movie belongs to Paul and, inherently, to his family. Don Cheadle plays Paul as a man whose family is more important to him than anything else; his first and foremost concern is for his wife and children and there are moments where he must choose between them and the other Rwandans in his care. His wife, Tatiana, is emotionally played by Sophie Okonedo as a compassionate woman who, even as strong as she turns out to be, feels she needs her husband in order to survive. The love between Paul and Tatiana is one of the anchors in this movie, and thanks to the screenwriters and Okonedo, Tatiana is just as well-developed a character as Paul.While Hotel Rwanda may focus in on this one man and his heroism, the movie manages to skillfully indict the outside (white) world for not taking the initiative to interfere in this conflict. The question of whether or not we could have done anything is moot in this movie; when faces as human as these are painted onto the problem, it seems like we at least should have done something.",9,0,0,24 December 2006
