movie_title,title,review,rating,helpful,total,date
Vertigo," Hitchcock proves beyond a doubt that he is a master
","What can I say.  Hitchcock is indeed a master.  No wonder everybody studies and imitates him.  He can build suspense, make you question at all times what is going on, and keep you on the edge of your seat.  This is a great film that any self respecting film buff would have seen by now, and any self respecting movie goer should see.  All of the acting is top notch, the visuals, and the pacing of the film is just fantastic.  A must see. 10/10***FOR THOSE WHO HAVE SEEN THE FILM ONLY**** Do you think that this is all a dream that happens in Jimmy Stewart head while he is hanging on the edge of the building at the beginning.  If you watch the film, there are just a whole lot of dreamlike elements to the film that just make me question if this is all happening in his head, right down to the very ambiguous ending.",Null,3,5,28 February 2003
Scarface," Excellent Pacino
","This in my opinion, is Pacino's best role.  He looked, sounded, and acted the part with an incredible amount of intensity without overacting.  A great script by Oliver Stone, I'm just a little curious as to why he let Brian DePalma have it.  DePalma does a great job with the direction.  The set design was top notch, cinematography was excellent, and the music, which should have bothered me because it was that hokey 80's movie stuff, just seem to fit.  Highly reccomended. 9/10",9,0,1,5 April 2003
Alien 3," worst of the series
","This is by far, the worst of the Alien series.  The idea is kinda neat, but the execution was just really bad.  There is no suspense, no terror, and I really did not care if Ripley made it through this one or not.  The most disapointing thing to me is that they never explored the mutation, if that was what it was of the Alien in the prison, what was different about it. The only reason to see this is so that you can go on to the final installment of the Alien series.",5,397,416,11 July 2003
Miracle," Excellent Kurt
","Kurt is the heart and soul of this movie.  His performance as is one of the best out of him that I have seen in a long time.  When you go to this movie, you know that you are going to be getting a U-S-A U-S-A U-S-A movie, but it really just makes you feel good, not cheap or cheesy.  I personally enjoyed it, and if you remotely like hockey, then I would say its for you.",9,1,1,21 February 2004
Finding Neverland," Amazing and sad at the same time.
","There are some movies that inspire me, give me hope, and make my soul ache like no other. This is one of them. The film all around amazing. All of the acting is wonderful. The sound, design, and cinematography is amazing. However, the true star is the story. While it might not be exactly true, I really don't think that it matters to much. From watching the film I feel as though it was written with nothing but emotion. It is in every word, it is in every set piece, and it is all simply amazing. Just don't watch this film expecting happiness. While there is that, this is more about pain, imagination, and deep sadness. Again, it was one of the most amazing movies that I have ever seen, but I think that it will be a very long time before I ever see it again.",10,1,2,1 December 2004
The Big Lebowski," My fave from the Coen bros
","This is my personal favorite from the Coen brothers.  This film is absolutely nuts,  John Goodman character is soo extream that your jaw just drops whenever he shows up.  Every one of Steve Buscemi's lines steal the scene that he is in.  This film has dream sequences, people p***ing on rugs, and a guy who has been dubbed 'The Dude.'  What more do you from a film?? 10/10",10,0,1,28 February 2003
Pirates of the Caribbean: The Curse of the Black Pearl," fun stuff.
","Johnny Depp is a good actor, has always been a good actor, and will always be a good actor.  With that said, Geoffrey Rush also did a fine job as the leader of the cursed pirates.  While it is fun and good, it isn't perfect. It is a little tame for a pirate movie, but that is to be expected from Disney.  Anyway, fun stuff all the way through, that doesn't have you checking your watch.  It didn't feel like 2 and 1/2 hours. 7.5/10",7,0,1,13 July 2003
Ed Wood," Burton's work of love
","Depp continues to prove that he is one of the best, and most underrated actors in the biz and ever for that matter.  Tim Burton was the perfect person to direct a biopic about such a wierd and cultish director and coaxes the best only best performances out of his actors in this fine piece of work.  Depp plays the part with just the right amount enthusiasim and energy.  And Landau as Legousi, while not a physical match (who is)is excellent as the ageing junkie who had no respect for Boris Karloff.  A must see for Burton, Depp, and even Ed Wood fans. 10/10",10,0,0,28 February 2003
X-Men," Singer delivers
","While this movie isn't anywhere near faithful to the comic book, it delivers, and keep the spirit of the comic book in mind.  And that is what truely matters.  There is no way on earth that someone can translate the comic book over exactly without alienating large parts of the masses, or making a completly stupid looking movie, see some of the 80's marvel movies if you have your doubts.  I assure you, those will be hours of your life you will never get back.  Good job Singer, keep up the good work, you have my full confidence that you will deliver on X 2.",8,0,0,2 March 2003
Snatch," Ritchie has much more talent than Tarantino
","Guy Ritchie's films are (with the exception of Swept Away, I will blame that on Madonna) way better than Tarantino's.  I know a lot of you are going to freak out at this, but let me explain.  Guy Ritchie is actually original!!! Tarantino, while he is talented, and I love his films, don't get me wrong, he is really just a clever knock off artist.  He 'steals' his plots, gimmicks, and even whole scenes from other movies.  Look at Reservior Dogs, then watch City of Fire, and try to tell me Tarantino didn't steal the storyline.  If you ask me, Tarantino's true talent lies in his sharp, original, and whimsical dialogue.  Anyway, this film is original, funny, has dead on acting, and is bound to be a copied for years to come.  Keep up the good work Guy.  10/10",Null,0,1,28 February 2003
