movie_title,title,review,rating,helpful,total,date
The Young Victoria," Above expectations but has its flaws
","I watched this film as I had very little if not no knowledge about Victoria´s life and personality.
During the first half, I was quite impressed with the performances by Emily Blunt and Rupert Friend, slightly more by the latter as I had seen him in completely different roles and really did not expect him here.
During the second half. Rupert Friend made the film from my perspective as we see a loving and sensitive Prince Albert while Victoria seems to be angry and impulsive. Maybe was she but I must admit that, overall, I did not like Victoria.
I was also surprised to see that it is directed by Jean-Marc Vallée that I really appreciated for ´Demolition´, ´Big Little Lies´ and ´Wild´. There are very good moments in his direction, with some fadings to show the intimisy between Victoria and Albert.
As I am not an historian, I can only trust the accuracy of the events but for spending a lot of time in the museums, I can salute the set and the costumes.
I am rating it 7 as I wasn´t completely convinced with the performance by Emily Blunt that did not really make me like Victoria. But maybe was she not that likeable.",7,0,0,8 May 2020
Ghost," A ghost that will never die
","I watched it back when it was first aired and I am very surprised that it has gained in popularity , maybe due to Patrick Swayze sudden death...
The film is about the tragedy of losing someone who was ´too young to die´ and of how to overcome it. Whoopy Goldberg is here to put a smile on our faces, and her duet with Patrick Swayze is hilarious. Surprisingly, I found more chemistry between these too, than between Patrick Swayze and Demi Moore. I appreciated that this film is showing the bright and the dark side of each character. To be watched in remembrance of the talentive yet too ignored Patrick Swayze.",7,5,5,15 May 2019
"Crazy, Stupid, Love"," Love, Actually, but the American way
","For those who have already watched ´Love, actually´, it is the same idea, only the American way. We are following several ´love´ stories in parallel that in the end are linked. It is just as refreshing, with a great cast, and a good sense of humor (not cumbersome as in so many American comedies).
For those who did not see ´Love, actually´, this film is about the different forms of love: the one for a lover, a friend, a relative, and so on. And of the difficulty of finding the perfect match, for the romantic ones. It is probably for an audience from 15 to 50 year old as to better identify to the characters.",8,1,2,16 September 2018
The Notebook," About 30 minutes too long
","Sorry for not being romantic on that one.
If I did appreciate (yet not enjoy) the first hour, then during the second hour, I kept on having a look at my watch.
I am sure that very romantic people will enjoy it but, apart from the set and the acting that are rather convincing, the story in itself is rather boring. I think one hour and thirty minutes would have been enough.
I am rating it 7 as it is technically good but it is just not quite for me.",7,0,0,26 June 2020
The Irishman," Slow and confusing title
","Sorry for being pragmatic but, why Robert De Niro, the typical American actor, to play the Irish man? Then, why 3 hours? I hadn´t seen that length since Titanic, which I could appreciate as there was action all the way through , but not here. I was attracted by the first scenes where I could see again some ageing actors and well-known director, but here is the problem: the same actors are supposed to play 30 years younger, except that they don´t look more than a couple of years younger, at best. Then, because the cast is ageing, all the ´action´ is slow. It may be fine for an ageing audience who will be happy to see their ageing stars but I am not this old yet. I am not rating this as I am not planning on watching it until the end, life is too short. No offence to the actors and the director which I appreciated elsewhere, but not here.PS: Mr. De Niro, could you please stop doing this gimmick face that you caught on Taxi Driver? It was interesting back then but, time has passed.",Null,4,9,8 December 2019
Zodiac," Above average but could have been better
","I am rating this film 7/10 as opposed to other David Fincher´s who thrilled me more (like Fight Club or Panic Room).
Zodiac has some lengths but probably made to reflect how long it really took to solve the enigma of the Zodiac. Therefore, it is not as dynamic as other David Fincher´s but it remains a very good film worth watching.",7,0,0,15 July 2018
The Terminator," Inspired a generation
","This action film contains few dialogues and most scenes are about TerminatorÂ´s woman hunt. Its success is mainly due to the fact that the original idea was coming at the time when machines started replacing human being in some jobs and other everyday life activities. Although James Cameron deserves his reputation, it is to be noted that there is a huge inconsistency as for John Connors paternity. Also, as it is about technology, I am not sure that the then new technologies will still speak to the new generations.",7,1,1,2 June 2018
Begin Again," Yeah...no!
","When I saw the rating here, I thought ´must be a good film´. Keira Knightley and Mark Ruffalo are recognized as good actors so I went for it. I had some doubts when I saw the name of James Corben as I read the critics from ´Cats´ saying ´James Corden is terrible, as always´ but having never seen him in anything, I couldn´t tell if it was justified.
The opening scene is interesting as I discovered that Keira Knightley could sing. It may not be her main skill but she can (the cast from ´La la land´ would have a lot to learn from her).
The songs are pleasant but as there are the songs of the films and the music of the film, it is a lot of music that is at times a bit loud and too present, and tends to overlap the story.
The story, let´s admit it, is rather basic, but given the reputation of the two main actors, there would have been room to develop.
I don´t know Adam Levine. He is doing the job but his role is not of much interest.
What is really spoiling the film is that Mark Ruffalo is most of the time making a fool of himself, overplaying the role of the ´misunderstood-tortured´ music producer. I have seen him in many films before so I know that he can be good. It is not that he is bad, it is just that he is doing too much.
As for James Corden...so he is an actor?I am rating it 5 as there is much worse, but there is also much better.",5,0,0,30 March 2020
Shutter Island," To be watched at least twice
","I am far from being a fan of Martin Scorsese or Leonardo DiCaprio but after ´Gangs Of New York´, this is the second time that I am enjoying one of their films.
I was surprised with the high ratings at first as it reminded me of ´Insomnia´ for the hallucinations and ´The Others´ for the final twist but there are actually different twists and the scenario is playing with our brains, mislieading us each time we think we know what is happening. For this reason, I think it is necessary to watch it twice to understand the final outcome.
Some seem to have been disappointed with the final twist as it could actually be easily guessed but I don´t think anyone could actually do so. And as it is based on a book, unless this part has been changed, the book would be the one to blame, not the film.
As I wished there were more films like this, I am giving it a 10.",10,0,0,5 May 2020
Lost in Translation," A beautiful story
","I have always been fascinated by Japanese culture so I may not be completely objective.
This is the story of two people who are forced to spend a couple of weeks in a country whose culture and language are estranged to them.
As they are both into relationships that are on the verge to break for lack of communication, they find each other to spend a bit of time and fill-in the emptiness that they feel.
It is slow-paced, with not much music and few dialogues and yet, it is never boring. Probably thanks to Sofia Coppola´s direction that is full of humour and distance to show the cultural differences between the US and Japan. But this is only happening because Bill Murray and Scarlett Johannson are delivering the right performance: they have a great chemistry, a great sensitivity, and they are simply great together.
It is not a big film, it is only a great one that I strongly recommend. As per what I said above, maybe keep it for a day when you feel relaxed so you can appreciate the ambiance of the film.",8,1,1,27 January 2020
