movie_title,title,review,rating,helpful,total,date
Saturday Night Fever," New York Man -Walk the Talk
","There is magic of the disco in the 70s, as a transition kid ( too young for the disco ) who's too excited to see my elder siblings dress up and go to the disco in their teased hair and Vanderbilt jeans, this film is heaven-sent to kids like me who love to dance. It was rated R in those days so I relied on the retelling of my sister ( who edited the explicit part ) to me until I was old enough to see it for myself. By that time the hype is over but the memory of me cutting this out of the newspaper as a 'gotta watch movie 'I know I made the right choice. I can not imagine any actor doing the dancing as John Travolta did. He is the swag jumping out of the dictionary, strutting, enchanting the viewer. It also has a realistic depiction of how the poverty, religious beliefs and hardship of the working class family was in those days. Also the recklessness of youth, the lack of communication between friends, blind ambition are universal topics of then and now. It has a shoulder-shrug ending which up to now many people didn't get so my one point deduction is for that.",9,1,2,25 May 2018
Vertigo," Showcase of Phobia, Angst, Love
","If I had a time machine, I would have loved to travel in time and have dinner with Alfred Hitchcock. If then why, Stan Lee must have been inspired by the cameo roles of Hitchcock in his own films that he decided to peg it. This is such a classic and to see Mr. 'Nice Guy James Stewart out of his usual mister nice guy roles, this is a good movie. There is such élégance to the ladies and gents of the late fifties early sixties, and James as an acrophobic guy who fell victim to Kim Novak's charm and was the fall guy to masquerade a criminal scheme is very humane in his portrayal. And for a bombshell, Kim can act. For all those who have the patience for traditional suspense, this is a movie one should put in his or hers to watch list.",9,1,2,26 May 2018
Training Day," Scary Denzel
","Denzel, the chameleon of an actor never ceases to surprise us. He played the character to the hilt to the point you wish him ill towards the end . This is in contrast with the tame, uncorrupted, idealistic character of Ethan Hawke. This film is violent and brutal. As we all know, many coppers out there can't be trusted as they are all part of the scheme. For a different side on the usual good guys Denzel played, this film is his Jack-in-the-box and he'll jump right at you.",8,0,1,25 May 2018
The Mummy," Mummy-fied
","This is a fun movie, especially Part 1 and Part 2 , did the trick for me. Forget Part 3, just don't delve in there. Rachel Weisz and Brendan Fraser have this crazy, neurotic chemistry perhaps owing to the somewhat on-the-edge character of Evie ( Rachel) and the dapper-wrapper , knight on a white horse character of O Connell ( Brendan) . The fx is on pointe. It jumpstarted me from my seat then and when I see it replayed, it is still good laugh after many years. When I go to the musea and there are sarcophagus on exhibit, I giggle inside as I am reminded of this film franchise in micro portions.",8,1,2,29 May 2018
Troy," The origin of the word Trojan Horse
","Many a younger generation asked me why is a virus called a Trojan Horse, for those who love Homer or had some Greek mythology subjects, it is a no-brainer and we know why. This film is adapted from the tale about the lovelorn Paris and Helen- the face that launched a thousand ships. But it has been given some imaginative adaptations that Achilles became the center of the story. For all the ladies out there flocking to the cinema because there's finally an excuse to see Brad Pitt again , this time pumped up, rugged, muscular, glistening in sweat it's worth the wait and weren't disappointed. Resplendent cast of actors and as the story narrator, the reliable Sean Bean. Entertaining and admirable.",8,1,1,31 May 2018
Deadpool 2," Hilarious as expected
","Deadpool fans have been waiting for this sequel, and yes , there is no deviation from the foul language, parody, cheesy one liners, hilarious one liners, action, laughter, tears and yes, drama! As a side note, it is interesting to see how Josh Brolin, so in demand as he is, tries to differentiate one Marvel character of his from another Marvel character of his. There are some tints but maybe that's the entire point as this is not the glossy, intense superhero like the first one , which many of the lead actors already portrayed in the past so there will be some mild confusion at one point. Indeed a new group of oddballs anti super anti super super anti heroes, it is entertaining and childish fun.",8,2,3,10 June 2018
The Terminator," Futuristic, Suspenseful, Pacesetter
","When you are barely seventeen and see this for the first time in an era without much tech as now, this film sealed my deal in being a lifelong Schwarzenegger fan. When a story is so original, you do not understand entirely what is going on, you can not blink and left in awe trying to grasp what this machine man robot means . The 80s is captured for eternal here, the big hairs, seedy discotheques, synthesizer and more. As this film is going at such fast rate throughout, one was wondering why the need to kill all Sarah Connor, thus only when Michael Biehn , savior of Sarah played by the unassuming Linda Hamilton came into play was it clearer. The effects , those days standards, were so good, a lot of people were screaming at the theatre thinking that the Terminator gets out of the screen onto us. Arnold Schwarzenegger is convincing and I can not imagine what happened if Dolph Lundgren got the role instead as it was rumored that he was offered the role as well. From the T1000 franchise, this is the story and special effects pacesetter of many action films to come.",9,0,1,27 May 2018
Alien," The Inventor of Scifi Horror
","With films coming at an AK 47 rate, seldom will an audience encounter anything like Alien ( all sequels are still as terrifying ) with all the gut-ripping, face-locking, seemingly more intelligent than humans creatures in a spaceship destined for doom. However , it is also interesting to note that Sigourney Weaver immortalized the character, Dr Ellen Ripley. When something is new, be it anything , a toy, a car, books , films - our curious nature is always triggered , with Alien our imagination and fear of what's out there has been called to the surface. A lot of cast members here went on to establish film careers as a result. If you're not a scaredy cat, this film must be in your library.",10,0,1,2 June 2018
Suicide Squad," The Ho-hum Squad
","I went to the movie theatre with my husband with very little expectations about this film and left feeling even less enthusiastic about it. The points I have given are for the effects and for Margot Robbie's acting. She's a tad exaggerated as Harley Quinn but appealing in her effort to justify her role. The rest of the squad looked like they had all been hired the last minute and did it for the obvious reason, in dollar signs. If there's a chance for you to watch it for free and you ain't got nothing to do then it's your risk. I normally don't regret anything but having spent my money on this ho-hum movie , I mentally crucified myself for that .",5,0,0,7 June 2018
Forrest Gump," The most beautiful, unusual love story
","Did I cry at the theater with a friend while watching Forrest ? Yes, we did . Did we laugh loudly at him during the ping pong game? Yes , we did. Did we feel his pain and struggles as a child and when Jenny died later on ? Yes, we did. My friend and me are one of those many millions who know Forrest Gump line per line. This film is not exclusive to the ladies only as a chick flick for I also happen to know many men who love Forrest Gump as we do. We can put the blame to Tom Hanks' majestic acting , or to Robert Zemeckis for his out of this planet directing, or just because this is the most beautiful, unusual story of love we have seen of this caliber. A brilliant film that needs no further introduction as it shines like the sun in our universe with its honesty and simplicity.",10,1,1,27 May 2018
