movie_title,title,review,rating,helpful,total,date
"The Adventures of Priscilla, Queen of the Desert"," laughs
",I've seen this movie a few times and it was very funny! Hugo weaving was great as Anthony 'Tick' Belrose and Mitzi Del Bra. If you really want a laugh and see some wacky stuff watch this one. I would watch it if it was on TV for sure.80%,8,1,2,17 March 2002
Gremlins," Great comedy/sci-fi
","Gremlins probably is under rated, but it thourougly delivers when your looking for a comedy and a bit of tame horror(theres hardly any). Even though the little critters are evil, they are very likeable and the people who created them did a fantastic job in designing them.And in the end, after you watch it, you really will wonder if thats a possum or gremlin in the vent ;)",7,0,1,22 June 2002
Star Wars: Episode I - The Phantom Menace," Thumbs up
","I think this movie is great. Great special affects, aliens and all kinds of wacky wonderful creatures such as Jar Jar Binx make this movie colourful. It was a pity they didn't show much of C3PO, but the inclusion of R2D2 was cool. The phantom dude looked impressive. And Natalie Portman did too! Can't wait for the second episode!",7,0,1,24 January 2002
E.T. the Extra-Terrestrial," Creepy, but fantastic!
","E.T is a great family movie to sit down and watch. I must admit the little fella from outer space does creep me out, but Steven Spielberg did a marvolous job with this movie. The special effects were fabulous for 1982 and I'm still not sure if i'll go to see the digitaly remastered one.
91%",8,0,0,17 March 2002
The 13th Warrior," Surprisingly very enjoyable.
","I thought this would be a little dodgy when i rented it on DVD. After reading the book, i was eager to see it. Very believable characters, especially Banderas as the Ibn dude. Not much 'gore' but lovely surroundings just as i imagined it in the book(well, almost!). Another Crichton novel that has turned into a great movie.77%",7,0,0,2 January 2003
Happy Gilmore," Adam Sandler at his best.
","Adam Sandler plays a hilarious role in this fun comedy. Plot is a little weak, but its covered up by funny scenes every where you look and whenever Adam Sandler is in it, you know it's going to be fun. A must if you love comedy.80%",7,1,2,21 March 2002
The Fifth Element," Youch!
",This is a movie that had heaps of special affects and make it special. Cool monsters and beings make this movie a must. Bruce Willis is at his best in the film and Luc Besson did an outstanding job. It would be good to see another movie like this because it easily is one of the movies that take the chocolates for special affects.97%,9,0,1,17 March 2002
Blade," I vant to suck your blood!
","Blade is a dark, gloomy, but significent vampire movie and is one of the best ones. A bit of gore, but nothing really that bad. Wesley snipes played a strong role as he eliminates the vampires. Not really like buffy, because thats too tame but Blade delivers a decent plot and it's the kind of movie that you would probably like to watch on a dark stormy night....thats at best viewing!87%",8,0,1,17 March 2002
The Mummy," VERY, VERY good
","The Mummy deserves more ratings than than it has now. When a mummy is woken, all hell brakes loose. Brendan Fraser plays the role of Richard 'Rick' O'Connell who is on a dig in Hamunaptra. Of course, he is the hero and must save the day from the evil Mummy who will pretty much kill almost anything that gets in his way. The special effects are impressive in this movie. The movie moves at a fast rate but is still highly recommended. The Mummy is a polished action adventure so be sure not to miss it.95%",9,0,0,16 March 2002
Home Alone," Fun for the family
","Home alone is a family movie. I played the game on NES and it was discusting. But let's not go into that. This movie was entertaining right from the start, and although I wouldn't laugh at it, it would bring a smile to my face. Eight-year old Kevin McCallister (Macaulay Culkin) Is good in his roll and brings a brightness to the movie. But maybe it's a bit far fetched.66%",7,0,0,17 March 2002
Sleepy Hollow," Loved it.
","*Spoilers* I thought i would enjoy it, but not as much as i did. Really, there isn't that much gore, mainly violence. Some scary parts, so kids under at least 11 or 12 probably will have nightmares if they are easily sqemish. The Special effects were pretty good, and the headless horseman looked great.
A must if you like horrors.85%",8,0,0,30 October 2002
Scary Movie 2," Not bad.
","Scary Movie 2 probably wasn't as crude as the first, but still had it's powerful moments. With some tedious moments, the jokes are predictable, and some re-used, but you still have a laugh. The acting is actually better than some other movies, and some parts are really gross. But hey, that's what you get when you watch these kind of movies.A good teen movie.59%",4,1,2,13 September 2002
Star Wars: Episode II - Attack of the Clones," Lucas adds another classic to star wars.
","George Lucas adds another classic to the star wars franchise with Episode 2 'Attack of the clones'. Well, I went to the cinema expecting a great film, and got an excellent one. At first, I thought the love story in it would be a bit sappy, but I loved that bit too. Very well done acting and the special effects were the best I've ever seen, as Yoda looks as real as real can be with character and emotion, which brings him full of life.Natalie Portman is perfect in her role while she fights for her life. And with plenty of famous faces pasted everywhere you look, you will no doubt enjoy it.Despite a love story in it, there is action a plenty, with the huge action scene at the end memorable. Also the team behind the camera has also done a marvelous job, doing a good job to make each of the characters look ten years older.With original characters from Episode 1, such as Watto, Jar Jar and the sith looking older, you get lost in the star wars world.Bravo to Lucas for a well directed, long movie (which I love). It's also great that Lucas has made each movie nice and long. Once again, well done to everyone who had something to do with one of the best movies of all time.My score: 10/10",7,0,1,16 May 2002
Predator," One of the best action/sci-fi movies ever.
","Kevin Peter Hall does a superb job as an alien-warrior from outer space that tries to hunt Arnie and his buddy's in the jungle. This is a movie i'll never turn down to watch, as i'm simply addicted to it. Heaps of action mixed with sci-fi is a great recipie for success. I've seen it about 3 times now and am always on the edge of my seat.What else can I say? Predator has become one of my favorite sci-fi movies rapidly. Go see it it's a must!9/10It beats the 'Aliens' movies anyday.",9,0,0,13 July 2002
The Lord of the Rings: The Fellowship of the Ring," One of my favorite movies yet
","After it was out for about 2 weeks, I finally decided to go and watch this film, as many people were saying how it wa the greatest film ever. I thought I wouldn't be interested in this type of movie, but boy was I wrong. The special affects took my breath away, the acting was sensational, the plot excellent...well not even words can really describe this film. The lord of the rings made me feel I was there with the characters. Very imaginative and unique as well. You must see this movie before dying! 10/10 Only downside is poor character development.",10,1,1,16 March 2002
The Village," Dissapointing.
","Shyamalan still is the master of twists and deception but it was too much this time. Great cast depth, Ivy is hot and the realness is all there but the fact that this type of thing has already been done it was dissapointing. Up until the end it was nearing perfection. This is starting to become a worrisome habit with many movies these days and lets hope these bizarre endings end.85% of the movie is pure pleasure but unfortunatley the other 15% is rubbish and ruins it so overall about a 6 or 7. Dissapointing for M.Night's standard.",Null,0,0,2 September 2004
Terminator 2: Judgment Day," A good movie to watch when you have nothing to do at night!
","Terminator 2 is better than the 1st and delivers plenty of action and thrills. Arnold Schwarzenegger is perfect in the role he does. This movie is not bad for 1991, and the whole movie is interesting throughout as I never got bored of it. I'd give it 85%All in all a sensational movie",9,1,1,16 March 2002
Spider-Man," Watchable, but....
",".....The scenes aren't deep enough. The entertainment was 9/10, but what stops Spiderman from getting 10/10 for entertainment is a little lack of action scenes, especially of the Green Goblin. I'll most likely go see the sequel in a couple of years, let's hope it has more action.Otherwise, pretty good film! 75%",7,0,0,17 November 2002
