movie_title,title,review,rating,helpful,total,date
Requiem for a Dream," Searingly intense (if propagandistic) film
","The performances here are great, sometimes shockingly so.  Ellen Burstyn disappears completely into her character--she's so authentic in this role that it chokes your heart.  Jared Leto and Jennifer Connelly have never been this good (some would say they've never been good at all, before or since). Even Marlon Wayans, that goofiest of Wayanses, is unexpectedly touching in his key supporting role.Darren Aronofksy's technique is quite astonishing.  It's interesting (and heartening) to see how popular the movie's become with young people, as its chilly formalism has more in common with art-house provocateurs like Peter Greenaway than with all those flashy new talents who used to make music videos.  At the same time, the technical virtuosity never overwhelms the narrative; in fact, it tricks you into thinking the simplistic message is more profound than it is.  The rolling, nightmarish sequence leading to the film's climax, made even more feverish by Clint Mansell's incessant score, is so searingly intense that you may feel physically sick afterwards.  (At least, in the unedited version it is.)  It may be the most powerful and disturbing fifteen minutes ever put on film, and to deny its effectiveness, even as a propaganda tool, would be wrong.And a propaganda tool is exactly what it is.  As an anti-drug message film, it's nowhere near as sophisticated as `Trainspotting'; its message is writ far too large for that.  And as entertaining as the film's aesthetic elements are, the relentless moralizing can be wearying.  `Requiem for a Dream' puts its message into a box (in this case a refrigerator) and hits you over the head with it over and over again.Then again, the aesthetic elements are so strong that talk of thematic subtleties seems like carping.  And really, I wasn't bothered by the movie's obviousness so much, even if I did notice it.  Highly recommended, with the tiniest grain of salt.  9 out of 10.",9,0,0,7 April 2003
The Ring," Scary, but stupid and humorless too
","`The Ring' is a horror movie as slick and stylish as a music video--and as pretentious.  Sure the imagery is beautiful, but the approach is so self-important--and, more significantly, so humorless--that you feel like you're watching a Calvin Klein ad much of the time.  To be fair, `The Ring' can be terribly scary, especially for a movie rated PG-13.  The movie does have the quality of a genuine nightmare, even if the techniques used to achieve that effect are overly self-conscious and obvious.  And, with the exception of the first scene, it resists the temptation to be yet another ripoff of `Scream.'Unfortunately, it's a ripoff of just about every other horror movie ever made, though I'm sure Gore Verbinski would prefer to think of it as an `homage.'  Tomato/tomahto; call it what you will, but there are direct visual quotations from at least ten and probably more like fifteen or twenty classic horror films.  As a scary movie buff, I found it distracting and annoying: `Oh, that's from When a Stranger Calls,' and `Oh, that's from The Omen,' and `Oh, that's from The Shining,' and `Oh, that's from The Changeling.'  Verbinksi obviously studied the genre meticulously before making this movie; it's just too bad he couldn't come up with some original ideas instead of recycling other people's into a relentless shock-movie mélange.  At times I felt like I was watching a new version of `Terror in the Aisles.'It doesn't help that the story is preposterous.  I won't give away any spoilers here, but I will say that every plot development is head-bangingly dumb, and it gets boring after a while.  Now I realize we're talking about a horror movie here, and so a little suspension of disbelief comes with the territory.  And maybe if the movie could laugh at itself a little bit, I'd be inclined to forgive its faults.  But it has all the dull gravity of the most excruciating art-house `masterpiece' you ever saw, and that doesn't help it one bit.Performances are OK; the only real standout is David Dorfman as the kid; he kind of looks like one of the orphans from `The Cider House Rules' would after spending a year at the bottom of a lake.  Gratuitous underwear scene aside, Naomi Watts doesn't show much of the promise she did in `Mulholland Drive,' and Brian Cox and Jane Alexander are pretty much wasted.But the point of a horror movie is to be scary, and, like I said, the movie does that pretty well in places.  If you can stomach its stupidities and other problems, you'll probably be entertained.  6 out of 10.",6,0,1,21 March 2003
Chinatown," Polanski at his most expressive
","Pastiche of classic noir is perhaps one of Polanski's warmest and most expressive films. Calling it a pastiche should not suggest that the director's unmistakable stylistic stamp is lacking; indeed, the unusual pacing, realistic texture, and vivid (if not always pleasant) characterizations are all there. But this time, the director's affection for his source material is so evident, and so genuine, that we see a less chilly, less gritty Polanski than we have before, and that's why 'Chinatown' is likely to appeal even to viewers who dislike his other pictures. The wonderful design helps a lot--the movie's bathed in rosy light--and the script and score aren't too shabby either. Performances are very fine, with a pre-superstardom Jack Nicholson in top form, and with John Huston using his considerable charm to create a memorable, grotesque comic portrait. 8.5 out of 10.",8,1,3,12 May 2003
Meet the Parents," Not entirely successful
","Unusual but not entirely successful feel-bad comedy. At first glance, 'Meet the Parents' seems to be a hybrid of Blake-Edwards-style farce and uninspired mainstream movie comedy (sort of like every movie Steve Martin has made in the past 15 years). But before long we realize it's actually much crueler than that  unlike those essentially safe entertainments, which are always rather boringly humane in their treatment of their characters, this film isn't afraid to get ugly. Its poor protagonist may not be particularly likable (and Ben Stiller's performance doesn't help a lot where that's concerned), but he nevertheless gains our sympathies because of the incessant, unreasonable series of tortures it rains down on him. It parades ugly character after ugly character in front of him, but unlike ridiculous farce figures such as Martin Short's Franck in the 'Father of the Bride' series, these people are all too believable, the kinds of smug hypocrites we encounter all too often in life (and that includes Focker's fiancée, actually). That's sort of where the problem comes in - the glitzy Hollywood veneer never really jells with the elements of real pain, and we never particularly want to see Stiller accepted into this family. Worse than that, the film's not consistently funny, though of course it is frequently appalling, and to some that's going to be close enough. 6.5 out of 10.",6,1,3,21 December 2004
Dawn of the Dead," Passable zombie fare
","Passable zombie fare. Abandoning the overt political statement of the original doesn't really hurt the film much--to be honest, Romero's 'Dawn' was somewhat overdone in its anti-consumerist message, a 'Night of the Living Dead' writ too large. Zack Snyder's new version touches on politics only in passing, and concentrates instead on its action. It's not a perfect film by any standard--it's at least half an hour too long, and many of the characters are poorly defined (star players Sarah Polley and Ving Rhames are pretty much wasted in their ostensible lead roles). Worst of all is the tired familiarity of the material--its one real innovation is having the living dead move quickly, and even that was done before in the messy '28 Days Later . . . .' But it's basically likable, with well-managed scare setpieces, and occasional witty touches (of which Johnny Cash's end-of-the-world anthem 'The Man Comes Around' is a particularly nice one). In the end, 'Dawn of the Dead' is a basically entertaining, if not terribly memorable, horror film. 6.5 out of 10.",6,0,0,8 November 2004
Finding Nemo," Enjoyable
","Pixar recaptures the charm of its earlier films after the disappointing `Monsters, Inc.'   All the inevitable trademarks are there--busy visuals, talky screenplay, Ratzenberger cameo--but we find that no matter how much we expect it to, this new breed of family film simply refuses to wear out its welcome.  Of course the look of the film is stunning, and the attention to ichthyological detail is admirable, too.  But what keeps the viewer hooked (um, as it were) is not any of these elements (nor the overstated if-you-love-somebody-let-them-go theme), but rather the visual and verbal wit (including several great cinema in-jokes), as well as a frankly crazy approach, and a welcome willingness to be scary.  I was reminded more than once of Jim Henson's Muppets in their heyday.  Quite enjoyable.  8 out of 10.",8,0,1,5 January 2004
The Others," Another disappointing 'twist' movie
","Yet another movie that seems to believe a good twist at the end can make up for a multitude of sins.  This one is little more than poor man's Shyamalan, though it takes for its inspiration `classy' horror movies like `The Innocents,' `The Haunting,' and `The Changeling' instead of the pulp that fuels M.N.S.'s celluloid nightmares.  And certainly `The Others' can't be faulted for poor taste.  On the contrary, it approaches its Gothic subject matter with great sobriety--it has whispers in the dark, and mysterious footsteps upstairs, and a sinisterly knowing staff, and a fog so unvarying that you wonder why anybody's the least bit worried about sunlight. Unfortunately, because this straightfaced approach doesn't coincide with any particular directorial style or verve, it only serves to make the creaky haunted-house subgenre feel even creakier.  None of the characters are particularly well developed (Alakina Mann at least gives a performance that's convincing, bratty, and fun, but Nicole Kidman, whose two modes of line delivery here are Severe Hiss and Severe Shout, has been almost as overrated for this as she was for `Moulin Rouge').  When the twist comes, it's certainly a good idea, but then the script has to go and explain it and explain it and explain it.  And the biggest problem is the same with this as it often is with Shyamalan--it's all too obvious the twist came first, and then all the rest of it was just shoveled in more or less haphazardly.  To be fair, `The Others' is never laughable or unbearable, exactly, but it never gets all that scary either, and it's disappointing to think what a good creepy movie might have been built (even working backwards) from this particular twist premise.  6 out of 10.",6,1,2,29 March 2004
Insomnia," OK, TV-movie-ish thriller
","There's a knotty ethical paradox at the heart of `Insomnia.'  What is the point of integrity if it keeps you from doing important work?  Would you sacrifice it to continue doing that work--even if it meant letting a cold-blooded killer go free?Unfortunately, this intriguing question comes clothed in pretty routine murder-mystery drag.  In fact, it's almost as if the screenwriters planted a single kernel of good idea, and then just shoveled in `Murder, She Wrote' filler around it.Performances range from good (Al Pacino and Robin Williams) to middlin' (Maura Tierney) to poor (Hilary Swank, in yet another inexplicably amateurish turn) to excruciatingly awful (the actors playing Dead Girl's Boyfriend and Dead Girl's Best Friend, who shall remain nameless, for their own protection).  And am I the only one who feels that Martin Donovan seems bizarrely out of place in anything but Hal Hartley movies?Christopher Nolan's much touted talent with a camera here boils down to a) gorgeous, generic establishing shots of Alaskan wilderness, and b) rapid-fire editing and `subliminal' shots so cheesy would make William Castle blush.  Yet another case of The Emperor Has No Clothes.Still, the scenes between Pacino and Williams in the film's middle section are gripping, and provide a glimpse of the fascinating, `Sleuth'-esque thriller this might have been.  And, to be fair, the movie never entirely loses you, even when you're shaking your head at the TV-movie-ness of it all.  6 out of 10.",6,0,1,14 April 2003
The Day After Tomorrow," At best dopey, at worst offensive
","Dopey, borderline offensive trash. The first half of the film is basically an excuse to unleash massive destruction on major American cities, but events of the past four years have robbed such an effort of a lot of the thrill and potential humor. Not that it would be terribly funny anyway, at least not in this director's hands. The disaster epics of the 1970s had their tongues firmly in cheek, and their ability to laugh at themselves allows even the most intelligent viewer to forgive a lot of excess. Roland Emmerich, on the other hand, approaches his story not with high seriousness, but with a kind of embarrassing TV-movie earnestness that's even worse. The fact that the hoariest of movie clichés are here intended to be genuinely heartwarming is a little pathetic, and doesn't jibe at all with the fanboyish cyberviolence of the movie's first act. Getting back to that violence, I'll never understand why these sorts of FX-travaganzas are always shot in the most unrealistic, unfrightening ways possible. Wouldn't it be much scarier to see a tornado (or three, in this case) from the perspective of someone on the *ground*, someone whose life is threatened, then from someone in the air? Ridiculous. 1 out of 10.",1,1,3,8 November 2004
Match Point," Odd, clever film
","Odd, clever film, if a cold one. At first, it almost numbs the viewer with its frankly clichéd scenario of marriage for money and cheap adultery. This is stuff of melodrama  the production's emphasis on opera is no coincidence  and yet, surprisingly, Woody Allen chooses not to emphasize the emotional aspects of his story, which might seem the best, or at least the most usual, way to make material like this work. Instead, he presents us with characters who aren't really even characterized  despite the over-the-top setting (it's amusing that critics called this a departure for Allen; it's true that here we get the Stately Homes of England instead of the Upper East Side, but it's still his same upper-class fantasy world), they're simply left to be dull, ordinary people, from naïve Chloe and her family to Nola, who, despite the magnetic effect she has on the men of the film, isn't really anything more than a typical stupid young American abroad, first trying to live a starving artist life (and succeeding too well for her liking) and then turning into a panicky, dependent child when she learns she's pregnant. Into this mix of un-characters comes Chris, a person so blank I had trouble remembering his name, about whom we learn nearly nothing over the course of the film. He's a foreigner who comes from humble beginnings (the others very Englishly nickname him 'Irish,' despite his successful downplaying of his accent) and yet we learn nothing of his background beyond his reasons for leaving pro tennis. It's (somewhat unbelievably) suggested that Chris is a great reader, but, like many real people, for the greater part of this story he is neither a thinker nor an actor. He accepts the affections of Chloe (and the privileges associated with them) more out of politeness than anything else, even to the point of marrying her; when Nola enters into the picture he acts, but still doesn't think. By the time he decides to murder his now-inconvenient paramour in an incredibly careless way (with a shotgun! in her flat!), we're strangely absorbed that such action could come from such a ho-hum character in such a ho-hum plot, and then shocked when he actually goes through with the killing, wondering how this unthinking, unclever, almost amoebalike character possibly thinks he can get away with it. Though similarly prettyboyish, Chris is neither a blood-lusting overachiever like Patrick Bateman or an I-just-wanna-be-loved sociopath like Tom Ripley  he hasn't the calculating ambitions (or the charm) of either, and it's hardly plausible that he could stumble out of his unpleasant situation as thoughtlessly as he stumbled into it. But stumble out of it he does  Allen's misanthropy extends to the entire world of this film, and just as Chris's frankly doltish wife is easily distracted from her husband's odd behavior, so too is the one police detective who manages to put the obvious clues together easily talked out of his theory by a chipper subordinate. Though not marketed as a comedy, 'Match Point' offers a coldly comic version of the world, and viewed in this light the film becomes almost paradoxically entertaining. Allen almost ruins it at the end with a twee bit of existential artifice that seems juvenile in the context of the adult tone to that point, but perhaps the oddest thing about 'Match Point' is how watchable a mix of not- pleasing-in-themselves elements it is. It's probably too clever for its own good by half, but it contains enough incongruity to surprise just about any viewer. 8.5 out of 10.",8,0,2,9 August 2006
MASH," Strange film
","Strange film; basically entertaining, but not exactly a masterpiece. One of the most likable things about Robert Altman is that every film of his has been in some way an experiment, and almost none of these experiments, even the very good ones, work perfectly. This is a great example. As is obvious from the many user comments here, it's difficult to talk about 'MASH' without comparing it to 'M*A*S*H,' and in fact the most important cultural thing the film may have done is establish an aesthetic universe for the TV series to exist in (and that really is the only thing the film and the TV show have in common  as many have pointed out, the tone, style, timing, and even character personalities are quite different between the two). But taken on its own, 'MASH' is not really the anti-war polemic it's been made out to be, nor is it the joke-driven movie comedy we might expect from the series' style. Instead, it's a kind of exercise in black-comic tone; it subverts the idea of war not by explicitly criticizing it, even through jokes, but rather by being exactly the opposite of what we expect a traditional war film to be. Here we don't see courage or valor or heroism or honor; we see cowardice and nastiness and vice and stupidity, even from the 'good' characters. The movie subtly suggests that war makes ordinary people into silly, stupid, and vicious ones, and Hawkeye and Trapper are no more exempt from this law than Frank Burns; in fact, if anything they are more angry and mean than he is. This unusual approach to the subject matter is well-maintained throughout the film, and never becomes too harsh or ugly  and yet Altman missteps with some oddly chosen episodes (Painless's 'suicide attempt,' for instance, and the overlong, if symbolic, football game), and the ending of the film is abrupt, making what's come before seem even more pointless and inconsequential. Which may be exactly Altman's point, of course . . . so here we have another Altman film that manages to be simultaneously witty, jokeless, boring, entertaining, confusing, beautifully thought out, artfully constructed and artless, symbolic and realistic. It's recommended, but viewers should ideally go into it with no expectations whatsoever. 7 out of 10.",7,47,78,28 December 2004
Alien," Chilly horror masterpiece
","A chilly horror masterpiece.  There's a meaty concept at play behind the spookhouse façade, a healthy--and slightly paranoid, in the best seventies sci-fi way--subtext about not trusting corporate and government establishments (here rolled into one in `the Company').  But mainly it's just a clammy horror movie, as the simple but well-drawn characters fumble around in the dark, alternately looking for the alien and running from it. Ridley Scott's technique is elegant, but we don't see as much of the stylistic polish (some would say pretense) here as we do in his later work. In this case, that's a blessing, as it gives the film an air of sweaty, almost `Das Boot'-like realism largely absent from his florid recent efforts.The `Alien' series has had quite a mythology grow up around it, and it isn't hard to understand why.  There isn't really another movie series quite like it, with each episode being guided by a different, competent and completely distinct auteur.  It is not a flawless series--there are those who find `Aliens' too macho and thuggish, `Alien³' too black and misanthropic, and `Alien Resurrection' too self-indulgent and empty (and, perhaps, too badly acted).  But each film is so unique, and yet has so much in common with the others (the opening `wake-up calls,' the androids, the Company, and most notably, of course, Sigourney Weaver's iconic Ripley), that it's safe to say there's been no more perfect genre series thus far.  This first film seems to be the only one everyone can agree on, and I can see no reason to argue with that.  9.5 out of 10.",9,0,1,4 November 2003
Elf," Nice performance from Ferrell raises this above average
","Affable, amusing holiday fare.  There's really nothing terribly new here--the film's basically a collection of Christmas-movie clichés strung together like Buddy's meticulously crafted paper snowflakes.  But Will Ferrell's deeply committed performance makes things worth our while. Ferrell seems to be that rarest of creatures, the `Saturday Night Live' alum who actually can make it on the big screen.  Here he gives a big, childlike, wonderfully straight-faced performance--he never winks at the audience, and that's what gives him his charm.  In fact, the entire production has a refreshing earnestness about it--there's nothing all that special about Jon Favreau's direction (though his quick cuts in the reindeer scenes preserve the illusion beautifully), but we have to admire the fact that there are no annoying pop-cultural references, grossout gags, or smarmy jokes for the adults to laugh at.  There aren't too many belly laughs, either, but unless you have a heart of stone, you're likely to have a smile on your face for the entire 95 minutes.  7 out of 10.",7,2,3,3 December 2003
Lost in Translation," Imperfect, but authentically sad
","Sofia Coppola's direction here is understated and sophisticated.  Her pacing occasionally resembles Atom Egoyan's--she's not at all afraid to take her time, introducing a new bit of information and then backing off to allow us to absorb it.  The performances of Bill Murray and Scarlett Johansson, while never showy, do have a lovely, muted authenticity about them, and it's rare to see a film that captures the alienation of solitary travel so well.  But some may find that `Lost in Translation' suffers a bit from its resemblance to Mike Figgis's excellent `Leaving Las Vegas.'  While it's not nearly as explicit or melodramatic as that film was, the primary conceit--two lonely and very different people making a brief, beautiful human connection--is so similar that it's hard to watch it without making some tough comparisons. Perhaps the biggest difference is that Figgis's film had a script--Coppola's screenplay is deliberately low-key, yes, but there are times when the actors' small talk is all too obviously improvised, and we wish the director had taken more rehearsal time to develop the dialogue, as Robert Altman or Mike Leigh would have.  Others have mentioned Coppola's surprisingly reactionary take on Japanese culture (`lip my stocking'?), and it is troubling.  And the supporting performances of Giovanni Ribisi and Ana Farris produce absolutely zero interest, beyond serving as obvious ooh-are-they-really-Spike-and-Cameron gossip fodder.  Still, the truth behind the movie's sadness can't be denied, and its capture is no small achievement.  Recommended particularly for fans of understatement for its own sake.  7 out of 10.",7,0,0,16 February 2004
