movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Superb, one of the best horror movies of the 90's
","THE BLAIR WITCH PROJECT wound up the unfortunate victim of self-canibalization.  Artisan relentlessly marketed and merchandised what should have remained a creepy little curiosity destined for cult obscurity. While it made the company millions of dollars, the non-stop BLAIR WITCH hubbub destroyed the movie's staying power, at least with a wide audience.But maybe this movie should never have been seen by a wide audience.  Maybe the movie's advertising should have been word-of-mouth driven ONLY.  Maybe this movie should have never been released theatrically, at least not on a large scale.  Trying to appeal to a generation whose idea of horror is SCREAM, when the product you are selling is more along the lines of grittier horrors such as CANNIBAL HOLOCAUST or THE TEXAS CHAINSAW MASSACRE, is destined to ultimately fail.  Artisan may have made a killing, but they killed the movie in the process.BLAIR WITCH is one of the few movies I can think of that works better on the small screen.  When watching a grainy underground movie on TV, one feels they are seeing something subversive and taboo.  Seeing the very same thing on the big screen comes off as overly stylized, cinema-verite gone wild. This is largely due to the overuse of hand-held photography in commercials and on MTV--the very audience of which is whom BLAIR WITCH was directed toward.Now, mention THE BLAIR WITCH PROJECT and you'll hear, 'It sucked,' 'It wasn't scary,' 'Heather Donohue is an annoying bitch,' 'The camera work was terrible,' 'It was boring,' 'I'm sick of it.'The last comment is the only one with any degree of validity.Anyone who did not find this movie even the least bit intense or eerie went into it determined to not let it affect them.  As far as the ridiculous criticism of Donohue's performance, her CHARACTER was indeed an annoying bitch.  She was obnoxious, loud, pushy and irritating.  In other words, her performance was perfect.Perhaps the dumbest of all the backlash against this movie were complaints about the shaky camerawork.  You see, it's really hard to sprint through the woods over uneven ground and retain a steady frame--especially when you may have forgotten you were even carrying a camera!  Found documentary footage is rarely very steady or polished, especially when it comes from the cameras of people being pursued by ghosts in the woods.In my personal opinion, THE BLAIR WITCH PROJECT is a solid, creepy, intense, suspensful, entertaining thriller.  It moves along at a swift pace and manages a sense of anxiety rarely captured in American cinema, even during the early humorous scenes.  It's terror works much in the same way as David Lynch's TWIN PEAKS FIRE WALK WITH ME or Gasper Noe's IRREVERSIBLE--we know, to some extent, the protagonists fate at the beginning of the movie, so the entire story has a sense of dread and doom about it.I loved this movie.  Loved it.  There's nothing to read into it, nothing to figure out, nothing to ponder over.  It is what it is.  A good, scary shriek show.  They're a dying breed these days.",Null,3,6,16 June 2003
Kill Bill: Vol. 2," Marginally Better than Vol. 1
","The only reason KILL BILL VOL 2 is superior to VOL 1 is because both David Carradine and Daryl Hannah have more screen time, which helps to balance the awfulness of Uma Thurman's performance.We also get the cool sequence in which Thurman undergoes her training with the master swordsman, which is shot like a gritty seventies Shaw Bros. kung fu flick. The entire sequence, however, winds up serving little more purpose than to explain how she gets out of her impossible situation of being buried alive at the hands of grunt Michael Madsen (playing a more down and out version of the same character he always plays).Her ability in punching through a plank of wood from a short distance comes in handy when she has to punch through the coffin lid. Of course, this doesn't explain how she's able to punch through the ton of dirt that's been piled on top of it.Hannah shines in her best role in years as the ruthless one-eyed assassin who kills Madsen for giving Thurman such an unceremonious death, despite the fact that she herself was all ready to kill her in her sleep not long before that. She also comes to a grotesque demise, which, unfortunately is made far less shocking by an unnecessary foreshadowing in the previous movie.But the real shining light in VOL 2 is David Carradine. His presence is electrifying, and he carries the movie single handedly for the much of its running time. Unfortunately, he is forced to interact with Thurman during the final few scenes, with her bugging eyes and stilted delivery snuffing much of the life out of their exchanges.These scenes are supposed to be emotionally devastating, but simply don't ring true at all, because Thurman isn't the least bit believable. She screams and cries and wails, but it's all so phony it has no effect.The movie is worth sitting through for Hannah and Carrdine. Tarantino's direction is obvious and by the numbers, for the most part. The two movies together are a major disappointment from a filmmaker who's capable of delivering far better material.Oh, by the way, 'Q and U' stands for Quentin Tarantino and Uma Thurman. Isn't that clever?",5,3,8,18 March 2005
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan," An extended Tom Green Show Skit with very few laughs
","I simply don't get BORAT. I didn't find it offensive or shocking, though it did it's damnedest to be both. I also didn't find it very funny. I chuckled occasionally and laughed out loud two or three times, but other than that I found the movie to be boring, repetitive and irritatingly sophomoric.It seems like I watched a very different movie than all the people who called it 'original, edgy, intelligent' or any other such adjective. I found it to be yet another base, uninspired movie the makers of which are under the impression that simply being tasteless and gross is in itself funny. The whole concept was nothing more than an extended Tom Green Show skit, just raunchier and admittedly more outrageous.The only scene in the entire movie that made me laugh heartily was the scene in which kids run up to Borat's ice cream truck, unaware that there is a bear inside that he has bought as a guard dog. The bear roars at the kids who run away screaming. The scene is funny as hell, and it's a purely slapstick moment with no hint of nastiness. Imagine that? Similarly, the only really funny scenes are the more innocuous jokes such as Borat discovering his partner working as an Oliver Hardy look-alike in Hollywood or the pair mistakenly believing that their hosts at a bed & breakfast have transformed into cockroaches. Other than an undeniably funny nude wrestling match, the more tasteless 'jokes' fall flat.The most interesting thing about BORAT is that most of the people in it were unaware that the movie was a mockumentary, believing 'Borat' to be a real person. This leads to many people revealing a very ugly side of themselves (which, along with the prospect of making some money, led to many lawsuits against the filmmakers), such as a coordinator at a rodeo commending Borat's homeland's treatment of homosexuality as an offense punishable by death.Overall, BORAT is simply not very funny. It's too long, loses steam very early on and then just keeps going. Yeah, it has its moments, but I don't believe Sasha Baron Cohen to be the comic genius that many are calling him. He's funny, he's clever, he's certainly fearless. But he doesn't know when to quit. That's a problem with quite a bit of Hollywood product these days, regardless of genre. Cohen probably thinks one cannot take things too far. I suppose that's subjective, because I definitely think there is such a thing as too much.",4,0,1,16 July 2009
Gremlins," One of the greatest jokes ever played on an audience
","GREMLINS is one of the foulest, nastiest and most mean-spirited movies ever made.  It is a sick joke disguised as a kids movie, and one of my all-time favorite 'f*** you' movies.  This movie is designed to get back at parents too stupid or lazy to bother checking out what they are taking their kids to see by giving their kids nightmares.The first half of the movie is a saccharine-laden cute-fest, with all the ear-marks of the usual Spielberg-produced kid fodder.  Cute little Gizmo wears a Santa Claus hat, sings pretty songs and plays under the Christmas tree.  Pretty soon, he spawns nastier and more mischievous  Mogwais, but even they are pretty cute.And then...The Mogwais turn into hideous reptilian creatures which viciously attack people with knives, chainsaws and crossbows.  They are dispatched by being blown up in the microwave or shredded in a food processor. 
I loved it.  I saw it when I was twelve, so I was old enough to take it. One of the best moments in my entire movie-going life has to be when almost every child in the theater screamed in terror when the Gremlin exploded in the microwave.  And, as an ultimate 'you brought this on yourself' lesson to apathetic parents, the movie announces to the world that there is no Santa Claus.This is not a kids movie.  This is an anti-kid movie. Bravo.",Null,0,1,10 February 2004
The Perks of Being a Wallflower," I have never wanted to like a movie so much, but...
","I cannot put my finger on what turned me off of Perks of Being a Wallflower. I lived in Pittsburgh in the 80s through the 90s, was friends with the other misfits in high school and college and even performed in the cast of The Rocky Horror Picture Show for a couple of years. This movie is pretty much about me and my friends.The cast all did marvelous work, particularly the three leads who all turn in rich, understated performances. There is some wonderful dialog, even a few lines that I would go so far as to call brilliant (e.g. 'we accept the love we think we deserve' and 'I feel infinite') and the movie is shot in a creative and cinematic way without ever getting flashy.And yet I found myself oddly unmoved and disconnected from the characters and their plight. Moments that were supposed to be emotional and poignant came off as trite and tedious to me. Maybe it was because it was really nothing I had not already seen or that I didn't quite believe it. Maybe it's because as an adult I am kind of embarrassed at what a slacker I was at the time and the movie brings back bad memories of that period in my life.I'm not sure, but whatever it is the movie just never clicked with me. I'm disappointed about that, because I was expecting a really profound experience watching it. Maybe that's it. Maybe I am too close to it to objectively experience it.Perks of Being a Wallflower has some great things going for it. I really, really wanted to like it, but unfortunately I didn't. I feel compelled to recommend it anyway, as it will probably mean more to others than it did to me.",6,1,5,23 May 2013
E.T. the Extra-Terrestrial," Still Blows Me Away to this Day
","E.T. is one of my all time favorite movies. This movie blew me out of my seat as a kid, and still kills me every time I watch it. Only four or five movies have made me cry, much less sob uncontrollably. When I returned from seeing E.T. for the first time, I couldn't talk for the rest of the day. I laid in my bed and cried for about five hours.The movie still makes tears well up in my eyes and gives me a lump in my throat. I still find it profoundly moving. It's heart-breakingly sad, yet phenomenally uplifting at the same time. I had no idea a movie could be so powerful when I saw this in the movies for the first time when I was eleven.What I think makes E.T. so powerful for me now is the heart-wrenching way it has of making me long to be a kid again. I refuse to ever completely grow up, and my memories are my own, but man does this movie make me wish I was eleven again, when riding my bike was a pleasure, Matchbox cars were the greatest thing in the world, Halloween was a night of mystery and creepy fun I looked forward to all year, going to the movies was an adventure, and looking up at the stars could be a mind-blowing experience.E.T. keeps those feeling alive for me. So do a lot of other things, but E.T. is the champ. As much as my cynical adult side may want to slap Steven Spielberg around sometimes, I would happily give him a hug for his timeless gift to the world, E.T. THE EXTRA TERRESTRIAL.",Null,155,207,7 May 2004
Underworld," Surprisingly strong fantasy movie
","When I first saw the previews, I immediately thought, okay, THE MATRIX with vampires and werewolves. I must admit, I only went to see it because my wife wanted to. I was quite surprised at how entertaining it was.There's some great effects, some terrific action sequences, but the story itself is actually intriguing. I could have done without one or two (or five or six) of the gun battles, as more hand-to-claw combat would have been much more satisfying. I'm also a tad tired of seeing characters (vampire or not) dressed in black leather. That whole clichÃ© has really worn out its welcome. So, for that matter, has the 'gothic, rainy city' locale. But, it serves a purpose in the opening scenes, as, apparently, you can tell werewolves from regular people because they don't use umbrellas.Despite these nitpicks, I enjoyed the movie immensely. It was intense, fun, even scary at times. I was also VERY pleased to see such spare use of CGI. Other than the scenes of the werewolves scurrying down walls (since when can werewolves defy gravity) or transforming, most of the werewolf effects are done with make-up and prosthetics. It just proves that computer animation is no match for talent and ingenuity with some foam rubber and latex.Great movie, check it out.",Null,0,0,3 October 2003
Dawn of the Dead," Didn't this movie already come out as 28 DAYS LATER?
","**POSSIBLE SPOILER**This movie is less of a loose remake of George Romero's infinitely superior original than a not-so-subtle rip off of 28 DAYS LATER. It's even shot the same way. Then, to add insult to injury, there's a BLAIR WITCH rip off over the end credits. Despite that, the movie does have its merits, albeit few.The opening scenes are great, then it's a sketchy ride the rest of the way. There are some truly great moments, and the tone of the movie is winningly basic, but this is supposed to be a remake of DAWN OF THE DEAD, and therefore the lack of any of the original's depth or subtext is disappointing. The remakes of THE THING and THE FLY and CAPE FEAR took the original stories and reworked them, expanded on them and took them in new directions. This one doesn't. It takes the most threadbare elements of the original movie's story and stretches them out to ninety minutes. The rich characterizations and witty screenplay are absent here. The script is clichéd and one-note and the characters are the most one-dimensional I can recall seeing in a movie in years.James Gunn is obviously a talented writer. He wrote Troma's best movie (TROMEO AND JULIET) and obviously is capable of writing that is far more interesting and challenging than this. Let's not even get into the egregiously awful SCOOBY-DOO movies.DAWN OF THE DEAD 2004 is a pefectly okay zombie movie in its own right. It's better than, say, Umberto Lenzi's NIGHTMARE CITY or even the Australian disappointment UNDEAD. But that isn't saying much. If Gunn just wants to write screenplays for cash from now on, instead of writing anything with meaning or depth, that's fine. Just one more promising artist to throw onto the ever growing heap of hacks-for-hire.",6,1,2,19 April 2004
Hostel," Slicker, more expensive unofficial entry in the GUINEA PIG series
","HOSTEL may be effectively horrific to your average moviegoer who has never seen any of the notorious Japanese underground horror/gore GUINEA PIG movies. For those who don't know, these movies are virtually plot less, shot-on-video movies depicting women being tortured, dismembered and murdered.Writer-director Eli Roth adds a story and snappy Tarantino-ish dialog to this obscure subgenre of extreme horror, but little else. Anyone who's seen more than one of these movies will find nothing in HOSTEL particularly shocking.That's not to say the movie is entirely ineffective. There are some creepy moments, impressive make-up effects and clever story elements. I thought the trio of guys getting laid and smoking pot for the entire first half of the movie, juxtaposed with the scenes of torture, mutilation and murder during the second half was a clever comment on what constitutes subversive behavior for different classes of people. College aged guys go to Amsterdam, hook up with beautiful girls and get high; older, more socially refined men go to the Ukraine and pay for the privilege of torturing an innocent person to death.Unfortunately, Roth doesn't do a whole lot with this intriguing set-up, and the movie's final moments fall in to the usual chase and revenge clichés.Despite its similarity to the GUINEA PIG series, the movie that HOSTEL most reminds me of is Joel Reed's sleazefest BLOODSUCKING FREAKS. In fact, it is, in a way, simply a more elaborate, less misogynistic remake of Reed's movie. Like FREAKS, it also attempts to excuse its outlandish gore by purporting to be a pseudo-hip black comedy. The GUINEA PIG movies, love them or hate them, are what they are. They do not pretend to be anything else but tasteless exercises in extreme gore and sleaze, and do not apologize for it.Roth doesn't have the courage to go all the way. He backs off, sprinkling the movie with hip, snappy dialog, stereotypical horror movie clichés and creepy music to remind the audience (and himself) it's all make believe, it's not to be taken seriously, it's safe.If there's one thing to be said for such sickening exercises in extreme horror as GUINEA PIG, MEN BEHIND THE SUN, CANNIBAL FEROX, I SPIT ON YOUR GRAVE and AUGUST UNDERGROUND, it's that they don't make excuses for themselves. They exist to disgust and shock the viewer, nothing more. Roth obviously wanted to make one of these movies himself with HOSTEL. But he doesn't have the stomach to get down there in the cinematic sewer to do it, preferring to keep his hands clean and distance himself from his own subject matter.You can't pretend to be shameless. Roth tries and fails. Still, HOSTEL is worth a look.",6,0,0,17 May 2006
Silent Hill," Finally, a real horror movie!
","SILENT HILL is one of the best horror movies of the past twenty years. Unlike many other recent 'horror' movies, which are more fantasy, action or thrillers with some blood and guts, SILENT HILL is a full-blooded exercise in nightmarish and surrealistic horror. It is the movie that HELLRAISER was trying to be.A mother and father are trying to deal with their adopted daughters dangerous sleepwalking affliction. The girl repeatedly shouts the name of the town from which she came ('Silent Hill'), and the mother believes that taking her to Silent Hill may be the catharsis she needs to snap out of her dementia.The two of them drive to Silent Hill, against the father's wishes, and crash the car when they try and avoid a mysterious figure crossing the road. The mother wakes up hours later and sees that her daughter is missing... and Silent Hill has become some sort of nightmare alternate dimension plagued by monsters, mutants and creepy street people.The movie captures the look and atmosphere of the video game without ever coming off like a filmed session of game play. Other game adaptations have fallen into the trap of seeming like little more than watching someone else play the game, which is not particularly interesting or entertaining. SILENT HILL has intelligent dialog, intriguing characters and a fully developed plot to add muscle to its astonishing visuals. It's not just one gory, bizarre set-piece after another; it's a surreal visual feast held together by a compelling story and strong performances. The screenplay is the movie's only real liability, as screenwriter Roger Avery tries to incorporate the video game's stilted, melodramatic dialog into the action. It works in short spurts in the game, but simply doesn't translate to the cinema.SILENT HILL ignores both the unfortunate move toward 'extreme' horror and the tendency of horror movies to pull punches for fear of offending the audience. Political correctness and a need to repulse the audience with gruesome but pointless imagery isn't to be found in SILENT HILL. This is true horror, pure and uncompromising. Horror is like rock & roll: it's about breaking boundaries and not worrying what's going to sell in middle America. If they had given Lucio Fulci $50 Million, he might have made a movie like this. I highly recommend this movie for hard-core horror fans.More casual audiences and younger kids may not be ready for it.",8,1,3,1 May 2006
