movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," What's happening and why do I care?
","This has been my main question throughout the movie. What's happening and why do I even care? The first hour is just Gosling brooding and acting all emo while he moves from one scene to the next. I have no idea why those replicas needed to be hunted down or why they kept testing him over and over. The movie lacks tension or a sense of direction and it is less a story and more a series of scenes happening to maybe establish something later.When the big bad come along I snorted, he was just so pretentious. OK we established that you're evil for the sake of being evil, where's the fast forward button.The movie is boring with long stretches of silence or nothing happening then a burst of 'emotions' happening out of nowhere and for no reason that half the theater actually started giggling at them. I'm not sure those scenes where intentionally funny though.By the time the big events happens it's the last 40 minutes of the movie that attempts to glue all the scenes together thinking it's deep and clever. It wasn't, it really wasn't. and by then I stopped caring.Visually I thought it was nice at first but it was so pretentious and trying so hard to be deep that it ended up looking like a generic late 90's movie.",3,22,56,7 October 2017
Vertigo," Over-rated sellout
","Alfred Hitchcock is the master of thrills and mysteries... so knowing that he made this just makes me hate it even more.Every old Hollywood glam cliché is thrown at you. you like elegant women staring off into the horizon? damsels in distress? Kissing on the beach and the waves crash in the background?This movie's got you covered!The plot is straight forward enough, you know what's happening ten minutes in, what the movie banks on however is your investment in the character and watching their decent into obsession.The actors were pretty good (though those eyebrows were distracting... did she use a sharpie to make them?) and the overall movie very scenic but it didn't feel like a Hitchcock movie until the very last scene, that's you're only clue to who could have this twisted sense of justice. otherwise it just felt like a sell-out, this is popular so do this, people like that so add it in... One of my least liked movies by Hitchcock, skip it and watch a good one like rear window.",4,4,9,18 May 2016
It," Creepy but boring
","For those that don't know This is a re-make of the Stephen King classic (IT), the book was made into a mini-series in 1990 staring Tim Curry as Pennywise. Now credit where it's due, the kids in the movie are amazing! I was strongly reminded of the cast in (stranger things) they were so good all around.praise over now to the issues I had with it... The movie was a bit off for me, whenever a character was separated from a group he'd wonder around a dark empty place (as you do) and you are just waiting for Pennywise to show up. again and again they just repeated that cycle.I think there were only one or two jump scares in the whole movie and I appreciated that but over all it got predictable quick, oh look that one kid left the group and is wondering in the woods/sewer/haunted house/library all alone, gee I wonder what will happen...It didn't help that that Pennywise here was less of a character and more CGI effect, he was very off putting and the way he moved was just odd. Frankly I found George (the baby brother) creepier! I cringed every time he laughed.I have seen episodes of (Are you afraid of the dark) scarier then this. If you want to feel creepy but in an uncomfortable way then this is for you. Might want to take a rent it though, you'll need to take a few breaks to get through it to break the monotony. I give this one 4/10, all four stars go to the 7 child actors, they've earned it.",4,4,8,16 September 2017
Captain Marvel," To quote every disney princess ever 'I wanted more.'
","Welcome to the 90's. Allow us to throw this bucket of decade puck all over the movie so you know it's the 90's!Other then that the movie is very paint by numbers with meh mediocre visuals.Brie Larson as Carol/Captian Marvel is given a very gender specific backstory. Boy are never told to reel it in, that they're too emotional, to slow down. This is something most women hear growing up and would have had more of emotional impact had the acting been better... or existent.The CGI is mediocre with no stand out scenes.The plot was well written and layered with a lot to say in a 'show don't tell' kind of way but sadly the movie didn't live up to it's potential and maintained a flat tone throughout.I really wish I liked this more. I really, really, REALLY wanted to like it more... but I just feel indifferent towards it making it seem more like a side story - prequel for Avanger's End game instead of it's own thing.",6,1,2,8 March 2019
Zootopia," An adult Movie in camouflage
","Zootopia is a Disney movie so it goes without saying that it will be BEAUTIFUL! But it's something else as well, this is a smart movie with clever writing and some very adult jokes sneaked in there but it'll take you a second to get them. ExampleThe bunny is doing some math to calculate taxes, in the middle of of the equation she says 'and because bunnies are good at multiplying we carry the four and ....etc' I laughed at the joke but it went by so fast that my group missed it and it took them a minute to get it.Is this a good movie? Yes, yes it is... but.... the message is hammed in and it's such a basic message that even a child knows. Racism is bad, don't judge people on racial stereotypes. It's a good message and the movie does deliver it in a clever way, but it could have been better, the children in the theater were getting bored and antsy mid way through which is never a good sign for a movie aimed at kids (marketing wise)To me this felt more like a movie aimed at adults but because of the Disney name had to wear kid friendly camouflage.Give it a go but expect to like it more then your kids will.",7,5,18,7 March 2016
The Babadook," Baba dook dook DOOK!
","I'm a bit torn with this movie. it's a low budget independent film that makes zero attempt to hide that fact, nothing fancy here just one really creepy movie.My main beef with it is the first 30 minute set up, ever had to suffer through a birthday party with a million fussy kids screaming in your ears? yep that's all condensed into one kid that takes the spot light throughout the first one third of the movie with a mother who just looks on helplessly... Now the main event follows as the babadook 'makes his presence known' indirectly in the movie, none of the classic jump scares or gore- ific scenes that usual films have. just that creepy undertone that keeps the suspense tight.If you manage to get through the first one third of the film (yes this is a film, not a movie. big difference!) you'll find something creative and haunting. it lost points for the really bad start that made me lose interest and shelve the DVD for weeks before watching it again.",6,3,5,19 January 2016
Us," Interesting, Creepy and surprisingly funny
","As a horror movie this one is more about the creep factor rather than cheap jump scares or gore.Divided into three parts you first get to know the main characters and the environment. Act two is when the doppelgangers arrive bringing the horror element with them. The third act is Lupita Nyong'o creeping you out and keeping you at the edge of your seat as things are kindda being explained.Here is when this breaks down. Although the idea is interesting, the actors individually are great (even the child actors) I don't buy them as a family. The best parts are when they each get separated and get the chance to creep you out. The third act is an exposition dump that contradicts the main idea of the movie itself so doesn't really work and brings the whole thing down.That being said the hour and half that came before the third act are amazing with both humor and action as well as great atmosphere making it easy to ignore the failings of the third act.",7,3,4,25 March 2019
Knives Out," Slow burn but a big finish
","If you've ever been caught up with a Will dispute then you'll recognize the characters in this one. All entitled, despicable, small minded and always, always, ALWAYS bickering. Sounds like a family reunion to me!
As a murder mystery this is a bit slow on the start with Daniel Craig playing the small time country lawy--- errrrr detective Benoit Blanc who was hired to solve the case.
Some decent twists and turns, a juicy red herring and good intentions that pave the way to hell.
It comes with a really big finish saving the best for the last. Overall this one it fun with very grounded family dynamics considering the type of family this is.",7,2,5,5 December 2019
Deadpool 2," Funny movie but not as good as the first
","While this movie has an estimated budget double that of the first and feels bigger plot and location wise.... bigger doesn't always mean better. The movie recycles the plot of terminator 2 with Cable (played by Thanos AKA Josh Brolin) looking so much like him that I was just waiting for that joke to come up.... spoiler, it never does. The Movie has quite a few funny scenes and at times it feels like it's trolling the audience with how they subvert your expectations which I loved. Other times however I questioned some of the choices made as they felt like a rehash of the jokes in part one. Cable and Dominos where amazing and the highlight of this movie which kindda makes it wasteful since it takes awhile for them to make their entrance.Is this a fun movie? Yes, it's a good one for a night out. Is it epic and memorable like the first one? No, the first one was tight and the jokes landed way way WAY more often.
IMPORTANT! There are two end credit scenes (actually Mid-credit). Make sure to stay for the second one, it alone is worth the ticket price. Hands down saving the best for last.",7,1,3,26 May 2018
Thor: Ragnarok," Fun but weak tea
","The interaction between the characters carries this movie. Chris Hemsworth (as Thor) and Tom Hiddleston (as Loki) carry this movie with the light hearted brother's act. Jeff Goldblum as the grandmaster was just the right amount of ham sandwich. every second he had on screen he owned.The movie was fun and bright with Hel being the big bad that must be defeated this time. The movie got a few chuckles out of me and kept me entertained. However plot wise it was really weak. Hela is doing her thing in Asgard, Thor and Loki is in god knows where doing there thing and met this random person that turns out to be also from Asgard and another avenger to boot... to many coincidences don't make for a strong plot. Then there was the rock guy. He seriously weighed the movie down and no that wasn't an intended pun! Personally I got a strong guardians of the galaxy clone off this movie which is a shame. I would have been happy just watching the actors work of each other. There is also some lack of creativity in the movie as it re-uses previous jokes -the iconic puny god moment, the funny 'he's adopted' line. all re-used- It was like Loki's fan-fiction come to the big screen.In the end this is a fun popcorn movie, sadly compared to others marvel had put out it's near the bottom.",7,1,4,4 November 2017
