movie_title,title,review,rating,helpful,total,date
10 Cloverfield Lane," Chappy Watched: 10 Cloverfield Lane
","Before even talking about the movie, massive kudos have to go to everyone involved in the making of this film for keeping it completely secret. Just the fact that nothing at all was leaked until the release of the trailer is completely flabbergasting, all those people involved and nothing.Also to have one teaser trailer released such a short time before the movie was released in cinemas added to the shock and suspense of the film.Now about the film.It's brilliant. I originally planned to watch Cloverfield before seeing this but I didn't get around to it but after seeing this film, you don't actually need to. It's ultimately a brand name with different films under its banner.It has a brilliant cast, which shouldn't be hard considering the case consists of only three people. John Goodman absolutely steals focus and is brilliant in every scene he is in!I didn't realize until the credits started rolling, just how tense I was when I instantly felt the relief of letting myself relax. It's definitely a thriller with twists and turns up until the very end.Don't go into this film expecting a sequel to Cloverfield, you will be disappointed. This is an amazing film, maybe even one of the best of 2016!",7,2,5,28 May 2016
The Expendables 2," Chappy Watched: The Expendables Trilogy
","First of all, if you go into this film expecting anything but a slapstick look at all the old action heroes, well you will severely disappointed.You have your core group of 6 characters that are the main group (Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Terry Crews and Randy Couture) and then after that, every movie, is more like a game of spot the celebrity.The highlight of celebrity appearances would by far have to be Chuck Norris, complete with his own background music – all that was missing was the tumbleweed blowing across the street!All 3 films are full of puns, quotes and jokes about some of the past works of the actors.The first Expendables has too much story and drama and not a lot of action until the end of the film. Expendables 2 was the best out of the trilogy, starts the action straight away and Expendables 3 was probably the worst out of the three.The third film seemed more like a casting video, with Stallone travelling around and getting new, younger people for his team. I also found some of the scenes, especially with Mel Gibson, didn't need to be in the movie and wasn't necessary to the storyline including his character buying art and walking up the stairs to his house.All three films are worth at least a watch once; with #2 being the only one I would watch again.",5,0,0,10 May 2016
The Maze Runner," Chappy Watched: The Maze Runner
","So I got tickets to an advanced screening of this film and I fully expected to have it full of teenagers screaming over Teen Wolf star, Dylan O'Brien.I walked in to the cinemas; the line was huge and full of teenagers. CRAP! Finally got my tickets and then found out that all these teenagers were going to see the new Step Up movie. YES!!! I had heard about the movie and when I found out that it was going to appear at WonderCon this year, I got a copy of the book. I only got about 100 pages or so in – not to any fault of the books! – and then just never picked it up again.I really, really enjoyed this movie. I had heard a lot of criticism that this was just another Hunger Games. I actually found it to be more like Lord of the Flies than Hunger Games.If you couldn't tell from the trailers or the advertising, this story pretty much revolves around Thomas (Dylan O'Brien) and starts straight from the beginning of his time in 'The Glade'.The Glade is very well done, it looks like it has been built by humans with very little equipment and not made unrealistic by CGI. The Maze is also very well done, simple, built for it's purpose and looks real and doesn't try to be over creative.If anyone is going to make it out of Teen Wolf and succeed, it's going to be O'Brien. I have stopped watching the show but his character of 'Stiles' is what got me watching the show in the beginning and is what kept me watching as long as I did! The character of Stiles is, more often than not, the comedy relief of the show, with his uncoordinated movements but the character of Thomas is essentially quite the opposite.The cast was pretty awesome, not a lot of them are well known but doesn't show in this movie and while Thomas may be the headliner, the heart of the movie, even though with a smaller role would definitely have to be Chuck, played by Blake Cooper.There seems to be an inkling of a possible future romance between Thomas and Teresa, the only female sent to The Maze, but I didn't feel any chemistry between the two other than a brother/sister relationship.This movie is based on a book series and while it wraps up 'The Maze Runner' chapter, it does leave some aspects and story lines open for the future films.There better be future films!I really enjoyed this film more than I thought I would and will more than likely go see it again, probably even buy it on blu-ray when it's released.",7,0,1,28 May 2016
World War Z," Chappy Watched: World War Z
","This may very well be my favourite zombie movie.The story starts pretty much straight away, doesn't waste too much time trying to explain how and why and by the end of the movie, isn't entirely wrapped up in a pretty bow.Brad Pitt is obviously the main lead in this film and a major Hollywood actor but I didn't feel like that was thrown in our face with close-ups and flashy scenes.Aside from Brad Pitt, James Badge Dale (Iron Man 3), Peter Capaldi (Doctor Who), Ruth Negga (Raina from Agents of S.H.I.E.L.D) and Mireille Enos (The Killing) round out a good cast.The two kids annoyed the crap out of me, always yelling and running away and thankfully they weren't in the movie a lot.I really liked that the zombies looked more like human than decayed brain dead meat sacks. These zombies could also run and get in things (cars and doors) instead of being slow and useless.I watched this movie with my Mum and when it got to the part of the movie where they discover that people with life-threatening illnesses are of no interest to the zombies, who only want healthy hosts, Mum turned to me and said'I wonder if MS (Multiple Sclerosis) is enough to save me. You're dead but I could survive.'My Mother, ladies and gentlemen! Feelin' the love!An awesome movie that's worth repeat viewing and even owning.",7,0,0,7 May 2016
Zootopia," Chappy Watched: Zootopia
","It has gotten to the point where I don't even really need to know what the film is about. If it's a Disney film, I feel pretty safe going to watch it.But this time, I knew about the story of Zootopia and was excited to see it. I was not let down.I love that the animation in these Disney movies is always top notch, full of detail down to the smallest things including hairs and scars, vibrant, beautiful colours and the voicing talents is always amazing; you might not know the actors but they always seem to fit the roles.The story is brilliant as usual – an entertaining buddy cop comedy with a little drama thrown in - funny and full of emotion, both for adults and for kids, something Disney seems to do with all of their movies flawlessly.If you love all the previous Disney movies, chances are you're going to love this!",8,5,9,27 June 2016
The Expendables," Chappy Watched: The Expendables Trilogy
","First of all, if you go into this film expecting anything but a slapstick look at all the old action heroes, well you will severely disappointed.You have your core group of 6 characters that are the main group (Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Terry Crews and Randy Couture) and then after that, every movie, is more like a game of spot the celebrity.The highlight of celebrity appearances would by far have to be Chuck Norris, complete with his own background music – all that was missing was the tumbleweed blowing across the street!All 3 films are full of puns, quotes and jokes about some of the past works of the actors.The first Expendables has too much story and drama and not a lot of action until the end of the film. Expendables 2 was the best out of the trilogy, starts the action straight away and Expendables 3 was probably the worst out of the three.The third film seemed more like a casting video, with Stallone travelling around and getting new, younger people for his team. I also found some of the scenes, especially with Mel Gibson, didn't need to be in the movie and wasn't necessary to the storyline including his character buying art and walking up the stairs to his house.All three films are worth at least a watch once; with #2 being the only one I would watch again.",5,0,0,10 May 2016
Captain America: The Winter Soldier," Chappy Watched: Captain America - The Winter Soldier
","Wow! Sh*t went down in this movie!Never really been a fan of Captain America, he would be medium to low on my ladder of Marvel characters but these movies are pretty awesome!One of the things that I love most about all these (Marvel Studios/Disney) movies is all the little name drops and hints to the Marvel Universe that are dropped all the time.Something that is always in the back of my mind when Cap is down and out, where are the Avengers? Black Widow is obviously in it and obviously you aren't going to have them all together in a non-Avengers movie but it's always this little thing nagging at the back of your mind when the lead character is in trouble.I really liked the addition of Sam Wilson aka The Falcon to the team in this movie, looking forward to seeing more of him in future Marvel movies, as well as the rest of the cast but goody two shoes Captain America was something that kind of started to get on my nerves.At this point as we head towards the end of Phase Two, I feel pretty safe and confident watching these movies. There are still levels of good and bad but even with the bad they are still good movies to watch.A great cast with a great story that will obviously have a ripple effect through the movies and TV shows.If you have watched the other part of MCU than you will probably already have seen this but if you haven't – it's definitely worth a watch.Already have my copy on its way from Amazon.",7,0,1,28 May 2016
Southpaw," Chappy Watched: Southpaw
","I was slightly interested in seeing this film but was apprehensive about seeing it in the cinemas because it looked like such a depressing movie.I did end up seeing it in the cinemas but I'm glad to say that's it not a depressing as I thought it was going to be.Don't get me wrong; there are pretty much no happy moments in this film. Something happens pretty early in the beginning, it's pretty much just a sad fest for the rest of the film.Having said that, it still is a good film. The fight scenes look authentic and real, it's brilliantly acted by some of movies biggest hitters and gets better when Forest Whitaker appears.While it is predictable, it was still an entertaining watch.CHAPPY THINKS you should strap on your boxing gloves, boys and girls, because this is going to be one hard-hitting film! (See what I did there!)",6,1,1,26 March 2016
Ant-Man," Chappy Watched: Ant-Man
","I'm still trying to decide where to place this movie in my Top 3 MCU movies but it's definitely up there with Captain America: Winter Soldier and Guardians Of The Galaxy.I knew an average amount about Ant-Man, more than I did Guardians, but I feel pretty safe with Disney/Marvel to go in relatively blind.I did not leave that cinema disappointed!Probably one of the things I love best about the MCU is that it all looks real, the costumes aren't over the top; they look practical and let's be honest; a movie about a guy who can shrink himself and telepathically control ants could have been made into a joke but it really wasn't. The size play was flawless, detailed and didn't get too much to handle.The cast was awesome but Michael Pena was a stand out for me with his hilarious retelling of the tipoffs he received and I was a little apprehensive about Paul Rudd, I thought he was going to turn the comedy stupid and go over the top but it had a nice balance of funny and serious.Loved the cameos including of course, Stan Lee, loved the mention of what happened in Avengers: Age of Ultron, little bread crumbs for future Ant-Man films and even a little nod to a certain web slinger!I would be interested to read or hear how this movie differed from Edgar Wright's version of the film but they still managed to move past all that drama and make a brilliant movie.Loved this, will see it again in the cinemas, buy it on blu-ray on Day 1 and will be eagerly waiting for, hopefully, some sequels!If you are a fan of the MCU, go see this!PLEASE NOTE: There is a mid credits scene AND an after credits scene!",9,0,1,27 March 2016
Divergent," Chappy Watched: Divergent
","This actually wasn't as bad as I thought it was going to be.What would have made this movie better? Getting rid of the teen romance storyline.It's a good concept but I just feel like they are forcing this romance on us, which sucks because it didn't feel like they had any chemistry at all.Kate Winslet, Ashley Judd and Maggie Q were definitely highlights of the film for me. I was excited when I learnt Maggie Q was in it but then disappointed when she was barely even in it, hopefully she will have a bigger role in the sequels.I'm undecided if I would watch the other films, if I do it definitely won't be in the cinemas.",5,0,0,27 March 2016
