movie_title,title,review,rating,helpful,total,date
50 First Dates," At times funny but overall forgettable romance
","I was expecting a little more from this movie. I'm not sure what more but I felt a bit empty after watching it. Barrymore and Sandler usually have great on-screen chemistry but I though it was lacking in this flick. The story is pretty interesting, a girl who has no short term memory falls for a guy but can't remember him the next day. Some really funny performances here, particularly that of Sean Astin as Barrymore's workout crazed brother. Not the worst date movie I've ever seen but certainly also not the best. For classic Barrymore/Sandler action, watch 'The Wedding Singer'. It's a better choice.6/10",6,0,0,11 April 2004
Monster," Brilliant Performance makes this worth watching
","Oy, where to start! This life story is depressing to say the least. The product of abuse, Aileen was a truly disturbed woman. Charlize's physical transformation is remarkable (to the say the least) but the real catch in this movie is the acting. Every emotion and every action is portrayed amazingly by a truly talented actress. Hollywood movie this is but Hollywood story it's not. There are no happy endings here. As if her life hadn't been hard enough, Aileen finds herself in love with a manipulating, irresponsible girlfriend who does nothing to help. Truly sad and utterly depressing. A poignant look at a woman who suffered her entire life.8/10 A powerful movie, just be careful you don't go home and think on it too much...",8,0,0,29 January 2004
Memento," Outstanding
","This is absolutely, hands down, one of the most innovative films I've ever seen. I avoided reading any reviews of this for fear of learning too much and was I ever glad. I'll avoid to give any details here and highly suggest you just see this. Though the acting isn't stellar, the story and the manner in which it unfolds is brilliant. I didn't really understand what was going on until about half way into this movie (so much going on!). Make sure you see it twice though. I found that by the end, I'd forgotten what happened in the beginning because I'd been too busy trying to figure out what was going on in the middle. An excellent watch.9/10",9,0,2,29 November 2003
Underworld," Lacking Character Development but Otherwise Enjoyable
","As a serious fan of Vampire lore, I was interested in seeing the most recent treatment of that genre. I must say I was impressed, somewhat. I loved the action, though I agree it could have used more, I loved the costumes (who wouldn't?!) and I liked the characters. It would have been nice to see a little more character development and history. I am looking forward to the next installment...It would even be great to see a prequel....",9,0,0,30 September 2003
Finding Nemo," A good flick for the whole family
","From the very first scene this movie is great. The movie follows a clown fish by the name of Marlin who travels through the ocean in search of his missing son. Between meeting Doris, 3 'fish friendly' sharks, 150 old turtles along with many more, he finally manages to find little Nemo...but how does he get out of the tank??? Watch and find out!I gave this 9/10 purely for the laughs, animation and story. Definitely worth watching!!!",9,0,1,9 November 2003
The Mummy," It's not Indy
","This movie wasn't exactly Indiana Jones but it did have it's moments.
Rachel Weisz plays the meek librarian who wants to be an archaeologist and, in an interesting turn of events, finds herself hunting for lost treasure with the help of her always in trouble brother (played by John Hannah) and the treasure hunting American (Canadian Boy Colin Fraser).This movie provides some great special effects. Add in some hilarious moments and lots of action (fighting mummies and skeletons)and you have yourself a great little action movie. Thoroughly enjoyable indeed as long as you're not expecting Indy.8/10",7,2,2,9 August 2004
Troy," Mythical melodrama almost at it's best
","No one did this story better than Homer. We'll leave it at that. However, the movie was great for what it was, a movie. Sure it's based on the great classic and the 1000+ year old story, but no one ever said it was accurate. I do think that had the writers been closer to the original story (as told by Homer), we would have seen a much better movie but, Hollywood being what it is, great is never great enough.It's all here: romance, deceit, love, hate, revenge, death, tortured lover etc. I went in not expecting much but great costumes, beautiful people, amazing action sequences and mediocre acting. What I walked out with was a little more. O'Toole was amazing. He does deserve an Oscar for his portrayal of Priam. Sean Bean was also a notable supporting character. I never cease to be amazed by his roles. Though I've never seen him in a starring role he is never forgettable but rather a force to be reckoned with. Bana surprised me with his talents (especially after the sad, sad mess that was Hulk) but most of all, I was impressed by Brad Pitt. Though I've always believed him to have some talent, I was a bit concerned with how well he would pull off Achilles, the greatest warrior that ever lived. I wasn't prepared for his excellent portrayal of the doomed warrior.I did leave happy. I got more for my money than I had expected and this will definitely be a movie I will consider adding to my limited collection. If for nothing else, this is a good, entertaining movie. For me, it was a story of love and, indeed, honor.9/10",9,9,16,20 May 2004
Lost in Translation," Love in the far East
","I really enjoyed this film. It follows Bob, an American actor who's in Japan shooting an add. While there, he meets Charlotte, a young woman who's followed her husband on a photo shoot. This unlikely couple meet, have fun, are merry and in love....I think. This is a surprisingly emotional story with bouts of pure hysterics mixed in. At times, I was laughing so hard my eyes watered. Add in the wonderful look at Tokyo and the Japanese culture as seen through the eyes of two Americans and you have an amazing tour de force. Sofia Coppola has managed to create a wonderful film.9/10 I highly recommend it!",9,0,1,29 January 2004
The Matrix Revolutions," An almost great finish to a great trilogy
","And so it's over....for now. Over the last 3 days, there have been many not so great review of this movie. Ignore the critics and go see this. Though the story wasn't as great as it was in the first two, the movie was still better than most. I thoroughly enjoyed it all. From the extended 'kissy, kissy' scenes to the outstanding action and special effects, this was more than entertaining. Though it didn't answer all of the questions raised by the first two movies, it did manage to answer most. I gave it 8/10, mostly because I would have liked to see more mind bending chat.",8,0,0,8 November 2003
The Village," Another great movie from a master of suspense
","Truth be told, I've been a fan of Shyamalan since I first saw the '6th Sense'. I was hoping against all odds that this guy would have more than one good movie to give us and boy, has he ever. With every new story, Shyamalan roots himself in the psyche as a master of suspense. His films are scary in the the same way that the 'Blair Witch Project' was scary - by not showing us what we want to see. Joaquin Phoenix is always excellent and this movie was no exception. The rest of the all star cast including Hurt and Weaver provided some great performances but the show taker was Bryce Howard, a relative new comer from a line of Hollywood royalty. This is a fabulous film with a great story line that keeps you on your toes. I only wish Shyamalan had waited a little closer to the ending to show us the movie's hidden secret.8/10 A great excuse for curling up to that special someone",8,0,0,3 August 2004
