movie_title,title,review,rating,helpful,total,date
The King's Speech," Speech: A Joyful Melody of Anger and Rejoice
","'The King's Speech' is a film that is about more than just a speech in a moment in time, it is about the journey of Prince Albert (Colin Firth) from being the Duke of York with a speech impediment to becoming King George VI and the voice of England in World War II. Tom Hooper directs this true tale concerning a special relationship that forms between King George VI also known as Bertie and his speech therapist Lionel Logue (Geoffrey Rush) that has received seven Golden Globe nominations and eleven Critic's Choice nominations. The film begins shortly before the death of King George V (Michael Gambon) and after a failed speech by Bertie due to his stammering speech impediment. His wife Elizabeth (Helena Bonham Carer) has been researching the best speech therapists in order to help her husband, however, time and time again they failed to procure any results. She finally stumbles across a man named Lionel Logue known for his unique therapeutic practices., but at first Bertie is very skeptical and believes that this is going to be just another failure. However, after a minor bet over a shilling and some surprising results, he finds himself back in Lionel's office. Together Bertie and Lionel build a strong bond while preparing for his ultimate task. Bertie is in line to take his dead father's place as king after his brother King Edward VIII (Guy Pearce) steps down from his royal role in order to marry American Wallis Simpson. England is in need of a leader and with t the help of his best friend Lionel Logue, King George VI rises to the occasion fulfilling the extraordinary role of unifying a country on the brink of war with Hitler's Germany.The acting of both Colin Firth and Geoffrey Rush is spectacular and the chemistry between the two is even better. They are able to transform a very straightforward and predictable story into an original look at an underdog story. Colin Firth's performance is so very real and believable that he makes you feel like you are in one of those dreams where you are trying speak and call out for help, but are not able to. Geoffrey Rush adds a lot of comedy to the movie and makes the viewing process very enjoyable. The journey that these two men take together in the film is mastered perfectly as the two curse at each other and make speech more than just well articulated words stung together. Combined with beautiful cinematography speech becomes a joyful melody of anger and rejoice as it flows from the mouth of King George VII. Despite the cinematography the film has a very boring exposition making it hard for the audience to connect to the story. The film lacks the flare that takes off about fifty minutes or an hour into the film. One thing that was very disappointing about the film was Helena Bonham Carter's performance. Does she deserve the Best Supporting Actress nominations that she has received? Probably. However, her performance does not match up to her fellow stars. She does not have any wow moments and she does not mesmerize you. Instead she acts at as a consistent above average actress throughout the film.'The King's Speech' is a film very similar to the story that it tells. Once you count the film out it begins to grow on you and is pretty damn good in the end, which is worth seeing now. Also, Colin Firth and Geoffrey Rush are both very strong contenders in this year's award season and may surprise us in the end as they go head to head with James Franco and Christian Bale for the Best Actor and Best Supporting Actor Oscars.",9,1,3,27 December 2010
Pirates of the Caribbean: On Stranger Tides," Incoherent Action: The Captain Is Back
","Pirates of the Caribbean: On Stranger Tides is everything a Pirates sequel should be, trumping the previous follow-up attempts. The plot is more over the top and muddled than ever with a plethora of pointless characters and incoherent nonstop action sequences, but Director Rob Marshall (Chicago) creates a film that will please fans and revive people's love for the series that was lost because of the previous two flops. Much of the success of the newest installment comes from the axing of Will and Elizabeth from the story finally being true to the real star of the series, Johnny Depp reprising his role as Captain Jack Sparrow. His previous nemesis Hector Barbosa is back (Academy Award Nominee Geoffrey Rush, The King's Speech), along with newcomers Ian McShane (Kung Fu Panda) as Black Beard and Academy Award Winner Penelope Cruz (Vicky Christina Barcelona) as Angelica, a long lost love interest of Jack. The plot is basically about Captain Jack trying his hardest to beat numerous other journeyers to the 'Fountain of Youth' with his deceptive tactics. On the way he has to deal with Black Beard, a reformed Barbosa, the Spanish (even though they only show up a couple times) and an obnoxious love story between a religious man and a Mermaid. The plot doesn't matter much in this Pirates attempt disregarding the development of a storyline completely replacing it with nonstop action. The fast pace is hard to grasp at first, but it never gets out of hand as the rum flows through its veins slowing it down to a comprehensible speed.On Stranger Tides is the best of the Pirates sequels even though it still fails to come close to The Curse of the Black Pearl. As long as Depp and Rush continue providing entertaining antics with their peculiar relationship the boat will stay afloat for many more installments.. McShane's Black Beard acts as the new and improved Davy Jones succeeding in adding a dark humor to the film. Even so, all that really matters is that it is a blockbuster completely overwhelmed with action commencing with the opening sequence and not taking a breathe until the end.The most pointless and irritating part of the film is the awkward relationship that forms between a man named Phillip (Sam Claflin) and a mermaid named Syrena (Astrid Bergés-Frisbey). The audience cannot connect to the relationship because Phillip comes off as a creepy nothing character and the only point of the relationship can be attributed to lazy scriptwriting, which becomes a major theme throughout the film. The cleverness is that used to be prevalent in the series is gone causing the predictable to set in.Leave all high hopes at the door going into this one and you may just be as surprised as I was after seeing this film. Just remember the captain, the action, the rum and that it is nothing more and nothing less than a blockbuster sequel.",5,1,1,18 June 2011
Sucker Punch," Viewer: Sucker Punch to the Face
","Director Zack Snyder's ('300,' 'Watchmen') latest film, 'Sucker Punch' can be described by one word: bummer. Snyder is known for making films with very detailed, enthralling visual splendor. However, he proves that visuals are not enough to successfully create a good film. Starting with a brief back-story of a girl known as Babydoll (Emily Browning, 'The Uninvited') and ending with an attempted metaphorical message, the plot is lost in the midst of action. Babydoll's story takes place in 1955 with the death of her mother leading to the attempted rape of Babydoll and her sister by their Stepfather (Gerard Plunkett, '2012'). In order to stop her father from succeeding she tries to shoot him, but accidentally misses shooting her sister instead. She immediately drops the gun and begins running, however, she cannot escape the clutches of her Stepfather. After the police come she is taken to an insane asylum for girls known as the Lennox House. Her Stepfather pays off one of the orderlies named Blue Jones (Oscar Isaac, 'Robin Hood') to forge the signature of Madam Gorski (Carla Gugino, 'Watchmen') to have her lobotomized by the Doctor (Jon Hamm, 'Mad Men'). While in the mental institution, Babydoll meets fellow inmates Sweet Pea (Abbie Cornish, 'Limitless'), Rocket (Jena Malone, 'The Messenger') Blondie (Vanessa Hudgens, 'High School Musical'), and Amber (Jamie Chung, 'Grown Ups'). Immediately following, Snyder takes the audience deep within Babydoll's mind creating an 'Inception-like' mental design of three layers. In the second layer Babydoll transforms the mental institution into a cathouse where her and her companions are just a group of entrapped prostitutes. In this mental state Babydoll is taught to dance by Madam Gorski, taking her one level further for the duration of her dance. In the deepest level she is given a mission by a Wise Man (Scott Glenn, 'Secretariat') leading her to escape the mental hospital. Together Babydoll and her fellow inmates complete a set of five tasks in hopes of escaping before Babydoll is given to the High Roller (Also Jon Hamm) in the brothel synonymous with her lobotomy in reality.It goes without saying the only reason anyone should see this film is to see Snyder's renowned graphic grandeur. Snyder mixes of light and dark with vibrant colors to distinguish the inner most layer of Babydoll's mind from the blandness of the rest of the film. Here Snyder creates entertaining action sequences in the backdrop of his graphic effects and has a little help from Jena Malone and Scott Glenn's performances.'Sucker Punch' is synonymous with a rolling ball of flaws attributed to a variety of different shortcomings. The film starts with very weird character development as Babydoll acts as nothing more than a mime until she finally speaks 30 minutes into the film. The viewer is also hit immediately with an over the top soundtrack playing a different song every five minutes undermining the integrity of each scene. The casting for the film is almost as random as the soundtrack with a wide range of B-list actresses coming from a variety of different backgrounds. Exhibit A: Vanessa Hudgens. What were you thinking Snyder? 'High School Musical' to 'Sucker Punch'? Need I say more? While, along with the fact that Emily Browning and Jamie Chung may as well be labeled as unknowns, Oscar Isaac and Carla Gugino are out of place in this film. Also, it really is sad that the best actor in the film, Jon Hamm, is only in the film for a minute or two. This combined with a very poorly written script massacred the film creating horrid situational clichés and predictable outcomes.One-dimensional characters and an ending reaching for metaphorical meaning vastly overshadow Snyder's special effects. Therefore the only special thing about Snyder's latest film is the fact that the viewer gets 'Sucker Punched' in the face as the film goes down as one of the greatest letdowns of 2011.",2,44,93,27 March 2011
Source Code," The Mind: String of Cinematic Fabric
","Ten years ago Jake Gyllenhaal brought viewers into the mind of a high school student bridging the gap between universes in 'Donnie Darko.' 'Source Code' marks parallel universes round two for Gyllenhaal as he leads a seasoned cast with his charming acting talents. Director Duncan Jones is a relatively new director, however, he has gone down the mental thriller sci-fi path before with his 2009 movie 'Moon.' This time around he takes a well written screenplay by Ben Ripley (only lacking premier dialogue exchange) transforming it into the best movie of 2011 to date. The film is unique yet familiar because of the way it is told (the replay film). Gyllenhaal's character Captain Colter Stevens embodies a man named Sean Fentress repeating the last eight minutes of Sean's life over and over. Steven's mission is to use the new technology available to the U.S. government, known as source code, to find the man responsible for blowing up and killing more than 100 people on a Chicago commuter train and ultimately preventing subsequent attacks. After waking up from his first attempt he is disoriented and confused, wondering why he is no longer in Afghanistan with his unit. To make matters even more puzzling, he is briefed by a woman named Colleen Goodwin (Vera Farmiga, 'Up in the Air') about his unknown ware bouts and soldier status. Stevens learns that he is trapped and his only escape is his interaction with the people on the train that is destined to explode. A minor love story forms as he becomes closer to a woman named Christina Warren (Michelle Monaghan, 'Due Date'), whom in the end he cannot stand seeing her blow up again. While he learns more and more from Goodwin throughout the film, mystery still surrounds the limits the project's creator Dr. Rutledge (Jeffrey Wright. 'Quantum of Solace') has put on source code and its affect on past, present and future events.While many may say that the film revolves around Gyllenhaal's performance, the most important character in 'Source Code' is Director Jones. Jones took the advanced in-depth concept within 'Source Code' and simplified it into a short string of cinematic fabric. By doing so he took the spotlight off of Gyllenhaal opening the mind of the viewer to the simplistic detail of his fellow cast members' performances and the detailed environment surrounding them. This exemplary artistic craft can be seen throughout the film, starting with the narrow scope that cinematography allows the viewer to see to its slow expansion as plot details come to light. Jones's greatest triumph occurs during the final sequence of his film as he compresses a 3D still image into the second dimension through what can be called pure artistic craftsmanship. However, the art in the film is presented to a broader Hollywood audience and even leaves room for snippets of comic relief provided by Russell Peters's (Standup Comedian) character Max Denoff. In the end, Peters's purpose goes beyond comedy as he helps create 'Source Code's' metaphorical undertone of happiness.Even though Ripley writes one of the best scripts of the year he fails on occasion to provide the viewer with enthralling dialogue. Periodically throughout the film the characters mend their discourse saving weekly scripted exchanges. The only other faulty part of the film comes from its almost Hollywood ending, which end on more of a happy note rather than a metaphorically profound message.The mental sci-fi action thriller genre is at its best as films continue to delve into the most profound arena; the mind itself. 'Source Code' is yet another stepping-stone for the future of mental cinema and in the end is no let down. The film proves what 'Inception' proved last year, art can be found within the scifi genre exemplifying the infinite possibilities of life, love and happiness.",9,3,6,5 April 2011
Resident Evil: Afterlife," REAL 3D Falls Short
","Resident Evil: Afterlife 3D Wait For DVD My Critical Perspective: D Personal Perspective: C- 20/100Resident Evil: Afterlife is the fourth installment in the film series Resident Evil based on the popular Video Game series with the same name. Similar to many sequels that have been released recently, Resident Evil director Paul W.S. Anderson decides to film it in 3D. For those who have not followed the film series or the video game, the following is a brief history of Resident Evil. The main character in the film series is a woman named Alice, played by Milla Jovovich. Alice used to be a security operative for a corrupt company called the Umbrella Corporation (a corporation developed both the T Virus and G Virus and perform various lab experiments) based in Raccoon City. Basically the company releases a deadly virus (T Virus) that spreads rapidly around the world and turns infected people into zombies. Therefore, Alice's overall goal is to destroy the Umbrella Corporation and prevent further infection to the world population. In Resident Evil: After Life Alice teams up with Claire Redfield (Played by Ali Larter) who at the end of the third film (Resident Evil Extinction) Travels to a 'so called' safe zone known as Arcadia, but has lost her memory. Together they lead a small group in a quest to discover the secrets behind Arcadia and continue to hunt the Umbrella Corporation.The Good: First off, the film had the highest grossing opening weekend box office out of the four films in the series making 27,700,000 dollars. Second, Milla Jovovich is back with her portrayal of Alice and stays true to her character as she has throughout the series. Alice along with Claire and their fellow survivors provide the audience with some very entertaining mindless zombie killing action that has been seen throughout the series. The best part of the film is the opening credits. They are able to utilize 3D technology the best in the film with a sequence where the camera pans around various characters as the credits are revealed on the screen. This opening scene gives an overview of the atmosphere of the film without any dialogue and in a very simple way.The Bad: The time between each action sequence is very boring and lacks substance, good acting, a thoughtful dialogue and well thought out plot. The screenplay comes off as being forced together and put together in a rush. (Example: If the group of survivors needs a swimmer of course they have a high school swimming all-star.) The story is all over the place and is very confusing even if this isn't the first film you have seen in the series. Also, besides the 3D in the opening scene/credits the 3D is unnecessary and does not add to the movie at all. One example of this is a scene shown in the previews where the leader of the Umbrella Corporation takes his sunglasses off and throws them at the audience via 3D for no apparent reason at allFinal Thought: The subpar acting of Milla Jovovich along with various entertaining action sequences does not outweigh the poor scriptwriting, or the horrible acting of the supporting cast of this film. This film is just another sequel that was made for the sole reason of making money and is not worth the 3D ticket prices to see it in the theatres. Even Resident Evil fans should Wait For DVD to see this film.",2,10,20,17 September 2010
"Crazy, Stupid, Love"," 'Unification of Love: Awkwardly Realistic Circumstances'
","Unification of Love: Awkwardly Realistic CircumstancesThree love stories nay, situations, are explored in Directors Glenn Ficarra and John Requa's ('I Love You Phillip Morris') 'Crazy, Stupid Love'. It is a drama masked as a comedy fueled by awkwardly realistic circumstances and a handful of highflying actors and actresses that know how to own it. The first story concerns a couple of high school sweethearts, Cal (Steve Carell, 'Dinner for Schmucks') and Emily Weaver (Julianne Moore, 'The Kids Are All Right'),that have been married for twenty-five years. However, when Emily tells Cal that slept with a man she works with named David Lindhagen (Kevin Bacon, 'X-Men: First Class'), divorce is on the horizon. Inevitably sending Cal to the bar, Cal meets the player in the second love story, Jacob Palmer (Ryan Gosling, 'Blue Valentince'), who is infamous for his lady-wooing swagger. Jacob sees and hears Cal ranting about his failing marriage and takes him under his wing to help him move on with other women. Even so, Cal may not be the only one changed by their abnormal friendship because of Jacob's hang up on a girl named Hannah (Emma Stone, 'Easy A') he was rejected by the previous night. Meanwhile, Cal and Emily's thirteen-year-old son, Robbie (Jonah Bobo, 'Zathura'), is in love with his babysitter Jessica (Analeigh Tipton, 'The Green Hornet') who in turn is in love with Cal. Everything is more connected than you may think and with a flamboyantly annoying performance by Marisa Tomei ('The Wrestler') things get crazy and stupid in this multigenerational love story.The Good: Steve Carell's Post-'Office' years could not of had a stronger start as he conjures the second best performance of his career. However, it would be unfair to say that he is the only reason the film succeeds because of the superb performances of his costars Ryan Gosling, Julianne Moore and Emma Stone. Together the cast will keep you on edge as the story unravels in an obstinately realistic manner. And while Scriptwriter Dan Fogelman's ('Bolt') plan was not visible at first by the end his twisty-turny storytelling culminates in grade A fashion with the unification of the three love stories into one full of smart comedyAfter the aforementioned culmination of plot unification, the film loses its momentum. dragging on for twenty minutes. The film could have ended anytime during its climatic scene and it would have been perfect (I guess you can't always get what you want). It takes twenty extra minutes to get to the actual sloppy and impractical conclusion. Even though everything seemed to be previously settled, this second fallout to set up a preachy ending creates unnecessary forced conflict. Lastly, the inability to avoid predictivity may irk some viewers and makes characters like Josh Groban's as pointless as their casting.The first act of 'Crazy, Stupid Love' creates a series of situations that setup a remarkable amalgamation at the peak of its second act, making the stars in the film (most notably Steve Carell) into even bigger stars with the power of sharp comedy.",8,1,5,30 July 2011
127 Hours," The Will To Live
","'127 Hours' is a film about the real life story about the triumph of a man named Aron Ralston who defying all odds was driven to freedom after spending more than five days trapped with his arm pinned between the narrow canyon wall and an unmovable boulder in a canyon in Moab, Utah. All he had with him was a blunt multipurpose pocket tool, less than a liter of water, a watch, a video camera, a camera, car keys, rope, a sparse amount of food, a harness and the undeniable will to live. The love for his parents and his determination to survive alone drove him to victory. Together award winning director Danny Boyle ('Slumdog Millionaire') and actor James Franco ('Spiderman', 'Milk') have recreated this tale of determination in order to show the world the meaning of the films tagline which states, 'There is no force on earth more powerful than the will to live.' Danny Boyle's cinematic masterpiece will touch and inspire everyone in one way or another. Through flawless cinematography, Boyle documents the five-day struggle of Ralston as he learns about himself and teaches the audience to never give up. Boyle teams up with writer Simon Beaufoy to produce the brilliant adaptation of Aron Ralston's book, 'Between a Rock and a Hard Place' that lights the fire for James Franco's performance. Franco has the best performance of his career with his flawless, heartfelt portrayal of Aron Ralston. Franco reveals the anguish and the revelations that Ralston felt while being helplessly trapped by the power and the magnificent forces of nature. Franco's performance shined the brightest in the most powerful scene in the film. After being trapped for five days he realizes that he had no other choice than amputating his own arm with a dull blade to survive. Franco captures the pain that Ralston felt during this excruciating moment leading to his eventual rejoice and relief. Franco's humbling performance is destined for numerous excellence in acting awards and will bring him to the forefront of the Oscar race for best actor. A performance that has caused audiences to cringe and give standing ovations to what may be the best film of the year.The film really is perfect and is not weak at all. However, since there isn't anything about the film I want to use this section to warn those with weak stomachs that in multiple showings of the film there have been people that have fainted because of the realistic self-amputation scene. Don't let this dissuade you from seeing the film, because the film is by far the best film of the year. Just be ready to look away or cover your eyes during this scene. Just follow Aron Ralston's advice, 'You just have to remember that everything will be okay.'Aron Ralston grew up in the city of Denver and attended Cherry Creek High School. He was just another ordinary thrill seeker who was thrown into an extraordinary situation and the greatest challenge of his life. I recommend to see this film now immediately and as many times as you can. We all need to learn something from this story concerning the importance of priorities because when it comes down to life or death the most important things in ones life are realized. Aron Ralston exemplifies this with his emotional statement, 'Mom, Dad I haven't appreciated you as I know that I could. I love you guys and I will always be with you.'",10,2,6,7 November 2010
Just Go with It," Chaos In Hawaii
","On the surface 'Just Go With It' is just another Adam Sandler critic hate fest, however, Sandler is one of the best modern comedians and brings home the laughs once again. The film is actually based on the 1969 film 'Cactus Flower' which received its roots from the French play 'Fleur de cactus'. However, besides the basic plot outline, Adam Sandler's version is vastly different including his trademark crazy, rude, over the top humor. Needless to say Sandler has not lost his way. Sandler's character Danny Maccabee has his heart broken by his fiancé on his wedding day. This leads him to a bar where he is found sulking while still wearing his wedding ring. He discovers that while every other guy in the bar strikes out attempting to hit on Joanna Damon (Minka Kelly, 'The Roommate', 'Gossip Girl'), his wedding ring attracts her to him. This combined with a made up story about how his wife beats him makes her feel bad for him and ultimately sleeping with him. His success leads him to continue his scheme even after becoming a wealthy plastic surgeon, until he meets a woman named Palmer (Brooklyn Decker). She gets extremely upset after finding his wedding ring in his pocket the morning after sleeping with him demanding an explanation. He tells her that he is in the process of getting a divorce and asks his best lady friend and assistant Katherine Murphy (Jennifer Anistan) to act as if she was his wife (soon to be ex). His lie grows more and more that Danny convinces Katherine's kids, Maggie (Bailee Madison, 'Brothers') and Michael (Griffin Gluck) to play the role of his kids. Everything culminates in a 'family' trip to Chaos Hawaii with Danny, Palmer, Katherine, Maggie, Michael and Danny's cousin Eddie (Nick Swardson), where (throughout the chaos) Danny finds out that his heart is actually taking him towards the woman that knows him best.Adam Sandler has been creating very unique romantic comedies for years that are able to reach out to a wider audience. 'Just Go With It' is most definitely a romantic comedy, however, it does not stick it in your face. Instead the film slowly lets the viewer know that the rom-com is there allowing it to have a lot of fun. This is also achieved by creating characters that are all very likable and not stereotypical. Even Katherine's nemesis, Devlin, played by Nicole Kidman turns out to be a very likable character. Lastly, what does every Adam Sandler film need? Well Adam Sandler' mastery of creating good entertainment.The film starts off on a really weak note with very little relevance to the rest of the film. After the opening segment relevance grows, however, the film doesn't really get going until the whole 'family' goes to Hawaii. This creates a very stereotypical cliché experience. Everything in the film has been done before leaving no surprises except some random undeveloped comical interjections which have become a pattern in the past couple years.The film's ending is very predictable, however, Director Dennis Dugan does not throw it in your face allowing the viewer to enjoy the humor of Adam Sandler. This is one of the most entertaining comedies that has come out in a while so 'Just Go To It' now.",7,4,8,17 February 2011
Midnight in Paris," Elusive Perfection: Enchanting, Likable Inspiration
","'Elusive Perfection: Enchanting, Likable Inspiration' Woody Allen directs a mish mash of great actors and actresses in 'Midnight in Paris' bringing them together to create a story about a man's enchantment in Paris. The best Woody Allen movie made in years is much more majestic than his previous work and feels much more lighthearted than his typical films. Shadows of the charm of 'Annie Hall's' success are present, as Owen Wilson ('Hall Pass') becomes a star once again. Wilson's happy-go-lucky attitude combined with his early artsy roots of 'Bottle Rocket' make his interpretation of a successful, laidback Hollywood writer Gil the most likable character of the year. Gil is in love with the city of Paris and wishes and is infatuated with life in an earlier time period (the 1920s). Consequently, when Gil and his fiancé Inez (Rachel McAdams, 'Sherlock Holmes') travel to Paris with Inez's parents, he becomes lost in the city as he struggles to finish writing his first novel. Gil is searching for inspiration stumbling upon a routine of walking through Paris after midnight. Inez does not support his ambitions and instead goes out with her old stereotypical snobbish French cultured friend Paul Bates (Michael Sheen, 'Tron: Legacy') and his wife Carol (Nina Arianda, 'Win Win'). None of this really matters though as the golden art of cinema is revealed with Gil's story as he meets various characters played by Adrian Brody ('Predators'), Marion Coltiard ('Inception'), Tom Hiddleston ('Thor'), Alison Phil ('Scott Pilgrim Vs. The World), and Kathy Bates ('The Blindside') in the illusion of his night pursuits.Owen Wilson has one of the year's best performances creating one of the most likable characters to ever be on the silver screen. Owen Wilson's personality was perfect for the role, however, his success is ascribed by his ability to delve deeper into his character creating a subtle Oscar worthy performance. The rest of the cast speaks for itself with a handful of contemporary A-list stars guided by an articulate original screenplay of believable imagination. Lastly, praise for the city of Paris is well deserved because without the city where would the movie be? Woody Allen makes one cliché mistake with the development of Rachel McAdam's character Inez. McAdams has a solid performance; the problem is that Inez is portrayed as a complete selfish bitch throughout the film's entirety. Therefore, this brings up questions about why Gil and Inez are together in the first place.An elusive rom-com about a man's discovery of inner harmony allowing him to find someone that understands him. Magic in the modern day setting has never been more humorous, convincing, or perfect.",10,2,5,18 June 2011
The Expendables," Testosterone Action Fest
","See it Now! My Critical Perspective: B- Personal Perspective: A-Sylvester Stallone first was Rocky. Then he was Rambo and now he is Barney Ross, the leader of The Expendables. He is the ultimate action hero, but is not alone as he directs some of Hollywood's biggest action heroes of the past 40 years. (Jason Statham, Terry Crews, Bruce Willis, Jet Li, Dolph Lundgren AKA The Russian from Rocky IV, Arnold Schwartzenegger, Steve Austin, Randy Couture and Mickey Rourke) The Good: The film is exactly what you think it is going to be which is a testosterone packed action fest. The film knows its identity and does not go onto unnecessary tangents sub stories. The whole point of the film is to get these actors together to kick some major ass! The Bad: The film does not totally develop all of the characters and tends to focus mainly on two or three of the expendables (Sylvester Stalone, Jason Statham, and Dolph Lundgren). Also, there are some scenes that are unclear and confusing and do not seem to flow very well.Final Thought: The stunts and special effects combined with these action heroes make the film what it is a nonstop action film with no strings attached. A very enjoyable flick! Therefore, I recommend to See It Now! In theaters!",7,3,8,6 September 2010
