movie_title,title,review,rating,helpful,total,date
Despicable Me 2," Better than the first one
","Despicable me 2 is much better than the first one, it's so much fun",10,0,1,23 January 2020
It," One of my favourite horror films of all time
",This film gave me nightmares for a whole year but what can I say! Isn't that the point?,10,0,0,23 January 2020
Argo," How?
","I don't really now how is it possible that a film like this won an Oscar, watched it some days ago and I'm still disappointed.The film itself is slow and just it's Corny/Cliche end it's somehow exciting.6/10 In my opinion.",6,1,2,10 May 2020
Finding Nemo," One of the best
",Finding memo is without a doubt one of the best Pixar movies ever made,10,0,0,24 January 2020
Troy," Underrated
",This is an underrated gem. I don't really know why it doesn't get the praise that it deserves,8,7,8,23 January 2020
Aquaman," Loved it
","I remember last year me going to the the cinema with low expectations. Surprise Surprise the movie was awesome, so don't listen to the critics and give it a try.",8,0,7,31 January 2020
Zodiac," Great first half but a very boring second one
",The film starts very well it's first 60 minutes but then it kinda starts to feel repetitive and slow.,4,3,5,23 January 2020
Suicide Squad," Trash
","Tried to watch it but left it after 10 minutes, tris movie is a mess",2,0,1,16 February 2020
Interstellar," It's Good
",Interstellar is one of the best films of 2014 but in my personal opinion it is not one of Nolan's best.,9,0,2,23 January 2020
Star Wars: Episode II - Attack of the Clones," Underrated
",The performances from Natalie Portman and Christen Haydensen are kind of odd nevertheless it's a very good movie.,9,0,0,23 January 2020
Bohemian Rhapsody," Bad
","I was very disappointed after watching it, the editing is bizarre and the movie feels super overrated",3,7,13,28 January 2020
Harry Potter and the Prisoner of Azkaban," Objectively the best of the whole series
",This film is not my favourite shareholder potter movie but I must say that it is really really good.,9,1,1,23 January 2020
Avengers: Endgame," I don't get the Hype
",Seriously? This is what everyone was talking about of being so brilliant? The plot has a lot of holes and also the movie is very long and boring until the third act,1,11,16,23 January 2020
Batman Begins," BEST OF THE TRILOGY
",I know it is an unpopular opinion but I really think that Batman Begins is the of the dark knight trilogy.,10,1,1,23 January 2020
Cars," Nostalgic
","This is one of my favourite Pixar films, it reminded me a lot of my childhood",10,0,0,23 January 2020
Once Upon a Time... in Hollywood," What?
",Tarantino at this point of his career because of all his previous success has the chance to do whatever he wants with this film. The problem is it ends being a long boring experience.,Null,2,3,9 February 2020
The Lion King," Not magical, but a good experience
",The lion king 2019 loses the magical taste of the Disney classic nevertheless it's interesting to watch the story in a more realistic way.,8,0,1,24 January 2020
1917," The more I think of it the more I like it
",I watched 1917 yesterday and I gotta admit I am delighted. Loved it!,9,10,15,12 February 2020
Charlie and the Chocolate Factory," Incredible
",One of the best Tim Burton films in my opinion and very nostalgic,10,1,5,24 January 2020
Avengers: Age of Ultron," Garbage
",The first Avengers is pretty ok but this film is pure gatbage,3,2,3,24 January 2020
The Dark Knight," One of my favorite films of all time
",Heath ledger delivered an incredible joker performance and the film is the best of its genre,10,0,0,23 January 2020
Toy Story," It has aged but it still is a Masterpiece
","It doesn't matter if the animation doesn't look good because it has aged, in my opinion what does matter is the amazing story that Toy Story delivers.",10,0,0,23 January 2020
Midsommar," Bad
","I expected the movie to be good, I was very wrong...",1,5,6,29 June 2020
Harry Potter and the Sorcerer's Stone," A classic
",This is probably the weakest of the entire series but it is the one that began all,8,0,0,23 January 2020
Harry Potter and the Goblet of Fire," Solid
",The goblet of fire is a solid film that it may not be the best but it's really hard to forget,9,0,0,23 January 2020
Joker," AMAZING
",I think it's an instant classic and its my favorite film of 2019,10,5,8,23 January 2020
It Chapter Two," Not close to the first one
","This film had such a potential, is a shame that it didn't work very well",7,0,0,23 January 2020
Star Wars: Episode III - Revenge of the Sith," Iconic
","This is one of my favourite Star Wars movies. I really liked it, it is without a doubt the best of the prequels.",10,2,2,23 January 2020
The Lion King," Great
",This is one of the best from the Disney renaissance! A masterpiece,10,0,0,24 January 2020
Inception," MIND BLOWING
",This is one of my favourite films of all time and its probably Christopher Nolan's best film,10,1,2,23 January 2020
Inception," MIND BLOWING
",This is without a doubt one of my favourite films of all time and probably Christopher Nolan's best film.,10,1,2,23 January 2020
The Dark Knight Rises," EPIC ENDING FOR AN OUTSTANDING TRILOGY
",This film does not disappoint and it is up to the previous two movies,10,2,2,23 January 2020
Black Panther," Awful
","Black panther is an awful film, it just won some oscars because of its political propaganda",1,6,9,7 February 2020
Toy Story 3," The best of the 4
",TOY STORY 3 Is such a great movie. I think they shouldn't have done the fourth because this one was the perfect ending.,10,0,0,23 January 2020
Harry Potter and the Deathly Hallows: Part 2," Harry Potter and the deathly hallows 2
",This film is a bloody brilliant epic ending for an amazing saga.,10,2,2,23 January 2020
The Wizard of Oz," CLASSIC
","I like it a lot, I remember watching it a thousand times when I was a little kid.",10,0,0,23 January 2020
