movie_title,title,review,rating,helpful,total,date
Minority Report," severely disappointing
","This movie joins the ranks of A.I. and Pearl Harbor as a film that looked promising from the previews and then ended up being immensely disappointing. And, like A.I., it is another case of a movie that could have been a decent conceptual or action flick, but was ruined by Steven Spielberg with excess sugary-sweet sentimentality. It mysteriously got great reviews, but I'm having trouble figuring out why.Firstly, the story is extremely creative and thought-provoking, but its execution falls short. Set in the future, Minority Report tells the story of an experimental new way of fighting crime, using three 'Pre-Cogs', or humanlike creatures who supposedly can see murders before they take place and provide the names of the killer and victim. In this way, the Pre-Crime unit can arrest the suspect before any crime is even committed, thus preventing murder from happening. It sounds like a great idea in theory, but alas, nothing is ever as perfect as it seems. The head of the Pre-Crime unit, John Anderton (Tom Cruise) is shocked when his name turns up as the future killer of a man he's never even met, and spends the rest of the movie trying to get to the bottom of things.This is a great idea for a movie. There's so much to explore - the conflict between determinism and free will, for example, or the moral and legal implications of convicting someone for a crime that hasn't been committed yet. Add action sequences featuring vertically-flying cars, virtual reality, and jumps from high elevations, and its potential rises even more.But that's where the fun ends. Because that's where other elements come in. An ex-wife whose crying on cue is only slightly more nauseating than her sudden concern for her husband. A crazy old lady who has man-eating plants as a security system. A scene with eyeballs that can only be described as gratuitous grossness. Pre-cogs who spend most of the movie lying completely still, and then suddenly develop the ability to speak, interact, and have character traits and histories. All in all, the movie never really gets going and never really gets to where it could be.In other words, a serious disappointment.",3,5,9,5 February 2005
In Bruges," Dark comedy, great dialogue, fantastic setting, but not what you'd expect
","Went to see it for the setting. Loved it for the dialogue. Wished it had just gone a bit further.In Bruges is a dark comedy set in the beautiful medieval town of Bruges, Belgium, featuring an Irish duo of hit men who have been ordered by their boss to hide out there after a high-profile job in London went sour. Their instructions are to keep a low profile, sightsee, and generally avoid trouble until further notice.But all is not as it seems.The dialogue between Gleeson and Farrell is witty, delivered with perfect comic timing, zany, and a joy to watch. Farrell and the charming Clémence Poésy also have great chemistry and are fun to watch on screen. The humour is designed to make viewers uncomfortable, and succeeds remarkably on this count. If you're looking for political correctness, you won't find it here. What you will find are jabs at Americans, tourists, gays, blacks, whites, fat people, and oh yeah, midgets. As this odd assortment of characters mixes and mingles in the streets of Bruges, the tension builds.And there's just enough of a psychological dark edge to keep things interesting. This is a comedy, yes, but it's by no means light and fluffy. This movie has been compared to The Big Hit or The Whole Nine Yards, but in fact, it's much, much darker. And in my opinion, that makes it better.Shot entirely on location in Bruges, the backdrop is of course stunning. I originally went to see this knowing absolutely nothing about it other than the title, simply because, having visited Bruges, I couldn't resist an opportunity to see it on the big screen. Filmed in the wintertime and largely at night, Bruges itself is one of the stars of the movie. Like the other characters, it is not portrayed as light, airy, innocent or picturesque, the way it is in real life. Instead, its more haunting quality is captured elegantly on film, with a heavy mist giving the town a sort of eerie, dream-like quality.So much of this movie was just right, and I highly recommend it to people who like twisted humour and aren't easily offended.I have two issues with this film, however. The first is the score. The music is completely wrong for this movie, giving it a feel that doesn't work at all with the dark comedy tone. The melancholy, slow, stirring music would've worked nicely with a drama or a psychological period piece, but just seems out of place here.The second issue is with the ending. Nope, I won't give it away. Suffice to say, I thought it was wrong, wrong, wrong. All wrong. Almost as though the author couldn't figure out what to do next or how to end this thing.But overall, I really enjoyed In Bruges. It was wickedly funny, daringly different, and fantastically non-PC. And the shots of Bruges are wonderful. Despite what the main characters say about the place, Bruges is really quite wonderful. I suggest seeing both the movie and the city.",7,186,351,13 February 2008
Spider-Man 2," Better than the first one
","Very few sequels ever surpass the original film. Spiderman 2 is one of this select club of films that is actually better than the first one.Tobey Maguire continues to impress as an actor, putting to shame the initial critics when he was chosen for the role. He gives Spiderman depth, vulnerability and a certain boyish charm. Kirsten Dunst, while not one of my favourite actresses, turns in a decent performance.Sure, Doctor Octopus is a ridiculous villain. But this movie is about more than just the plot. The film-making has matured here. There is more subtlety to the execution of the scenes and the story.Spiderman 2 is a great action/adventure movie that's a lot of fun to watch. It probably ranks up there as one my favourite superhero movies of all time.",8,2,4,6 February 2005
Dead Poets Society," Carpe Diem
","Robin Williams' finest role is this wonderful movie that I have watched maybe a zillion times and will never grow tired of.A simple story of a teacher who comes into the lives of young students at a boys' preparatory school and 'shakes things up', this movie has been copied dozens of times since its release, and never quite as well. Robin Williams, as poetry teacher John Keating, tries to get the boys to think beyond algebra and chemistry and their acceptance to Harvard, and to start thinking for themselves. He urges them to 'seize the day' and take control of their lives. And in changing the way his students think, he also had a profound effect on me... and I suspect, on the life of anyone else fortunate enough to see this film.At once criticized for being a clichÃ© and hailed as an instant classic, Dead Poets Society is both... and neither. It is simply a film that makes you think, question, hope and dare to dream. I think most of us either knew someone who affected us in a similar way as teenagers, or wish we did. Yes, the movie is full of exaggerated clichÃ©s - but whose life isn't at that age? And yes, the movie has also achieved a sort of new classic status. Hopefully, the superlatives won't kill the essence that is this film.I've seen this compared to a lot of movies - mostly inferior ones made since, such as The Emperor's Club - but the best comparison I could come up with is to One Flew Over The Cuckoo's Nest. Not for content, but for the underlying message... and consequently, for the movie's effect on people. Specifically, on me.If you haven't seen this, you're sorely missing out.",10,1,3,5 February 2005
Brokeback Mountain," Slow but poignant
","Brokeback Mountain is a simple, tragic love story.There, I've said it. Because, once you strip away all the media attention and hype surrounding this movie, that's all it is. No more, no less. It's a story of forbidden love, as old and as tragic as any Romeo-and-Juliet-based tale. And if it weren't for the fact that it was about a couple of dudes, most people probably would have never heard of it. (After all, how many of you saw 'The Shipping News'?) It's well-acted, to be sure. Jake Gyllenhaal is particularly good as Jack, and the absolutely gorgeous Heath Ledger holds his own pretty well as Ennis, despite a disastrous attempt at a Wyoming accent. The interplay between the two is mostly non-verbal and is well done.The cinematography is beautiful, the scenery (mostly filmed in Alberta, Canada) is gorgeous, and there is fantastic use of symbolism. Yes, it's a bit slow at times, and yes, it's quite sad, but it is really a beautiful movie when it comes down to it.It's a real shame that this movie will be most remembered for a couple of sex scenes in a tent. Because it's about so much more than that. Love, loss, passion, jealousy, uneven relationships, hope and despair - all universal human emotions that have nothing to do with sexual orientation. With all the talk about gay rights and equality, I think that there will only truly be equality when we can judge a love story - gay or straight - on its own merits. And this one certainly passes the test.",8,10,12,23 December 2006
Lost in Translation," Yawn... overrated
","I don't get what so many people loved about this movie. I kept waiting for something to happen... but nothing ever did! It was literally one of the most boring films I have seen in my life.Oh, I understand that it's supposed to be about alienation. I realize that it stars Scarlett Johanssen, the 'it' girl of the moment, and is set in Tokyo for cool visual effect. That's all very well and good.But then what? Some semblance of a plot might be nice here. Am I the only one who fell asleep watching this, waiting for something - anything - to happen? I have to say, this is one of the most overrated films of all time. Snooze.",4,4,9,6 February 2005
The Devil Wears Prada," Devilishly unfunny
","This movie generated so much buzz when it came out that I initially resisted seeing it. Now that I finally did, I can't help but wonder what all the hype was about.Starring Meryl Streep opposite Anne Hathaway, 'The Devil Wears Prada' is loosely based on the book by the same name, and was billed as a funny-but-edgy insider's look into the cutthroat world of fashion. Instead, it is a fairly pedestrian teen movie, built along the lines of 'She's All That' or its million predecessors, where the plain Jane girl gets a makeover and all her dreams come true. Or something.Because the message itself gets a little lost here. Ostensibly, this movie is supposed to tell us that the world of fashion is evil, superficial, full of back-stabbers and snotty 'clackers', and utterly devoid of any true meaning or purpose. But simultaneously, it tries to elevate fashion to a worthy pursuit on the same level as, say, curing AIDS or fighting world poverty. In trying to at once pay homage to and dissect the fashion world, the movie succeeds at neither.Much has been said about the acting, namely, Meryl Streep's portrayal of her character. And while I agree that her deliberately understated performance elevated this movie to something beyond 'disaster', I'd hardly give her lavish praise. Simply put, she's not nearly 'devilish' enough. She's tough and, at first, snarky, but we never truly believe that she's evil. Driven, yes. Willing to step over people to get what she wants, sure. But evil?In fact, nobody is quite mean enough here. Emily Blunt's character is snooty but ultimately likable, and Stanley Tucci plays the kind of 'gal pal' every girl wishes she had. For a supposedly cutthroat world, people are falling all over themselves to help each other out. So much for the Devil.And Anne Hathaway is charming and all, but she is just horribly miscast as the ugly duckling. She's a gorgeous girl who looks like a fashion model wearing the designer clothing she struts around in most of the movie, but she looked stunning even before that 'makeover' and the suggested message was that the world of fashion has ridiculous, unrealistic standards. That said, the movie never really passes enough judgment on these standards. When her success at work leads her to drive away those closest to her, the movie portrays her in a sympathetic light, and her boyfriend and her friends are portrayed as simply jealous, as opposed to as real people who love her for who she is and not for what she wears. When Hathaway's character proudly boasts that she's dropped from a size 6 to a size 4, it's done in such a way to make viewers believe that this is actually a good thing! Far from inspiring people to do the right thing, I fear all this movie will inspire is an epidemic of anorexia among young girls.In the world of The Devil Wears Prada, there are no consequences, no shame, and no sore feet from running around town all day wearing ridiculous shoes. The plot is utterly ridiculous, including such impossible situations as Hathaway's character obtaining the (not yet written) manuscript to the seventh Harry Potter book. Can we at least stick to something with some semblance of reality here, people? Salma Hayek's adaptation of 'Betty La Fea' as 'Ugly Betty', starring America Ferrera, takes the same concept and does it quite a bit better, to tell the truth. I'd give this a skip and try watching the TV series instead; whatever its faults, at least it has a bit more heart than this mess.",4,55,87,23 December 2006
Star Wars: Episode II - Attack of the Clones," Yoda is the only saving grace
","Attack of the Clones was not the most horrible movie I've ever seen. Far from it. In terms of mindless entertainment, it was actually a lot of fun, and it had lots of cool special effects like monsters with big teeth and talking robots, and of course, fight scenes involving clones. What could possibly be wrong with that? However, if you're a stickler for minor things like, oh, say, PLOT, then you might have a few problems with this one.Firstly, are we supposed to believe that Natalie Portman's Queen - er - Senator Amidala hasn't aged a day, but Anakin Skywalker has grown up maybe ten years, enough to turn this into a romance between them? Yeah RIGHT! Speaking of Anakin Skywalker, the only thing worse than Hayden Christinasen's acting was his hair extension. I mean, I realize his character was supposed to be a whiny brat, but, well, that gets extremely annoying to watch after two hours. And the stupid robot one-liners made everyone in the theatre groan out loud. I mean, 'I'm beside myself'? Come ON! Redeeming qualities? There are quite a few. The special effects are cool. The fight scenes are fun. Natalie Portman is charming as Amidala, and Samuel Jackson and Ewen McGregor deliver solid performances. And Yoda. Yoda. Yoda. Yoda. It's all about Yoda. (Oh, and did I mention Yoda?) The bottom line is that it was better than the Phantom Menace. As if that's saying much.",4,0,3,5 February 2005
Bridget Jones's Diary," Harmless chick flick
","See this movie if you're female. But make it a girls' night out, and leave him at home. Don't say I didn't warn you.Bridget Jones is a neurotic, lonely, but ultimately likable character. She is a heavy smoker, a heavy drinker, a few pounds overweight, British, a terrible public speaker, and has terrible judgment when it comes to relationships, but these qualities only help make her human and make it easier for people to identify with her. Of course, the fact that her character is portrayed by the very un-British and un-fat Renee Zellweiger makes some of what she says a little hard to believe. Despite this, Zellweiger pulls off the role with charm and grace - not an easy feat.The story itself has no surprises. From the first five minutes, everyone in the theatre knew exactly how it would end. There's no exciting revelation or universal truth to this tale. It's a simple romantic story, and it doesn't pretend to be anything else.Hugh Grant plays a fairly one-dimensional bad guy, and Colin Firth an equally flat good guy. Aside from the lead role, there are no noteworthy acting performances here.I haven't read the book, but I hear that some of the quirkiness is lost in the movie. In addition, the movie has some issues with the plot that just scream 'should have been cut out when adapted from book'. After a while, watching Bridget make the same mistakes over and over again gets a little tiresome. But ultimately, the story works.All in all, she's a likable heroine and we identify with her. The story is realistic and charming and, above all, harmless. It's a chick flick, but go see it if you're looking for a light laugh.",8,0,0,5 February 2005
10 Things I Hate About You," Cheesy but I love it anyway
","I'd be hard-pressed to justify liking what is essentially a blatant teen movie, but, well, I can't help it. I love this movie! It's got some great character acting, namely by Larry Miller as the father, Allison Janney as the guidance counselor and Daryl Mitchell as the English teacher. Julia Stiles comes across as believable. Heath Ledger is captivating (gotta love the accent!). The dialogue is witty and it's funny to boot. Besides, who can resist a school where a band performs on the roof? And to think it's based on Shakespeare! Predictable? Yes. Fun? Definitely. This is an eminently watchable, keep 'em laughing the whole time movie. 9/10.",9,0,0,7 February 2005
