movie_title,title,review,rating,helpful,total,date
The Hunger Games: Mockingjay - Part 1," The weakest part of the trilogy/quadrilogy, until now
","There are some exciting scenes in this installment but it is not enough to save it. As usual, following the latest Hollywood standards the movies in the series are following a downward spiral. Every new movie is weaker than its predecessor. There are some pretty cringe-worthy dialogs in this one, for example (it's not an exact quote) when Katniss wonders that Gale remembers their kiss, he said something like I will not forget it until I die, perhaps not even then'. KMN. I mean, is there a single human being in the world who would say something like that? It is sooo cliché, farrago for teenagers, which in my opinion are today a little bit smarter than that. Or perhaps not. Anyway I hope they will try to fix things in the final sequel.",5,3,4,26 February 2015
Sherlock Holmes: A Game of Shadows," Elementary, dear Watson
",I rate this movie with 1 because I expected better movie than its prequel which was a very solid viewing but that is not a reason for this review. I only wanted to point out that it was a serious mistake for Holmes to send Dr.Watson to find (or deduce!) the assassin in the final moments of the movie. He is trying to find a killer with complicated methods but he only had to consider this: - Madame Simsa's brother Rene (as she is of course) is French. - The easiest person for him to imitate is also French. - It is not easy for him to imitate British or German person because the languages are too different. - So only logical deduction would be - French ambassador. Probably something Holmes would have discovered in no-time. Or maybe not. Too bad that director has tried to make this movie interesting with kung-fu skills and slow/stop motion instead with cerebral powers of the world's greatest detective.,1,7,12,8 May 2012
Skyfall," Solid Bond but nothing special
","Movie begins with a very good chase in Istanbul which is shot in beautifully exciting manner. The motorcycle chase on the city's rooftops is something new and the classical shooting scene on the train is made fresh with an excavator and massive destruction. But from this moment the movie slows down and I believe the director wanted to make the story more personal for Bond this way. We see Bond gets shot by his partner Moneypenny, his resurrection, his physical and psychological tests in MI6 which he fails. All that hints (or should hint) to an agent whose best days are behind him, something that could have been used to create more drama or conflict. But then his boss M' intervenes and puts him back into active service, and that was it. He is back in the game and kicks bad guys a..ess with ease. The only time we see his physical weakness is when he tries to shoot a glass on top of someones head. His hand trembles and he misses. But after that he singlehandedly kills 5 or 6 henchmen. His antagonist in this movie is a disillusioned ex MI6 agent who has been betrayed by M' to the Chinese, tortured for months and failed to kill himself with poison which left him partially disfigured. The problem with this character is that he is considered as an epitome of evil by some of his associates (like beautiful Severine who trembles when she thinks of betraying him), but his brutality is never shown on screen, nor does he look intimidating (remember Zorin in A View to a Kill', his gaze is that of a madman, chillingly played by Christopher Walken). His potential as a worlds best computer hacker is never used for anything grand like it is the case with other Bonds enemies. OK, he did blow up a MI6 headquarters and managed to expel inhabitants of some unnamed island by computer trick (which also doesn't make sense, the government would probably send someone on-site to see what actually happened, but never mind). He only wants to take vengeance on M' and to that end he let himself be captured and brought to London. After his escape he goes with his henchmen to the M's public inquiry and then we have some boring gunfight. M escapes with Bond to Scottland with a plan to lure their enemy to Bond family estate (named Skyfall, if you wondered about the movie title), where they will make their stand. I have no idea what is so great about this plan, because M as a chief of MI6 can probably ask for some police help. Or some Special forces. Or some Army tanks and helicopters. But whatever. They go to Scottland and manage to defend them self with two hunting rifles, one pistol and a knife against two dozen mercenaries and a helicopter. In the end bad guy bites the dust, M dies of her injuries and Bond returns to be the best MI6 agent there is. As for Bond girls, we have charming Moneypenny and stunning Severine. Severine quickly and pointlessly dies in the middle of the movie and Moneypenny ends being a secretary of new MI6 director, which is debasement for a field agent and a sharpshooter but maybe thats is how MI6 works. All in all a Bond movie which is on par with Quantum of solace'. OK, maybe a little bit better.",7,2,9,12 November 2012
Iron Man 3," Finally - a real Iron Man
","I must say I went reluctantly to see this movie. The first two parts were in my opinion nothing special but for the sake of completism I did see Iron Man 3 and I am very glad that I did. It is a spectacular movie with a superb, almost epic music, composed by Brian Tyler. This time we have a very different Tony Stark then in the first two parts. In the past he was all show, a playboy who wants to attract attention. Now we see him suffer from anxiety attacks and fear after the trauma he experienced in the movie The Avengers'. He lives alone with his girlfriend Pepper in his mansion and he has become a quieter personality, obsessed with his power-suits which give him sense of security. The problem with the first two parts was lack of suspense. We knew that his suits will protect him from harm, and to be honest his enemies were not stronger than he. Now we have an interesting enemy for him, an illusive terrorist named the Mandarin who wants to punish USA and at the same time educate' US president. He is a mixture between Bin Laden and Fu Manchu. He represents a blending of all western prejudices and fears regarding the eastern civilizations from the middle to the far east. He is a shadowy figure, surrounded by his fanatical followers, philosophical, honourless and extremely cruel. In this movie we also have a contemporary aspect concerning the war on terror and the connection between the US politicians and the oil industry. But not everything is as it seems, and that would be a major spoiler which I will not mention here. There are some other villains with superpowers which are very dangerous indeed. This time Tony Stark does not have much of his hi-tech gadgets at his disposal, only a single malfunctioning power-suit, which is a very good thing story-wise because it creates suspense. Everything is more difficult for him this time and finally we see him in action using his brains instead of power-suits. With this limitations, we see Tony Stark make a transition from superhero to hero, something the audience can relate to more easily. All in all, this is excellent action movie, with clever story, interesting twists and explosive ending. Highly recommended.",9,3,15,29 April 2013
Child 44," A Hit and Miss Thing
","I haven't read Tom Smiths book Child 44 but the topic of this movie was interesting so I gave it a shot. It is a solid movie with fine performances from the actors but the most interesting thing of the movie is of course a portrayal of Stalin-Era Soviet Union and the treatment of criminals and citizens in it. In this story we see a series of child-murders in an indoctrinated society where there can't be such sick individuals like serial killers. The society's dogma prevents an efficient investigation of the case and it all happens in the time of paranoid hunt for foreign agents and counter-revolutionary elements. The strongest part of the story is the analysis of unjust society, where anything can be declared a treason no matter how powerful a single individual in this system is (as a matter of fact, the only person never accused in any crime in Soviet Union was a General Secretary of the Party. All others were at some time find guilty of something, regardless if this person is a WW2 hero, Army general, MGB general etc). The weak part of the movie is the Holiwoodesque battle of a lonely hero (well in this case he has a wife) against impossible odds. I will not go into detail, but I will say that the killer is killed, the main antagonist in a form of a corrupt MGB officer is also killed and our hero is redeemed in the eyes of the state, which I believe never happened in Stalins SU. Those declared guilty by society have been punished – sent into imprisonment in some camp or executed, because the state was never wrong. All in all, the movie is not bad but if you would like to know more about Stalins State I can recommend two excellent books: Arthur Koestlers Eclipse at Noon' and from Danilo Ki A Tomb for Boris Davidovich'.",5,3,6,14 August 2015
Gravity," Suspense from the beginning until the end
","I will not elaborate much about this movie because it is not really about the story, it is about atmosphere. The plot is simple enough, we have two astronauts stranded in space without communication with NASA or anybody else. Sandra Bulock plays a newcomer in space, subdued and probably depressed mission specialist who survives space catastrophe. With her is veteran astronaut played by George Clooney who saves her on more than one occasion and gives her moral support. The casting is right and possibly Bullocks greatest achievement on the big screen, after row of forgettable comedy movies. The photography of the movie is superb and 3D effects really contribute to the suspense. I will try to avoid spoilers because in the movies about a catastrophes there is only one question – will our hero survive or not? There are of course some scientific inaccuracies but for the sake of dramatisation, it is OK. All in all a movie which can be easily recommended but watch it in 3D.",9,2,6,7 October 2013
Fury," Full of sound and fury...you know the rest
","Well. It's difficult to write something about this movie because I don't know where to begin. First of all, I expected a more serious approach to this subject. I didn't expect to see German shock troops to be mow down like a bunch of orcs from LOTR, but whatever. Perhaps there is a reason why the US lost only' about 400.000 soldiers in that war and Germany ten times more. But in this movie all looks very naive to me, like a script from some first-person shooter. It is above all, a war-glorifying movie. Sacrifices have to be made, and the enemy must be destroyed at all costs. By all means necessary. But, the battles in this movie between remains of the German Army and the US troops are silly. Zee Germans' seem unable to hit anything with their weapons. Not even from an ambush with their enemies in the open field. A crucial battle between a German Tiger Tank and our heroes is stupid. Or better said the Germans are stupid. At one point in the battle, both crews try to get behind the opponent to hit the weakest point of the tank, but as our heroes are moving to reach the back of the Tiger, the Germans only rotate their turret as if they have no idea of the threat. And they die, of course. Furthermore, the Germans use their infantry weapons (in all stages of the movie) to attack our heroes tank, although it is a futile attempt. Crazy stuff. And the final battle between our heroes and the German SS troops is mind boggling. First of all, we see a SS-battalion (aproxx. 300 soldiers or more), armed with ancient kar98 rifles, machine-gun and couple of anti-tank weapons marching (and singing!) toward our heroes. Our protagonist spots them and runs to warn his friends. He reaches them in couple of seconds so I expected the Germans to be close, but no. Our heroes have time to argue whether they will run away or stay and fight (gues what they decided!) against many ill-equipped enemies. They set up an ambush in their immobilized tank and wait. Pleeeeenty of time to talk some more. Then the hilarity ensues, a battle that has to be seen to be believed! All of a sudden the night falls, everything is on fire, smoke everywhere. Zee Germans run left and right, confused, getting killed. They return fire from their rifles and machine-gun, and – no surprise – they do nothing! Then, after losing dozens of troops, the bad guys decide to use anti-tank weapons. Two of the rockets miss, although they are fired from about 5 meters distance and the third one manages to penetrate the armor and kill a single crew-member. Then our heroes get really mad, they shoot and reload. Shoot, reload. After some time they only shoot, no time to reload! But, there are too many storming Germans. Our heroes die, and the main protagonist survives and is rescued. All's well that ends well.",3,7,18,9 December 2014
The Hunger Games," Loved it!
","Finally a movie without hyper-inflated action scenes on steroids. I had no foreknowledge about the books and watched the movie almost accidentally. It is nice to see there are still movie directors who can tell a coherent story. Movie is beautifully shot, accompanied with melancholic music. Battle scenes are sparse bur dramatic and not overdone like the fighting scenes in the recent movies like 'Game of Shadows' where everybody seems to know some martial art. In reality fights are short and people die easily and that is how they are shown on the screen. Main character arouses sympathy and is someone who we can root for. Jennifer Lawrence looks gorgeous in every scene reminding of Diana, goddess of the Hunt. Some reviewers criticize the movie for its lack of gore claiming it is boring but that is far from true. There is no need for a movie to be brutal and bloody to be suspenseful.",9,2,7,30 March 2012
Star Trek Into Darkness," Too much which becomes too little
","After a long wait, a disappointing movie. Or probably the hype was too great after superb trailers. The first part was way better because we were in an uncharted territory where anything can happen, and it did - for example the destruction of planet Vulkan. Now in this movie we have by-the-numbers action and a very thin plot with a couple of not so great plot twists. The creators of the movie have managed to keep the identity of the mail villain secret and after so much speculation from the fans it has become irrelevant who he is, at least for me. The creators of the movie have played on this single card and the rest of the movie suffers greatly because of that. The main problem of this movie is, to be honest, a paper-thin plot. All that happens in the movie is as follows: a terrorist manages to eradicate half the starfleet captains and then teleports (!) to the Klingon homeworld Kronos, Kirk&Crew receive orders to find-him-and-kill-him', Kirk than decides to capture him instead, the terrorist kills couple of Klingons and then he surrenders and reveals himself as Khan (no further explanation necessary), then arrives the second villain of the movie-an admiral who wants to start a war with the Klingons and he has a brand new ship (like USS Excelsior from the original time line), there is a undramatic and chaotic space battle, some gun- and fistfights and then Khan takes over admirals ship, then follows a chase on Earth and a happy end. This plot points do not last much longer on screen, everything happens too quickly, not allowing for the suspense to build. But there are some redeeming points as well. Spock is brilliant in this movie and steals every scene he is in. I love his reasoning and his adamant moral. The new Klingons are very cool. We see that they have managed to destroy their moon Praxis and their homeworld ahead of time. And this time they did not have chancellor Gorkon to make peace with the Federation. I hope we will have relentless enemies in them for the future movies. Space battles between Enterprise and Admiral's new ship are pretty underwhelming. Enterprise is a sitting duck and keeps receiving punishment in every battle, which becomes boring after a while. Great final battle in The Undiscovered Country' is something the director could have drew an inspiration from. And of course we have Kirks sacrifice at the end so his ship and crew would live. It is a copy of Spock's death from The Wrath of Khan' and sadly it is a missed opportunity. The scene fails to be dramatic or sad or significant. In the moment where Kirk enters a radioactive warp core, I knew how he will be cured. To be honest I had hoped that Spock would try to enter this warp core and that the old Spock' would take his place, but that was an ordinary wishful thinking of an old ST fan. Benedikt Cumberbatch is superb as a villain Khan but the emotional connection between him and Kirk is absent in this movie, which makes sense because they met for the first time in this time line. Nevertheless, the screen dynamic between Khan and Kirk from The Wrath of Khan' was better. I hope that the creators of this new Star Trek will avoid similar mistakes for the future movies, because this new reboot of the series has great potential because all bets are off. Good luck next time.",7,0,4,22 May 2013
About Time," Entertaining movie with a deeper message
","About Time' starts as a comedy about time traveling man and his quest for true love. Or any love at all. But after a while the movie goes into a drama territory with surprising emotional resonance. Actually it is a movie about life and the possibilities of coping with everything that goes with it: happiness, sadness, comedy and tragedy. Tha powers of our hero come with a limitations and as in real life it is difficult and sometime impossible to achieve win-win situation. But time travel in this movie is a secondary thing, more important is one simple message that is very difficult to follow in life and that is to accept everything as it comes and to seize every moment in life like it is the last one.",8,0,3,28 October 2013
