movie_title,title,review,rating,helpful,total,date
The King's Speech," Powerful in every essence
","Winner, Best Picture, 2011.The movie is packed with brilliant performances by Colin Firth and Geoffrey Rush and an impressive performance by Helen Bonham Carter combined with Tom Hooper's diligent direction and mellifluous music. The humor is timely and sensible and the language spoken and storyline fairly simple.I was quite sure of watching 'The King's Speech' claim the Best Picture Oscar at the Academy Award presentations, 2011. The very first scene in the movie established this impression the first time i watched the movie. The movie begins with a euphonious background score as the radio announcer rinses his mouth before the broadcast and the whole stadium awaits the arrival of the Duke to deliver the speech that concludes the exhibition.Duke George stammers and if one asked him he'd reply 'I bloody well stammer'. He consults several speech therapists who try their antiquated methods on him for no use. Upon reference, the duchess visits Lionel incognito. She is forced to reveal her identity when Lionel refuses the conditions laid by her. George drops by and Lionel analyzes his condition and judges his stammering was curable and temporary. A reluctant George rubbishes Lionel's method and walks away.One night, he listens to the recording of his voice and is stunned by his flawless pronunciation of words. He visits Lionel again and with proper advice and guidance George gains the confidence to start giving a few speeches in public and his speech tends to improve with time.After he is crowned King after his brother refuses to take up the throne, the world is at the brink of another world war. As a king, it's his duty to deliver a speech for his countrymen not to fear and cower at the inevitable but face it. He rehearses the speech with Lionel and delivers the speech which receives thunderous applause from his countrymen and the King and Lionel continue to be friends for the rest of their lives.",10,0,1,19 June 2012
Moneyball," A docudrama of the most spectacular streak in the history of the sport
","I was quite sure of witnessing a sweep in this year's Oscars but didn't anticipate such a snub for a stupendous film on Sports. The Editing, the Sound Mixing deserve Oscars.Billy Beane is a baseball player-turned-general manager. He is cool-headed and cares for none, not even his players. He is the general manager of a team that trades out the men who performed the best and is left with a new selections to make with the paltry sum of money they have. He finds a really interesting person on his visit to the Tigers' office and hires him. They prepare a list of players who are well within their affordable range but with minor ailments, for which they are often ignored. They get into a heated argument with the scouts and coach over what they call a brazenly audacious move that could further slim down the chances of the team performing well. All the scouts leave the team and Billy is left with the coach, though reluctant to stay for another season, and Peter on his side.At first, the obvious happens. The team performs miserably. After a few games, Billy Beane changes his attitude towards his players, treats them well, exhorts and edifies them and even trades the ones who have been corrupting the others and the ones who haven't lived up to the expectations and all these bear fruit.They win one game after the other and the winning streak extends to a record 19 and a chance to re-write history beckons. They win the game, shatter the long-existing record and make it to the playoffs and falter once again. Billy is the subject of scathing remarks and is ridiculed for his adoption of an economics theory to draft players. He is offered the highest emolument by the owner of Red Sox but turns down the offer.To talk in terms of Baseball, the movie is a 4-run homer: 1- Sorkin's brilliant screenplay. 2- Brad Pitt's and Jonah Hill's acting. 3- Sound Mixing. 4- Film Editing.",9,0,1,17 June 2012
Sherlock Holmes: A Game of Shadows," 'Disappointed' is a modest word
","I must agree i was really awed by the art-direction and near-perfect costume design. It's really difficult to bring forth the life and culture that existed more than a century back.The movie failed to meet every single expectation set by its prequel. Sherlock Holmes, known for his wit and intelligence in deciphering codes, codes that could unfold a mystery, is presented as a polar opposite of his original-self in this movie.The Editing that forced all our jaws ajar in the prequel, has become nothing less than a bore. Too many plans of action makes the editing hackneyed. Hans Zimmer's reboot of the original tracks is the only bright facets of the movie, though the originals were comparatively better.Guy Ritchie raised our hopes of experiencing a near-Doyle world in which Sherlock rescues the yesteryear England from the hands of Moriarty in the first part. But he failed miserably to meet those expectations he set.Guy Ritchie is capable of reviving the Sherlock Doyle envisaged in his next part, if he ever plans to make it.",7,1,2,9 August 2012
Finding Neverland," One man who dreamt with his eyes wide open
","Yes. We all dream. We all have been to some fantasy land in our childhood and some of us even imagine themselves in some fantasy land even now. We seldom or never share our dreams with others for the obvious reason of being the cynosure of ridicule. But, there was one man who created a world he dreamed of to overcome his own lamenting tales as a boy, a world that brightened our childhood.Marc Forster has made a movie that brings to the viewers the life of the man who has been the biggest influence of a child born in any corner of this world for more than a century and the events and family that exhorted him to create the fantasy land of Neverland.Johnny Depp and Kate Winslet have given a really impressive performances and Depp in particular was denied the coveted Oscar more than Kate. The editing and the background score of the movie couldn't have been better.A movie worthy of the awards it was so harshly denied.",9,3,3,7 August 2012
The Great Dictator," The greatest satire on the most despised man ever
","A movie that even Adolf Hitler watched twice(probably to overcome the fact that they have uncanny resemblances and convince himself that it wasn't him who acted in the film).The movie was the first of the talking movies made by Charles Chaplin and it did not involve the character 'tramp'. The movie is a laughter riot like every Chaplin movie and his take on Adolf Hitler is very much tacit.I wonder how he has made the greatest mass murderer in the history of the world look like the greatest stand-up comedian ever. Such is the effort taken by the man who penned the script, directed the movie and acted in it.A masterpiece indeed.",10,3,5,21 June 2012
The Hustler," He hustles fast and loose
","Eddie Felson likes to play pool fast and loose. He challenges a long-time, undefeated champion Minnesota Fats for a game. As Eddie leads the game , he gets tipsy and lacks concentration on the game and loses all the money he made in the previous rounds. He's penniless after the game, loses his manager, goes on drinking bouts and falls for a woman. His performance plummets to the lowest ebb and he gets into an agreement with Minnesota Fats' manager, Bert Gordon, who sees great potential in making money from Eddie than an aging Fats. Gordon gets him games, helps him make a fortune, only to take a larger portion of the returns. Gordon tries to take advantage of Eddie's girlfriend and she commits suicide due to embarrassment. Eddie, determined to get himself emancipated from the clutches of Gordon beats Fats in a marathon; beats him over and over again until Fats declares the end of the game. Eddie refuses to pay up his hard-earned money to a bookie but Gordon threatens him and after heated arguments, Gordon orders Eddie not to play another game of pool if he wanted his limbs to be a part of his body and Eddie agrees and keeps the money.If there's someone who could play an inebriated man perfectly in every movie, it has to be Paul Newman. George C.Scott's performance was equally good. The movie was rightly awarded the Best art-direction and cinematography Oscars.",9,1,2,29 May 2012
Tinker Tailor Soldier Spy," Classic espionage thriller that required more running time than well-known faces.
","The running time of the movie is roughly half to that of the TV series. It's running time demands many key subplots be cut short. Yet, the wonderful editing and screenplay make this is a must-watch espionage movie.The screenplay of the movie, I felt, was written on the assumption that the movie-goers would have watched the TV series as well. Many key sentences that should have been spoken are simply shown as perceived and understood by the other characters, which might be a little difficult for those who have neither watched the TV series nor read the book.Alberto Iglesias' soothing reboot of the soundtrack from the TV series is one of the facets that I liked in the movie.Gary Oldman hasn't outperformed Alec Guinness' performance as the cagey George Smiley but I'm sure no other actor in the present day would have come close to Gary Oldman's portrayal of Smiley, a performance that fetched him a long-awaited Academy award nomination.A movie that deserves the rave reviews that it received.",8,7,11,26 December 2012
Catch-22," Nichols disappoints. Arkin doesn't.
","I had many questions in mind when I watched this film, the first among them being, 'Why was this movie made?' and a few more questions followed- 'Didn't Mike Nichols read the script and suggest any revisions?' and 'Couldn't it be a little more funnier, may be not as much as the book but funny nonetheless?'.Adapted from Joseph Heller's one-of-the-kind satire novel, the movie failed to live up to the hype and humor the book created. Mike Nichols, fresh from winning an Academy Award for 'The Graduate' somehow lost his brilliant directing skills to a poorly written screenplay. Yes, there were jokes and funny moments, where you'd guffaw no matter what, but those moments were too few as compared to those in the book.MASH, the book, by any standards, couldn't match Joseph Heller's novel. But when it comes to Motion Picture and presenting it, Mike Nichols lost it to Robert Altman's MASH.And no one else would have made a better Yossarian than Alan Arkin. Jon Voight and Balsam were impressive too.",7,1,2,11 December 2012
The Best Years of Our Lives," A tribute to the victorious dead and the wounded, enervated, and venerated survivors
","A sailor and two soldiers return to their hometown; back from the war. They are revered by their fellowmen for fighting for their country. Al is promoted in the bank he worked with before the war. Fred returns to his house and realizes his wife had long vacated the house. Whatever happens to the lives of Al and Fred is of lesser importance when compared to the true life and pain of a handless soldier. Homer loses both his hands in the war and his perseverance and strong-soul get him going. His parents and neighbors pity him but he does all his daily chores by himself and demands he be treated the same way he was treated before the war. He gives humorous explanations when inquired about his condition and even tries to choke a man who feels war was a waste of incalculable time, money and countless lives.He has truly established courage in the minds of his fellow soldiers who have seen the horrors of battle and has given them a reason to live, for they have served the country. Harold has shown us that you don't need two hands when you have an iron heart. Salute!",9,1,1,16 June 2012
Battleship Potemkin," The greatest war movie ever-made and a landmark in film-making
","One of the greatest and the first movies of the genre War. The movie is an inspiration to film-makers from all corners of the world. The movie has graphic violence which is far ahead of its times. The movie is a landmark in cinematography too. The scattering of moonlight on sea water making the water gleam like crystals will be a scene that will leave every viewer awed. The Odessa Staircase sequence is unequivocally the best scenario in the film.The movie brings forth an account of the uprising on the Battleship Potemkin. The background score matches the situation and also defines the mood of the men in various scenarios.Sailors and workers are fed rotten meat and are ill-treated while the senior officers devour fresh meat. Vakulinchuk, a brave sailor, decides to act. They protest peacefully by choosing not to drink the soup. An exasperated captain decides to shoot down the ones 'who did not like their soup'. Just as the guards get ready to fire at the rebels, Vakulinchuk enlightens his fellow sailors that they're about to fire at their fellowmen and thus a mutiny arises. The sailors hunt and cast the senior officers off the ship while a frenzied officer fires his rifle at Vakulinchuk. The man who spearheaded the mutiny is dead.He's brought to the shore and the news of the mutiny goes viral. Men and women start congregating near the pyre and an uprising is imminent in Odessa. Men and women are aroused by the inflammatory speech of a few volunteers. They already celebrate victory and send the sailors aboard the Potemkin food supplies and gifts.Their celebrations are interrupted by the armed soldiers who fire at will. They spare none within the range of their rifles- not even kids. The sailors decide it's time for them to act. They bomb the Odessa Opera House. They decide to meet the opponents head on. Men on both the ships are ready to fire cannons at each other. But, they bring down their ordnances and unite as brothers.",10,1,1,19 June 2012
