movie_title,title,review,rating,helpful,total,date
Star Wars: Episode I - The Phantom Menace," Ehh this movie is ok
","This movie has a weird tone thanks to the awkward performances mixing with the grand world building, epic soundtrack, great action and a basic plot that drags on honestly if this movie was cut down to 90-100 minutes and maybe provided some motivation for the villains it'd be a 7-8 at least",6,0,0,9 December 2019
The Expendables 2," 9 Chuck Norris jokes out of 10
","This movie rocks man it has action, laughs, gore and so many references it's just awesome",9,0,0,5 March 2020
Rogue One: A Star Wars Story," An excellent film
",Perhaps a bit to long but this is still a grand movie,8,0,1,21 December 2019
Spider-Man 2," A lovely movie
","This movie has action, comedy, drama and some very interesting looking faces courtesy of Tobey Maguire.
Overall it's all good fun for the whole family",10,0,0,26 March 2020
The Mummy," A really cool movie
","This movie has action, a Mummy and lots of humor! It's a really fun adventure flick check it out.",8,1,1,20 February 2020
Star Wars: Episode VI - Return of the Jedi," An excellent conclusion
",This movie does an amazing job concluding the Star Wars saga everything comes full circle it's just awesome,10,1,1,7 February 2020
The Expendables," Aww yeah
","This movie rocks man it's got guts, blood, explosions and lots of Ultra-Violence!
This is a great movie to pop in when you just want to chill out",8,0,0,4 March 2020
Star Wars: Episode IX - The Rise of Skywalker," This movie is boring
",It's a pretty typical modern action flick with lots of lame jokes and a few plot holes,5,17,29,26 December 2019
Star Wars: Episode II - Attack of the Clones," This movie is ok
",This movie has a great soundtrack a weird tone and a hard time sticking to a scene it's always jumping around,6,0,0,12 December 2019
Spider-Man," This movie rocks man
","It's an awesome flick with action, drama, laughs and some really corny and or weird bits. It's just a fun family friendly time with that signature Sam Raimi style.",10,0,0,25 March 2020
District 9," This is a gruesomely awesome movie
","It offers a very interesting twist on the old aliens walk among us troupe and delivers a bleak tale full of blood, guts and some really good special effects.
Check it out it's a great movie.",10,0,0,22 April 2020
The Lost World: Jurassic Park," This movie is bad
",This movie has nice spectacle but the main characters are responsible for everything that goes wrong in this movie and good God this flick has a wretched sense of tone,4,1,3,18 February 2020
Kick-Ass," This movie is great
","It's funny, violent and sticks out in the massive world of comic book movies.
Check it out",8,0,0,31 March 2020
Ghostbusters," This movie rocks
",It's a wild good time with great performances and lots of crazy effects,10,0,0,8 April 2020
Shrek the Third," This movie is pretty cool
",It's a fun little movie with plenty of laughs with plenty of memorable moments.,8,1,1,27 February 2020
Back to the Future Part III," This is pretty good
",It's definitely a little derivative of the previous movies but it's still a fun little western,8,1,1,7 April 2020
Shrek 2," One of the greatest fairy tales ever
","This is a truly enchanting movie full of wonder, laughs and true love.",10,0,0,26 February 2020
Kill Bill: Vol. 1," This movie is awesome
",This movie has super bloody awesome violence and it's all good for the most part except this one part where some bafoon wastes like 5 minutes whistling an annoying tune,9,0,0,9 March 2020
From Dusk Till Dawn," This movie is one of a kind
",It's just wonderful man. This movie is like a rollercoaster of awesomeness,10,0,0,8 January 2020
Jurassic World," Wasted potential
",This has some pretty cool ideas but does nothing with any of them it's super underwhelming,5,0,0,15 February 2020
The Mummy Returns," An awesome campy mummy movie
","This movie rocks man it has action, cat fights, comic relief, lots of mummys and besides that one infamous effect at the end the rest of the movie looks great especially the army of Anubis",9,0,0,21 February 2020
Pulp Fiction," This movie is pretty good
","It's well written, pretty funny, a little odd and definitely worth checking out",9,0,1,24 March 2020
Zombieland," This is an awesome comedy
",This is a fun little comedy about enjoying the little things oh and Zombies,10,0,1,24 October 2019
Joker," This is an excellent film
",This film is a wonderful gripping intense experience and you just have to see it I can't do it justice.,10,1,1,10 October 2019
Star Wars: Episode III - Revenge of the Sith," This movie is excellent
","This is an excellent film filled with memorable scenes, lines and an excellent soundtrack from beginning to end. Put all this around a thrilling narrative about the lead being torn and manipulated and it just gets better every time I watch it.",9,2,3,12 December 2019
Parasite," A wonderful black comedy
","This movie is great it's hilarious, gripping and intense the less you know before seeing it the better",10,14,22,5 December 2019
Back to the Future Part II," A great movie
","This sequel is very derivative of the first one but it also does a great job of expanding with the same formula.
It's still pretty good though check it out",9,1,1,16 May 2020
Shrek," A grand fairy tale
","This movie is a fun little fairy tale
The remake is pretty good but you should definitely check out the original check it out",9,1,1,19 June 2020
Star Wars: Episode VII - The Force Awakens," This movie is lame
",It's just a rehash of Star Wars IV with lame modern troupes,4,8,10,26 December 2019
Star Wars: Episode IV - A New Hope," This movie is awesome
","From beginning to end it's a wonderful film.
The effects may look dated but that just adds extra charm for me.
My only complaint is the climax dragged on a little bit I can see they were trying to make it intense but I think it could've been trimmed down a bit",9,0,0,4 February 2020
Star Wars: Episode V - The Empire Strikes Back," This movie rocks
","This movie is awesome man
It's funny, action packed and has a great soundtrack",10,1,1,7 February 2020
Back to the Future," A wonderful movie
",This is a wonderful good time filled with great performances and lots of great laughs,10,0,0,2 April 2020
Jurassic Park," Family friendly horror
",This movie is pretty awesome I mean it has a lot of dumb nonsense but if it all made perfect sense it would be a super boring movie and wow this movie is pretty entertaining.,8,1,1,15 February 2020
Beetlejuice," A really weird movie
",This movie does offer alot of cool spectacle and it can be pretty funny but it's also nonsensical. Now I have no problem with a movie being odd but this just makes so little sense that it's more of a huh what? Kind of weird rather than a oh wow kind of weird.,7,0,0,20 June 2020
