movie_title,title,review,rating,helpful,total,date
The Monuments Men," History lesson
","I wanted to see this for the actors in the movie. So many good performers in a film based on truth. I especially liked Cate Blanchett's performance as the woman who eventually gave the soldiers the information they needed. She portrayed a hesitant woman in a dangerous time - she knew her life was in danger if found out and was careful about saying anything. The unlikely group, with little military knowledge were at times comical but always believable. The mission they were given was so important for the art world and the individuals the art was stolen from. If it weren't for these men we would not be able to enjoy the Madonna and Child by Michelangelo, the many paintings in the Lourve and families would not have been reunited with their paintings. At times the movie seemed a little slow, but the acting is well done and the history lesson is important for all. Hitler had instructed for all the collections to be destroyed if he lost the war - we have many reasons to be thankful to these Monument Men.",8,13,26,9 February 2014
Rocketman," They say biographies do not make good movies -WRONG
","Two years in a row - great movies about great musicians. This film is introduced so well and the telling by Elton John of how he got where is was in the different timeframes - well done. Also the music connections to what he was going through at the time - well done. Learned so much about his life - two uncaring and incapable of caring parents, but thank heaven for his grandmother since she was the only one in the house who encouraged him.
Another movie about the hard time a gay person has when trying to be themselves. Yes it deserves the R rating and I am glad Elton Joh insisted that he had not led a PG-13 life.
Stay for the credits - so worth it. Hope this gets the oscars it deserves.",10,3,6,22 June 2019
A Star Is Born," No spoilers for me
","I have now seen the three remakes of A Star is Born -and this one is fantastic. Kudos to Bradley Cooper for an amazing success in directing, writing and starring in this movie. His talent is incredible and shown so well in this film. I so appreciated his use of the closeup filming - right in the actors faces and making it so intimate for the audience. The concert scenes were so fun - made you feel you were there.
Lady Gaga - a new film star and hopefully Oscar nominee. Besides her voice being a huge part of the film, she has developed great acting skills. Her emotions were right on through out the film.
Sam Elliott - so much fun to see him in this role - and no matter your age he is a pleasure to see and listen too.
This is one of the best films of the year and I really hope those who worked on it get the honors they deserve.",10,0,1,10 October 2018
Gravity," beautiful cinematography
","The movie goer is transported to a place the vast majority of us will never go. I now have a greater respect for astronauts -besides the technical side of their work - the personal side comes out, and the working with other nations in space. Ryan is the newbie - a medical trained astronaut who is running from a sad event in her life - as she says 'she drives'. With an experienced astronaut they are subjected to a happening that probably could happen. Their dependence on each other and then the training that makes for the rest of the story - they are smart. The best part of the story is the cinematography - the filming is amazing and I admire the director and all who were able to do this film - it is one of the best. Even though there are some things not true - you do believe it when you see it. I have read about this and admire the actors for what they did - I'm sure it was a challenge in many ways. I really liked this file - but with what I consider a really great film, I cannot get it out of my mind for several days. I saw this yesterday and that has not happened with it. But the cinematography did- it is worthy of an Oscar.",8,8,11,27 October 2013
The Impossible," The Impossible
","A incredible movie of parental and family love. This obviously loving family settle in at a resort in Thailand, celebrate Christmas, and then the most horrific event happens. The tsunami hits the coast of Thailand and their lives are changed to survival. I could never imagine the force of the water that hit the coast -the movie does a great job of giving you that feeling. Then the people - the destruction of families is so hard to watch - the hope of families survives. This family was so fortunate and obviously have a deep love for each other. The father searching for his wife and son, and at the same time sending his other boys off to safety. Tom Holland who plays Lucas is terrific - the connection between him an Naomi Watts is believable. He gives a great performance. Naomi Watts is equally good as the mother - wounded in many ways and still not giving up. She knows what is happening to her body and tries to hang one and have hope. At times this was a hard movie to watch but I think it is truthfully presented - being a nurse the conditions of the makeshift hospital - it was horrific. And yet given the conditions - life went on. The people searching for loved ones is well presented. A good film of a sometimes hard to watch event - good work coming out of Spain.",9,1,3,23 January 2013
42," 42
",An well done depiction of the struggles Jackie Robinson went through to just play baseball. I think all the casting was well done -especially Chadwick Boseman and Harrison Ford. It was hard to see the discrimination then and knowing how it continued for many years - but that was the time of my parents and it was true to the time (so sad). I think Harrison Ford should get an Oscar nomination for best supporting actor - it is such a good performance. I totally forgot who the actor was and got into the personality of Branch Rickey - it was all about the best for the baseball team - but he had a heart too for his players. It was fun to see J.R.Knight in a film again - I have always liked him. I liked the music (I grew up with it) and the costuming was accurate. The sets were well done and the language - that is the way it was - not tolerated now thank heaven. Jackie Robinson was a man of honor and strength - an admirable man.,8,4,4,6 May 2013
The Danish Girl," Well told
","This true story is not for everyone - some will never get the struggle that a person like the main character goes through. And they could learn but the their own misunderstanding would keep that from happening. This takes place in the 1920's - both the main characters are artists and they truly love each other. Alisha Vikinder is amazing as the wife- her acceptance of her husbands condition is so well shown, her love for him and willingness to help is so evident, and then her frustrations with the course things take. Hers is an amazing performance. Eddie Redmayne is an actor who is willing to take chances and he took one with this role - he is amazing and so believable. I'm sure an Oscar nomination is coming his way - again. I recommend it for anyone with an open mind - it is a story well told.",9,0,5,5 January 2016
Knives Out," Excellent
","Such a fun and good movie with an exceptional cast. There are standout moments for all the actors but this is an ensemble cast.
The individual stories come out slowly, the gothic home has so much to see and I wish the camera would have stayed longer on some of the scenes. Each possible family member as a suspect is played so well - Don Johnson, Jamie lee Curtis, Daniel Craig and Christopher Plummer - all are so good.
The twists and turns come quick - the piano note by the detective - a good mystery. Like a game of clue - with many suspects.",10,1,5,2 January 2020
Concussion," Will Smith shines
",I come from a medical background - I have read about CTE because I have a grandchild who plays football - I had to see this movie. Will Smith gives a great performance as the forensic neuropathologist who sees the changes in the brains of several Pittsburgh Steeler players who died before they should have. Of course this takes him on the journey of trying to get the NFL to recognize the dangers of concussion. Not a battle he wanted - he just wanted to help keep CTE from happening. I have to confess - I do not support pro sports for many reasons - the main one being that they focus on the money - not the player. The NFL did not want the players to know the dangers - even when they knew them. This is well portrayed in this movie. I admire this doctor for what he did and the fact that he persisted. At the end of the movie it is stated that it is believed that 28% of professional football players have CTE - that alone should wake the public up.,9,3,9,5 January 2016
Molly's Game," Better than I thought it would be.
","I really liked this film - better than I thought it would be. I liked the fast pace, the actors, the fact that this is a true story and the reality of it.
Idris Elba's performance as Molly's attorney is so good - when you think he will say no - it becomes yes. Jessica Chastain is so believable as the main character - and this it through her ups and downs. The scene with her father is real.
A very good afternoon treat.",9,1,4,14 January 2018
