movie_title,title,review,rating,helpful,total,date
Casablanca," 2nd Best Movie of all Time!
","Casablanca is both the definition of classic and 'cool' cinema. Humphrey Bogart just breezed through his lines like he was Rick himself. Every time he utters a word it comes out like silk and Ingrid Bergman is the best example of a true Hollywood actress no matter what time frame you're looking act. Peter Lorre is one of my favorites (especially after seeing him in this and 'M'), and his expressions in this, both verbal and facial were incredible. This is just a timeless masterpiece that is great to be able to watch on a nice relaxing day and see first hand that film can be one of the most beautiful forms of art when done correctly. It doesn't get much better than this, and even that's arguable to some I presume. I wish there were more movies like this but I'm sure that's easier said then done since it'd be next to impossible to pop out scripts like this. Oh well, one can wish right? If you haven't seen this yet then stop what you're doing immediately and rush out to the video store, it is of the utmost importance...I kid you not!!!Final 2 Cents:Movies : This must've been a gem on the screen.DVD Purchase : A necessity, now I just got to trade it in for the special edition.Rental : Absolutely imperative!",10,2,4,13 September 2004
Friday Night Lights," More of the same
","I liked this movie better the first time when it was called 'Varsity Blues'!I don't kid you when I say that there were so many scenes copied directly from that it was absolutely appalling. The only difference was that 'Friday Night Lights' was approximately 20 minutes longer and was a drama that contained comedy whereas 'VB' was a comedy that contained drama. Any scene that wasn't from 'VB' (which was scarce) was most likely from a different past football movie. Don't get me wrong, the acting was alright it was just that the plot was so unoriginal and it was unbearably slow-moving at times. The ending was the only thing that was somewhat unpredictable but even then it was more of a letdown than anything. If you score some complimentary tickets or are looking to burn a hole in your pocket than that's the only way I'd recommend seeing this as there was nothing special about it at all. Another thing I also hate is that every movie that supposedly had taken place in the '80s plays Run DMC's song 'Tricky' even though no one really listened to it back then. The only time it was ever popular was after 'Road Trip' came out a few years ago. People just don't stop to think about this at all. However one thing's for certain, Billy Bob has definitely been doing his fair share of bad movies!!!Final Acquittal:Movies: A waste of time.DVD Purchase: Only for someone that loves sports movies more than anything.Rental: You could, but view with low expectations.",5,1,2,14 October 2004
Citizen Kane," Greatest Movie of all Time!!!
","The American Film Institute knows their stuff and it's no wonder that they rank this movie the # 1 film ever made. Orson Welles portrayed some of the best dramatic acting along with directing that I've ever seen, and believe me I've seen a lot. This movie got robbed at the Oscars for reasons that I'll never understand. The quotes are so good and there are so many of them. Welles was a genius that was never fully appreciated even today, probably because most of us forgot about him. I felt bad for him because after he made this perfect piece of art he spent the rest of his life trying to make another one that was just as good or better and which he was never able to do (though it might've been impossible anyway because sometimes you can't beat the best). The supporting actors were fabulous, you just don't see it done this well anymore or anywhere close to it for that matter. This story has something in it that every person can relate to and it doesn't fall short on any of it. If you consider yourself even a novice movie lover you have to watch this and the sooner the better. That's my story and I'm sticking to it!Final Judgment:Movies : If it's ever re-released I'd be there in a second!DVD Purchase : Get the special edition.Rental : More important than air and water!",10,7,12,14 September 2004
Shaun of the Dead," Pretty funny
","This movie was 'bloody' well done...no pun intended. I went into this film not knowing really what to expect but maybe a dark comedy which is why I came out very happy. While I was right about it being funny, it's also an excellent zombie film going on in the meantime. Believe it or not there weren't as many comical moments as I thought there was going to be but some instances were just downright hilarious. The acting was superb and I could tell it must've been an extreme challenge for them since they'd have to go from comedic to dramatic to tragic in what was sometimes probably only a matter of seconds. I definitely gave a big thumbs up to the cast after I noticed this. Even with the apparent low-budget I think the zombie's were effective and looked just as real as in most other movies. Overall a great movie and I highly recommend it to take your mind of life's boring subtleties.Final Review:Movies: Worth every cent of the ticket price.DVD Purchase: Yes, there is a very good chance this might be the start of a series.Rental: If by no other means then absolutely!",8,1,2,27 September 2004
Alexander," Alexander the Boring
","Despite the awesome previews/trailers...I have to wind up giving this movie a negative review. The biggest disappointment was the fact that there were only two battle scenes in the whole three hours of it (much like 'Master and Commander' which was far worse since I could actually tolerate 'Alexander').That was clearly not enough for an epic movie, they were too short in length, and it was nearly impossible to interpret what was going on. I couldn't separate the opposing sides, the battle strategies weren't explained, and everything but the blood spouting out was unclear. Another downfall was that it focused too much on homosexuality, I mean Oliver Stone literally beat it too death and it wasn't even a known fact. It got to the point where I'm just like 'enough already'! Other parts that it was lacking include the lack of direction for the film's plot, countless speeches without any motivation for them, and just downright slow-moving parts that some viewers became fed up with and left the theater. The few plus sides were that despite being boring it actually passed by pretty quickly (although I don't understand how), a majority of the acting was good, and it was based on one of the most important people in all of the world's history.Val Kilmer who used to be fantastic seems to have dwindled in time and I don't think Rosario Dawson is anything special either. Take my word for it and skip this one!Final Days:Movies: You'll feel swindled afterward.DVD Purchase: What a waste of money!Rental: The only form I'd consider but this is something you can definitely miss out on.",4,0,1,26 November 2004
Hot Fuzz," 'Hot Fuzz'  Sizzling Entertainment
","It has been awhile since I've seen 'Shaun of Dead' but I definitely enjoyed it and was really looking forward to this installment. The best part of the British spoofs is they offer a far more intelligent sense of humor than their American counterparts. Unfortunately most of the mainstream audience here hasn't quite fully seemed to have grasped that concept, but there are those that can appreciate it. Luckily it appears to be catching on. I readily admit that sometimes I'm in the mood for the quick and easy laugh but more often than not I'd like to work for it.'Hot Fuzz' wasn't as funny as 'Shaun of the Dead', although I thought the story was a lot better. Another thing that I like about these British spoofs is that the film was good enough to stand on its own, even if the viewer didn't catch on to any of the references shown. Granted it won't be as humorous but still enjoyable enough. Whereas the American spoof movies usually rely on them alone, which is why they become quickly dated. The tough part is classic movies were paid tribute to here as well so if you aren't a huge film buff then you'll be left in the dark for at least a few instances. That should be enough incentive for you to brush up on some much needed cinema knowledge!Some critics have stated that some of the parodies are way too over the top and completely unbelievable. Well that's the point as it was poking fun at how many of the action movies are the same way. Others asked, 'could the people in a small town really be that blind and not see or want to believe what was actually going on?' Yes they could, it happens all the time in rural areas, as sometimes their people aren't fully equipped mentally to realize that there's more than meets the eye from time to time.The acting was great and no one dipped below the charts on this one. This is certainly one talented comedic troupe. Even though they're all mainly classified as comedians, they are excellent dramatic actors, which is what adds to all the warped fun since they all basically play it straight. I really hope that this bunch continues to make another film in this fashion and that it won't take another three years to do so. 'Hot Fuzz' was fiendishly clever and got the whole audience involved in its crazy antics mixed with a serious backdrop. These are definitely some short arms of the law you won't want reaching for you anytime soon!",8,4,8,1 May 2007
Ed Wood," Different
","This movie was unlike many others that I've seen which is usually a very good thing. However it is weird but you really can't expect much else from Tim Burton so if you like his movies then it goes without saying that you'll love this one as it is one of his better helms in the director's chair. It was kind of sad seeing the actual Ed Wood struggling so much and nothing going right for him ever. Johnny Depp did an excellent turn as this happy-go-luck fellow that was always down on his luck. Bill Murray was only in a short part but he was actually pretty funny as a man in dire need of a sex change. Sarah Jessica Parker played a very good bitch since that's what she is in real life and Patricia Arquette was great in her expected nice girl role. As for Martin Landau it is without question that he deserved the Oscar here. Everything he did or said was just carried out with such perfection it was uncanny. I can't figure out why he's never as good in his other roles as he is here because it can evidently be seen that he is a absolute genius when he wants to be. This movie could be boring at times but I still liked it a lot and the wait for it to be released on DVD was well worth it.Final Hatch:Theaters: Glad I missed it here.DVD Purchase: No, but I can certainly see myself renting it again in the not-so-distant future.Rental: I love it this way!",6,1,6,20 October 2004
Insomnia," I like it
","This was a very good movie but unfortunately I still haven't seen the original so I wasn't able to compare it to that. Al Pacino was riveting in his performance and I was able to feel his pain of what was happening to him throughout the duration. I thought this was one of Robin Williams better roles considering how I usually can't stand him except for say 'Mrs. Doubtfire', 'Good Will Hunting', and 'Patch Adams'. Hilary Swank did fine but as was said before, her character was fairly limited. She played the adorable apt pupil in high regards. The plot kept me intrigued and the dialog was clever for the most part. I still don't know anyone who can give an emotional-driven speech like Al! I recommend this film to anyone that likes police suspense movies and all Pacino fanatics like myself.Final Call:Movies: Would be worth the ticket price.DVD Purchase: Of course!Rental: A perfect choice.",9,0,1,19 September 2004
Pirates of the Caribbean: At World's End," 'Pirates of the Caribbean: At World's End'  If Only That Were True
","The third installment of the 'Pirates' saga kicked off and I got to screen it a day early. I really enjoyed the first entry and thought the second one was over-budgeted and ended up taking the series in a direction that I didn't like. 'At World's End' wouldn't be much different. It ironically turned out to be similar in structure to the third 'Spider-Man' movie which opened up only a couple weeks earlier being that it was a little too long, had corny love scenes, and was extremely confusing to a majority of the viewers. However I think that 'Spider-Man 3' was the better film as this one exceeded to excess on all those factors. While there was action aplenty and even scenes I liked, when I left the theater I harbored an empty feeling.It was evident that while the action was there, a really satisfying concrete story wasn't. For example a new type of all-powerful character was introduced and built up for the first two-thirds of the movie, but when they finally do come to fruition it's an extreme letdown. In fact many new elements were introduced that weren't fully explained that just left me wondering why they even needed to throw these in the script in the first place. It was if they were more concerned about creating a long running time than an understandable story.The swashbuckling was decent and there were many fights, however not as many important ones as there were in the first twowhere it had more one-on-one duels. Here there were many every person for themselves free for all's. Another problem was the blur of succeeding betrayals. This made it hard to distinguish who was who. I like knowing whom to root for, or at least thinking I know who to root for. The special effects were amazing and the actual production itself was pretty flawless but it was a clear case of all style and no substance. Well maybe not no substance, but very little.Johnny Depp while having some funny moments didn't build on his character whatsoever and didn't even have the most comical parts this time around. They seemed to have gone to the parrot and the monkey. At least half of Sparrow's humor fell flat, as they were just rehashed jokes and retorts that I heard back in elementary school. Orlando Bloom's acting was safely bad as usual in his case. Keira Knightley was okay, but she's more there as a pretty face than a legitimate thespian. The supporting cast was exceptional though just as they had been in the first two movies, and luckily for the ticket buyer they had a lot of screen time. So between the good and the bad here it about evened out.At least all the open-ended conflicts were resolved at the end and there weren't anymore real cliffhangers. However it's appearing pretty favorable that there's going to be another trilogy on top of this which I'm not looking forward to as the series quality has declined steadily with each film. It's basically one big money making scheme now by just throwing a bunch of special effects on the screen along with a few cute people and have the young masses come teeming in spending their parents not so hard-earned dough. This is why I wish they just ended everything here while there was still a shred of dignity left, but Hollywood can't seem to let anything be if there's a shred of money to be made lately.Even though this was a long movie it actually goes by somewhat quickly which was especially surprisingly given how slow moving some of the scenes are and the fact that a lot of inane dialog is thrown into the mix. It actually is worth watching and is probably even above average but falls far short of what it could've been. I also predict that this will break box office records without a doubt, as a film doesn't have to be good to achieve that anymore. 'Pirates of the Caribbean: At World's End' was decent but didn't live up to the anticipation that was generated and if these epics are continued to be made like this I'll certainly be at wit's end!",7,0,1,25 May 2007
Spider-Man 3," 'Spider-Man 3'  Summer '07 Officially Swings In
","Ultimately I was highly impressed by the last installment of a trilogy that due to its immediate success has spawned a supposedly unplanned follow-up trilogy. 'Spider-Man 3' starts off on a happy note and all is well for Peter Parker, however things quickly go awry as his web gets even more tangled than ever before. A big warning to all potential viewers should be that if they're not familiar with the comic books with at least a general knowledge of the new villains, then there's a favorable chance that they will become completely lost along the way. This is mainly due to the fact that so many characters and subplots were crammed into too short of a time and the story moves along at a lighting fast pace. If you aren't paying attention I can see how it'd be very easy to get confused about who's who.Even though there was a mostly younger cast they all did supremely well. Tobey Maguire was probably the only exception but even he was okay. J.K. Simmons was absolutely hilarious and even though he was cramped for screen time, whenever he was present the audience was laughing. The same went for Bruce Campbell who despite only having one scene, made sure all eyes were on him for that whole time. The biggest surprise for me was Bryce Dallas Howard who I normally haven't been thrilled by, nevertheless was very pleasant hereboth on the eyes and acting-wise.The biggest weakness of this film besides squeezing too much into it, was the cheese factor. The worst of the worst was when Spider-Man runs past an American flag. This was tied with the jazz club dance routine. The audience was literally groaning out loud at this and ruined the momentum that was built up until these points. Plain and simple they just didn't belong. I'm not even going to comment on when Peter Parker develops a darker side since that sequence was too corny to capture the essence of in mere words.On the brighter side there were many pluses, the first being the CGI as it was incredible. So much work must've been put into making the Sandman character as they fine-tuned him down to each grain. I also was impressed at how so many separate stories were tied together so well. The musical score was invigorating and set an appropriate pace. Even though the running length clocked in at around two-and-a-half hours, I couldn't tell since there weren't many slow moments and it seemed to fly by. The producers could've easily added on another half-hour and I wouldn't have noticed. That might've even been a better way to go.Any true fans of the 'Spider-Man' franchise should see this. The tone and style are a lot different than the first two, but in some ways this is better since it adds a darker feel to the experience. There are some great quotes as always, which is a bare essential of any worthwhile comic book adaptation. To all those cynics that are complaining about the lack of clearly defined villains, well welcome to reality. Even the most ruthless bad guys either have some good to them in real life, or there were mitigating reasons for what made them into what they are. I thought that touch made it easier to identify with the antagonists since they had actual human aspects to them.Sam Raimi stuck to his artistic vision as best that he could and the successful completion of a blockbuster such as this deserves the high box office results it'll certainly produce. I'm very glad that they will continue the series even if it means bringing in a new cast and crew. Spider-Man was one of my favorite superheroes growing up as a kid due to his sheer ordinary daytime persona and the horrible things he'd have to endure. Yet he'd keep on going, not by relying on his superhuman powers but by getting by with sheer determination along with the love from his family and friends. Thankfully 'Spider-Man 3' didn't stray too far away from the comic books that it was based on, and was one of those movies that really make you stop to think about the fairness in life. It strives to be more than it is and in most cases, that's exactly what it does. As Stan Lee would say himself, ''Nuff said!'",9,1,4,8 May 2007
