movie_title,title,review,rating,helpful,total,date
Mission: Impossible III," Same Old ... Stuff
","Mission Impossible III (Roman numbers, no less) is a standard action film with lots of stunts and non-stop .... well, action. Action is the key word because if you're looking for character development or deep meaning, you've checked out the wrong film.Tom Cruise plays an agent in the Impossible Missions Force, which puts him in the same league as Team America. His mission, should he agree to accept it (duh), is to take down an evil arms dealer and recover 'The Rabbits Foot.' No, I'm not making this up.My biggest problem with this film is that it offers nothing new. We've seen this picture under different titles about a hundred times. It's standard fare all gussied up with clever stunts and computer animation.Tom Cruise isn't my idea of an action hero. He's too short and not rugged enough. He was terrific as the creepy hit-man in 'Collateral,' but he doesn't project as the larger than life character necessary for this type of film. Philip Seymour Hoffman is the evil arms dealer, which is another stretch. Ving Rhames and Laurence Fishburne play minor parts in what amounts to casting overkill.MI3 is decent entertainment and not the worst way to spend an evening, but if you're expecting to see acting that's above the cartoon character level, you'll be disappointed.",6,0,0,3 November 2006
Catch Me If You Can," DiCaprio makes up for 'Gangs ...'
","This is a very funny comedy/drama about a young kid who goes on a binge around the country posing as an airline pilot, doctor, and lawyer.  Expertly directed by Steven Spielberg, this is one of his finest, and shows a side of him I didn't think was there.Leonardo DiCaprio plays Frank Abagnale, Jr. and Christopher Walkin plays his father, Frank, Sr.  The two are an absolute gas together.  Senior's life is going down the tubes - his business goes under, the IRS is harassing him, and his wife leaves for another man.  The happy home young Frank knows is no longer there.  The father gives a healthy disrespect for the law and authority to his son, so young Frank decides one day to pose as an airline pilot.  He learns how to make fake identifications and phony airline checks, and off he goes.  In short time, he's living the lifestyle of a swinging bachelor, even though he's still a teenager.  He gets away with it because he's a great con artist and thinks quick on his feet, and he's so good at producing fake payroll checks that the FBI is soon on his tail.Tom Hanks plays the FBI agent after DiCaprio, and he does his usual superb acting job, playing the agent as a determined loner.  Without giving up the details, Hanks eventually catches the young man, who after exhausting his airline pilot facade has gone on to pose as a doctor in charge of an emergency room and then a lawyer.  The kid is so good at what he does, that the FBI hires him in lieu of a stiff sentence so that he can teach them how criminals manipulate the banking system.This film is absolutely charming.  The acting is great and the viewer is enthralled at the amazing exploits of this young criminal.  Walkin in particular deserved an Oscar (he was only nominated for best supporting actor).  His manic character and determination are the inspiration by which his son embarks on his adventurous life of crime.  And after his disastrous performance in 'Gangs of New York,' it's nice to see DiCaprio rebound with a winner.",8,1,2,21 July 2003
The Ring," I always knew my tv would get me.
","This is a very scary film about people who die seven days after watching a mysterious videotape.  It's been compared to 'The Sixth Sense' and that's a fair statement.  Both films involve death and extrasensory perception, and both involve someone reaching out from the grave to the living.The story is about a reporter, Naomi Watts, who discovers that her niece died at the exact same moment as her boyfriend and another couple.  Upon some investigation, she discovers that all four watched this videotape together.  She tracks the tape down and watches it herself, and then the phone rings and a little girl's voice tells her she has seven days to live.I don't want to give away any more of the plot or the ending, but suffice it to say that it's a scary ride.  The mood of the film is enhanced by the spooky images throughout, of scenes where time is warped.  You're given little clues during the woman's search for what's behind the video, but the ending is surprising nonetheless.It's a good horror film.  And wouldn't you know it, about five minutes after I turned off my television set and was standing alone in an empty house thinking about what I'd just seen, the tv turned itself back on ...... (true)¦^Þ",8,1,1,5 August 2003
How to Lose a Guy in 10 Days," How to lose an audience .......
","I'm sure you know the basic premise of this movie:  girl gets assignment to write an article on how to lose a guy in ten days, guy takes a bet that he can make any woman fall in love with him in ten days.  Nice setup.  So, why aren't I laughing?This is a classic battle of the sexes, mistaken identity comedy, the kind audiences have been entertained by for centuries.  I kept thinking this was a 60's movie, that Audrey Hepburn and Cary Grant or even Doris Day and Rock Hudson would have taken the premise and made into a classic out of it.  Was it just the actors?Matthew McConaughey is a very handsome man, but he's not a very good actor. He delivers his lines in a steady monotone, as he does in pretty much every movie I've ever seen him in.  There's no inflection in his voice, and he doesn't know how to milk a scene, which is necessary in comedy.  He may be eye candy for the ladies, but the movie flatlines every time he's on the screen.Kate Hudson is a pretty good actress - you can really see her mother's influnce on her comedy skills in this movie - but she can't carry this film. For one, her character lacks a foil to work off of - McConaughey is much too serious.  Plus the script has her being a bit too obnoxious for my liking.  There's a nasty edge to the plot to dump her guy, and that just doesn't work in a comedy.If this were a 60's movie, you'd have an entire ensemble of comedians playing secondary roles, like Paul Lynde or Thelma Diamond, to keep the laughter going.  But here, the supporting cast draws a blank.  Hudson's boss at the magazine should have been played for humor, but instead she's mean-spirited and controlling.  The two female rivals at McConaughey's advertising firm are conniving and hard.  The only bit players who understand this is a comedy are Robert Klein and Liliane Montevecchi (the jeweler's wife).As a love story, it doesn't really work either because you're left wondering at the final scene where they reconcile on the Brooklyn Bridge whether these two really know each other.  I mean, they've been role playing the entire movie, and except for a brief moment at his parent's house, they really never let their guards down.  They look good together, and I guess in this modern era of movie making, that's supposed to be enough.Mildly entertaining and funny at times, but you'd have to consider this movie a failure.",6,1,2,20 July 2003
Insomnia," Suspense thriller delivers.
","Al Pacino plays Will Dormer, a Los Angeles detective sent to Alaska to investigate a local murder.  He and his partner are under investigation by Internal Affairs and their captain decides they need to get out of town for awhile.  Christopher Nolan ('Memento') directs this remake of a 1997 Norwegian film of the same name.  The title refers to the fact that they're so far north that there's 24 hours of sunlight in the summer and it's hard for newcomers to sleep.Pacino plays a familiar role, that of a world-weary cop (see 'Heat'), but he's so good at it I didn't mind.  During the course of trailing the killer, he accidentally shoots his partner who came up from LA with him.  The situation is complicated by the fact that his partner was about to testify against him for planting evidence on a murder suspect.  Dormer can't tell the truth because no one will believe him so he lies, and the lies lead to more lies and more bad police work.Other actors who turn in good performances are Robin Williams as the wacked out killer.  I never would have guessed it ten years ago, but he's turned into a pretty good character actor when it comes to creepy parts.  Hillary Swank stands out as the local police officer who idolizes Dormer - she studied his casework while in the academy.  She's young and idealistic, everything Dormer used to be, and it's interesting to see the interplay between the two as Dormer tries to hide what he knows she's going to find out eventually.The cinematography is excellent - Wally Pfister returns from 'Memento.' The Alaska scenery is overpowering, perhaps suggesting the smallness of the people who live there.  The constant daylight interspersed with dreary rain and fog accentuate the state of mind Pacino's character is going through, the mental deterioration from lack of sleep and the stress of having to hide the facts about his partner's death.  There is never any night time, and despite the attraction of the younger female cop, no romantic interest to help him forget.  It's just Pacino getting more and more stressed out.
I really enjoyed this film.  The direction and acting were excellent all around.",8,0,0,24 August 2003
A Bridge Too Far," Ridiculous World War II drama.
","This silly tripe is about a failed Allied attempt to seize the bridge at Arnhem during the fall of 1944.  If successful, it would have opened up an invasion of the Ruhr Valley in Germany and ended the war earlier.Made during the mid-Seventies, this film reflects the anti-war sentiment of the time.  The generals are depicted as inept and cowardly, the Allied armies disorganized for the most part.  It does reach back to the gung-ho war pictures of the John Wayne era in an attempt to pump some bravado into the action, but the dialogue is so ludicrous and the characters so transparent that it all falls flat.  The scenes with Anthony Hopkins are painful to watch, and can anyone believe Robert Redford as an Army major who says 'please' when rallying his troops?William Goldman has written some excellent scripts, but this one was just terrible.  And who knows what director Richard Attenborough was trying to say.  Maybe his cameo as a lunatic in the woods razzing the British Army was the hidden message.",4,12,31,29 December 2003
The Lord of the Rings: The Fellowship of the Ring," Spectacular adaptation of Tolkien's trilogy.
","Some movies are to be avoided because they can never live up to the book, and since 'The Lord of the Rings' is one of the finest novels ever written, I have to admit I put off seeing this movie for a long time.  The second installment is out on video now, so I felt compelled to give the first one a go.  Boy, was I pleasantly surprised.This is without a doubt one of the greatest films ever made.  The story is a simple one - evil is upon the world and a small band of do-gooders must venture out to save the world from enveloping darkness.  Good versus evil, pretty basic stuff.But it's much deeper than that.  'Lord of the Rings' takes on religious meaning, as temptation, envy, spirituality versus materialism, the fellowship of man, and many other themes play out in this story.  It's part fairy tale but it's also an allegory of modern times.The cast of actors was well-chosen for their ability to portray characters whose personal traits are out in the open (this isn't a film for Brando-ish displays of angst and emotion).Ian McKellen is the gruff but wise old wizard who shepherds the fellowship through trials and tribulations as they journey to bring the ring back to where it was created.  Elijah Wood plays a wide-eyed young hobbit named Frodo (nephew of Bilbo Baggins, central character in 'The Hobbit' - Tolkien's prelude to the Ring Trilogy).  Frodo is the ring bearer, the individual who's been entrusted with returning the ring to be destroyed so that evil forces may never again use it's power.Viggo Mortensen plays Strider, the Ranger who's trekked all over Middle Earth and who's the perfect guide for Frodo and his band.  He's one of the humans in the group and displays familiar emotions for the human viewers/readers to connect with - sadness over his lost love, bravery in battle, a kind of regal bearing (he is, after all, really Aragorn, heir to the throne of Gondor).Hugo Weaving (Agent Smith in the Matrix series) plays Elrond, leader of the half-elves in Rivendale, and displays a combination of authority and alien presence to make his part very believable.  Liv Tyler plays Arwen Evenstar, the lovely daughter of Elrond and the love interest for Strider.The Welsh actor, John Rhys-Davies, plays Gimli, a leader of the race of dwarves.  Cate Blanchett plays Galadriel, the elven Lady of the Woods, who also bears one of the original rings and who advises Frodo on what he must do to save all of Middle Earth from Sauren, the evil one.  And Christopher Lee is terrific as Saruman, Gandalf's mentor and head of the order of wizards who's gone over to the dark side and now serves the forces of evil.The cinematography (Andrew Lesnie from the 'Babe' films) is stunning and the special effects are seamlessly woven into the real pictures, much less intrusive than in any film like this that I've ever seen.   Peter Jackson's decision to make this film in New Zealand was a brilliant decision because the colors are so vibrant and the landscape foreign enough and without 21st century hindrances as to make it a believable substitute for Middle Earth.'Lord of the Rings' will probably go down in cinema history as one of the great ones.  It should appeal to viewers of all age groups as its story is timeless and transcends all cultural barriers.  A must see.",10,1,3,14 September 2003
Terminator 3: Rise of the Machines," Needless addendum to the series.
","This is a fairly entertaining sci-fi action film, but it pales in comparison to the original Terminator movies.  It's lacking in artistic direction and the cast is weak.  James Cameron is a terrific storyteller and takes care of the minutest of details, but here the events just happen without proper sequencing. Jonathon Mostow is in way over his head.  The acting is also a problem.  Arnold is good as the Terminator, but Nick Stahl is very bad in the role of John Connor.  There's nothing heroic about him at all.  Eddie Furlong was a tough kid and you could buy him growing up to be a leader of the humans in the future, but Stahl doesn't suggest anything other than a future 7-11 clerk.  Also, there's no Linda Hamilton character, no strong female lead - Claire Danes brings nothing to the table.  Kristanna Loken is alright as the T-X sent back to kill John Connor, but she isn't required to do much acting what with the computer animators doing most of it for her. Why did they make this movie?  There was nothing left from the second film that needed to be clarified, nothing here clever enough to add to the Terminator myth.  It was made only for the sake of money, but with production costs so high, even that didn't work.As a stand alone film, it's OK entertainment.  There's lots of action and the special effects are good.  There's even some humor written into the script.  But when you look at it in the context of 'T2-Judgement Day' it's a major disappointment.Thankfully, with Arnold as governor now, we don't have to worry about another sequel.  Even these producers couldn't be stupid enough to make a Terminator 4 without Arnold.",7,0,0,12 November 2003
U-571," Mediocre war drama.
","This film is about a mission to capture an Enigma code machine from a disabled German U-boat and it has its moments.  There are some exciting battle scenes and there are men acting bravely under duress, but the bottom line is it offers nothing that we haven't seen before in other movies.Matthew McConaughey makes an unlikely senior officer of an American sub who takes over command when the captain (Bill Paxson) is killed.  Harvey Keitel is the chief petty officer, an old salt who's seen action in WWI.  Jon Bon Jovi plays one of the seamen.  As you can see, this isn't John Wayne and Lee Marvin, it's MTV goes to war.The true story of the capture of the Enigma and the code book in 1942 actually involved a British commando team, not an American one as shown in this film, and there wasn't any dramatic confrontation with a German destroyer.  I know this is a bone of contention with the Brits, our stealing their thunder.The producers could just as easily made this film with a British cast and stuck more closely to the truth, but I think the criticism coming from across the pond belies a bit of insecurity from our allies.  It's only a movie.  It's a dramatization, not a documentary.  I've seen a number of British films where Americans are pointlessly made to look bad, so let's not make too big a deal on this point.Decent entertainment once you accept the unlikely group of seamen.",6,0,2,7 December 2003
American Beauty," Beautiful but flawed.
","I have a dichotomy of opinion on this film.  From an artistic standpoint, it's terrific.  The acting and direction are very good, and the story line is clever and interesting.  But the message underlying the film bothers me quite a bit.First the praise.Kevin Spacey is simply excellent as Lester Burnham, a middle-aged man drifting through life with no direction until he develops this crush on his daughter's luscious girlfriend.  All of a sudden, Lester develops character and some backbone.  He gets the inspiration to tell off his prudish wife (Annette Bening), a career-minded real estate broker who's sexually withdrawn from him.  He tells off the new personnel man at work and gets himself fired with a sweet severance package.  Lester begins working out, to develop muscles for his new crush, and starts smoking $2000 an ounce pot with the kid next door.  Kevin Spacey is tremendously funny in his understated way.  He isn't overtly hostile to others, but he defends his newfound freedom in the most subtle ways, like when he catches his wife cheating on him.Chris Cooper is also excellent as the ex-marine who moves in next door and immediately starts suspecting that there's something wrong with his goofy neighbor.  He's both a scary character as when he acts out against his son and a pathetic creature when he comes to Spacey for comfort. 
Annette Bening's performance is a little too on the surface - you don't get much insight into her character.  I didn't realize at first it really was her - I thought is was someone trying to act like Annette Bening.  Wes Bentley is very good as Ricky Fitts, the kid next door who develops a crush on Spacey's daughter (a high school goth who hates her parents).  His weirdness and emotional detachment underscore the central theme of this movie.Which takes me to the part I didn't like, the underlying message of this film.  If some future archaeologists ever uncover a DVD of this film, they'll have some real insight into why American civilization collapsed in the 21st century.  I mean, the negativity about family life and personal relationships is deadly.  What does this film say about how we picture ourselves?  That we're chronic screwups who can't relate to one another and that there's no hope for a familial relationship in our society?I was captivated by this film as I watched it, but it did leave me with an uncomfortable feeling when it ended.  It was as if some great force had sucked all the emotional life right out of the universe and all we were left with was moral equivocation, aimless thought.  Some people - well, a lot of people obviously disagree with my reservations (it is rated in the Imdb top 30), but I can't help but feel this film reflects poorly on our culture.",8,0,1,14 March 2004
