movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," The ending still gives me chills.
","When a movie goes mainstream, it usually gets criticized heavily; you just can't please everyone. If the haters could just get pass all the hype and whatnot - while having a sense of imagination - this movie is not bad as what they make it out to be. It IS scary. The documentary style was really clever, and it was definitely a key advantage in making this movie scarier than other horror movies. I thought the acting was pretty natural and made it believable.This movie isn't one of those horror movies where it flashes a bunch of graphic images or sound effects at you, but it does it calmly and effectively. The ending REALLY left me with chills. People without a wide imagination will probably not find this movie scary; that's too bad. Really, to also get the full effect, it's best to watch it in the dark with no distraction. They did such a good job that some people might confuse this movie to be real.I would skip Blair Witch 2, though; it was not clever or entertaining as the original. This movie will definitely put fear in people camping at night, or even worse - someone standing in the corner with their back turned (in a dark room); it was that effective.",8,0,1,25 March 2006
Scarface," Definitely a classic. They can't make it like this anymore
","Took me all these years to finally see this classic film, even though everyone, even those who have never seen it, should know the famous 'Say hello to my little friend' line. The film is almost 3 hours, which seems like it would be a drag and way too long to sit through, but it actually went by faster than many dumb films these days with no substance.Of course, Al Pacino's performance is perfect and amazing as Tony Montana. You can't help but like the guy... he's not just some straight out one-dimensional vicious killer, but he is a guy who isn't afraid to be truthful and not be a 'cockroach'. He has some limits to his morality of not killing kids; wants to value his family, but at the same time wrecks it with no self-control. He's overly protective of his little sister that he would kill anyone for her. The biggest threat to him was himself. What's very interesting is how the film is able to capture the crippling decline of what happens when money and power/control gets to you. It's not just some shallow dumb movie shooting random bad guys that many action films is only able to do and there's no character.Tony Montana, 'Scarface', is a household name now because it's all about the depth of the character. Even the side character's like Michelle Pfeiffer, Gina, Manny, they all have character in them. I read some negative reviews from some people saying how the film is just about violence and degrade women, etc. and that it has no story... boy, are they wrong and only seeing it on the surface. Got to love the typical 80's overused montages. Haha They can't make films this raw and violent... the 80's really knew how to do it, like Robocop. Near the ending, pre-Terminator (T-600?) makes a cameo. Haha",9,2,4,10 July 2016
Mission: Impossible III," A third sequel better than the rest?! The BEST Mission Impossible yet!
","When it comes to movies hitting into their third sequel, it's usually the worst/inferior/disappointing or just simply utter junk for production companies to milk more money out of the name (Robocop 3, Jurassic Park 3, Terminator 3). But MI3 is surprisingly an exception! I have to say it's easily the most entertaining/thrilling out of the three and quite possibly the best one. I would say MI3 is definitely up there in the top action films.I honestly don't care for mindless action movies just bloated with action scenes one after the other--really takes a lot for me to be impressed by them--but I really enjoyed the action in MI3. It was really well-thought out. By the way, I'm not the type who only appreciates 'Michael Bay' flicks/action/teen/mainstream movies all the time. I do watch black & white films. Without giving too much away, the bridge scene was just the most intense. It was VERY exciting/entertaining to watch that scene. I was really impressed and engaged. What worked was it almost seemed like Ethan Hunt was really hopeless and didn't have a chance in this movie. It really was like his toughest mission yet.But what also worked was the story. It was actually quite clever and interesting for an action movie. Despite the villain's image, he definitely came off the most threatening and powerful.I also liked how it didn't go the typical cliché route in certain scenes (ticking countdown), with some unexpected results. This movie's got it all... the humor (about the 'little sister' joke and the 'We Are Family' music... that was great), action, story, beautiful international location shots... Maggie Q's sexy long legs in a dress and coming out of a Lamborghini Gallardo... you can't go wrong with that.I also watched 'Taken' (2008) before watching this movie and MI3 was miles more entertaining. No comparison. I honestly think 'Taken' is overrated. The premise were actually similar for both; a 'retired expert' gets back on his job to go after a kidnapped loved one. The action scenes in 'Taken' honestly did not excite me as it did with MI3. And there was no thrilling moments because the lead character for 'Taken' would just always kick butt; but like I said, Tom Cruise really had a challenge up against the bad guys in this one.Every MI movie has had a different director, and I'm not surprised the next MI4 will be directed by the same one as this one. I'd say it was definitely a success. Don't listen to the haters. This one is definitely worth checking out. I highly recommend this if you want to enjoy a very entertaining action movie with great action sequences--with a pretty clever story. If you have a nice surround sound and HDTV, this movie is definitely a must have too.",8,1,3,6 September 2009
United 93," Propaganda Film
","I watched this movie years ago before I started to listen to conspiracy theorists and then did my own research.If you take facts from a Hollywood movie and an administration that have been caught lying about WMD, scapegoat Bin Laden, the anthrax scare, illegal torturing, etc. -- then you're living in a fantasy world.Notice how Bush, Cheney, and many of his supporting puppets, like Giuliani, can't keep up with their lies. Their lies are clearly on tape numerous times when they are interviewed. They will simply deny the truth just like people who don't question anything about 9/11.The fact is, it's not only 'conspiracy theorists' wanting the truth just because (according to anti-truthers) 'they just crave attention'. Many family victims and soldiers fighting in Iraq question 9/11. People that easily accept the government's story cover up are the ones who are going against all the people that died in vain.What are we fighting for? For our safety? How odd that our country, considered to have the best defense in the world, and a building called the Pentagon, undeniably having one of the top securities/defense itself -- even when the whole nation is on alert and having very similar drills exactly an year before -- is still attacked by a group of 'terrorists' said to be terrible pilots (could not even fly a single-engine plane, yet somehow pulled off impossible maneuvers at low altitudes with a 757, after supposedly knocking over poles); a 'mastermind in a cave', are able to pull this off -- all on the same day. Yet, some people laugh more at the idea that it was a work of a CIA? Hmm. Many people know the name 'Bin Laden' after 2001. It's become a household name. But you'd be surprised how many people, many of whom that just don't question, still don't even know that a third tower, World Trade Center 7, even collapsed; since it was not hit by a plane -- like controlled demolition. And if they don't know that much, they probably don't even know it was the headquarters of the CIA (among others, FBI, DoD...) When you really look at 9/11, there are smoking guns at every corner. Laws of physics being defied. No dead bodies at the scene. There are many questions unanswered, key witnesses mysteriously dying, evidences being hidden -- like many surveillance videos being confiscated showing no Boeing 757 -- yet it's more tragic that there are still people out there that don't question at all, and rather support towards shutting out the truth by supporting the government's story; or just simply lost interest all together because of other media distractions, such as more important things like, 'Would Paris Hilton be okay in Jail?'.The fact of the matter is, saying it's a 'conspiracy' is considered taboo, so people just shut them out right away. Some people just can't handle the truth. They rather live a lie and ponder over more: 'Who would win the next American Idol?' I thought wow, United 93 is a powerful movie, especially the last few minutes. No question. It's a well-made fictional movie. But what this is, in end, is nothing but propaganda.We mostly watch movies for entertainment -- to make us feel happy, laugh, and be sad, etc. -- and if you want entertainment to simply make you feel sad or angry, then this movie can be it. However, just keep in mind this is not a documentary, and if you feel anger after the movie, in reality, the people that we should be 'mad as hell' at are not the 'terrorists' depicted in this movie. We have traitors in our country committing mass murder and getting away with it.Todd Beamer's 'Let's Roll.' (by the way, there is no recording of that account) -- it was the perfect heroic image the government needed, just like the Jessica Lynch rescue (it is a fact that the government/media manipulated that story). The 'Bin Laden' image for the 'terrorists' was also the perfect scapegoat. It is also sick that Todd's wife, Lisa Beamer, is capitalizing on her husband's death and catch phrase.History repeats itself. Nazi's Enabling Act 1933 and Patriot Act 2001. Reichstag fire and 9/11. Scary, isn't? Take truth as the authority, instead of authority as the truth.",1,30,70,8 May 2009
Minority Report," A Powerful yet Entertaining Film. A Masterpiece. A spectacular look of the future!
","Forget those BORING Star Wars and Lord of the Rings movies... MINORITY REPORT is what you need to see for excitement and a good story to keep you focused in. This movie will all you'll be thinking about after watching it.Easily one of the best movies ever! The story was brilliant and very original, something we've never even imagined of seeing. The movie is never predictable, many scenes shocked me with amazement giving me chills throughout the movie. Very exciting and highly interesting story with spectacular gorgeous special effects. I enjoyed even just watching the futuristic surroundings. And I thought the future world in 'Back to the Future: Part II' was amazing and then when I saw A.I, but WOW, wait till you see Minority Report!The action scenes were thrilling and very intense (I enjoyed every second of it) as well as the story! There were many dramatic moments which I liked but still had good humor in it.Speilberg likes to extend his movies a lot until he can conclude it entirely without leaving you hanging. You think it's about to end but it keeps going and I think people didn't like A.I as much because it overextended (fairy scene). But in Minority Report the ending was good, not too disappointing after all the anticipation for this movie, I thought he ended it well. A solid movie from beginning to end.I wouldn't recommend taking your kids to see this movie at the theaters, the action might seem great to them but I think the story would be confusing for them and Minority Report had some sexual scenes and some language (I remember Tom saying the 'F' word). In the other hand A.I was more 'Disney' like so I think little kids would like that better but thank god Speilberg made the elements for Minority Report for older audiences.I thought A.I was kind of mainly for kids and Minority Report is great for adults. Don't worry if you were disappointed with A.I (I thought A.I was good but the ending was too Disney like), you'll definitely enjoy Minority Report all the way through or at least I did.Don't think the movie will be really really really really good cause sometimes when you have high expectations for it, it usually ends up less good and you'll end up being disappointed. But I don't know, I knew this movie would be good and it ended up being good so I guess there's an exception for this movie. (Just saying because I expected too much for Spider-Man with everyone saying it's really good and seeing the rating on IMDB also. Then after seeing it I was wondering what was so good about it?)The movie is 2 and half hours long, there are a few slow downs so you have to be patient sometimes! But there are many exciting moments between them.
Minority Report is definitely this summer's blockbuster, could be Oscar material. Even those two critics that complain a lot gave it Two Thumbs WAY UP and called it a masterpiece. This movie is already top 100 on IMDB.What more can I say... Go see this movie! Definitely worth the money.Words can't describe this movie, you have to see it for yourself!I can't wait to buy this on DVD. I think Speilberg and Cruise should work together more and Speilberg should make more futuristic movies!Tom Cruise and Steven Speilberg both proves again they are one of the best actor/director with this movie.Overall Rating: 9/10",9,0,0,26 June 2002
A Star Is Born," Definitely overrated. Not really a story - A Concert Movie.
","People overhyped this movie too much. This movie is definitely overrated. Bohemian Rhapsody has a lot of praise too but that one actually lived up to the hype. If you have better things to do, avoid this as it will be a waste of your time and you'll constantly be looking at your watch/time.The movie is honestly really boring/slow/predictable. It's more of a promotional concert/music video than a storytelling movie; surprisingly, on the other hand, Bohemian Rhapsody doesn't drag it to make it a musical/concert but more of a storytelling - that's what makes that film more entertaining.The romance between Bradley Cooper and Lady Gaga is extremely forced from the beginning and not heartfelt/romantic at all - I'm sorry but this is no Jack/Rose chemistry.If you actually bought the romance between the two stars, you probably believe in the 'romance' between Chris Pratt and Jennifer Lawrence in Passengers. They're both very superficial.While I did like the music and there is a sad moment, it doesn't merit the praise it is getting because overall the movie really is dragged out about really nothing.There is some theme about alcoholism and mental stability, but I believe that part is a major afterthought/falls in the background and the movie is spent too much time on the concert/music performances. Overall it's more of a superficial film.If you had a choice between this movie and Bohemian Rhapsody, definitely see Bohemian - that one is a must-see performance/story wise. I think people are overpraising Gaga's performance too; I mean, we've seen it from Cher and even Mariah wasn't THAT bad in Glitter.",3,6,12,24 February 2019
Passengers," Predictable. Unoriginal. Uninspiring. Cheesy. Bad Casting. One time watch.
","I gave this movie a try because while the critics gave it a harsh score, there seems to be quite a bit of positive user reviews - it currently has a 7/10 - well, the critics were right this time. I can't understand the positive reviews by the regular users... The movie is so predictable, cheesy, and dull. No real smart thrills or twists. Just plain point A to point B. It must be the kids of this generation that haven't seen many films enjoy this movie, while critics and avid movie watchers have seen this movie before. It's many ideas stolen from Wall-E (2008), Gravity (2013), Interstellar (2014), The Martian (2015)... but done on the IQ level of the movie Transformers; it seems like a grade school student wrote this film. The story is generic and uninspiring. The pacing is awful. It's just so cheesy and predictable ('Oh Mr Robot, please keep this a secret.... I'm positive you won't tell anyone but I feel like telling you anyway just to get some twists going') - there is no shock value or real thrill to the film. The plot seems more like a short story TV episode where they dragged it out with pointless scenes like virtual dancing, basketball, and swimming. The movie probably would have worked as a 30 minute short film story, but it's dragged out to 2 hours of unexciting bad pacing fill-ins. I saw this film in 3D (being a big 3D fan), and you'd think even the most mundane scenes would still be more enjoyable because of the 3D advantage, but it wasn't. I know the movie 'Gravity' actually has a pretty dull 'story' as well, but at least the 3D for that film was spectacular and thrilling. The script was bad enough, but the casting is probably worse; Chris Patt and Jennifer Lawrence is like the most superficial horribly balanced combination ever. You just can't sympathize with them. There's also nothing romantic about with the chemistry/setup with the characters, especially from the script - both have done creepy actions. While Chris's action may be unforgivable, how could one fall in love with someone who goes complete psycho ape sh*t kicking your face and everything? It would have been more interesting to have Chris react differently towards the Bartender after the 'incident', but a wasted opportunity yet again because the movie always likes to play it safe. This is one of those rental movies where watching it once is enough and is pretty forgettable.",5,1,2,15 June 2017
Spotlight," BOOORING AS A FILM.... Robbed an Oscar just for the subject matter.
","So I watched this on the plane, had plenty of time to kill, because it won an Oscar, yet it was as exciting as watching paint dry...We get it that the subject matter is controversial and it's an 'important event' in reality. THAT DOESN'T MEAN IT MAKES IT A PLEASURABLE ENTERTAINING FILM (and no, I don't need Michael Bay or ridiculous 'Taken' action sequences; I'm looking for a story that has great build-up, brings in different emotions, blows my mind or puts me on the edge, etc). You say 'WHAT?! You don't find people in the church raping young children finally being exposed by a local newspaper move you in anyway?!' The real-life story/subject matter, yes... but NOT this film. If your 'enjoyment' is just observing a depiction of what we already knew and was established, then this is for you.There really are no satisfying or shocking moments/ending. What you see is what you already know... you don't really get anything out of it. The journey does not flow well. How can anyone find this movie 'shocking' when we already knew about the premise and it really adds nothing new to it? I mean, for a movie like TITANIC, we KNOW the ship is going to sink, but the EXPERIENCE of the film made it worthwhile. Spotlight fails on the EXPERIENCE. It is as boring as observing a meeting at an office. For this to win an Oscar just meant they like to give awards to the 'underdog' or just simply because of the controversy subject matter.This film is on the same level as when 'The Artist' won Oscar - another overrated boring film (probably forgotten by most people by now; as much as I can enjoy black and white films) - which just simply won more for the IDEA than the quality of the film. Skip it.",1,29,78,23 May 2016
Ready Player One," GUNDAM!!!!!! Fun times at the movies - Willy Wonka Meets Wreck-it-Ralph
","I saw an early screening of this last week. I've never heard of the book before, but I am a fan of movies, 80's, retro games and this being directed by Spielberg finally got me interested in a movie I would actually watch these days. The movie runs 2 hours and 20 minutes (almost 3 hours) but it doesn't feel long at all as it doesn't drag much (maybe around the 3rd part it slows down) This movie basically reminds me of Willy Wonka meets Wreck-it-Ralph. Instead of a candy factory, the competition deals with a virtual reality 'gaming' world where the first one to find all 3 secret 'easter egg' keys would become ownership of the world. It is actually perfect timing today and not too far fetched with all the VR technology and avatar/gaming society going on. I wouldn't say the movie is powerful or intense on the level of Spielberg's Minority Report, but the movie definitely does have its moments, especially the beginning racing scene. The movie is definitely a must-experience in theater, especially with the thunderous Dolby Atmos pounding the chairs when the T-Rex from Jurassic Park and King Kong is smashing everything. The most exciting, interesting, fun parts of the movie is when you see all these nostalgic iconic things appearing on the screen at the same time; I wish the whole film could just be that.The movie will be more enjoyable if you've seen or know anything about Stanley Kubrick's 1980 horror film The Shining. The best parts for me was definitely the beginning racing scene (the Delorean, but I wish it would have actually flown too instead of just being grounded most of the time driving), with Jurassic Park and King Kong; The Shining; and last battle where Gundam shows up did give me slight chills. I saw Chun Li, street fighter characters but they were so brief, like it would have been cooler to see more of those iconic characters fighting. The final battle, there's too many characters on screen at once, it's too hard to spot what they are. Goro from Mortal Kombat is in it. There's a lot well known soundtrack in this movie, even the original Japanese Godzilla theme song was a nice touch. One thing I found odd was how it seemed like this IOI company was the mafia and running all these drones around the public and suddenly at the end the movie, we find actual police officers existed in the movie... like where the hell were they this whole damn time??? I wish we could see more of these nostalgic infused character types of movies. I wish they would have had Johnny Five from Short Circuit or Robocop.... come on that's 80's!! Maybe they couldn't get the rights I guess.While the movie is enjoyable, it is typical Spielberg campy family-Disney ending with a pretty goofy villain. There's a cute 'twist' but not really any major shock when it comes to the plot. Overall though, it's a movie worth checking it out in theaters, IMAX, 3D, Atmos, the best you possibly could.",7,0,1,29 March 2018
Lost in Translation," The biggest star in the movie: Japan
","This has to be one of the most overrated movies. Yes, it is shot beautifully, but it is because it takes place in none other than - Japan. If they were to take the same story and then film it in America, I guarantee you - it would not be praised this much. Don't get me wrong, I give credit to Bill Murray as well; if it wasn't for him, I'd probably fall asleep during the movie. He added the subtle comedic act - not too forced - which was good for me (I hate forced humor like in movies such as 'Along Came Polly' or 'Scary Movie 3') to make me laugh a bit. If this movie didn't have that, then it would've been really dull and boring, since the story wasn't doing it and neither was Scarlett Johansson's character (Charlotte). Even Sofia Coppola (the director) mentioned how she wouldn't have made the movie if Bill Murray were to decline the part - surprise surprise.People who love this movie say there's much more to the story, but there seriously isn't much going on! (Some audiences just like to create their own imagination/story than what the movie is actually showing) The story is just plain and simple. Basically, it's just two lonely Americans connecting together in Japan. Great. Who doesn't get lonely when they're far away from home or a loved one? I could only come up with these reasons why people love this movie:1.) The viewer has never traveled to Japan, so watching this movie was exciting to them. Or the viewer just has a love for Japan. 2.) The viewer has/had their own lonely mid-life crisis and can/could relate to the characters. (Even though the story is just so brief and simple... hmm, they must get easily touched.) 3.) The viewer likes the 'real-life' style of the movie with slow pacing, unlike the typical Hollywood look movies. Kind of like films such as Magnolia and Punch Drunk Love. (I do like this kind of style... but the story was just not there.)4.) Fan of any Bill Murray movie. (This one is lame--I know, but there are hardcore fans out there)If you have some time to waste, then you'll probably have the patience to watch this entire movie. But if you don't - don't watch it. It will feel like it just drags on and all you could do is sit there and wait for something to happen - nothing mind blowing will ever happen in the movie! (Unless you consider a Japanese strip club with business men as shocking). And as I mentioned before, if you don't have the money to travel to Japan; or have no clue what Japan looks like (and would like a general idea); or just have an interest in Japan; then you might enjoy this movie, since you might feel like you're traveling with the characters. But that's about it.Actually, take a trip to Japan and visit Shibuya, Tokyo (there is a short scene in the movie) and just stand there - you'll see more stuff happening there than in this entire movie.Oh, about the whole hotel shower scene in the beginning where Bill Murray is supposedly too tall for it... he could've just adjusted the thing even higher! He just stopped it half way! And one more thing... please - it's 'Moshi moshi', not 'Mushi mushi' like some idiot in the movie was saying.**** Some minor spoiler: To people who saw the movie *** Seriously, what is so beautiful about the STORY? Charlotte is a snob who attended Yale and thinks low of others. It seems to me that she was only interested in Bob Harris (Bill Murray's character) because he was a star. And yes, she knew fully well he was a star. I really doubt she would've approached him if he was some stranger. And as for Bill Murray's character, he did end up cheating on his wife by sleeping with an old lady! I mean, come on.... what was that all about?!The ending just had no meaning... I doubt their experience together changed them. It was basically a 'one night stand' kind of thing... yeah, isn't that beautiful? Others can disagree with me, but that is what the movie is SHOWING. So the only beautiful thing about this movie were images of Japan. That's it.",5,3,6,4 September 2005
