movie_title,title,review,rating,helpful,total,date
Despicable Me 2," Very amazing
",Very amazing. Very good. Very good. Very well. Beautiful,10,0,1,18 May 2020
Antz," I don't like this
",Don't like this movie because i hate so much insectos,3,0,0,18 May 2020
One Hundred and One Dalmatians," A beautiful movie
",A beautiful movie. Dog's movie Always better than humans,9,0,0,15 May 2020
Mulan," Nice
",This movie of princess is nice but without funny. Is without carism,7,0,0,16 May 2020
Madagascar," Very well
",This animation is very well. All characters are amazing,10,0,0,17 May 2020
Rise of the Guardians," This animation is so wonderful
",This animation is so wonderful. Is very beautiful. All characters is very beautiful,10,0,0,17 May 2020
The Jungle Book," A wonderful movie
",A wonderful movie. Characters magnifics and musics too,10,0,0,15 May 2020
Moana," This princess is so funny
",This movie of princess is so funny and beautiful. Great plots,10,0,1,16 May 2020
Megamind," This animation is amazing
",This animation is so wonderful. Is very amazing. All characters,10,0,0,17 May 2020
Tangled," My favorite movie of princess of Disney
",My favorite movie of princess of Disney. All characters of film is magnific.,10,0,0,17 May 2020
Over the Hedge," Is very amazing
",This animation is so wonderful. Is very amazing. Very well,10,1,1,17 May 2020
Madagascar: Escape 2 Africa," Worst than the fist
",This animation is worst than the first but is Nice something,7,0,0,17 May 2020
Shrek Forever After," Worst of the shrek
",This animation is worst of the series of movie shrek,5,0,0,17 May 2020
Wreck-It Ralph," Perfect
",This animation is perfect. Vennellope is my favorite characters of Disney. Is so cute,10,0,0,17 May 2020
Cars," Very well
",Very amazing. Very good. Very good. Very well. Beautiful,10,0,0,18 May 2020
The Little Mermaid," A beautiful movie
",A very beautiful and funny movie. Ariel is so funny and beautiful,10,1,1,16 May 2020
Bolt," Very amazing
",Very amazing. Very good. Very good. Very well. Beautiful,10,0,1,18 May 2020
Frozen," This movie is perfect
",This movie is very perfect. Olaf is magnific. Dubbing FÃ¡bio Porchat is wonderful,10,1,1,16 May 2020
Cars 2," Good
",Very amazing. Very good. Very good. Very well. Beautiful,8,1,1,18 May 2020
Shrek the Third," Continued amazing but
",This third movie of shrek continued amazing but worst than first and second,10,0,1,17 May 2020
Brave," Merida is so perfect
",Merida is so perfect. I Love This movie. Is epic. Very beautiful,10,0,0,16 May 2020
Shrek 2," Is better than first
",This movie is better than first. More funny. Very amazing,10,0,0,17 May 2020
A Bug's Life," Don't like This movie
",Don't like this movie because i hate so much insectos,5,0,1,18 May 2020
Puss in Boots," Spin off strange
",This animation is a spin off very stranger. But is good,8,0,0,17 May 2020
Snow White and the Seven Dwarfs," This movie is incredible
",This film is incredible. Walt Disney is a genius. The film and the characters are beautiful. Very striking and classic this film,9,0,0,14 May 2020
Finding Dory," Very amazing
",Very amazing. Very good. Very good. Very well. Beautiful,10,0,1,18 May 2020
Despicable Me," Amazing
",Very amazing. Very good. Very good. Very well. Beautiful,10,0,0,18 May 2020
Shrek," A classic animation
",This animation is a classic. Is perfect. Donkey and shrek are amazing,10,0,0,17 May 2020
Monsters University," Very good
",Very amazing. Very good. Very good. Very well. Beautiful,10,0,0,18 May 2020
Cinderella," Movie wonderful
",This film is very very wonderful and Magic. Various characters are iconics. Bibidi bobidi Boo,10,0,0,15 May 2020
Minions," Amazing
",Very amazing. Very good. Very good. Very well. Beautiful,10,0,1,18 May 2020
Madagascar 3: Europe's Most Wanted," Worst than the first and second
",This animation is worst than the first and second movie,6,0,0,17 May 2020
Pocahontas," The second worst movie of princess disney
",The second worst movie of princess Disney. Boring.,5,0,4,16 May 2020
