movie_title,title,review,rating,helpful,total,date
The Lobster," Rule-keepers are the Best Killers
","There are those who love rules. However, they mostly want others to live by them, not themselves. This is the premise of The Lobster where bizarre rules reign. Among them is a rule that if a spouse dies, then another spouse must be chosen - in a controlled environment and among slim pickings - within 40 days. Failure results in being turned into an animal of your choice. Of course there are exceptions. If you kill someone, you get an extra day. In such an Alice in Wonderland type atmosphere it is only the keepers of such insane rules who thrive.These rule-keepers rarely have a heart or any empathy for others. Rather, they are the best killers. Colin Farrell, Rachel Weisz and John Reilly play characters that are caught up in this nightmare. I loved the theme of the story and the characters, yet I thought it was disjointed, awkward and too far-fetched even for me (a lover of such Kafkaesque settings). I may not have been in the right frame of mind going into the film or as convinced, as those at Cannes who gave it a jury prize, that the characters are motivated by fear. A very imaginative and interesting film overall despite the shortcomings. TSeen at the Toronto International Film Festival 2015.",7,3,10,8 November 2015
The Death of Stalin," Stalin would be loving it!
","Stalin would be loving it. In 1953 when he is found flat on his back and comatose, Stalin's corrupt, butt-kissing underlings cause chaos and terror with their plotting and scheming to replace him. Nightmares make more sense. Purges sweep away the unwise and unlucky, army and security forces vie for the upper hand, prison doors open and close, executions take place in broad daylight and back stabbing rules the day. This is political satire at its best.History, humor, brilliant quotes and somber visions about the past, present and future combine for a fantastic film. Truth is stranger than fiction, and one of the wonderful aspects of this film is how much the political trickery cuts to the bone. Vasily Stalin (the dictator's vodka guzzling son) gets on the podium, for instance, and military jets streak across the sky and drown out his speech. A planned distraction? Of course. Stunts like this could happen anywhere and are happening everywhere. The film rings true. It is an eye-opening and fabulous glimpse of the political underworld. This is how people get killed or locked away, when their stories don't fit. The actors are amazingly good, especially Jeffrey Tambor as Malenkov, Steve Buscemi as Khrushchev and Jason Isaacs as Zhukov. If you like politics and history as much as I do, you will love this. The film is in English and a variety of accents. This device (the various accents) heightens the aspect of chaos and confusion. Seen at the Toronto International Film Festival.",10,94,155,28 October 2017
The Big Lebowski," Time and Place for Everyone; Even the Dude
","Intruders break into the modest Los Angeles apartment of Jeff 'the Dude' Lebowski. He is roughed up, money is demanded of him that he does not have, his head is unceremoniously swirled in the toilet and the toughs threaten to return, but they have the wrong Lebowski! This simple case of mistaken identity leads to a comedy of errors involving a kidnapping, a million-dollar ransom, Jesus in a purple bowling suit, a duffel bag full of dirty undies, an attack ferret and even a spicy bowling themed dream sequence. The Dude is inept, lazy and hopeless, but there is a time and place for everyone. He is in way over his head, yet so is everyone else.
 
20 years after its release and the film still one of my all-time favorites. It was my first Coen brothers film. Their brilliance and originality is instantly recognizable. The story and characters are full of delightful depth and details, the writing is witty and consistently dazzling, there is never a dull moment, and on top of everything it is really, really funny. At times I could hardly breath I was laughing so hard. Among such moments is the confrontation with the ferret, the parking lot skirmish heart attack and the bowling rants and taunts of Jesus.
 
Finding balance is one thing the Coen brothers excel at. Each character has offsetting strengths and weaknesses, every setting is shown in wondrous light as well as the shadows, and nothing is beyond reproach. No one and nothing is put on a pedestal, or trashed without a fair fight. The casting of Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, Philip Seymour Hoffman and John Turturro is brilliant. The Coens have such amazing insight into the American character; rich and poor, country and city, women and men, and cultured or not. They cut across boundaries, religions, philosophies, regions and political persuasions, and they do it seamlessly and randomly as a tumbling tumbleweed and as unlikely as a bowling alley prophet!",10,1,4,8 March 2018
Fight Club," Lose Everything to Do Anything
","A restless and troubled man subscribes to the idea that 'the things you own end up owning you.' He finds liberation in letting go of fear, consumerism, rules and other forms of control. Pain has a way of focusing the mind, letting the chips fall where they may, and it becomes something that he craves. With like-minded individuals he creates underground 'fight clubs' where anger and depression melt away with severe beatings, increasingly extreme violence and virtual anarchy. By losing everything we are free to do anything. This is the mantra until he finds something he wants to hang onto.Fight Club is a shocking, quirky, raw, innovative and twisted thriller. It is well-crafted and fortunately I didn't figure out the drift of the storyline until the end. The film is more exhilarating for that. Fight Club is full of thoughtful quotes and inventive camera-work that provide pleasing depth. So do the performances of Edward Norton, Brad Pitt and Helena Bonham Carter. While it is awkward at times and stretches belief, stranger things have happened in real life.",8,0,1,17 October 2019
Akira," When Power Goes to the Head
","In an off-limits area of new Tokyo and the aftermath of World War III, a secret government project known as Akira is unraveling and a freakish stage of evolution is occurring. Rival motorcycle gangs, military special forces units, scientists, rebels and odd kids with supernatural powers, are among the groups clashing. Orders are to kill what cannot be controlled, yet few are in control of themselves. Into the void steps motorcycle gang leader Kaneda, a noble outlaw in the tradition of Mad Max, Motoko Kusanagi and Han Solo, to attempt to tie up loose ends.
 
This timeless, complex and thrilling animation masterpiece is as action packed as it is food for the brain. It is a typical Japanese dish; the artistry, attention to detail and manner in which it is prepared and served are as important as the taste. No corners are cut. To look away, even for a moment, means missing an essential part of the multi-faceted story. Akira is delicious for eyes, ears, brain and heart alike. After 30 years it aged well.
 
Akira revolves around questions of balance; those who absorb power without thought or principle, and those too cowardly to act. Decisions are made for those who do not make them on their own. The only foolish questions are those that are unasked.For a deeper experience, listen to the film in Japanese.",9,0,1,4 July 2018
Shakespeare in Love," Filling in the Blanks; Life of Shakespeare
","In London of 1593 an ambitious and talented young poet, Will, needs inspiration, characters, plot and muse for the romance he is writing. He finds everything and more in the shape of Viola, a mysterious and beautiful noblewoman in search of adventure, poetry and love. Viola, in turn, finds what she seeks in Will. When a jealous rival for Viola's affections, writers block, mistaken identities, a theater owner with a large debt to pay, and the Queen of England threaten to thwart the two lovers, Will begins to make up the story - what we now know as Romeo and Juliet - as things go along. Fact and fiction then combine, and it is hard to tell one from the other in this 'misshapen chaos of well-seeming forms, feather of lead, bright smoke, cold fire, sick health, and still-waking sleep.' (Romeo and Juliet)Shakespeare in Love ingeniously and indelicately adds touches of humanity, humor, intrigue and, of course, romance to the often stale and very limited facts that are known about Shakespeare's life and the history of Romeo and Juliet. In making Shakespeare fresh and interesting to a wider audience, and reading between the lines, the film won seven Academy Awards including best picture, actress, supporting actress, writing, music, art/set decoration and costume design. I loved all the nods to Shakespeare's actual work and true history. Gwyneth Paltrow, vivacious and charming, fits the character of Viola perfectly. Judi Dench plays the role of the sharp, caustic and quick-witted Queen Elizabeth equally well. Other A list actors include Joseph Fiennes, Geoffrey Rush, Tom Wilkinson, Colin Firth, Ben Affleck and Rupert Everett. It baffles the mind that this achieved an 'R' rating!",8,1,1,3 December 2018
The Secret in Their Eyes," To Fear and To Love
","A train departs a station in 1974 and two lovers, Irene and Benjamin, part before they come together. 'Te mo' is to fear and 'te amo' is to love. Love and fear at the same moment. This multi-layered, rich, brutal and beautiful film revolves around this dichotomy in many ways.Decades after the train left the station, Benjamin is unhappily retired from a prosecutor's office. He does not like what he sees in the mirror. An unsolved case, a savage rape and murder, weighs heavily on his mind, as does Irene. Benjamin and Irene worked on the case together and as it unraveled, so did they. So with more purposes than one, Benjamin resumes investigating the murder. New discoveries and different perspectives instill hope in Benjamin for solving the mysteries and memories that haunt him. People may change but their passions don't.The justice system is not clean or simple in any country, and this brilliant film reveals how complex and ugly it can be. The Secret in Their Eyes seamlessly combines multiple genres including crime thriller, romance and drama. There is appealing depth to the story, characters, themes, acting and photography. The characters, for example, are not one dimensional. They are vulnerable, make mistakes, regret choices and, in sum, are fully human. Themes revolve around memories, justice, love, vengeance and more. Soledad Villamil (Irene) and Ricardo Darín (Benjamin) perform amazingly well together. The chemistry is palpable. The film won the Academy Award for best foreign language film.",9,1,1,14 August 2019
My Neighbor Totoro," Enter Magical Realm
","It is a dream, and it is not a dream. Two girls, Satsuki and younger sister Mei, move with their father to a country home to be closer to their sick mother. The girls discover a magical realm full of playful, mischievous and child-like spirits. When their mother appears to be in deeper trouble, Satsuki and Mei set off on their own to see what they can do to help.Prepare for deep immersion in Japanese culture, together with its surreal magic, humor and charm! Combine this with the vivid imagination, wit, playfulness and vibrant artistic detail of Miyazaki and Studio Ghibli, and discover a film experience that will transport you to a parallel universe of fantastic sounds, colors and emotions. Enter mysterious forest shrines, dance in the moonlight, listen to the eerie chirp of cicadas and distinct calls from Japanese kites (hawks). See the camphor trees in all their shades, admire the wildflowers and the sky full of stars, and enjoy frequent baths and magical spells. The artistic detail of the animation is amazing to behold, even as early as thirty years ago; light and shadows in multiple layers and forms, reflections and glare in glass, translucent water, drifting clouds, the glow of twilight, astonishing sunrises and sunsets, complex angles of the sunlight, rainfall that mimics the real thing in sight and sound, a rich diversity of dragonflies and butterflies, and even multiple shades to the paint on the wall.Contrary to European culture, a haunted house (a sub-theme of the film) is not necessarily a bad or scary thing. Japanese spirits and demons are good or bad, or more often both, depending on the circumstances. Please listen to the film in Japanese, as the fastidious Miyazaki takes great care to choose the perfect voices. Plus it is rewarding to learn some Japanese (konichiwa! moshi, moshi!) The filmmakers must have spent time observing kids to know and reveal their antics so well. Released by Studio Ghibli at the same time as Grave of Fireflies.",10,0,0,19 April 2018
Juno," Snarky Serious!
","When Juno, a single and pregnant teenager, announces that she is 'losing faith in humanity,' her long-suffering father asks if she can narrow it down a little. This scene, as serious and poignant as it is funny and charming, provides a glimpse of the tone and tenor of the film throughout. Everyone, even a convenience store clerk, has something snarky to say. Tense situations are disarmed by humor and sympathy.Juno is obviously not ready to be a mother, yet she handles her situation with inherent panache and a curious blend of independence, optimism, sarcasm and diligence. In searching for a well-off and decent couple who will provide a good home for her baby, Juno displays more maturity than most adults. The childish antics of her elders and the serious nature of her situation cause Juno to do some serious soul searching along with attempting to discover someone who loves her for who she really is.Ten years after the release of Juno and it is still original, cute and exceedingly snarky. The untraditional plot and dialogue are refreshing. Ellen Page (Juno) carries not only a baby, but the film as well. She is a natural for such a role and perfectly cast. Michael Cera, Jennifer Garner, Jason Bateman, Allison Janney and J.K. Simmons are wonderful in their supporting roles. I wonder how much their future success depended on their roles here? Depth and nuance (beyond being snarky), however, are lacking. There should be plain English subtitles for the language of other generations, young and old (ha, ha)! Maybe the wait is another ten years for such an app.",8,5,6,2 December 2017
Don Jon," refreshing and absorbing
","Barbara has one rule. Don't lie. OK she has a few other rules that Jon Martello Jr., much to the amazement of those who know him, tries to live up to. His love of porn and a deeply libertarian lifestyle of course threaten to interfere with Barbara's vision. Both Barbara and Jon desire to put their partner in a box that they've built for themselves. This raucous, independent and truly funny satire of tough and sweet talking, sexually supercharged New Jersey hypocrites is a refreshing and absorbing debut by new director Joseph Gordon-Levitt. 'The larger conversation here,' Scarlett Johansson told the media in Toronto, 'is about expectations in relationships . . . and how men and women objectify one another and how this applies to intimacy too. . . there are healthy ways to enjoy pornography for couples.' Seen at the 2013 Toronto International Film Festival.",9,0,0,3 August 2014
