movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," Time to live
","Blade Runner 2049 is one of the best sequels of all time.Visually captivating and full of deep philosophical questions about the importance of human existence,it is a spectacle that nobody should miss.The universe is created really well and includes new ideas and machines beyond our imagination.That makes the film more intriguing and original.The performances were really good,especially Sylvia Hoeks and Harrison Ford,and Ryan Gosling's character was deep and well- developed.The directing by Denis Villeneuve is breath-taking and proves that there are still directors that can make movies the are close to becoming masterpieces.The tone is the same,the visuals couldn't have been better and the soundtrack by Hans Zimmer is a total blast.But,most of all,Blade Runner tries (and achieves) to answer not only what makes us human but also what makes us feel,love,remember and understand what is real and what is not.It'a film not only with a mind.It has a heart(if we can define what has a heart and what doesn't).When you live the cinema you want to keep all these beautiful images,these mixed and complicated feelings and the spectacular experience inside you.Sadly,all those moments will be lost in time,like tears in rain.Too bad they won't live,but then again who does?",10,2,9,7 October 2017
Requiem for a Dream," when Dreams turn into Dust...
","'Requiem for a Dream' is one of the most immersive and shocking films of all time and in the end the movie turns into a feeling, an emotion- of unescapable sadness. One can say that it works as a complete drugs-do-bad movie, but the film is far more than that. It is a sad and tragic story of lost dreams and self destruction.At first, the way this is filmed adds so much to the experience. We get sthe same close-ups and fast transitions (it's like Edgar Wright was in the edit room) everytime the characters consume their 'thing'.We also get some split-screne sequences and uring the climax the film enters deeper and deeper into the human mind and a couple of sureal sequences are shown.
All these make for an immersive and 'ugly' experience that is ment to be desturbing. The only stilistic choice that I found too much was the some split screen moments whixh i think do not add a lot to the experience.But afar from the tremendous filming endavour...this film tells so much about the human condition and the black holes that a peron can fall into. In the film, all of the four 'vicitms' want sometihng, have a strong desire and they all fall in the same pitfall in order to complete their want.
A lonely widow who wants to be 'someone' and gai happyness by being loved and famousHer son who wants to find a money, make some money and have a girl
His girl who loves modeling and clothes and wants to make her own shop
And the man's firend who believes that by being succesful at a field he will make his mother happy and proud.All these dreams are shattered by their addiction to drugs. They lose their mind, their sanity, their love, their life.And it all eels so tragic and nightmarish.I mostly loved the more sutle scenes , like the conversation between mom and son about their situation. But the sureal sequences during the climax where pretty affecting too.Also, I really do not thing that this film is only about drugs, but cna be seen as a showcase of the consequences of our obsesions and addictions in general. And even the film is centered around drugs, we notice other addictions and obsesions too. Being mad for sex, for money, fame, recognition, love and acceptance, mad for food or for a calm life without worries are all addictions presented in the film and are all dangerous. The film shows that the only one that can destroy us really is our own self and our inability to control our desires which gradually become more and more monsterous.The characters are nicely written, they feel like real people,tohugh i think the young femal character was kind of underdeveloped and lacked a second layer. The performances are all exceptional, somobody give the actress playing theold womn another slice of grapefruit because she truly deserves it!The score is haunting and I liked that the movie used it corretly.You have to see this film and i might wreck you o pieces or make you rethink your small, unimportant existance but in the end eveything will be ok.Just kidding. No one can save youo of your doom except of you.",9,0,0,18 July 2019
Fight Club," A fight club full of life lessons!
","When somebody sees the title 'Fight Club'' for a movie the only things that he will think is blood,fights and violence.But,Fight club is exactly the opposite.It's different way to feel free and forget pressure,your job or whatever makes you feel bad. Fght club is not bad,just too different and crazy to understand it's definition.I that I've seen the movie,would characterize this club as a guy,as ...Tyler, the crazy and cool person that tries to build a new world through this club.A new beginning,a new way to express ourselves and understand the value of life.This is the Fight Club,this is Tyler.The film is a masterpiece and the tremendous acting of Brad Pitt and Edward Norton turn it into one of the best films of all time.But,I think i've said enough.For those who haven't watched the film,stop reading my review,put on your shoes and run fast to rent it.And you better take a bar of soap with you.It will be useful!",10,1,4,31 August 2016
Memento," Nolan did it again!
","Memento is something new,something different,a masterpiece among movies!When the movie started I had not really high expectations about it!But, while the movie was going on I couldn't take my eyes out of the screen!I felt like i was Leopard,the protagonist!Moreover,the movie is really cool and different because there are a lot of fast,amazing scene changes and the movie is full of flashbacks!For instance,in one scene Leonard is in the bath and in the next,we watch him going to the bath!!!I've watched some of the movies of Nolan(Batman:the dark knight,Interstellar) and a lot of enthusiastic films(Forest Gump,3 Idiots,Star wars,One flew over the cuckoo's nest) and,trust me,this is one of the most clever films that i have ever watched!Maybe it's a difficult film with a complex plot,but it is worth it! Tremendous scenes,crazy plot and a wonderful ending!Memento... an amazing memory!",10,0,2,1 August 2016
Rogue One: A Star Wars Story," A rogue film
","Star wars...after the tremendous success of 'The Force Awakens', Lucasfilm and director Gareth Edwards decided to produce the first Star wars film that does not follow the storyline of the movies,but explains how the rebels stole the Death Star plans.I am and I will always be a huge fan of the movies and,as a true fan,I consider Rogue One a must-see and not just a typical Science fiction story.One reason that Rogue One is an awesome film is...the one and only...lord of the Sith...the chosen one(although I believe that Kylo Ren is the chosen one)...Darth Vader!!!!!!!!After thirteen years the big guy is shown on the screen and he is just perfect.Vader plays in the film just for three minute,but his presence is unforgettable.I(and all the other guys that are crazy about the star wars universe)hope that he will be also shown in The Han solo anthology film!But not only Vader kept the audience on the edge of their seat!K-2SO,the opposite of C- 3PO,was a really cool and entertaining character.Moreover,Chirrut was a great character with really cool fighting skills but also he was a strong believer of the Force.Rogue One was clearly a star wars film with much war,but it also included some great drama scenes and some small twists!The action scenes were perfect and the performances of Felicity Jones and Diego Luna were satisfying.The music was fantastic,as always,and in my opinion,the movie inspired me and thought me that in order to rebel,we must have hope.Rebellions are built on hope!The 3rd act...just perfect.Fight scenes,sudden deaths,Vader's lightsaber and of course..the extremely wonderful ending scene!The movie could last twenty minutes more and how more of Vader's perfection,but that wasn't a huge flaw.All in all,Rogue One is a film that everyone and only Star Wars fans ought to watch.You should go and watch it with your eyes open and don't just go to the cinema and fall asleep from the half of the film,like my mum! did!!It's a must-see,because of Vader,the plot,the action-scenes but basically because it's a clear,fresh,cool,inspiring,awesome Star wars film with the quality of the originals(4,5,6).For once more,may the Force be with you!",8,2,6,22 December 2016
Us," Us and...
","...Them. The rich and the poor. The wealhy and the impoverished. The ones and the others. The people and the puppets. The living and their shadows.Us is the second movie directed by the highly-respected Jordan Peele, who made 'Get Out' 2 years ago. This horror film manages to do so many things in its limited runtime. It succeeds at being a fun, scary an entertaining ride without losing its social and political themes.The film talks about disciminations and class diferences in a fresh and exciting way and proves that such social problems are still present. We have our luxurious houses, our well-cooked meals, our comfortable lifestyles and because of our easiness we tend to forget about 'Them', the ones who suffer, who are in pain or the ones who help and try but never get a reward. 'Us' is parltly about all these intriguing themes, but never forgets that it is also a film and a dark and fun experirience and not just a politically driven story.Its nicely shot, some of the shots actually ahve hidden meanings and clues or the development of the story. The acting is spot on, with Lupita playing 2 really demanding roles giving her most shocking performance yet. The soundtrack is great and some of the songs are used a contrast to the events of the film and make for a good laugh. The movie has its humor too, but sometimes I felt that it was too much with it.The script is really one of a kind. It might not be 100% original, but it is presented in such a way that the point it tries to make are clear while being such a good cinematic experience. It is of a bigger scale and has a lot of plot points that are clever.Now, the bads. Firstly, like most films of its genre, it has a banch of forced moments and some characters take really stupid decisions. Sometimes, during the 2nd act, it loses its weight as a story and has a lot of ups and downs in its tone. One joke comes after the other and I kind of forgot that I was watching a horror film. And the twist in the end is sooooooooooooooooo predictable and I'm still not sure if it is really important. They could have just go for something more ambiguous or give a hint or something.But, overall that's a good horror-social commentary-comedy! Jordan Peele makes his own kind of movies and tries to explore and talk about global and 'US ' issues in startling, new ways. Even if I'm not sure if 'Us' and 'Get Out' belong in the same universe, they are great and significant films and deserve your attention!8/10 Watch in the cinemas with your shadow and have some scissors with you...",7,17,34,24 March 2019
Juno," 'Juno' has a baby and a heart for sure
","'Juno' is a 2007 indie film and it is about a 16-old-girl who has sex and gets pregnant. It is a good film and a great, emotional experience, with a good understanding of its characters and some rapid and funny dialogue.
Ellen Page is magnificent. She is badass, cool, relatable and nails the role.Her character was so fun to watch. Michael Cera was also great and quircky.
This film is quircky, risky and kind of touching and really easy-going at the same time.The script is good, though not perfect. The dialogue is clever and funny. There are a lot of funny references and details too. It just that two characters in the film were really weird. I am talking for the dudes who want to adopt the child. Almost every scene with them felt kind of weird, creepy and overall did not feet the tone. It might was bad writing or even some inconsistencies in the acting, but these scenes were my least favourite partof the film.The soundtrack is fine. It is ne of those soundtracks with a banch of unknown, slow, sweet song that fit the movie but feel all the same and I would have prefered if there was not a song in every single scene!Anyways, this film is definately not perfect, but it has a lot of good things and its lesson about self-discovery, relationships and love is nice and sweet. It is a touching, funny, rational and funky little film that feels kin of it's own messed-up thing. It's like an older version of Lady Bird or a sequel to 'The Perks of being a Wallflower'.It got me
7,5/10 Neat",7,0,0,5 April 2019
Pan's Labyrinth," A dark and deep fantasy film,visible only to those who know where to look.
","Pan's labyrinth is surely one of the best fantasy films of time because it is a fantasy film full symbolisms and life lessons about pain,love and mostly about humans and their behavior.The movie has an eye-catching plot,combining fantastic elements with war and a lot of drama,some well developed and enjoyable characters like Pan,great music and of course a satisfying ending that makes the film far far greater,showing that we should sacrifice for our love ones and generally for others and our sacrifice will make us happier.This magical movie also shows the cruelty of human beings and shows that war makes people miserable and does not allow them to dream and hope.Pan's Labyrinth has a really dark tone as a film,which makes the movie more interesting and fascinating.It isn't like other fantasy films that show only the good side of life,but gives emphasis to the dark times that people phased during that times.The ending is so good because its tragic and happy at the same time!The director created a labyrinth that none of us would want to leave.A dark,deep and surely a film that is hard to forget.",9,1,1,19 March 2017
Suicide Squad," I was the 'the lucky one'...
","'Spoiler Alert'I went to the cinema and sat to the first line,so that I can get all the craziness of the film.Although it was funny and pretty interesting as a film,it had several mistakes.1st.'Where is Joker?'' Before I watch the film,I had known that joker played just 15 minutes and that made me a little bit disappointed.In my opinion,if Joker had a bigger role in the film,the movie would be amazing.2nd.'Let's put the monsters aside!' When a movie full of action and comedy has a huge demon and a strange witch for the bad guys,it creates a mess,that we can clearly observe in the last quarter of the film.The monsters weren't something the impressive,although that the fight scenes that were made between the squad and them were pretty entertaining.3rd.'When did Batman became just a bat?' One the worst characters in the film was Batman.He didn't do anything,except of looking like a bat.However,the film remains great do to its fast,funny scenes and jokes,the excellent acting of Will Smith's and Margot Robbie's as the amazing protagonist...Harley Queen!Also,Captain Boomerang was hilarious,so i liked him as a character.The guy with the flames was fantastic until the point which he became a stupid master with flames and...About Killer crock...he wasn't anything that could blow up our minds! Finally, maybe the film wasn't like The Dark Knight,but it is still a fresh,funny and absolutely crazy dc film!Ha...ha...ha!",4,1,3,4 September 2016
Full Metal Jacket," Something about the duality of man
","Kubrick strikes again with a great, fun and genius film about this wild and nightmarish thing called war. Just like with some of his previous films like Paths of Glory or even A Clockwork Orange, Kubrick is not a director that gives a focus on facts but instead empasizes on the effect on human nature. In Full Metal Jacket, we carefully see how war targets at gradually dehumanizing every bit out of a human being. We want killers!
The first act is a clear example of that, with a private being the tragic victim of the sickness of war. I have to admit I loved the first act, because it is fun and funny but at th same time it rips my heart and challenged my mind. The characters are brilliant to watch, the humour is so spot-on and there is so much meaning behind everything. The introducton scene is probably my favourite Kubrick intro ever. The clever use of the song, the symbolism behind the idea of it, the first look to our characters who lose a part of themsleves even rom the first scene.
Now, the second act might be really slow-paced and kind of all over the place, but it is as meaningful as the first act. Our main character, Joker, though being a soldier, has maintained his morality and personality, he is not cold and still has not become a complete war machine, thuswe have the perfectly placed and written 'something about the duality of man' scene. He has a heart, he cares for life. And then we see him fail to keep going like that, he has to comromise to the brutality of war and beocme a killer, a man born to kill, a war weapon and completely lose his individuality and character traits and morals.
The second act might be hard to follow, because of the lack of fast-pacing and humour, but it really takes the story to a meaningful finale and we are lead to a realisation about the cruelty of war and how it forcefully transfers a human into a war ultra killing machine. Just take a look at the first and last scene and you can see the transformation
Perect camera move, even greater cenmatography, realistic sets and the soundtrack is a blast.
One of the most meanigful and important war films ever.",9,1,2,9 August 2019
