movie_title,title,review,rating,helpful,total,date
First Man," What a Mess
","This could have been a great film, but it was far from that.This is another in the modern Hollywood vein of making a film/dramatisation of famous real-life events, this situation/story was a cracking one, the life of Neil Armstrong leading up to him walking on the moon. But instead the Director Damien Chazelle destroyed any chance of a good film !!The main problem was the close-up and ultra-close-up filming, I have seen this elsewhere in movies and on TV, IT DOES NOT WORK!, all it does is annoy me because you don't get to see much, you need a wider viewpoint from the camera. The editing was also rubbish, it was poorly made.I am not a fan of Ryan Gosling, having seen some of his early efforts, however I have to admit it was great acting from him, he played the part of the quiet spoken Neil Armstrong well, too well, I know NA was not a blabbermouth but he did speak more than Ryan portrayed him, but that is my only quibble with the part, other than that it was great. The other actors also did a fine job, I would be interested in hearing what they thought about what their work turned into ?.I have read other reviews of this movie and most of them refer to how boring it was, I don't think it was that boring (some people just have the attention span of a Gnat), however it did seem to drag on for a while in parts (mostly just annoying with the camera work), apart from the annoying ultra close-ups the flying/space scenes were good but the family scenes were a bit lacking, they needed more dialogue, I am sure that NA spoke to his wife a whole lot more than in this film.If you want to see a good movie of a similar vein, Apollo 13 with Tom Hanks is the one, not this one, only watch this if you are doing an History major at college.I gave it a 4 out of 10, but only for the acting and true story, if the acting was also poor it would of got a 2 from me. Ryan Gosling gets a 9 for his acting, Damien Chazelle a Zero out of 10 for his direction. I just hope someone else (with any other Director) makes a film about the first moon landing, it can't possibly be worse than this.",4,0,1,26 November 2019
Men in Black 3," Great Again
","The third in the series now, traditionally most sequels start suffering from lack of good story, poor screenplay and lamentable acting, but not this, the original was very good, the second was a little down on that but not by much, but this is up there with the first.The storyline is a bit confusing, but it works as a film, acting ok, particularly Josh Brolin as a young K, and Jermaine Clement as Boris The Animal, Will Smith is his usual Will Smith character, the same one he plays in all his films, but is very watchable, Tommy Lee Jones by way of the story is not used as much but as usual is good. Nicole Scherzinger is deliciously stunning at the start as Boris's girlfriend, she does not say much, but looks fantastic.The 60's scenes are well made, CGI is excellent good direction and good pacing, music not as good as the first but OK.Overall it is another excellent addition to the series, well worth watching.",8,0,0,22 February 2020
Skyfall," Sky High
","This is the best Bond film to date, just about everything about it was excellent, the acting, direction, photography scenery, authentic locations and music, the title song by Adele is pretty good too.No gadgets except the radio transmitter, return of the Aston Martin DB5, and a Bentley (in the Ian Fleming books he was supposed to have a Bentley) but that is M's car. There are a return of a few Bond themes too, a Casino scene and helicopters, Moneypenny is back, but not the original one, this character is called Eve Moneypenny, although it is not mentioned whether she is a relative of the old Moneypenny, she is played by the excellent Naomie Harris, and Q is back but in a younger form played by Ben Whishaw. Rory Kinnear plays Tanner again and to complete the MI6 crew, Judi Dench plays M again but her last time, she dies at the end, and the role of M is taken by Ralph Fiennes, a cracking actor. Albert Finney does a good cameo as Kincaid and Javier Bardem plays one of the creepiest villains as Silva.The locations are almost all authentic, Turkey, Istanbul, London, Scotland, Shanghai and the Island, in the film it does not refer to which territory the Island belonged to or did previously, since they sailed from Shanghai to get to it, its implied that it is a Chinese Island, but the one they used was a real Island, with real derelict buildings, but is in Japan, but opposite the East China Sea from Shanghai so would represent accuracy in the film, the only faked locations were Macao and some of the Shanghai scenes, not enough to worry about, they do need to make some stuff in the studio anyway.
Henchmen :- there seemed to be a few, working for Silva, but no one really stood out, maybe the Chinese looking guy that got dragged off by a Komodo Dragon, oh and just in case you wondered about that, Komodo Dragons do eat humans in real life!, they are a bit slow, so easy to avoid but their saliva contains a paralysing agent, so if they bite you or even just get their mouth around any part of you, it will disable you and then the creature will drag you off for its lunch!Bond Girls :- 3 in this, No.65 is a Turkish beauty in the intro, after he got shot by Moneypenny Bond has not returned and decided to go native in Turkey and she is the one he has been shagging whilst he had been away, played by Tonia Sotiropoulou (Greece), she is the most beautiful in the film. Next is the new Moneypenny, Eve Moneypenny (no.66) played by Naomie Harris, at last a Moneypenny got to shag bond, but not the original, the sex is supposed to have occurred after the shave scene, but he did not know her name at the time, she only reveals that to him at the end. No.67 is Severine played by French actor Berenice Marlohe, who had an odd looking face, she plays a baddie who meets Bond in the casino (where else) scene, and invites him back to her boat, if he survives, obviously he makes it, if Bond can kill all for Queen and Country, he can also do it if a shags in the offering, and he does her in the shower, after they get to the island Silva kills her.This is supposed to be a standalone film, it does not have much to link it to the last 2 which were a part 1 & 2 in reality, however in the next film, it is revealed that the Quantum organisation in Casino Royale & Quantum of Solace are really part of SPECTRE in that film and Silva also worked for SPECTRE, making this film as a part 3 in the series, and SPECTRE being part 4. But until that was made it looked like it was on its own and all in all an excellent film, not much to complain about, so I won't, 10 out of 10.",10,0,3,15 April 2020
Raiders of the Lost Ark," Traders of A Lost Art
","The Art of making a good movie, This film is why Steven Spielberg is a celebrated director, he knows haw to make a film,with action a bit of Drama and good acting.Harrison Ford is great as Indiana Jones, with Karen Allen doing well. The rest are good to, the fight around the airplane scene is good, and the power of god ending is good.Photogarphy and scenery are excellent, good music, and it is well paced.
You can see why they made sequels to this, Great Movie",9,1,2,10 April 2020
Spartacus," Epic True Story, Excellent Film
","This is for once a well made, reasonably accurate film made about a true story.
With True Stories what usually happens when a film is made about them, is either they look good but get panned for not being accurate and taking liberties with real events. Or they are poor but accurate, only on odd occasions do we get true stories and great films in the same sentence, this is one of them.Usually in a true story we know all the details, but by sticking to them it can create a dull movie, The good thing about this story is we don't know all the details, just the main events so Hollywood can do what it does best and fill in the details with drama, and on this occasion it does it very well.Stanley Kubrick is a renowned director, and this proves why, the screenplay by Dalton Trumbo is excellent, the photography also excellent. Kirk Douglas is brilliant as the star, with Laurence Olivier proving what everyone says about his acting in a movie, Jean Simmons is the beauty, and what a beauty. When you hear about who are the greatest beauties in movies, her name seldom comes up ? Marilyn Monroe, Joan Collins, Elizabeth Taylor, Raquel Welch, Vivien Leigh, Hedy Lamarr, Rita Hayworth etc. but Jean Simmons ? To me she is up there, one of the most beautiful and sexy of all time, and also a very good actor, and you can see why I think that with this film. The supporting cast are also excellent, Peter Ustinov easily being next best and almost steals it from Kirk and Larry, Charles Laughton, John Ireland, Woody Strode, Herbert Lom, and Charles McGraw are all very good, John Gavin is a bit wooden and unusually Tony Curtis plays it down, possibly under orders not to distract attention from the other stars, but apart from those 2 all the rest are on form.And that is why it makes a great film, because all (or most) are on the same song sheet, and everything comes together, usually the mark of a great director.With Epic films which last over 3 hours or more they can become a bit boring, but this does not, even after watching it about once a year over the last 40 years when I know the story like the back of my hand, it still is not boring.I have noticed that in films with a good guy and a bad guy, if the bad guy is a great actor it makes for a better film, and this has one of the very best as a the bad guy, also it has one of the saddest endings, other than the usual, these are 2 of the points that made it one of the very best.",10,1,2,6 December 2019
Casablanca," Here's Looking At You Kid
","What can you say that hasn't been said before.There are a few films that have a lot of sycophants that talk rubbish about so called top films when they are nothing of the sort, this is not one of those films.I am not a fan of Romantic Drama's but this is not a run of the mill film, this is Casablanca, probably the best Romantic Drama ever.Humphrey Bogart is excellent, as is Ingrid Bergman and the rest are good as well, Conrad Veidt was good as the nasty German, it was directed well and excellent dialogue, photography is poor though, but that is the nature of the times and type of film, music is spot on.It is not perfect though, the dialogue is a bit too sharp early in the film and there are several scenes where people order drinks and leave either before receiving them or after only 1 sip, so that was a bit forced, but it relaxed a bit later on, like as if the characters were getting used to each other, but the slow build works up to an excellent ending, the photography is a bit dark and it would have been nice if Peter Lorre stayed in the film a little longer, I think they could have lengthened the movie to 2hrs from the 1hr 45mins it is, and it would have been better.Nevertheless it is still a great film, worth the plaudits and its place in movie history.Bogart did say 'Here's Looking at You Kid' a few times, and the '.....not worth a hill of beans....' sentence, but never said 'Play it again Sam', however he did say 'Play it Sam, You played it for her so you can play it for me'Sam you can play this again and again.",9,0,0,16 January 2020
Finding Neverland," Found Neverland
","When I first heard about this project, I doubted it would work as a film, the life of J.M. Barrie surrounding the creation of his Peter Pan play, but then I did not know the story.I don't know how accurate the screenplay was to real events, but it doesn't matter, as it was made extremely well and was not boring like I thought it might. Johnny Depp is great as Barrie (his Scottish accent is pretty good), as is Kate Winslet. With great support from Dustin Hoffman among others, Julie Christie is class and Freddie Highmore steals the show as Peter. There are some links with Johnny Depp's 'pirates' films with McKenzie Crook and Angus Barnett, and Toby Jones pops up as 'Smee' in the play. A good cast.It is well directed, got good music and the play is put on well. Happy and Sad at the same time, in real life there was much tragedy with that family, so even though not completely accurate it reflected real events well.",8,0,0,23 December 2019
Amistad," Hypocritical American Law!
","I don't mean that about the movie, its a very good film and deserves its rating. Its just that after all the history of Europeans invading America and the slave trade, they have the audacity to pat themselves on the back by celebrating in film, one thing they tried to get right in retrospect.Its very well acted with an excellent cast, directed by Steven Spielberg superbly, its a bit of a film noir as many of the scenes are dark, but I suppose it represents the dark subject here, and it is a true story, unfortunately.They argue (in the film) if the Africans are slaves or not, this after many many years of subjecting Africans to slavery, and building and enriching their nation on the back of slavery. This film is made because Americans eventually turned their back on slavery, so is a good representation of that.But the fact that the European people of america seem to think they have jurisdiction over people of other nationalities in the first place is a bit sickening, as soon as it was discovered that they were indeed from Africa, that should of been the end of any court case, for them to be freed, apologised to and returned to Sierra Leone, and to try the owners of the ship. But they they wanted to drag it out in court for political motives, and make speeches about fairness and principles of Law,typical American Law Bullshit.This true story film is to try to show they are just and fair, when in fact they are nothing of the sort, in real life America, first they raped and pillaged America from the American Indians, then they imported slaves from Africa to work the land for them. Ok they stopped slavery and belatedly tried to settle with what is left of the American Indian population, too little and far too late. And films like this are supposed to show that they are a fair and just people now !!! Trying to show that The American Way is great and how they are trying to fix the world, the world that they ruined in the first place! How condescending, and how contrite, do they think the rest of the world is stupid and does not know history ?Just for an analogy, it is like me, going across the river to a neighbour, killing most of the family, let one or 2 live, kicking those left out to live in the woods while I burn their house down and build a new one on the land, crossing over another river abducting another family to work on the grounds, then many generations later, my great great great grandson inviting the descendants of the original family to come back and live in the shed, then letting a few of the second family to return home free, then making a story up to tell any friends we think we have, about how great we were by letting them go free !!! How ridiculous.If they want fairness, they should send all the African Americans back to Africa, with all the value they have and give them back their property and livelihoods in Africa, all the whites go back to Europe and give all the land in North America back to the Indian tribes to let them repopulate it. Of course this will never happen, the whites have already ruined the continent and it will never go back to how it should, but the good thing is we don't have to take items such as this to understand what is right and wrong. I am White British, my country is just as guilty in the same respects, as are several countries, I can't change the past, but I can be impartial and retrospective and tell it how it is/was.Back off the soapbox now, and back to the film, I gave it 8 stars because of how well it was made, and how well it was acted. If I judged it on political motives, it would get a minus 100",8,0,2,2 February 2020
Star Trek Into Darkness," Out of the Darkness
","Very flashy, very exciting, a good action sci-fi movie, the story is good, the acting is ok to good, the special effects very good, whats not to like.A good sequel, about the same as the first.",7,1,6,2 March 2020
Tinker Tailor Soldier Spy," Cold War Spy Intrigue at its Best
","A modern classic, a re-make of the old TV series starring Alec Guinness, and that was excellent, this is even better.It includes a great cast of British actors led by Gary Oldman, who is proving to be one of the best, Mark Strong, Colin Firth, John Hurt (just at the start), Toby Jones, Ciaran Hinds, Tom Hardy, Kathy Burke, Benedict Cumberbatch, Stephen Graham, Simon McBurney and Roger Lloyd Pack, there was even a Swede David Dencik, all well used and well acted. There were Hungarians playing Hungarians and Russians playing Russians, the John Le Carre story is a classic (John Le Carre had an extra role in the movie), filmed in the correct locations, London Budapest and Istanbul, and that makes for a great base to construct the film around.It was directed sensitively, photography was excellent and gave it that 60's/70's feel, the scenes were well shot, particularly the ones in Budapest. But its the style that makes it great.This is like a 60's classic but in the millennium, brilliant.",10,3,3,24 December 2019
