movie_title,title,review,rating,helpful,total,date
Mission: Impossible III," What a Rush!
","From the very opening credits of this movie you are drawn in. The movie starts with a very intense scene in which you don't quite understand until the movie develops.Despite Tom Cruise off screen antics, his on screen performance is what you have come to expect out of him. Those glassy eyes really pull off this character.This ensemble cast really did a great job of telling and directing this complex story. One disappointment there is this object in the movie called the 'rabbit's foot' that you never learn what it is. I wish they would have given this object an identity.This movie had so many twists, just when you thought you had everything figured out the movie took another turn.This movie is a perfect action flick with a built in love story for the lady viewers.If you love hearing loud engines, blowing stuff up, jumping off of building, car chases, run sequences, and just mayhem and mischief this is the movie for you.If not I think Dreamworks has a new flick coming out soon! GO SEE THIS MOVIE!",8,0,1,9 May 2006
The Longest Yard," A Great Remake!
","This adaptation was great. It was awesome that Burt Reynolds was part of the cast as well.If you are looking for a reason to see this movie just let me say: Adam Sandler and Chris Rock! This is their first movie together.This movie had it all. It was funny, it had hard hitting sports sequences. This movie will definitely go in my DVD collection when it comes out.The plot is similar to the original movie, but they made a lot of changes to make it more modern and since Burt Reynolds was in the movie he apparently approved.This movie is a great movie, their is a little language in the movie so if you have sensitive ears, be prepared. But it was funny to me.The most surprising to me was Nelly. He is actually a great natural actor. I definitely think he has the potential to the next Will Smith. He has the acting skills down much earlier in his career than Will did. The ladies love him, guys adore him! Oh, that's L.L. Cool J. But you know what I mean.Go and see this movie I haven't laughed this hard in a movie in a while so check this movie out. I've read a lot of reviews here on IMDb and they are really hating on this movie, I think they missed the demographic in which this movie was targeted. It is an MTV production, don't forget that. If you are not a MTV person, then the movie ideally wasn't targeted for you. But if you are not a MTV person and you like to have little fun at the box office then this is by far the best choice for all of the comedy movies currently playing. And next to Star Wars EIII this is your best bet for a great time at the movies!",8,0,2,2 June 2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"," Look out Potter!
","Disney has finally tapped into the other family market, Christian films.C.S. Lewis classic masterpiece has been beautifully turned into a movie. This movie has everything you expect from Disney, great direction, great special effects, and a great actors.The first in the series, The Lion The Witch and the Wardrobe, was an excellent adaptation.I took my niece who had never heard about the books, when she finished watching the movie she went and bought the whole set of books! This movie will inspire a whole new generation in the same way of Potter, and Rings.This franchise will be a force to reckon with.If you are looking for a good family movie with a whole lot of bang for your buck then this is the movie for you!",9,4,5,2 January 2006
Spider-Man 2," Spider-Man The Franchise
","Spider-Man 2 is an awesome movie. This movie has all the elements of a major Summer Blockbuster plus one more thing: A GOOD PLOT!I was really impressed at the depth of this plot. This second Spider Man movie really developed the character of Peter Parker. Peter Parker is just an ordinary kid who was blessed with supernatural power. The now famous line from SpiderMan is 'With great power comes great responsibility' This movie dwells into why their is such a great responsibility.I really believe that with writing and special effects that the SpiderMan franchise is set for years. I expect at least 3 more movies with huge opening generating a need for a next movie.It is hard to write an in-depth review of this movie without giving away the plot, so I will not.If you like the SpiderMan T.V. show, comic book, or SpiderMan the movie part one you will love this movie. Go and see this movie and hey adults it's not just for the kids.I give this movie a 9 out of 10!Spider Man, Spider Man who does whatever a Spider can!",9,0,0,30 June 2004
Constantine," Heaven vs. Hell vs. Constantine
",This was a good movie. I was wondering could Keanu Reeves break the mold of 'Neo' his steady Matrix character. But I think he did a good job in this movie.The script kinda reminds you of 'The Prophecy' but Constantine does has it's own unique identity.This movie makes you really think about what's REALLY going on in the spirit realm everyday that we cannot see. If you are a 'religious' person you will understand the subtleties made in this movie to generate fear.This is a good movie. It's not one of the best movies but it is worth watch. So go out and see it.(And yes I do give bad reviews: King's ransom) I've become such a good judge of Theatrical Trailers I tend to know which movies to waste my money on.,6,1,6,26 April 2005
Troy," Hector of Troy
","Troy was an awesome production. Eric Bana and Brad Pitt really shine in this movie. The plot was a little slow at points. And some of the jokes in the movie require a knowledge of greek history, but other than that it is a great film.It is amazing the length man will go through for a woman. Helen of the Queen of Sparta who later becomes Helen of Princess Troy the name change is the catalyis of this movie.Paris and Hector the princes of Troy are now faced with war, simply because Paris was in 'love' with Helen.The battle scenes in this movie were great.  In a movie about Greek History you would expect to see a least a sampling of the power of the God's, but it never came.Eric Bana and Brad Pitt will probally both be nominated oscars, as they should. This is a great movie a lot of fighting a lot of blood and lot of just good movie watching. Ha haGo and see this movie you will enjoy. Word to wise do some research if you are ignorant to the story of Troy.",8,1,2,24 May 2004
Crash," A movie full of Oscar worthy performances!
","This movie is an awesome journey. It is amazing that in the year 2005 that our racial harmony is still not where it should be. Crash takes you on a journey through the lives of multiple characters interwoven together by similar events. This movie has the feel of Magnolia by Tom Cruise which was so well done.The ensemble cast in this movie was awesome. Each played their part bigger than the movie itself. From the very opening credits of this movie you are drawn into the world of this movie. Most importantly for me you care about the characters. Some of the characters were a little underdeveloped, because of the complexity of the plot, but what you lack in development you more than make-up in implied backstory.If you didn't know this movie deals with race relations. It was interesting to watch this movie in an audience that was diverse. Some of the more prevalent stereotypes in our society was explored. They were not explored in an ABC after school special way, it was explored with very graphic imargery and language. It is a reason this movie garnered an R rating. I really feel that the language used in this movie was needed, to understand the depth of the issues dealt with. Many of my Christian readers will be offended by this language and a brief sex scene, but I think you should go see the movie anyway, because the story is bigger than that. Remember the Passion got an R rating too! This is best movie of 2005 to date. I would have given it a 10 rating, but I didn't want to eat that if something greater came out this year. But this is a remarkable film that I feel every one should see. This movie will make you think twice about your own life and whether or not you are making unjust stereotypes on another race or even your own race.M.L.K. dream is still not complete and this movie helps to show us how we can make it happen. Go Crash into your favorite theatre to see this movie.I give this movie a 10, because it will go down in cinematic history! And it will win an Oscar!",10,1,12,12 May 2005
The Devil Wears Prada," The Devil wears an Oscar
","I went to go see this movie, because I though the way they marketed this with the theatrical trailer was genius. If any of you have been to the movie theatres in the past two months you have seen the trailer for this movie and thought you walked in on the wrong movie, because the trailer is the opening sequence of the movie, which I thought was such genius marketing strategy! So here's my review, if that trailer peaked your curiosity then you should see the movie. The movie is slick, fast paced, view of the deep dark side of the fashion industry.Ms. Streep gives a performance which was incredible. She WILL BE nominated for supporting actress nomination, or the academy is a joke.Anne Hatheway with her big eyes did a great job of playing the budding new assistant who has to fit into a dark world of fashion. Her transformation in this movie is really good. This is much better than her princess diaries role, although similar.My girlfriend enjoyed all of the brand names of clothes featuring in the movie, which I'm don't have that big of an eye for. But every scene she was like 'I want that'. So I think the costume people did a great job in that respect to make a movie two years ago that is still fashionably hip today.I enjoyed this movie. It's not one of those movies that will go down in history, but Ms. Streep's performance will!",8,2,4,11 July 2006
The Village," It aint' what you think it is
","I have mixed reviews about this movie. I liked it and I hated it. Let me explain.I really hated, because it isn't what I thought it was. I expecting it to be like all of the other M. Night movies, but this was in a different category all together. I should have known something was different when they used his other movies to promote this one.Now with that being said, if you can go to the theatre now and forget everything you know about M. Night's movies then you really enjoy it.This was an awesome period piece with a whole lot of symobollism. I thought it was well directed and well acted. In retrospect, when you figure out the suprise twist, you realize exactly what makes this movie so powerful.M. Night has the ability to completly draw you into the worlds in his movies. No one, whether they hated it or liked, can say they were not curious to find out what type of thing resided in those woods and what kept those people alive for all of those years.It's a really good movie, it just want be if you compare it to his other movies. I think they made a really bad marketing strategy to use his other movies to promote this one. It is going to make it really hard on M. Night fans to beleive any more promotions.Go and see this movie. It's always good to see movies that get mixed reviews.I give it 8 if I didn't know M. Night directed it. I give it 5, since I knew he did.",5,0,0,31 August 2004
"I, Robot"," Will Smith is still the king of Summer Blockbusters!
","This movie is a loose adaptation of the short story 'I Robot'. This blockbuster is exactly that, a summer blockbuster.The plot in this movie dragged along at time, but the overall movie when balanced out with special effects makes the slow plot bearable.I enjoyed this movie. The idea of programming robots with the '3 Laws' was genius.  Their adherence to these laws forces the actions of this movie. 
I don't want to give away any of the movie, but beleive you me, it is worth watching.I will give this movie an 8 out of 10. Which is pretty high for a movie like this versuses some of my other 9 and 10 movies. But I am only ranking this movie against other summer blockbusters.",8,0,0,17 July 2004
