movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Not scary, but interesting
","I'm beginning to believe there is a dividing line between those who liked TBWP and those who didn't that is often based on age. The post-25-year-olds seem to, for the most part, view the film as so-so and not scary. Many of the under-25 viewers like it very much and find it innovative and terrifying.I'm over 25, so you can guess where I fall on that continuum. Blair Witch was interesting primarily as a study of three people freaking out, not as a horror movie. Much has been written about the low budget and primitive technique. Yes, it is primitive, and that adds a certain mystique. It is like watching old home movies. It's so bad it is interesting to see how the filmakers will get a story across with so little apparent ability to do so. But to me, that isn't a point of contention. The quality of the film technique is what it is.The story itself is basic. Three young film students set out to do a documentary about a ghost legend. You don't learn much about the students beforehand, and they have little depth. Most of what you learn comes from watching the group dynamics of the threesome as their situation gets worse and each individual starts to break down. From that perspective, TBWP was interesting. It also gets very annoying, as they begin to yell at each other and become irrational over what appears to be simply noises in the woods and some related odd goings on.The lack of reasonable behavior by the threesome is what ultimately turned me off. I'll avoid giving away too much here, but will state a two examples:1. When the students become lost and lose the map, they show very little ability to reason out an escape route based on the direction of the creek and the position (east - west) of the sun. If they had a map before, and saw the creek on it, and then find the creek, how hard can it be to follow the creek in a direction that gets them to safety? Can't they remember what was on the map, at least the basics?2. The film lost all believability when the filmakers, especially the female star, continued to shoot video of what were supposed to be horrifying and sudden developments. I could see taping *after* the developments, when a little time had passed for the students to adjust. But *during*? I don't know about you, but if I find bloody remains the last thing I am doing as I find them is filming, and zooming in and out on them while also screaming my head off. That was the problem. How could a person be calm enough to film something frightening, while at the same time screaming and generally losing it in fear? It is hard to believe that one person is doing both simultaneously. And every time that happened, I remembered I was watching a movie, and these people weren't real, and anything that happened wasn't scary. I suppose if the camera were a small, helmet-mounted unit that taped automatically it would have worked better. But just a little.In the end, The Blair Witch Project was interesting but certainly not worth the hype. I wonder how many people have homemade 'story' videos in their tape collections that include plots of the same quality? Probably a lot.",5,0,2,30 December 1999
Star Wars: Episode I - The Phantom Menace," Disappointing lack of originality
","Star Wars fanatics won't like this opinion. I'm a life-long sci-fi fan and was extremely disappointed in The Phantom Menace. It does include nifty digital effects, and perhaps that was Lucas' primary goal. But as I sat watching the movie, it didn't take long (opening credits and scene, actually), before I started asking, 'Haven't we done this all before?'The similarities between the plot of the Phantom Menace and the plot of Star Wars and Empire are many. I will only name a few here, and I will try to do it without spoiling anything for readers who have not yet watched the movie: queen/princess in trouble; Tattoine kid who wants a new life; need to obtain a ship to leave Tattoine; death of Jedi teacher at hands of symbol of Dark Side; ship needing to 'thread the needle' to blow up bigger ship; ending victory celebration/ceremony. And those are just a FEW examples.Worse, perhaps, than the similarities (after all, Lucas had to return us to the Star Wars universe and there will be similarities) was the utter lack of imagination in creating the aliens. That's right, LACK of imagination. Look at it this way: If you had to come up with a villain who was more evil than Darth Vader (a great villain, IMO), then what would be the most stereotypical concept you could create? Can you say, 'SATAN!' Darth Maul looks like the devil. Big deal. Where is the creativity in that?Want more? Consider the various aliens. There has been a minor stir over the accents and appearance of aliens such as JarJar (the 'Rasta), the trade reps (WWII 'yellow menace' Japanese voices) and the junk shop owner (crusty Jewish dealer). This flap could have been avoided if the aliens just acted, well, ALIEN! Why did Lucas give aliens Earth-based accents? Couldn't he have come up with something original that caused the viewer to think, 'Wow! Look at that! THAT is an alien!'One digital scene that has been praised by some is the pod race. For me, this was the most boring scene in the movie. Why? Because you KNEW the outcome. It was predictable. If the outcome of the race had been different, and the ship had then found a new, surprising way to get off the planet, THAT would have been some imagination. As it was, it was a waste of 5-10 minutes while you waited for the inevitable.I won't even get into acting (often wooden), the annoying JarJar, the misuse of characters (Darth Maul was on screen for what, 5 minutes? And HE was supposed to be the tool of the Dark Side?) or other plot holes. And what is the big 'mystery' over Darth Sidius? We know that the Emporer Palpatine is in the future. So who do you think Sidious is? Is there a senator named Palpatine? Why, yes, I guess there is. So where is the mystery?Phantom Menace, in my opinion, is Disneyesque. It is big on hype and marketing and very short on plot and story. That's sad, when you consider what the original Star Wars trilogy was. But that was 20 years ago. This is a different culture, and Phantom fits right in .. shallow, glitzy and satisfying only to those with a short attention span and few critical thinking skills.",2,0,1,22 June 1999
The Sound of Music," I don't get it; THIS is a classic?
","I don't want to rain on anyone's parade here. I know TSOM is alleged to be one of the greatest musicals ever. That's why I (finally) watched it last week on DVD with my wife, who is a huge TSOM fan. Now that I have seen it, I don't get it. I admit up front that I have never been a big fan of musicals. When I was a kid and a song broke out in a cartoon, I usually lost interest. That hasn't changed.But even allowing for that, *this* is a classic film beloved by millions? Why? I mean, the setting is gorgeous, granted. And the actors do OK. But the plot, the pacing, even the music ... is this any better than most other musicals?My DVD player said this movie was almost three hours long. But *nothing happens* until you've watched it for 2 hours and 23 minutes (that's when the Nazi threat comes in). Until that point, here is the plot (and I don't think this is a spoiler for anyone, though maybe some people who haven't seen TSOM, like me until last week, might expect more): Former war captain who lives in inexplicably huge house in Austria with his seven kids and no wife meets former nun who starts as nanny and they fall in love and get married. That's it! More than two hours of kids singing, the nanny singing, the kids and nanny singing while they play, and increasingly loving looks and conversations between the captain and the nanny (though few of them compared to the singing). This plot could have occurred in less than an hour. There is very little original, or new, it. It is very, very slow. There is a minor B plot about a rich woman the captain is engaged to who bows to the inevitable and agrees to end the engagement. But that's all.There is no conflict (which most stories revolve around) until 2 hours and 23 minutes in, when the local townspeople who join the Nazis make a move. Then, when it gets interesting, the movie ends in less than 30 minutes after that point! Amazing! It ended with the family cresting a mountain and I said out loud, 'That is IT?!' I expected much more. Watching a movie with no conflict (and the relationship between the nanny and the captain is hardly a conflict) is like idly following a river's current, with no destination in mind. If you like that kind of aimlessness, great. But if you want something that will hold your interest, and you don't enjoy aimless wandering, then TSOM isn't for you.Also, I thought the musical was amateurish in scenes that required background music. About 90 percent of the time, when two actors were having a discussion and music played in the background, that music was the melodies from various songs used elsewhere in the movie, one after another! So you are watching what is supposed to be a touching scene between the captain and the nanny outside at night, and under the dialogue is 'The hills are alive, with the sound of muuuuuuuusiiiiccccc!' and 'Edel-weisssss, Edel-weissssssss,' and other tunes over and over. It was *extremely* distracting. I kept trying to listen to the dialogue but my mind was filling in the words to the melodies underneath it. Couldn't the film have used the same notes as background music but dropped the melodies? It seemed very odd. I can't remember ever hearing that before in a movie, or being so distracted by it.I'm puzzled by this love for TSOM. So many people care for this film, there must be *something* to it. But I'm not sure what it is. I do know that the people I know who like TSOM are all women. Most of my male friends haven't even seen it (other than snippets on TV now and then). Maybe it's a gender thing. In any case, I gave TSOM a 5. Don't shoot me!",5,4,16,7 September 2000
Friday Night Lights," Decent for what it is, bit no new ground broken here
","Ever watched a movie that was technically very good, with fine performances by the actors, but which contained no surprise and even was filled with plot twists you just knew were coming? That's Friday Night Lights.The movie is put together well. Billy Bob Thornton is very good, as are most of the other actors. There is some confusion that isn't explained when the football team does well or poorly with and without a key player ... is the movie saying that at first the team struggled, but then grew as a team and later was better without him? It isn't clear. But otherwise, everything moves along pretty well.Minor spoilers - The problem is, we have all seen this before. Small town in which many adult residents overly focus on the local high school football team. Players under intense pressure as a result. Coach who faces comments everywhere he goes about how the team is doing or will do. Even a father trying to relive his life through his son. It has all been done. Nothing in this movie was a surprise. There is a mild one at the end to avoid total cliché.I expected the movie to be stronger, but instead I felt like I was watching the son of 'All the Right Moves' or cousin of 'Radio.' We gave it a 6.",6,4,6,16 March 2005
Meet the Parents," Stupid characters, inexplicable actions, a few laughs
","I'm one of those people who have to see a sort of logic in a movie character's behavior to fully enjoy any resulting comedy. If a character takes a wrong turn somewhere and tries to get back on course but in the process takes an even more wrong turn and fun ensues, that's fine. But if a character gets lost and instead of trying to turn back decides to set his pants on fire or run over someone sitting on a park bench for no apparent reason, that is not funny to me. That's why I rated Meet the Parents a 5.The main character, played by Ben Stiller, lies for no reason and then gets caught in his lies and makes them worse. He takes actions that he isn't supposed to and has been warned not to do then lies when he is asked if he did so and blames something (a cat) else. And when Greg tries to find the missing cat, he quickly stoops low enough to paint a different cat's tail and try to pass it off as the missing feline (why no one notices the paint smell until later that night, and then they do, is a mystery).  The guy isn't especially likeable and you keep wanting to slap him and say, 'Just tell the truth! It works!'Meanwhile, his girlfriend expects Ben (called 'Greg' in the movie) to instantaneously act like he is a member of a family he has never met. When Greg needs clothes, his girlfriend tells him to wake up her brother -- whom Greg has never met and whose bedroom door is closed while the brother is apparently asleep -- and borrow some of his. Uh, not a good idea. Later, his girlfriend drops little bomblets on Greg, such as the fact that the best man at a family wedding is her ex-finacee (by the way, Greg never even knew that his girlfriend had been engaged), or that the dad had a different career than what she had told Greg earlier.All in all this group of characters spends a lot of time cleaning up messes that would have been easily avoided if a little truthful communication had taken place beforehand. It is that fact that kept me from enjoying any of the contrived situations that ensued. In fact, to me the funniest part of this movie was an airline gate agent who acts like, well, an airline gate agent, regardless of the actual situation around her. *That* was not contrived at all and was laugh out loud funny.",5,1,2,2 May 2001
Unbreakable," More cerebral, yet somehow lacking
","I was never especially impressed with The Sixth Sense. The big 'surprise' was apparent to me after one or two scenes where I noticed that no one except the child paid any attention to Bruce Willis' character, even when he apparently touched them.So I viewed Unbreakable with some mild cynicism. A surprise ending, I heard. Oh boy.I was pleasantly surprised myself to realize as the movie unfolded that this was a thinking person's movie. There is a little action, sure. But the real issues have to do with why the two main characters are who they are. I don't just mean they are the 'good guy' and 'bad guy,' either. Why are they unique, yet only one seems aware of it? Why is the 'evil' one so interested in finding the 'good' one and showing him his abilities? And what exactly ARE the unique abilities each side has? And is there some cosmic purpose involved?My wife was frustrated with the movie's slow pace. I wasn't, because it gave me time to sort out what the movie was telling the viewer about the characters and their motivations. The acting is very good. Bruce Willis is much more than a one-note actor, and Samual Jackson is simply a good actor, period.My one disappointment was, of course, the ending. SPOILERS AHEAD! While I found it hard to believe that a guy would never notice his amazing ability to be invulnerable and stronger than others, or, if he did notice, to essentially hide it from everyone, I was even more skeptical of a bad guy who, I guess, apparently causes random accidents that kill hundreds of people in an attempt to find the hero. OK, do you know how long this could take, and how many people would die? What if the hero was in Nepal? And yet this super smart, clever bad guy just starts his trail of accidents in the US? Is he just nuts? Surely someone would eventually catch him. Besides, if the movie really wanted to make the ending a shocker, it would have tied the evil guy to accidents that have happened in the REAL world, not in the movie. That would have got you thinking.Still, when all is said and done, I enjoyed the concepts in Unbreakable. I hope if there is a sequel, we see some logical growth here and not simply 'surprises' for the sake of surprise. I gave it a 7.",7,0,0,1 August 2001
The 13th Warrior," You'll ask 'why?' a lot
","We had high hopes for this movie. They were in vain. This is a classic example of a movie that had almost no thought put into its plot. It is a series of fights, interrupted from time to time with scenes of dialogue that raise more questions than they answer.The 13th Warrior begins with a scene of Ambassador Ahmet (who existed in real life) headed north after being sent away so he won't fool around with the king's wife. He and his small retinue bump into a passing Viking gang, and for reasons never explained Ahmet must join a band of 13 Vikings in a mission to help a semi-feudal village that is under attack. Even more odd is Ahmet's decision to join the Vikings. He already has a mission, and doesn't seem to be under any duress. Even a throw-away line along the lines of, 'I decided to go, so I could learn more about these North People who I will need to understand as ambassador' would have helped. Along the way Ahmet learns how to speak the Viking language by, apparently, watching the Vikings talk. Never are we shown a Viking saying a word and tying it to an item, so that an observer might be able to attach meaning to the words. Yet somehow our hero learns the language. What are the odds of that?At this point The 13th Warrior becomes a sort of a Viking 'Seven Samauri,' with our Viking heroes gathering the village people (the serfs, not the disco group, though if *those* Village People appeared it would not have surprised me) to defend the town against a band of cannibals who are (again) never fully explained.During the ensuring battle scenes, there is an attempt to show a juxtaposition between the culture of Ahmet the Muslum and Rennaisance Man and that of the crude but effective Vikings. For example, Ahmet has trouble wielding a Viking broadsword but once he has a curved scimitar made to order he is ready to rock (of course, later, when the band sorties on a mission to attack the cannibals, Ahmet has a Viking broadsword tied to his back and the scimitar is nowhere in sight). Also, just before a big battle, Ahmet suddenly drops to his knees to pray as Muslins do five times a day (though we never see him do it at any other time). Anyway, you can *almost* feel the threads of a plot here revolving around Ahmet as an observer of another culture, but it never is clear nor develops (just like the rest of the movie).There are many instances where events make no sense. The cannibal tribe at one point early on seem to have kicked the Vikings' butts and are burning the village, then withdraw at the sound of a horn for no apparent reason. It just means they have to attack again later, after the village has time to recover a bit. There also seems to be some voodoo involved in that the Vikings (and Ahmet, for a little while) don't know if the cannibals are men or spirits. It's unclear why there is any doubt, since the cannibals look like guys with animal headdresses and fall when they are stabbed. And throughout the movie it appears that the odds are something like 20 or 30 to 1 against the Vikings (and the cannibals are on horses!), yet somehow we have a happy ending.The movie *tries* to draw on a theme of honor and courage. The Viking leader is noble and fights until he can no longer fight. But that theme is underminded by the numerous ploy holes. Why should we care about these people and what they fight for? Why are there only 13? Why do the cannibals attack? How did this start? Without answers to basic questions (and no clear indication of a moral cause), the idea of honor falls flat.I cannot believe the average rating for this movie is 6.2. We gave it a 2.",2,11,27,1 May 2000
Pirates of the Caribbean: The Curse of the Black Pearl," Fun to watch, but too long and lacks purpose
","Pirates certainly was interesting. In fact, some of the droll, dark humor was very unDisney-like (and enjoyably so). But the movie ran about two hours, and would have been better at 90 minutes. Much of it involved sword fights and plot twists that didn't add much. The plot was like a thread that would be dropped for 10 minutes, then picked up again. Johnny Depp was superb. What a strange character he created. It begged the question, though, of how this goof could have lived more than 20 minutes as a pirate. Finally, and a minor spoiler. if you end up cursed for stealing Cortez's gold, didn't the governor's daughter steal the gold from the unconscious boy? Just wondering. A good movie, which is a step in the right direction for Disney, but undisciplined and meandering. We gave it a 6.",6,2,4,20 October 2003
Alexander," Laughable
","Alexander was closer to Clash of the Titans than any of Oliver Stone's typical films. Casting, acting, editing ... they were all sub par. Colin Farrell wasn't at all convincing as Alexander. He seemed more like a child demanding attention than an emperor to be. Angelina Jolie sounded like Morticia (was that her name?) from Rocky and Bullwinkle. Her scheming was mildly interesting, but each time she spoke it was hard not to laugh. In fact, it was hard not to laugh throughout the film, but more importantly, it was hard to be drawn into the film when every actor seemed like they were playing pretend. I always wonder when I see a movie this bad whether the actors knew it while they were making it. I get a sense they might have had an inkling early on. Something went wrong with this production, and it showed up on film. We gave it a 4.",4,4,6,18 January 2006
Chicken Run," A for effort, but 6 to 7 for rating
","Chicken Run is a refreshing change of pace visually. And it doesn't take long to get past the clay-mation-like figures and see them as characters, not special effects. Where Chicken Run fell short was character development. While a few of the chickens had some personality, all of them (with the exception of Ginger) were so one-dimensional that really, if they didn't escape from the farm, it would have been OK with me.Now, I realize how ridiculous it is to discuss character development for clay chickens. To be honest, I'm having trouble choosing the right words here. But when I left Chicken Run I felt right off that the movie had missed a chance to be an instant classic, and I have been pondering why.It certainly isn't the special effects. They were interesting, almost endearing in their three-dimensional reality vs. the pathetic ( in my opinion) Pokeman-level animation that seems to be in vogue today.
It isn't the plot, which was cute and serious (deadly serious) at the same time. The chickens must escape or die. And the always dreaming Ginger keeps things moving with her constant attempts to escape and find someplace better for not just herself, but for the other chickens. So what felt empty? To me, it was the character of the chickens themselves. Now, chickens don't have much depth, I know. But these were movie characters! They should pop out, make you identify with them even if they are clay chickens! But only Ginger (and the effectively profit-hungry and evil Mrs. Tweedle) created a presence. The other chickens has a one-dimensional personality that quickly grew predictable and tiresome.For example, take the 'stupid chicken' (I can't believe I am writing this). I forget her name ... Henrietta? She is always knitting and completely missing the point of anything. She never changed. Or take the old war veteran rooster. He is pompous and a bit lost and never changes, either. Even Rocky the rooster changed only in the most cliched of all ways ... coming back from his freedom to help Ginger and her pals escape. If any of these characters had shown some growth, it would have made for a better movie. It also could have used some funnier lines, though the general lack of pop culture jokes (oh sure, there were a few Star Trek lines) was a relief.One other thing stuck out rather jarringly at the end. Without giving the plot away, Ginger seems surprised that the retired war veteran rooster can't fly a plane. Uh, he is a rooster. Ginger seems perfectly aware that human society is a bird of a different feather (a-hem) and has never seen a rooster or chicken fly anything. She's too smart to be blind as to believe that roosters flew human planes. That seemed weird to me.Still, despite the predictable ending, Chicken Run was fun (well, the second half was much more lively than the first half; about 30 minutes into a 1:10 p.m. show my wife fell asleep) and so different than anything now out there. It also had a noble message about dreaming and improving ones life. Best of all, it wasn't Disney. For that reason alone, go see it.",7,0,0,26 June 2000
