movie_title,title,review,rating,helpful,total,date
"Run, Fat Boy, Run"," Bastardized, Americanized, Schwimmerized, Excuse Of A So-Called 'British' Comedy
","This film is an insult to the entire history of British comedy, and I'm mad at myself for wasting my time and money on this stupid little movie.This is the first British comedy - indeed, the fist 'British' film of any kind - I have ever walked out of. In fact, there are so many Americans involved in this movie that I'm not so sure it really is a British film. In any event, 30 minutes in and I just couldn't take it any more. If I had wanted to see a poorly written TV sitcom I could have stayed at home and rented an episode of 'Friends', the hardly humorous US TV show in which this movie's director, David Schwimmer, was an actor - an unfunny one, at that.Why in God's name would the maker's of this film have selected inexperienced American director Schwimmer, American writer Michael Black (Schwartz), and an American actor like Hank Azaria? Do they work on the cheap? Did they pay to participate? Were they hired in the hope of attracting an American audience? I can't imagine this film succeeding in Briain. Whatever the reason, they absolutely ruined the movie.This movie is so bad that the British Government should cancel Schwimmer's visa. He represents a clear and present danger to British culture. If Schwimmer and Schwartz ever again show up at a British Point of Entry they should be turned away immediately. Perhaps France would take them; they could say they're related to Jerry Lewis. And Simon Pegg and Dylan Moran should be hauled up in front of the actors' guild and chastised for participating in this affront to British comedy. They should be made to watch Ealing comedies until they return to their senses.There's not much left of the British Empire other than great wit. To lose that would constitute a crime against civilization.",1,12,26,5 April 2008
Angels & Demons," Multi, Multi Crappi
","What an awful piece of nothingness this movie turned out to be: an absolutely idiotic plot coupled with ridiculous dialog and totally uninteresting characters. As soon as I saw the name of 'writer' Akiva Goldsman in the credits I knew a large part of why this movie is such a turkey.Director Ron Howard has done a really poor job with this movie, providing nothing but 2 1/4 hours of police cars racing around Vatican City/Rome while searching for statues with their extended fingers seemingly exclaiming 'that-a-way'. What utter tripe.You can be sure that no one in any way associated with this lemon will be called up on stage during the next Academy Awards ceremony. In fact, the makers of this movie deserve to lose their shirts on it. I notice I've called this movie a 'turkey', 'tripe', and a 'lemon'. What it really is, though, is what comes out your end after you've consumed all that stuff.",1,8,31,25 May 2009
Mission: Impossible III," This Movie Is So Bad It's A Waste of Electricity.
","If you have spend any amount of money to watch this movie, be it for a ticket in a theater, to purchase the video, or even to provide electricity for your television, you will have wasted your money. And you most certainly will have wasted your time. The movie's that bad. But go ahead, it's your life.The fault lies not with the actors - everybody wants a paycheck - but with the idiocy of the movie itself. There is no plot - it's just the usual jumble of gunfire, explosions, and people jumping, shooting, talking on radios, flying in or being shot at by helicopters, drones, airplanes, etc. If I had to categorize it, I would say the movie's got a severe case of attention deficit disorder.Appallingly bad.",1,7,12,23 July 2006
Inglourious Basterds," One too many turns of the screw; and surprisingly pro-German.
","By far the most enjoyable thing about 'Inglourious Basterds' (sic, sic) are the performances by the cast of outstanding European actors. These Europeans really know their stuff. In fact, this film's real stars are the Europeans, especially Christoph Waltz from Austria and Melanie Laurent from France. Their performances are wonderful. As for top-billed Brad Pitt, he has only a supporting role as Tarantino's 21st Century stand-in for Lee Marvin. Pitt may be the star on the marquis, but he's far from being the star of this film.Some reviewers here seem to think the movie is anti-German. I can't imagine how they can possibly think that. Perhaps the bravest man in the whole film is a captured German soldier who courageously chooses death before dishonor. Sure, there are the usual Teutonic sadists and pigs, but on the level of plain soldiers, both sides seem to be more or less equal in executing their inglorious duties. In fact, in their manner of carrying out their parts in total war, the Americans and British in this film don't seem much of a step up from their German enemies. Indeed, these irregulars of the OSS and SOE employ many of the same methods used by their Nazi opponents: torture, threats of retaliation against families, etc. Is it possible for a particular group of sadists to claim the high moral ground? Despite the excellent acting, and superb photography and costuming, this film eventually disappoints. The last 1/4 of the film descends into the realm of pure nonsense, fantasy and ludicrous, contrived situations: a country bumpkin milkmaid becomes a cinema owner; dozens of the Reich's highest ranking officials and officers gather in a hostile city with barely a guard in sight. That's so ludicrous that anyone from the Secret Service watching this film would have tears of laughter rolling down his or her cheeks. Just like a person who always gives a screw one too many turns and breaks something, director Tarantino just doesn't know how to leave well enough alone or quit when he is ahead. Like a child, he insists on demonstrating how much he knows (or thinks he knows) about movies and their history, and so he winds up damaging his own movie. With his in-jokes and his sly aural and visual references to other films and their makers Tarantino wants to impress us, but he really only manages to foul his own work. I know who Aldo Ray was; I've seen him and the late, great Lee Marvin. Is Tarantino trying to impress me with the fact that he knows them, too? The very talented Tarantino should spend less time being referential and reverential, and more time mastering his movie-making skills.",7,9,20,21 August 2009
The Other Boleyn Girl," Excruciatingly Dull Costume Drama. And did I say dull?
","Bana, Johannson, Portman: what a waste of acting talent there is in this dullfest called 'The Other Anne Boleyn.' The cinematography was muted, washed out, and dull. The music was, if anything, even duller. The dialog seemed straight out of a high school drama class.How dull was it? I fell asleep twice, only to be woken up by a poke on the arm. Man, was it boring.As far as I am concerned, the only positive aspect of the movie comes from stimulating my interest in finding out more about the Boleyn girls. I should have stayed home and read the Wikipedia entries instead of actually going to see a dramatization of their lives in this film.",5,3,5,14 March 2008
Black Book," A Very Good Film, But Ruined For Me In The Last 5 Seconds
","Why on earth the makers of this film decided to insert a not-so-subtle political message into the very last few seconds of what was otherwise a very good film is a complete mystery to me. It absolutely ruined the film for me. Instead of staying to watch the credits roll I just picked up and left, muttering 'how could they do that.' I haven't read any other reviews on these pages, so I'm curious to find out if anyone else had the same reaction. The scene is only a few seconds long, so maybe nobody else cares. Guess I'll find out.The story line of Black Book is very interesting, if somewhat convoluted, artificial and overly coincidental. While the German military men are drawn too broadly - surely they can't all be Lumpen-Nazis, - at least members of the Dutch Resistance are given some depth of character development. They, of course, are at the heart of the story. Some of the Dutch are in the Resistance, some others are German collaborators, and most, I expect, just want the war to end. The dance between the amateurs of the Resistance who are trying to play the Germans and the professional Germans who are obviously playing the Resistance is very well done. Sometimes in the film it's difficult to tell who the good guys really are, but in war I expect there are no totally good guys.While I did appreciate the story line, it is actress Clarice Van Houten who positively shines in the film. She brightens every scene. Halina Rijn was fine, too, but her part was relatively small. Unfortunately, for the male lead I'm afraid I'm pretty well bored with German actor Sebastian Koch. This is the second film I've seen recently in which he plays a 'sensitive' German (the other film being the wonderful 'Lives of Others' about the East German STASI.) If you like movies with a war and a counter-intelligence theme Black Book is for you. Not the best kind of its genre ever made, but certainly a film of much quality and substance.",7,3,5,26 May 2007
Tinker Tailor Soldier Spy," Compares poorly with the brilliant 1979 British television version
","I was anxiously awaiting the arrival of this 2011 version of Tinker, Tailor, Soldier Spy with Gary Oldman, but when it finally arrived I was so disappointed that I considered leaving the theater shortly after the movie began. I didn't, but I should have.To be fair to this current film, I admit that I have seen the British TV series version with Alec Guinness many times, so perhaps I'm merely biased. Frankly, though, - and despite the wonderful reviews of this film from many people - I don't see how anyone can take this dull, lifeless version seriously.The acting in this film runs the entire gamut from A to B. Gary Oldman is no Alec Guinness. For all the taciturnity of his George Smiley, Guinness imbued his Smiley with genuine character, whereas Oldman is reduced to maintaining a stone-faced, unemotional countenance for the entire 2 hours 40 minutes duration of this film. Much has been made of Oldman's not saying a word in the first 18 minutes of the film, but this can be easily matched by some characters who had barely a sentence of two in the whole production. The usually formidable actor Ciaran Hinds must not have had more than 10 words total, and they were of absolutely no consequence. Academy Award winner Colin Firth had barely more to say, and I doubt if his role in the film contained even a whole page of dialog. Compare that to the brilliant 1979 performance in that role by the late Ian Richardson. The only character in this film who exuded any sense of real life was that of Jim Prideaux, played by Mark Strong. But Strong was not allowed to be anywhere near as 'strong' as that of the character played in 1979 by the late Ian Bannen.If I had not seen the earlier British television series I honestly doubt if I would have been able to follow the plot of this current movie. The film is dark, the characters rather dull, and flashbacks abound. I really believe the makers of this film expect viewers to already know the plot before arriving in the theater.I have other quibbles. This film has the headquarters of MI-6 located in what looks to be a former warehouse. Inasmuch as MI-6 is an arm of the U. K. Foreign Office, are we expected to believe that the elite of the British intelligence establishment would be housed in those dark, dank conditions? And would spies work in an open office environment with no privacy? Hard to believe.If you go to this film I hope you enjoy it. But I'd also recommend you get a DVD of the 1979 British TV series in which the acting, atmosphere, locations, and music are all far superior to this current version of Tinker, Tailor, Soldier Spy.",3,53,93,7 January 2012
Ocean's Thirteen," A Gold-Plated Cow Patty.
","'Ocean's Thirteen' is a glitzy, gaudy joke. Unfortunately for the audience, though, the joke is on them. I have felt more self-respect after visiting gypsy fortune tellers than I have after seeing this pile of glamorous, conceited, nothing. An Alka-Seltzer has more substance to it than this movie.Undoubtedly, fewer and fewer people are going to remember that this movie is based on the 1960's Las Vegas so-called 'Rat Pack' of Frank Sinatra, Dean Martin, Sammy Davis, Jr., comedian Joey Bishop, and actor Peter Lawford. For all their talents, all of them were on the down-side of their careers, some sliding faster than others. Considerations of money aside, once you reach Vegas your creative career is over. Next stop, Atlantic City. The Rat Pack were famous for being famous, and everything they did was some sort of unfunny in-joke. Nevertheless, the one positive thing you can say about them is that they were who they were.With the Ocean's Thirteen bunch, though, they are not who they are. George Clooney may appeal to many people, but no one can accuse him of having a surfeit of talent. Brad Pitt and Matt Damon are still decent actors, but you'd never know it from the roles they play in this piece of self-centered fluff. One of them should have given up his role to Ben Affleck, an actor much more suited to the vapidity of these roles. And to see Al Pacino in this film is practically a national tragedy.Mostly, though, I'm mad at myself for ignoring my movie instincts and for joining my fellow movie-going lemmings in donating money to the makers of this idiotic enterprise. See, the joke is on me.",4,17,33,10 June 2007
Lost in Translation," An Intelligent American Movie
","Lost In Translation, set in gloriously neon-lit Tokyo, is a film about the universal human condition, the search for meaning, friendship, love.  A beautiful, intelligent, sophisticated young woman (Scarlett Johansson) feels utterly neglected by her husband after only two years of marriage when she encounters a jaded, resigned, middle-aged, American movie star (Bill Murray) in a hotel in Tokyo.  To a great extent these two people represent the book ends of married life, the woman just starting out in her marriage, the man married for many years.  Despite their age difference there is a marvelous chemistry between the two that is quite powerful, and it is the frustrations and disappointments of their respective situations - which is really the same situation - that draws our empathy and understanding.  These two people are real, not perfect.  There is a lot of very good humor in the film, too, and Murray's scene on an exercise machine in the hotel health club is priceless.  It's truly wonderful to see such a fine quality film made in America.",Null,0,0,28 September 2003
The Bourne Ultimatum," A Movie With Severe Attention-Deficit Disorder.
","The Bourne Ultimatum is a series of non-stop action sequences uninterrupted by anything resembling serious thought. Like going to a car dealership and being subjected to the non-stop prattle of an aggressive salesman, the loud, throbbing music and the many scenes filmed with a hand-held, jiggly camera are designed to dazzle the viewer without providing any real information at all. After the first two Bourne films, this one is a massive, action-filled, letdown.If you swallow the movie's premise, the CIA/NSA types have total control over all surveillance cameras anywhere on Earth, and the hero knows all passwords, telephone numbers, and codes to every telecommunications device every made. This is the modern equivalent of the old cowboy movies in which they could fire hundreds of bullets from their six-shooters and never have to stop and reload. Oops, there I go thinking again.Sure, I did find parts of the film entertaining, but more of it was like a cartoon with Wiley Coyote chasing the Roadrunner. I've had Chinese dinners with more substance than this movie.",5,4,11,4 August 2007
Radio," Good Movie, Great Cast
","I hadn't especially wanted to see this film, but now that I have I'm very glad I did.  It was the strong ensemble acting that did it for me.  Ed Harris and Cuba Gooding, Jr. were both superb in the leading roles. Frankly, I don't know which one is supposed to be the 'star' of the film, which I think is a testament to the powerful work of both actors.  They were both superb.  In addition to those performances it was wonderful to see the performances of the rest of the cast, especially those of Chris Mulkey, S. Epatha Merkerson, and Alfre Woodard.  As I watched the film I tried to forget about the characters the actors were playing and concentrate a bit on the quality of the acting itself.  All I can say is that these people are true professionals and that their effort was practically 'British' in its ensemble workmanship.",Null,0,0,31 October 2003
Little Miss Sunshine," A Good Movie That Could Have Been A Great Movie
","'Little Miss Sunshine' is a movie that gave me a lot of laughs, especially at the beginning of the film, but the laughs slowly but surely became fewer and fewer as the movie progressed. I've decided to blame this on Alan Arkin - because his part wasn't big enough! His scatological grandfather role was the brightest spot in the whole film.The whole cast was very good, but as good an actor as Greg Kinnear is, he seems to be type-cast as an irritating schlemiel with a victim mentality whom you'd just love to throttle. Greg's characters always have 'Kick Me' taped to the backs of their shirts, and if you've seen him with Jack Nicholson in 'As Good As It Gets' or with Pierce Brosnan in 'The Matador' you'll know what I mean. Tony Collette was excellent as Kinnear's harried wife. She's so real I could swear I've actually seen her character on the street.The writing was really one of the highlights of the film; after all, if there were no the humor in the writing there'd be no funny lines to deliver. Paul Dano was fine as the family's anguished teenage son, but the humor in his character really comes from the mouths of the writers.Despite the raves you'll read on this web site - and the huge line of folks waiting to get into the theater - the film seemed to lose steam as it went along, with pathos supplanting much of the humor. By 2/3 of the way through the movie the star of the film seemed to be the VW bus the family was traveling in. So, good writing and a lot of laughs; but ultimately the film is missing something - not enough Alan Arkin.",8,0,6,20 August 2006
Salt," Juvenile Fantasy
","'Salt' is pretty much a nothing film. It is full of irrational action, though, and that does appeal to much of the movie-going public. Does any of it make sense? No. Does anybody care that it makes no sense? Probably not.Here's something else that needs to be said: Angelina Jolie is not an especially attractive woman. She's not. She has unusual facial features, but that's about it. That, and she's a 'celebrity.As opposed to that other terrible 'spy' movie that's making the rounds right now ('The American', with George Clooney), 'Salt' at least has a plot, totally nonsensical that it is. So that's what it comes down to for summer 2010 films, a movie with absolutely no plot or a movie with an absolutely ridiculous and nonsensical plot. And the winner is ...",2,1,4,18 September 2010
Silver Linings Playbook," Unconventional, But Could Have Been Ripped From Today's News
","For one reason or another I don't see many movies these days, so I had never seen or heard of the two primary actors in this movie, Bradley Cooper and the beautiful Jennifer Laurence. Watching them on screen in this movie, though, has truly been eye opening. They are both brilliant, if not totally realistic, in this film in their depiction of mentally ill people trying to return to 'normalcy.' The only actor I recognized immediately was Robert DeNiro, and his performance was, I think, his best in may years. The supporting actors in the cast were also uniformly good, especially Chris Tucker. Severe mental illness and other neuroses are not a laughing matter, but this film uses fantastic humor to bring those problems to our attention. And that mentally ill people - rather beautiful people in this film - need love as much, if not more, that the rest of us is something to think about. Despite the subject matter, this is still a romantic comedy. It's poignant as well as terrifically funny. Go see it.",9,2,5,31 December 2012
The 40-Year-Old Virgin," High school locker room stuff.
","This is a pretty lame role for an actor who is constantly touted as the latest and greatest comedian around. Well, he ain't. Rather, Steve Carrell is apparently the beneficiary of the halo effect because of his association with the Comedy Channel's 'The Daily Show with Jon Stewart.' The Daiy Show is great; this movie isn't. Every time I see Carrell on television or in movies he isn't very sharp; he continues that level of sub-par performance in this movie.Basically, this is slapstick, high school locker room stuff for the post-high school crowd. An endless supply of crotch and titty jokes, none of them especially funny. Despite some good performances and a couple of funny lines by Carrell's supporting actors the whole premise of this movie is dull stuff; if you've seen the previews you've already seen the good parts of the film.How bad is this film? Well, I walked out after about an hour; I just couldn't waste any more time on it or Steve Carrell.",2,5,14,17 September 2005
Batman Begins," A Very Good Batman. In fact, the best Batman yet.
","No movie is perfect, but this is certainly one heck of a good Batman. What is especially impressive is the intergenerational viewpoint of the director. I normally do not seek out, or even notice, references to other films when going to a movie, but I thought I detected visual references to Clockwork Orange in some of the scenes with Liam Neeson. Perhaps I'm just imagining it, though Christopher Nolan's biography on IMDb.COM indicates that he's a big fan of Stanley Kubrick, the director of Clockwork Orange.I was impressed by the subtle and somewhat more intellectual underpinnings of the film than what one might expect from a summer blockbuster. To bring a political quotation into this review, it's as if Nolan had taken to heart FDR's famous dictum that there is 'nothing to fear but fear itself.' If anything, the fight against fear is at least as important in the film as the fight against evil. That, in fact, seems to be the source from which Batman draws his strength in his fight against evil. The evil in the film is not just of the black and white variety either, but occupies a much grayer area. Official corruption, poverty, and the misuse of psychiatry (a la the Soviet Union's Serbsky Clinic, perhaps) are elements seamlessly blended in with the obvious evil of old-fashioned Gotham gangsterism. This is quite a heady diet for a summer blockbuster film, I'd say.Christian Bale is a fine Batman, and his supporting actors are as good as one could hope for, especially the wonderful Michael Caine as Alfred the Butler and Liam Neeson as Batman's mentor. Tom Wilkinson, too, is very believable as a Gotham godfather, and Rutger Hauer seems to be a perfect fit for the director of Wayne family business.This movie seems, therefore, to have it all: a good story, fine actors, and, if you are of a mind to entertain them, some deeper questions about what really constitutes good and evil.The darkness and themes of the movie may be too strong for children younger than 11-12 years old, I think, but for everyone else looking for a good summer movie I'd very much recommend it.",8,1,2,19 June 2005
Revolutionary Road," Most of us live on Revolutionary Road
","I could watch the wonderful Kate Winslett read a cook book aloud and not be bored, but what's the purpose of this film? I would imagine 7 out of 10 Americans live in one way or another on their own version of Revolutionary Road. When there's no particular struggle to obtain food or shelter one is left pondering the meaning of life and why one is so dissatisfied with one's lot. It's the middle class curse.There is nothing special about this film or, I expect, the book on which it is based. For many, the American Dream is just a long, dull, pointless exercise on a treadmill while waiting for the inevitable. What's the point of seeing it played out in a film? Does the filmmaker think we're not aware of all this?",3,19,34,14 March 2009
The Bourne Legacy," Car chases and foot races, we've seen this all before.
","Car chases and foot races; boring! we've seen it in dozens of other movies - since the 1930's at least (when they were better done.) I swear that whole scenes in this movie have been lifted from other films. Merely having a few good actors (Renner, Weisz, Norton) in the movie cannot turn this sow's ear into a silk purse. Watching this film wasn't even painless (especially a mass murder scene that could have been lifted directly from today's headlines), but it most definitely was brainless. It also seems to have been made with a sharp eye on its budget. It's just less expensive to shoot parts of the film in an East Asian slum. And why is the great actor Albert Finney making a cameo appearance in this movie. Is he doing someone a favor, or is he down and out? I wonder what they are going to call the next sequel in this series, 'The Bourne Repetition'?",4,4,11,12 August 2012
