movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," difference between speical and great
","I think there is a difference between something being different and speical to something being great to watch. This movie is speical and different. Many things attempted in this film which was really unique and we should give credit to that. However, this does not mean that this movie is great to watch. It is hip to wear coke cans as your outfit, but it does not mean you will feel comfortable or necessary beautiful. So for being inventive, 7/10, for the plot and the film itself, 6/10.",Null,0,1,25 August 2002
Requiem for a Dream," Why I think this is a good movie...
","below are the reasons why I think this is a great movie...1) The movie is cleverly filmed. For example, a scene when the mother was packing her house, the camera moved a cm across per minute. And end product is a camera moving slowing from right to left while the character is in fast motion.2) Music did what it was meant to do, to push the viewers into a state of insanity and depression3) There are some really good scenes. The conversation Harry had with his mom when he visited her and found out she was taking those pills was very well done. 4) The acting was also very good. If not for the two young actor/actress, Ellen did an excellent job and yes, she should have won an award at the oscars.5) The film itself is about anti-drugs, but it is not just about that. It is about attachments to our own beliefs, sorrow and possessions.",9,1,2,11 May 2002
Requiem for a Dream," Not just a anti-drug message
","This movie is for those that likes to think after watching a movie or for those that likes to 'study' how the movie is filmed and edited.Many of the reviewers here mentioned that this movie is about anti-drugs. I agree. But I don't think that it is only about that. This movie is about addiction. Addiction to drugs. That is the common one. But there are also alot of addictions in the movie that is harder to find. Addictions to lifestyles, beliefs, society's pressure, happiness, depression, love, money....This movie is about how a person lacking control in ones own thought process. How one is the victim of circumstances. This movie is sad is not because the movie keep showing you people in depression and addiction to drugs, this movie is sad because it is pointing out a simple fact of life. We all think we have full control of our lives even when we don't. We are all victims in whatever degree in addictions to life, no matter if it is beliefs or pride or faith.",9,0,1,26 March 2002
The Ring," Don't even try to work it out...
","SpoilerI didn't want to see this movie in the cinema. But a friend insisted and I went. The first few minutes into the movie and I see how the movie was carried out, I knew that I will be in for a long boring sleep session. When the girls heard the phone rang and they were spooked to get it and later found out it was her parent, I was about to leave the cinema. The rest of the movie was just a thriller investigation of what 'the ring' is.
I have never feel so strong negatively in my opinions towards a movie before, but this is the first one. (Not even towards Eight Legged Freaks) I thought it was really a waste of my time and degrading my intelligence. The only good part of the movie was a few seconds near the end...but of course, the damage was done...it is infact a serious joke this movie is 7.9  HIGHER than The Birds and Rope by Hitchcock. Now that is very scary.",6,0,0,14 November 2002
Chinatown," mmm...
","Maybe it is because I am not in a 'particular' state of mind when I saw this film, or if it is because I shouldn't watch this film straight after 'the deer hunter', I didn't really click with this film. I don't really understand why Chinatown as a title is appropriate. Is the plot that exciting, isn't it just a typical crime story with a slight twist in the end? Jack's performance was good, but I am being very nice here since I would say his performance in 'one flew over the cuckoo's nest' out shadowed this many folds. I don't know, maybe it is my own fault, maybe you should never watch anything after the deer hunter.",Null,3,5,26 June 2002
Monty Python's Life of Brian," Always look on the bright side of life...
","I am not a particular great Pythan's fan since I have not seen any of their movies before. Some of the jokes are alittle out dated in today's standard. However, the ending is a classic. I was surprised how beautifully they managed to end this movie...and of course, always look on the bright side of life...",Null,0,2,21 July 2002
Fight Club, ,"This film is really great. Why is this film great? Well, not many films actually can play with your mind, and this one actually did just that.Just don't blink in the last few seconds of the film and you will see what maybe half a second picture of a penis. So what is so special about this penis? Well, it is a good wake up call to you and your buddies watching this film how much is actually covered over our eyes. And oh yeah, there are some good actors in it as well, but I forgot their names....not important. You just learn not to control everything all the time, just let go....
You know what the funniest thing is...when I finished watching this film and change to my TV channels...there it is again...a dinner set for just $19.99",9,0,2,28 May 2002
We Were Soldiers," Good, but its been done to death
","This movie is good. It is based on a true event. However, I really don't understand why they would want to produce another war movie. When I walked in and see this movie, I felt like watching a mixture of Saving Private Ryan, Thin Red Line, Black Hawke Down all at the same time. I guess they can't do anything about that...it is about war, so it must be about killing and dying. This movie, (individually) is good. The only thing that is letting me down is that this 'type' of movie had been done; once too many times. If they wanted to make another war movie, why not make it alittle different; in terms of perspective, or ways of filming or character development. The only war movie I mentioned above is any worth watching again is Thin Red Line. At least that movie attempts to do something different.",5,0,0,27 April 2002
Blade II," getting tiresome
","Possible Spoilers.It is hard for me to say if this is a good film or a bad film. It depends entirely on the viewer. But I personally am getting alittle tired of watching these type of films. They are the same again and again and again and again. Speical effects in this film is good but is no way outstanding. Computer generating sequences are well, just that. Even the Matrix 2 trailer looked better. But I guess you can't expect a classic everytime you walk in the cinema, so for what it is worth, it is just good entertainment.",5,1,3,15 July 2002
Taxi Driver," truely a great film...
","To be really honest, when I first saw this film, I didn't know what to think of it. There is something there, but just can't put my finger into what it actually is. When I watch it a second time, that is, straight after watching it the first time, I start to understand what and why the film is so great. It is kinda hard to explain it in a few words, but the movies done back in the 70s is alot different from the ones done nowadays. There is depth in this film which is not found in many modern films. For example, nowadays, if you want to film a overhead shot like in the last scene, we can simply use computer technology. But what they did was actually punch a big hole in the ceiling to put the camera! The camera work is done very nicely but you may miss out its brilliance if you do not know what to look for. For example, in the beginning when DeNiro was in the Taxi Company, the camera scan him watching on the right and it doesn't follow him but rather do a circle around the place and catches back with him when he leaves the door.
I must admit that this film will not be fully understood if you do not know the backgrounds. So I strongly suggest if you are fortunate enough to have a DVD of this film, watch the 'makings of', I am sure you will learn alot more.What truely stands out of course is Bobby. I really admire his dedication to his job. He doesn't just go in and act, he actually studies his role and spends alot of time praticing. He even got a taxi licence! How about that.The central ideology in this film is the theme of loniness. And even though the film is very bleak, the surprising result of it is a moral one. If many people can relate to this film, it means that you are not alone in being alone! So the great depression each of us faces each day is nothing speical, it is part of the human conditions.",9,0,0,19 June 2002
Forrest Gump," Intelligence
","One thing I wanted to get straight, the movie Forrest Gump is an intelligent film. Many of you will disagree, but that is because you are not seeing this film in the light of its full potential. I can name tons of scenes which trigger in one way or another a philosophical ideology. And I mean TONS!The oh so famous feather scene...The scene when Forrest is at Jenny's grave...The scene when Forrest just finished runningEven his name Forrest has a meaning.The movie itself holds the meaning that the measurment of success is not by intelligence and fame, it is by a simple notion of happiness. Forrest could be a million-air, but he is happy to mow the lawn for free.There are many people I talk to don't understand this film. The reason is because they can't relate to it.",9,1,4,10 May 2002
Fargo," I must have missed something...
","Spoilers.I must have missed the plot, I really can't see why this film is so good. The director did a few good films, so I have nothing against Coen. The genre of this film supposed to be a drama/thriller/dark comedy. But I personally didn't find the comedy that funny and the plot is alittle too common. I may have missed the point, I don't know.",Null,0,2,23 July 2002
The Lord of the Rings: The Fellowship of the Ring," Good but not excellent
","This movie is good. The special effects are outstanding. However, I felt that most people love this movie is because it is Lord of the Rings. That is, any clothes made by Country Road is bound to be expensive, any movies based on Lord of the Rings is bound to be good.The plot is too straightforward. In fact, I don't know if there is much of a plot at all. Some scenes are not very logical...I get the feeling that it is put there not because it will help the movie but because the director wanted to show off the special effects.So go and see this film if you love eye candy movies. But just make sure you switch off your brain and don't think too much about it afterwards or else you will find alot of problems with the movie.",1,4,10,28 March 2002
The Village," Its really scary, it is so bad, it is extremely scary...
","I don't know what is wrong all the reviewers. I also do not know what is wrong with Mr. Night. It seemed that he just gone from great with his Sixth Sense to bad to worst. Writing your own scripts and directing it is an excellent move, however, it does not mean it will always work out. In the later cases of Night's movies, it appeared that he rushed his scripts and did not take any care at all on examining his plot or characters. When you have characters explaining things near the end of the film to the audience and when the dialogs are said purely to explain something to us, we know there is something wrong. And when the plot had to be twisted so much in order to fit everything in and rendered it so twisted it became disfigured and disjointed, it is another bad sign.Mr. Night used to be compared with Mr. Hitchcock, I would dare say this comparison is getting a little too absurd. Intelligent scripts are not easy to come by and intelligent scripts with symbolic meanings are even harder to come by. If one is to argue the fact that this movie is also about the supression of a community through the usage of fear etc...I would have to conclude that you had watched very little old films of the great eras of Hithcocks and other great directors.",4,1,2,10 January 2005
The Shining," In some aspects, this film is a classic
","O.k., this is one of those films where I can't point my finger at why it is so good. Don't try to find logic or common sense in this film, sometimes things just happened without an explanation. Nor even try to find a plot, there ain't much of one. The thing that stands out of this film is the acting and the way it is presented. There were a few really well done scenes in the film and is used/sproofed by many other films. Sometimes the 'scary' music gets used once too many times and it does get alittle rediculous. The way the atmosphere and emotions created is excellent. The acting by Jack is outstanding, but I guess it is not surprising since he did star in 'one flew over the cuckoo's nest'.",Null,0,0,6 June 2002
American Beauty," done before...
","I don't really like to compare films. But I do feel that American Beauty is really a remake of the film Ordinary People directed by Reford. The only difference really would be that AB attempts to be a comedy also. But seriously, if you like this movie because of its acting/dramatic qualities, please watch Ordinary People.",6,0,0,17 September 2002
The Pianist," one too many
","spoilers. I do want to like this film. I have high hopes when I enter in the cinema after hearing so many good things about the film. But I can't help myself from thinking that this idea had been done once too many times. There are just too many films made about world war 2 and the Nazis.
I personally did not feel that the concept of the main character being a 'pianist' is very necessary to the plot structure, (they don't have a very close link), and also I felt that Brody did a good job, but I think Jack was better in schmidt. I did not really get into the film's emotional side, there were many graphic scenes, people are shot at close range, and people jumping out from buildings. As usual, we will see that the Germans are evil enemies and one of them will be nice just to prove the point that not all are bad; a plot devise also used too many times. Good film, if this is made few years ago, maybe it is better. I perfer Life is Beautiful more than this film.",Null,0,1,20 April 2003
"Crouching Tiger, Hidden Dragon"," I don't understand...
","I really do not understand why so many find this movie to be so good. Is it because of the love scenes or is it the fighting scenes? I am from Hong Kong, and I had seen many HK films and I can tell you, the fighting scenes here are not groundbreaking. In fact, it is alittle silly. The only reason why this film got so many awards is because this is the first film that used HK filming techniques in Hollywood; the excess useage of wiring, swords etc...In terms of the love story, I don't know, there are many other films have a better love story...even Titanic can do better. Also, after watching the film, I did feel somewhat 'cheated' because Chow Yun Fat is always on the front cover, but his apperances in the film is not even close to a suporting role. #38 on the list? I don't think so. Watch more HK films and decide for yourself.",Null,0,1,29 May 2002
