movie_title,title,review,rating,helpful,total,date
The Rock," better than average action movie these days
","Better than average action movie these days, however it has way too much action.. The movie would be better off cutting some scenes off... and maybe a little more weighted out... elite commando can't win over the terrorists but than a chemical expert with 3 weeks-long drill and a pensioner who spent last 30 years in prison gets it all done... I wonder if I would be able to jump into a car and drove better than any police if I spent 30 years in prison (an example of a scene, that could have been left out...)...
Nevertheless it still is not a bad movie...",8,0,0,17 February 2020
Requiem for a Dream," gets better and better
","At first I though of how this is going to be one of a stupid movie again... But from about a middle, the movie got my full attention. I already got used to the unusual film shot, brisk changes, dramatic music.. Towards the end the movie got me.. Emotions and the situations of all main characters were expressed really well!",9,1,1,22 March 2020
The Perks of Being a Wallflower," drama from high school...
",First I thought it will be another high school-outsider movie.. But I was well surprised.. it wasn't only shallow teenage hit for one seasson.. Actually there was a number of phylosophical thoughts.. The movie had a good escalation.. I can recommend it..,8,0,0,1 April 2020
E.T. the Extra-Terrestrial," great movie
","Even after the years, the movie is still great.. it has a couple of illogical scenes, many other overacting the situation... yes, the movie have some holes now and than.. nevertheless watching it is fun.. maybe just because of the memories from childhood...",9,0,1,10 February 2020
Citizen Kane," an overrated movie to me
","I think I watched a different movie... Or maybe I am just complete film-illiterate, but the long discussion about uninterested topics almost made me fell asleep.. It can be the most influential movie, but I won't watch it again..",2,1,4,17 January 2020
The Impossible," strong story
",It is a very strong story. Especially because it was based on true story. It is really incredible what the family had to go through. The film setting in the tropical paradise is beautiful and many scenes are thrilling.,8,0,0,17 January 2020
The Great Dictator," what a surprise
","I did not really know what to expect.. I have known the final speech for a while and so I decided to see the entire movie. At first I thought it will be this dumb silent movie grotesque what I normally don't enjoy... But surprisingly, the Great Dictator is a very hilarious political satire with interesting plot and funny resemblances... especially when one considers the year when the movie was made, it definitely shall not be forgotten. I was about to give full 10 stars but because still I am not a fan of these kind of movies and especially at the beginning it took me a while to get caught my attention",9,0,0,9 March 2020
The Jungle Book," classics
","After watching the new Jungle book, I also wanted to remind myself the first movie. It is much less action (well the new one is kind of horror..). Definitely its is muh more suitable for children. More humorous and less serious, but the main story remains. And the great animation is admirable considering the age of the movie..",8,0,0,15 March 2020
Snatch," should have better rewatched Lock, Stock...
","I love Lock, Stock and Two Smoking Barrels.. Snatch is another gangster movie from London's underground.. Compared to the previous, or similar style-movies like pulp fiction etc. Snatch is however extremely slow.. full of boring dialogues, almost no action.. From time to time a short maniac shooting (or some action) scene and than back again to the boringness...",5,0,2,30 March 2020
Southpaw," another Rocky movie..
","I can't really say the movie was all bad.. but neither all good.. Basically it is another boxing movie.. A Boxer at the top of his career looses everything like a bolt from the blue so he can win most of it back after few weeks of training.. I found the plot really boring, the main characters were not described sufficiently.. Billy overshadows them all.. and Jake Gyllenhaal plays his role really well and you get to see a lot about how he's ripped if that catches your attention... I would however recommend the movie Cinderella man better..",5,0,1,31 March 2020
Rush," Lauda vs. Hunt
","A thrilling movie about the 1976 F1 Championship and the battle between the best drivers that time. It's nothing like fast and furious and such... This is actually a true story - one may speculate to which extent, but that is not the point of the movie. Amazing shots from the racing circuits and the special kind of rivalry/friendship between the two racers.. Together it makes a great movie!",10,1,2,25 March 2020
The Bourne Identity," good action worn out plot..
","The actions in the movie are decent.. usually not as absurd as the case of similar action movies.. but this kind of 'supe-ragent and evil CIA controlling the world' - type of movie is getting too boring... helps to understand why more and more people fall for conspiracy theories , though :D..",6,0,0,7 April 2020
54," not bad, but not really good either
",I quiet enjoyed the movie... showing the story of a famous club.. I can not rate the actual accuracy. However I was somehow missing a message of the movie..,7,0,0,23 February 2020
The Pianist," strong and sad story
","As all the war movies, The pianist is a very sad story of a jewish family, especially it's only survivor. The movie presents the struggle and everyday fight which catches the watcher's attention and doesn't let him go for the entire 2 and half hours.",9,0,2,19 January 2020
The Lion King," Lion King in new animation
","I saw, heard and read the story of lion king several times.. It was nice to see it once again. The animation was done very well but other than that this adaptation does not ass anything new (which is probably a good thing...)",9,0,1,16 February 2020
