movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," A sumptuous sequel to Blade Runner that is in love with its own aesthetics but missing the soulfulness of its predecessor
","I guess my expectation was a little too high for Blade Runner 2049. I enjoyed Sicario and Arrival, and was excited to see what director Denis Villeneuve would bring to the classic sci-fi world of Blade Runner.My expectation was further built up after watching the three excellent short stories that the studio released on YouTube. They were wonderful short-films themselves. The narrative, the mood and the acting of the three shorts were nothing short of astounding.Now I'd like to point out that Blade Runner 2049 is a really well made film. You can feel the passion and respect of the film crew and cast in revisiting the dystopian world first written by Philip K. Dick decades ago.That story has been further expanded with intriguing new characters, both humans and replicants. However, at 47 minutes longer than the original movie, the film felt protracted. It seems Villeneuve is in love with his own storytelling as there were too many lingering shots over barren landscapes, the horse sculpture scenes and conversational points that felt somehow hollow. Although the visual aesthetics is gorgeous and the production design is top notch, I feel that 2049 couldn't decide if it wants to be Blade Runner 2.0, or Ghost in the Shell. The first is an existential study of identity and memory wrapped in neo-noir detective story in a dystopian retro-future. While the latter is an existential study of soul/consciousness wrapped in an action hi-tech thriller.Maybe Villeneuve or the screenwriters wanted 2049 to be both. Certainly, there are more and frenetic action sequences in this movie that for me, feels jarring when juxtaposed with the slow and contemplative sequences that almost drown the narrative flow of the second arc.It didn't help that the soundtrack was heavily post-industrious with mechanical clanking screeching over nostalgic synthesizer of the original's. While, the overall cityscape and gears in 2049 are kept retro-futurist looking, this sequel has lost the neo-noir feel of the original. Contemplative scenes and longing gazes of the original are replaced by emotionless look and disconnection between the characters.While the sense of mystery kept me engaged in the first half of the movie, the slow burn sequences in the middle and last part of the movie didn't really build up enough tension nor immersion in the story. So when the revelations of beloved characters showed up, they didn't feel so much as rewards but empty shells of their former selves.I agree that both Ryan Gosling and Ana de Armas are beautiful to look at, but there is something mundane about them that kept pulling me out of the futuristic world. Perhaps someone like Armie Hammer would have been a better choice than Gosling. There is also very little chemistry from K towards Joi, and I'm not sure if it was written to be that way. Because K's interaction with almost all the characters in the movie were cold and disconnected as well. He posed and fought well throughout the movie, but when it comes to the investigative or character building portion, he didn't feel natural.I guess I found Detective K's character too stoic to sympathize with. More at home with his digital girlfriend than with humans, this blade runner does not exude enough emotion for me to understand his anguish outburst at the memories facility, neither did he hint at any stirring emotions that would make his character arc felt satisfying.In the end Roy's tears in the rain was more poignant than K's tears in the snowfall. If Blade Runner was haunting and dark, 2049 is tragic and sleek. I do enjoy the plot twists and revelations, but wish they had substituted some (but not all) of the lingering shots with more character building, especially building up Bautista's Sapper and Leto's Wallace characters. I appreciate the nods to the original movies with a slightly updated Spinner design and cameos from both Gaff and Rachael.In the end though, I'm glad they made this movie with such fervour and respect to its predecessor and to the original fans. It's just a pity that 2049 in my opinion lacks heart and soul of the original's. Who knows, perhaps like the original, I'll come to appreciate 2049 upon second or third viewing. Perhaps this movie is truly ahead of its time, much like Ridley Scott's Blade Runner.One thing for sure, Blade Runner 2049 deserved to be experienced on the big screen. And it's a leap above Rupert Sanders' Ghost in the Shell.",7,3,9,21 October 2017
Star Wars: Episode I - The Phantom Menace," 10 good and bad things about this movie
","I've watched the movie & the original trilogy, read the books & comics, collect the figures & so on. I'm a fan. But I have a mixed feelings and opinion regarding Episode 1, which best described by these points.10 GOOD THINGS : 1. Great effects. Lucas has managed to paint the StarWars worlds closer to his imagination with ILM technology. The Naboo palaces are elegant, beautiful Gungan city, hi-tech Coruscant and well-designed Battle Droids.2. Professional actors and actresses. It's amazing to see some of the heavy-caliber actors/actresses and hot newcomers casted in the movie. Ewan is a perfect substitution for Alec Guinness, Liam has the charisma and posture meant for a Qui-Gon, Natalie's characterization has strength plus she has this intellect and sweetness in her image, etc.3. Loyalty to the original trilogy. You can finally see how the Jedi (and the rest of the galaxy) are (were) like before the Empire rules. They are more liveful, energetic and colorful. All this without the expense of the Jedi tradition. You can see how the designs of settings, costumes and vehicles (although they seem to be more advance) will later contribute to the designs in the original trilogy.4. I welcome the cameo appearance of some of the original cast. A. Daniels as 3PO, K. Baker as R2, Ian McDarmid's Palpatine, even Warwick Davis is there.5. Great costumes. The Jedi cape has distinctive personality according to the one who wears it, without eliminating the uniformity of which is clearly Alec Guinness' OB1's costume. Amidala's costumes are meticulously designed with much Japanese influence.6. Spectacular lightsaber fighting scenes. On the desert, in the hangar and the last one. Specially the last one. I think Lucas and his team want the best battle choreography done as the climax. When American audience has been exposed to fast-paced Asian action movies (Hongkong and Japanese anime), they have to increase the standard of this fighting scene to cope with the audience demands. And they did.7. Not all things are explained which make me impatient to wait for the next episode. Lots of loose ends need to be tied here. Hopefully they are meant to be that way and not because of some fault in the narration.8. Lots of 'delights' planted in the movie. Some for fun, while others I believe actually connected to the rest of the episodes. Try to find out, there are at least 6 'secrets' in the movie.9. A complete family set. You have QuiGon to represent the old generation/the mentor, OB1 to present the young adult, and young Anakin for the kids to relate to.10. John Williams is back as the composer for the soundtrack. My personal fav. is the last lightsaber-fight's background music. Nice job there Mr. Williams.And now the 10 BAD things about this movie which, surprisingly spoken not by the press or non sci-fi fan, but myself and other long-time Starwars fans :1. Jar Jar Binks & Boss Nass. If Lucas needed to introduce the element of comedy, he should've done it through intelligent comical dialogue (just like what he did with Luke, Han and Leia), not some low grade physical slapsticks (I hate the way JarJar jumps into the water).2. Target audience. Obviously Lucas directed this movie towards the 6 to 13 year old kids instead of his true long-time fans, who are mostly aged 20 to 40 by now. Perhaps this is also because of the fact of him being a father. We all can use the humour, but to what level exactly? The children seem to be the ones truly enjoying the entire movie.3. Plot is too shallow. The media say,'So are the rest of the episodes' plots.' No. The original trilogy were conceived through careful and detailed narration. This was done by having the right chemistry between the characters and the dialogue are meaningful and entertaining. Unfortunately I can't say the same thing for TPM.4. In connection with opinion #3, the entire movie seems like a series of pacthes of many beautiful and strong scenes. Perhaps the movie is too short, that we are not given enough time to know what is really going on. Or because it's really too simple while we're still thinking if that action really means something.5. The effects and climaxes overwhelm the characterizations. Too many good things fighting each other. The CG creatures are too perfect, too smooth that you know how fake they are. When the Ewoks die in ROJ, I actually feel sorry for those 'little teddy bears' but in TPM I don't care much what happens to those 'overgrown ducks'.6. Racism in context of personalization. I know Lucas is merely trying to entertain the kids but isn't he mentally suggesting to the kids, how silly the Jamaican Jar Jar Binks is, how simple-minded the Italian Boss Nass is, how evil the Japanese Viceroys are, and how greedy the-whatever-non-American-Watto is?7. Anakin is too young. The original script was meant to have a 10 year old Anakin, but the genius Lucas thinks it would be more touching to have an 8 year old  to go through all the obstacles. Well, because of this there are odd moments when Anakin interacts which other characters, especially the sexual implication between him and Amidala/Padme.8. I dislike how Anakin destroys the Droid Control Ship. It looks more like luck than the force. Oops, push this button (there goes the power generator), push this button (the battle (droids are destroyed).9. The movie seems like a lab-rat to test ILM's new technology. The CG characters truly lack of emotion. The mimics are all there but not the emotions, not the souls. Lucas is better go back to actors wearing costumes and masks.10. The chemistry between the characters (except for QuiGon and OB1) is lost in the midst of all the excitements.I can only hope all of our disappointments and opinions do not fall on deaf ears, and that Lucas may have the remedy in the next chapters. So next time, I will be able to write 20 good things about Episode II with 0 bad things.Thank you.",5,0,1,17 July 1999
Star Trek," What a joyride from beginning to end!
","What a joyride from beginning to end! I'm not a Trekkie, although I did enjoy TNG a lot as a teenager. But the old classic Star Trek was too cheesy and the only reason I watched some of the episodes were to laugh at the silliness of it all. It was so silly that it became entertaining.However, this newest movie tops it all. It is simply the best of out the whole movie series, and I believe it will win many new converts. J.J. Abrams earned my respect yet again. The movie thrills and entertains you, while remaining respectful and thoughtful to its predecessors. Even the cheesy sound effects from the classic series were intact, yet somehow crisper and nicer on the ears.I love the new interpretations of the characters and think that at their very cores, they remain the same souls. The twists with the character relationship and plot were also well done. The action sequences and CGI were absolutely spectacular.I hope they keep J.J. Abrams for the sequels, and now wonder if he should have been involved with reviving G.I. Joe: Rise of Cobra.",9,0,7,6 June 2009
Rogue One: A Star Wars Story," Rogue One stands out as the rogue in the family
","SPOILERS AT YOUR 12 I give this movie 7.5 out of 10. It wins points for its freshness, introducing new elements to the Star Wars universe like new types of Stormtroopers and new vehicles, whilst teasing your nostalgic sensibilities. Classic characters from the original trilogy and prequels make cameos that build connections to both trilogies and the animated series. Even Aunt Beru's blue milk made an appearance.I was personally delighted to see both Gold and Red Leaders from Episode IV and even a couple of familiar Cantina's thugs. The action pieces and production design are of high caliber - at once they fit within the Star Wars universe gritty and used looks, and at the same time they help heighten the war zone feel of the movie.Like all the Star Wars movies, Rogue One takes its inspirations from classics like The Dirty Dozens and Saving Private Ryan. We have heard the story before, things are familiar and yet within the context of Star Wars - they feel bold and brave. Kudos to all the film crew and cast for pushing the envelope and stay close to the director's vision, despite I heard Disney's attempt at making it child-friendly.And this is where the movie starts to lose points: although the narrative is solid and the story flow doesn't feel 'Forced', it is uneven at places. Especially every time they threw a joke in what should have been a somber or a tensed sequence. There are too many times this happens that I never feel truly immersed in the world. The jokes, admittedly funny, were too frequent and peppered throughout the movie that they diminish the weight of the situation and all the sacrifices that climax with the death of all the main characters.Additionally, many of the powerful shots and sequences from the second trailer are not in the movie. I would have loved to see that rebel soldier running towards the AT-AT.At times, it also felt they put in too many references to the original movies that Rogue One never quite spread its wings and be a truly independent vision from all its predecessors.However, I am sill happy with the overall movie. It is better paced and told compared to Episode VII. It's got my childhood hero Donnie Yen and all the other cast and characters brought gravitas and quality to their performances. Unlike the cast of Episode VII who at times felt like they were so giddy to be in Star Wars and were there simply to stitch the set pieces together. In Rogue One, each character feels they belong with the story line.Lastly, for a couple of minutes the end sequence made me feel like a boy again: I was five or six watching Episode IV for the first time on TV, terrorized by Darth Vader as he invaded Tantive V and walks through that smoky hallway amongst dead rebel soldiers. For those two glorious minutes I thank Gareth Edwards for finally delivering a Star Wars film worthy of the classic trilogy. Rogue One never reaches the height of the original trilogy, but it is certainly a bold and fresh take on the Star Wars legacy that more than makes up for last year's recycled sequel from J.J. Abrams.",7,25,50,16 December 2016
Pirates of the Caribbean: The Curse of the Black Pearl," Entertaining.
","Yep, that's pretty much sum it up. This is an entertaining summer movie. A thumb up for Verbinski and/or the film editor that decided to keep the running time more than 2 hours. It allowed for character development and interaction. Quite engaging at times and the cgi usage was effective and precise.Plus you have gorgeous casts and big budget. Everyone had fun.",7,0,1,22 October 2003
Us," A bland horror and let down from the highly entertaining Get Out
","I really like Get Out, but found Us to be bland and uninspired. No intriguing subtext nor social commentary, and no humor in it too. I think Lupita acted well but I couldn't be absorbed into the movie, there seems to be an aloofness to it all. And I never really went through the journey with any of the characters, unlike Get Out. A shame really as it could have gone somewhere incredible or twisted. Speaking of the twist, it was predictable from about a quarter through the movie.The problem is that US recycles a number of older horror movies which did each of the theme better: Invasion of the Body Snatcher, Logan's Run and The One I Love came to mind.The opening text was misleading too, I thought it was alluding to some sort of subterranean mutant world or a supernatural dimension. The film is a bit of a mess, although the actors gave pretty solid performance. It's just they are not that well written nor interesting for me to sympathize with. None of them are.Jordan Peele needed to cook this one a bit longer.",5,1,1,10 June 2019
Terminator Salvation," This latest installment has more dust and metals, then bones and dread.
","Terminator Salvation is a league of its own, in fact it feels like a movie that belongs to a different series. Despite it's cyberpunk legacy, Terminator Salvation feels like a war drama that happens to be set in a sci-fi post-apocalyptic future. Gone are the dark sky with red and blue rays penetrating the smoky horizon. This latest installment has more dust and metals, then bones and dread.I think that's what missing from this movie: a sense of dread. Every time I watched the flash forwards from the original trilogy, they always had a grim sense of nihilistic dread. Even the comics of the 80's and 90's retain that sense of hopelessness and impending doom.Terminator Salvation however took a different turn, and in most part it worked. The action, visual effects and plot were engaging. They may not be the best, but it's definitely worth watching the movie in the cinema. McG seems to have a more mature film direction, and the re-polished script certainly helped gelled the characters more. I was wholly entertained and it was fun to watch several references to the previous trilogy, especially a delightful sort of a cameo by an 'original cast'.I think the main problem of the movie is the lack of running time. It seems the movie would do better with more character developments, but unfortunately the action sequences were competing too hard for screen time. Otherwise, I would love to learn more about characters like Marcus, Blair, and Kate Brewster. Even John Connor himself didn't get enough screen time, except for yet more action scenes.This is where the original trilogy shone, we got to know the characters well so it felt like we were walking the distance along with them. Whereas with T4, I felt that we were mostly just spectators.Christian Bale and Sam Worthington have done a good job though, and I hope the sequels will be even better. One thing to note: the sub-plot with Marcus's character is inspired by a story arc by Dark Horse's Terminator comics published in the 90's.",5,5,8,6 June 2009
Silent Hill," A unique existential horror that suffers under Hollywood production
","The Silent Hill game series is a rare gem in the survival-horror genre. It blends a rich tapestry of psychology, symbolism, history,pop culture, as well as ancient mysticism. Konami did an incredible job developing a game that is immensely engaging, eerie and disturbing. The movie version is visually as stunning as the game, but it lacks soul, empathy and coherence. Christophe Gans has gone to great lengths in securing the right to this movie. I've read that he played the console games, and personally wrote a letter to Konami expressing his understanding and respect for the game. However, from the look of things he has not successfully translated the essence of the game, and instead went into a tangent to tell a rather different story. In any other instances, I would have welcomed a new twist, different interpretations or additions to the game's lore. However, by turning the very core of the story upside down this has become a disappointing adaptation of an otherwise beautifully shot film.SPOILERSHere are the differences between the movie and the console games: 1. The main the protagonist is now a woman. The father figure who is desperately searching for his daughter (in the game) has been supplanted by a mother figure. Hollywood is once again conforming to the popular stereotype of the absent father who is unable to protect the wife/daughter character from harm. Subconsciously, the terrors of Silent Hill can also be interpreted as the representation of malevolent presence or the incompetence of the male characters. This change of gender also helps to support the underlying message of the film. This is clearly stated at least twice in the movie when the character of Cybil Bennett and Rose Da Silva mention that 'Mother is god in the eyes of a child.' The fertility-goddess subtext is indeed inherent in some parts of the movie.2. The Satanic cult in the first game is led by Dahlia Gillespie. She also raised Alessa Gillespie to bear the seed of Samael. The burning that Alessa sustained was a ritual that had gone awry, or as some game fans have suggested was intentionally done to create undying hatred within the child Alessa: a prerequisite condition for the unholy birth.Throughout the original game and its sequels, the Satanic cult continues to thwart our heroes/heroines. It represents the twisted and evil part of humanity. The cult membership comprises of nurses, doctors, a geneticist and other lay people. They even produce and distribute addictive drugs to control/influence the town's population.In the movie however, the cult has been changed into a witch-hunting pseudo-Christian church. This is the biggest and most damaging alteration in the film, which changes the core story of the game. In the movie, now we have an evil church versus an evil child, complemented by agnostic/atheist protagonists.3. The unholy trinity of Samael, Alessa and Sharon. Due to the failed ritual in the first game, Alessa's body has become so badly burnt that she couldn't function like a normal human anymore. Only the evil presence within her keeps her from death. It is this same power that taps into the mystical force of Silent Hill, and converts its environment into a nightmarish Silent Hill, which is essentially a projection of Alessa's own suffering.Dahlia reverted to alchemy and genetic engineering to clone Alessa's DNA and creates a doppelganger baby. This baby is later saved by a nurse and adopted by the Masons (Da Silvas) and named Cheryl (Sharon). The movie is a bit clumsy in describing how Sharon became adopted. And it is even more ambiguous in describing how the 'Darkness' appeared and 'possessed' Alessa.4. The monsters have lost their symbolic meanings. Every single monster type in Silent Hill game series embodies a psychological trait of a character. The mannequin nurses symbolize James Sutherland's suppressed lust. The theme of the second game is guilt, and thus Pyramid Head is at once the representation of guilt and also the executioner of James's sin (of killing his wife). In the predominantly female cast of the film, many of these monsters have lost their symbolic meanings and relevance to the main characters. In the games, Alessa's dark power feeds on the game characters and makes flesh that which is buried within.5. The omission of the talisman of Metatron and the foghorn of Samael. These are two tools that have been omitted because they don't serve much purpose in the non-interactive medium of film. In the game however, they are physical representations of the two opposing forces of good and evil. The foghorn of Samael is translated into the church's siren in the movie though. Its purpose is slightly different to that of the game's.6. Inconsistent and improper use of music tracks. Akira Yamaoka composed four incredible soundtracks for the four games. Each soundtrack is catered to a specific chapter within the Silent Hill saga. The music pieces help convey emotions and mental states of the characters. They immerse a player into the right mood and help build an eerie atmosphere that is at once disturbing yet attractive. The movie makes use of at least the first three soundtracks extensively. They are selected and scattered throughout the movie almost without any coherence to the progression of the story, nor any significance to the characters' development. I do enjoy the visual of the movie and to be honest, Pyramid Head and Cybil Bennett are really well done in the movie. So if you consider the movie as a separate and unrelated entertainment piece, then you will enjoy this movie as you are treated to an rare existential horror with amazing cinematography and visual effects.",9,5,9,1 October 2006
Star Wars: Episode II - Attack of the Clones," It's Getting Better Folks!
","After I had been disappointed by Episode 1, I decided to watch Episode 2 with less expectations and it paid off. I went into the cinema, preparing myself for another kiddie sci-fi comedy and this film delivered. It was largely comical and better than its predecessor in many aspects: digital/special effects were more real, better characterization, more drama, lots of limbs-flying fights and we got to see Jedi Knights in battle, lots of them.SPOILERSThere were more chemistry between the characters and in this aspect, Lucas seemed to have taken notes that many true fans were largely disappointed with several elements in Episode 1. So scenes involving JJ Binks and Watto were short. In fact Jar Jar was relatively quiet when he did appear. Anakin on the other hand, remained as annoying and arrogant as he ever was. Christensen gave this teenage Anakin an evil edge and throughout the movie, he was more of the local-bar jerk than a promising Jedi knight. He's far from that prophesied Jedi who would bring balance to the Force, whatever that means (won't he fall to the dark side anyway?).Jimmy Smits made a nice cameo as Senator Bail Organa, Leia's future adopting father. Temuera Morrison made an interesting John Waynesque' Jango Fett, with references to classic Western movies. As you probably know that New Zealanders played all the character of Jango Fett, Boba Fett and Captain Typho, so whenever they appeared on screen, the audience here were laughing and cheering at their opportunity to be in Star Wars, and mostly for their kiwi accent.C3PO and R2-D2 (the real heroes of the saga) started their dynamic relationship here, with plenty of fun and laughs. Well, what can I say about Natalie Portman, she's as beautiful and intelligent as ever, and Lucas made sure the movie exploited her sexuality further (a titillation for those 12-13 years old hormones). She changed her costumes so many times that it was getting a bit ridiculous though and old Lucas was probably planning to cash in through her many toys later on. The two last costumes she wore were so sexy and exposing her 'assets' that some audience couldn't resist to say: 'Oooooh! Aaaaah!' and `Rrrrrrrr.'.The romance between Amidala and Anakin was the cheesiest scenes in Star Wars saga unfortunately. The Sound of Music' part was the funniest of all. I understand that this movie was the only chance Lucas had to emphasize on their relationship and doomed romance, but he could've done it in a way that their scenes had been sweet not cheesy. The most surprising part of their supposedly romantic escapade was Anakin having a wet dream about Padme, and when he was found out, he lied and said that he dreamt about his mother. What was Lucas thinking?The dark part of the film had something to do with Anakin, his mother and the Tusken warriors. The revelation of what Anakin did to them had a notorious echo of his falling to the dark side. Other than that, Episode 2 is only darker than Episode 1, simply because there were more shots in night time Coruscant, rainy Kemino and the red-fiery landscape of Genosia.I always believe that puppet/costumed animation is better than digital, but with Episode 2 Lucas had taken it to a higher level. So all the vehicles, droids, aliens, etc. were more real and especially the Coruscant cityscape (which was a reminiscent of Blade Runner).In terms of plot, Lucas was running out of idea so he borrowed a lot from The Empire Strikes Back, among other classic movies. So expect to see vehicle-chasing scenes right at the beginning of the movie, Anakin got his right hand chopped-off and went to sleep, and lastly the last scene of Episode 2 was a complete take on Episode 5's own scene.Christopher Lee was charismatic as the separatist leader and I was amazed at how well he fought with a light sabre (considering his age). His sultry voice and commanding presence was one of the uplifting elements in the film. The best part of the movie, which I believe will be the most memorable scenes from Episode 2, is a fight between Count Dooku and Master Yoda. Simply put, Yoda kicks ass.There were several plot holes and narration problems that caused the story to develop incongruently, however again, the overall script was better written this time. The background music was also something new and added a different feel to Episode 2, almost Middle-Eastern in tone.So my conclusion is that Attack of the Clones' is a much better film compared to The Phantom Menace'. It may still not worthy of the Star Wars heritage because it is simply a different movie that raised more questions and mystery than answers to Episode 1's plot holes, but overall it is genuinely entertaining, funny and better made. It's a heart-lifting comedy of galactic proportion.Still a Star Wars fan, R.",6,0,0,17 May 2002
The Bourne Ultimatum," Smart and fast-paced.
","The Bourne movies always deliver and they get better each time. This third installment is even better than its predecessor on many levels. The action sequences are spectacular, the drama and storyline are well presented and the characterisation is quality writing and top notch performances.The only downside of this movie, as I would've given it a 9/10, is the decision by Greengrass to shoot the film on a very shaky hand-held camera style. The actions and settings of this movie are already well planned and executed. The shaky camera trick however reduces the coherence and clarity of these scenes. It does add a feeling of disorientation and rush to the whole movie, perhaps much like what Jason Bourne himself would be feeling throughout the ordeals.However, it defeats the purpose of planning and executing such brilliant action and drama sequences. You can hardly follow what is going on, as the camera jolts, jumps and cuts sideways and from different angles often.Other than that, this movie rocks!",8,0,1,2 September 2007
