movie_title,title,review,rating,helpful,total,date
Star Wars: Episode I - The Phantom Menace," A Good Film that Fails to Meet Expectations
","The title to this review may be the understatement of the century, but it's truer than what many other reviewers will tell you. When I first reviewed this film, I gave it a 9 out of 10. I recognized the film had some flaws, but I loved it so much that I overlooked them and focused on what I loved about the movie and Star Wars in general. But, watching the movie now, as an adult, it's clear that it hasn't held up that well. My mind is not as clouded by my love of all things Star Wars, and I think I'm able to give it a more level headed review.I grew up in the 80s, and like many boys my age, I lived and breathed Star Wars. For me and many like me, this was the most anticipated movie of my life. I was only 3 when Return of Jedi came out, and didn't get the opportunity to see it in theaters, so for me, this movie was a very big deal in 1999. And it was very exciting. I loved it, it was probably the only time I clapped or cheered in a movie theater. It was a great experience. I actually saw the film a few times afterwords, but unlike the older Star Wars movies, I started to like it less and less each time I saw it. I still loved it, but it didn't have the same greatness the older ones had.Part of the problem was the messy plot. It's difficult to tell what exactly is at stake for our protagonists in this movie, because you're not sure what the bad guys' plans are, and exactly what or why they're doing what they're doing. There are many plodding moments in this movie in which the plot seems to lose focus. It seems to go off on tangents that, at times, get rather dull. The dialog and acting is weak at times and the weaker moments stick out more upon repeated viewings.Also, the characterization is a little weak. There's no clear protagonist that the viewer can relate to. You have the Jedi, Obi Wan and Qui Gon, who seem to know a lot more than the audience and so make poor protagonists. Then there's Queen Amidala and her handmaiden, whose identities are often confusing and it's not clear what the audience is supposed to know about their relationship to each other. There's also Jar Jar Binks the alien quirky comic relief. As ridiculous as he is, he's probably the easiest to relate to because he's the most clueless one of them all. A lot of people hated Jar Jar because of his quirky way of speaking and cartoony design. Personally, I didn't mind him and found him quite funny at times. But I can see why people were annoyed by him, since he, the quirky comic relief, was the only one the audience could relate to early on and he therefore seemed to get a lot of screen time.Finally there's Anakin, who is the closest thing to a main protagonist we get. But he's not introduced until 45 minutes into the movie. Perhaps this is not such a bad thing as his acting is quite weak, but he's a 9 year old kid so he gets a little leeway. This is probably the most kid friendly of the Star Wars movies. Although there is some mild violence, it is definitely less intense than some of the other movies. Plus the young character of Anakin is someone that a child can relate to. Jar Jar is also quite popular with kids, as his slapstick brand of humor is something that I found got them laughing pretty hard in the theater. But just because it is kid friendly doesn't mean that there isn't something for adults to enjoy as well.There are enough great moments in this movie to make it worth watching at least once. The visuals and action are spectacular and the John Williams Score is fantastic as always. There are some really strong emotional moments too, especially with Anakin's mother, and between Obi Wan and Qui Gon towards the end. Many believe that this film is a waste because there's no point in seeing Anakin as a kid. While I can see their point, I have to disagree. Seeing Anakin as an innocent kind hearted boy makes his overall character arc later in the saga all the more tragic. In this aspect this film accomplishes what it needs to accomplish. It sets the stage for the Star Wars Saga and introduces Anakin, the Saga's main character, as he was before he became a Jedi and before he lost his innocence.Though probably the weakest film in the saga, it's still a very good one to see. But it doesn't hold up too well on repeated viewings. If I were to introduce Star Wars to someone I probably would not start with this film, unless they were a child. Start them with the original 1977 film, Episode IV: A New Hope. This is the classic that started it all, and it still holds up as a great film. The characters are much stronger and the protagonists are easier for older audiences to relate to. This makes it the best way to be introduced to the world of Star Wars.If they like the original Star Wars movie (and who wouldn't), show them Episode V, 1980's Empire Strikes Back, arguably the best of the films. After that, show them this film. After seeing Empire they will have a deeper understanding of the world of Star Wars going in and will appreciate the back-story more. Plus, it's only natural that, due to the loose ends left open at the end, someone who has just seen Empire Strikes Back will have a million questions about the back-story and will want to see the prequels at that point.",7,14,23,13 August 2010
Spider-Man 3," I think they tried to do too much.
","This was a very good film. Spider-Man 3 stays true to the comic with it's depiction of the villains. But I think it tries to cram too much into one film. At two and a half hours, it seems very rushed. And this one film seemed to cover over a decades work of the comic book story arc into one film.First problem. There are too many villains. You have the second Green Goblin, whose story is pretty much set up for us by the first two films, so we have room for one more. They decided on The Sandman, who is probably the best part of this film, both in it's impressive cgi use, and the great acting of Church. Lastly is Venom, who, in my opinion, deserves a film all to himself. He's pretty quintessential. While the set up for him as accurate, I still feel like they didn't have enough time to really develop how he goes from seemingly normal guy to crazed psychotic supervillan.I have a distinct feeling that a lot of necessary scenes wound up on the cutting room floor, and probably would have benefited from having more scenes with Eddie Brock, and less with the Mary Jane story arc, which is nice, but at this point it's treading a lot of the same ground from the previous movies.Nevertheless, it seems to come together pretty well. This is also probably the funniest of the three Spider movies, with some really laugh at loud funny scenes. It also has some pretty strong heartfelt moments, particularly towards the end. Raimi is great at shifting emotions on a whim with this film, which is a sign of a truly good director. I just wish he included more witty banter during the fights. I know he wants the audience to be on the edge of their seat during the action scenes, but come on, it's Spider-Man. He needs more one liners, especially when he's fighting Venom, who usually had the best comebacks.",8,3,4,4 May 2007
Star Wars: Episode IX - The Rise of Skywalker," They did the best they could with what they had to work with.
","First let me say that, like all Star Wars movies, I enjoyed this movie while watching it and was on my Star Wars high immediately after seeing it. 'Star Wars High' is that great feeling you get after watching a Star Wars movie that allows you to ignore all the 'fridge logic' that will make you question whether the movie was actually good or not after seeing it. If you don't know what 'fridge logic' is, just google the term, you'll laugh. Star Wars movies have always had a lot of fridge logic, but episodes 8 and 9 were particularly bad when it came to plot holes, unanswered questions and things that just didn't make sense.This trilogy had the same problem Lost did. JJ Abrams wrote the beginning and the end but let other writers take over for the middle and the ending didn't fit anymore, but it was still awkwardly tacked on. The biggest problem this film had was that it had to continue the story where episode 8 left off. Rian Johnson didn't leave JJ Abrams with much to work with. Episode 8 ended on a dead end, not a cliff hanger. Johnson had written the trilogy into a corner and Abrams had the unenviable task of undoing a lot of what Johnson had written so that he could conclude the story in a satisfying way. He wasn't entirely successful unfortunately, and as a result it seemed more like two movies crammed into one. It was so fast paced that it was hard to follow the plot, and what I was able to follow just seemed like a retelling of 'Return of the Jedi' with different characters. But this was the problem I had with all the movies in this trilogy. Ep7 was basically an inferior remake of Ep4, Ep8 an inferior remake of Ep 5 and this one an inferior remake of Ep6. Could they have made something more original and satisfying? Let's examine how this trilogy could have been improved.There was that great moment in Ep8 where Rey was about to join with Kylo. This was the best moment of that film, and I think if they had the balls to have her join with him it would have saved that movie. It would have truly been 'subverting expectations'. Rey could have become a powerful villain who continued being tempted by the dark side and then in this film they could have had Kylo save her from the Dark Side. This would have made these movies a lot better ... but I'm not sure it's enough to make it a great trilogy.The root of the problem goes back to Ep7. The worst part of Ep7 wasn't so much that it was a total rehash of Ep4, it was the fact that everything the good guys accomplished in the original trilogy had been undone by the start of Ep7. The Empire had risen again as The First Order and had more powerful weapons than before. The 'New Republic' was in ashes and was reduced to an even weaker resistance than the earlier rebellion. As much as it tried to honor the OT, it took a dump on it.The Empire was basically the Third Reich in space. Like the nazis, they lost the big war and were forever seen as a force of pure evil. Neo-nazis are a joke today and anyone who tries to revive their hateful ideology is pretty much universally shunned. The idea that Neo-Nazis could rise again to the same level the actual Nazis had, a la The First Order, just isn't realistic. BUT, it is a lot more likely that a different group could unknowingly become just as fascist even while claiming that they are fighting fascism.Perhaps what they should have done is, instead of a First Order that tries to continue where the Empire left off, there should have been a separatist faction that split off because they felt the New Republic was becoming just as totalitarian as the Empire. Meanwhile, the New Republic sees the separatists as fascist and under control of a Palpatine like figure that is misleading them. Both sides see each other as evil and under control of the dark side, and perhaps it turns out both are correct (Palpatine is leading both sides to war with each other behind the scenes, like he did in the prequels).It would have been more similar to the prequels in this regard, yes, but the one good thing about the prequels was that the overall story and themes were very good, original, and an excellent allegory to what is going on today even if the execution was poor. They would have retold a story that needed to be retold in an improved way, not one that was already done to near perfection.Perhaps I am wrong and these changes would have made things worse. After all, I did enjoy these films while watching them. But in order for new Star Wars movies to have a lasting impact in the same way the original trilogy did, they need to have a strong story in addition to great execution. This trilogy delivered, for the most part, on the latter, but not so much on the former ... sort of the opposite of the prequel trilogy that had a great overall story, but missed the mark in many regards on the execution.",7,0,3,23 December 2019
Star Wars: Episode II - Attack of the Clones," A Mixed Bag, But Mostly Good
","The Star Wars Prequels are an interesting phenomenon. Never before has an expansion to a franchise divided fans so intensely. Fans started to become disenfranchised with 1999's Episode I - The Phantom Menace (although some would argue it started earlier, with the special editions, or even with the appearance of the first Ewok in Return of the Jedi). But I think it was this movie that truly made the rift irreparable.On the one hand, you had the Prequel Zealots, or Lucas Apologists, those who loved anything with the title 'Star Wars'. They would not dare give this film anything less than a 10. On the other hand, you had the Prequel Haters, or Lucas Bashers, who felt that the prequels were abominations and tainted the sacredness of the holy trilogy. The civil war between these Star Wars fans has been ongoing ever since, with flame wars still popping up on internet forums to this day. It's comical how easy it is to compare this Star Wars fan civil war to the Galactic Civil War portrayed in the films.My stance has always been somewhere in the middle, but I think I leaned more towards the Lucas Apologists' side. I enjoyed the prequels for what they were. I initially reviewed this film when it came out, and my rating was a 9, much higher than the film deserves. But at the time, I had just come off from seeing it for the first time, and I was still on my Star Wars high. Seeing a Star Wars movie for the first time is always very exciting, especially for a fan, and it's easy to overlook a film's flaws while on such a high. But after seeing this film again recently, I've noticed that it hasn't held up as well as I remembered, and I think it deserves a more level headed review.The biggest problem with this movie is the dialog. Sometimes it's good, but often it's atrocious. There are scenes where it's difficult not to cringe. One of the central themes to this film is the love story between Anakin (played by Hayden Christenson) and Padme (played by the beautiful Natalie Portman). There really is no chemistry between these two characters during most of these scenes. The dialog is cringe-worthy at times and really brings the film to a screeching halt.Intercut with these scenes is Obi Wan's plot, which is much more interesting, and Star Wars fans will be given plenty of fan service as he tries to solve the mystery of the Queen's attempted assassin. Ewan McGreggor does an amazing job portraying a young Obi Wan Kenobi, and it's clear that has fit himself into the role nicely since The Phantom Menace. Christopher Lee also does a nice job portraying the mysterious Count Dooku and his scenes with McGreggor are a treat.The film gets better and better as it progresses, and even Anakin's and Padme's scenes start to become much more interesting. There is one scene with Anakin and Padme on Tatooine that is very emotionally powerful and nearly makes up for the previous weak scenes between them. This scene redeemed Christenson for me, who, until that point, I felt was not well suited for the role.All of this eventually culminates to a giant battle at the end that probably is a little bit too giant for its own good. It goes on a little too long, and involves too much special effects and cgi that kind of detaches the audience a little bit. Still, it looks quite impressive (especially at the time it was released), and it is cool to see a large scale war in Star Wars once again.This movie's a little darker than the other Star Wars movies and there are some scenes of violence that may not be good for kids. I would wait until they're a little older to show them this, maybe 8 or 9. Also, the love story may be hard for them to stomach, but then, it was pretty hard for me to stomach as an adult as well.Overall, there's good and there's bad in this movie, but mostly, I enjoyed it. And I still enjoy it, but, like Episode I and unlike the original trilogy, it doesn't hold up as well on repeated viewings.",7,6,10,13 August 2010
Watchmen," The Ultimate Edition is A Lot Better
","I first reviewed this movie after having seen it in theaters in March of 2009 when it was first released. I had a mixed reaction to it. On the one hand, I loved how faithful Snyder was to the source material. But on the other, in trying to squeeze all 12 issues of the comic book series into a single movie, the film felt strangely paced, and seemed to lose a lot of viewers who weren't already familiar with the source material.Since that time, three different versions of this film have been released on DVD and Bluray. The theatrical cut, which is the shortest version, and by shortest I mean 2 hours and 40 minutes. This is the version shown in theaters, and the version most people reviewed. At the same time, they also released a 3 hour long Director's Cut. The Director's Cut added a few nice scenes that improve the movie somewhat, but don't really improve the pacing, which still has the problem of feeling like an episodic story told awkwardly as a single film.Several months later, however, a third cut of the film was released. This one, called the Ultimate Cut, is over 3 and a half hours long and includes an animated version of the graphic novel's comic within a comic 'Tales of the Black Freighter', a pirate comic that mirrors the struggle of the main characters of The Watchmen. Ironically the addition of these animated segments, that periodically interrupt the flow of the main storyline, actually improve the pacing the film.Whereas the previous cuts felt more like slow plodding action movies that often lost itself in its exposition, the Ultimate cut doesn't feel like an action movie at all, and instead feels more like a philosophical deconstruction of our own moralities and commonly held beliefs. This is closer to what Alan Moore had in mind when he wrote the series, and the Ultimate Cut captures this essence, where the original theatrical version and Director's Cut fell short.The movie is brilliant, mainly because the graphic novel is brilliant. Moore's writing, influenced by Nietzsche's ideas of existentialism, is beautifully worded, and Snyder was wise to stay as close to the source material as he did. There are a few minor flaws, mainly the scenes with the Silk Spectre, whose acting was good, but did not measure up to the task. Also, I didn't like the vomiting scene cutting into the beautiful 'Sound of Silence' funeral procession. But these are minor nitpicks that are more than made up for by a brilliantly crafted and well paced film.I have to give this a 10/10, a great improvement over my initial reaction to the theatrical cut. It's too bad this wasn't the version released in theaters, it may have gotten a better critical reception. But then again, I'm not sure many would have been able to sit through a 3 and a half hour movie.",10,1,3,20 August 2010
The Lord of the Rings: The Fellowship of the Ring," I expected it to be great, and it was better
","***SPOILERS***   ***SPOILERS*** Well, what can I say, other than I've pretty much been waiting all my life for this movie.  I fell in love with Middle Earth when I was but a toddler seeing the Hobbit cartoon for the first time and have been a fantasy geek ever since.  As soon as I heard they were making this movie, I was a little wary.  It's a huge story, and I never thought the big screen could do it justice, but as soon as I heard it was going to be 3 hours each, and found out they were making them all at the same time, I knew it was going to be great.Not only was it great, it was fantastic (literally).  Everything I had hoped for and more.  Yes there were changes, but they were all acceptable and many made the story flow better.  Yes there were omissions, but it was made up for by the many great things added in this movie.  What can I say, Jackson, the cast, the crew, everyone did a great job in this movie, and the 3 hours flew so fast I felt the need to reread the two towers all over again just to get to the next part of the story.For those who are skeptical of any changes made, here they are:spoiler alertFirstly, To Bombadil was left out.  I think Jackson felt the need to speed up the early part of the journey and get to Bree quicker, so this as well as Frodo and company's encounter with the elves in the woods near the Shire was left out.  Unfortunately this also means that the conflict with the Whites on the Barrow downs was also cut out since there was no Tom Bombadil to save them.  Although I kind of missed these scenes, there removal was understandable.  The book starts out quite slowly and doesn't really start grabbing you until Strider is introduced at the Prancing Pony, and it probably would have been a little too sluggish in a movie.  Hopefully we'll see these scenes on the DVD (if they even made it to the cutting room floor).Bill the pony actually is in this movie, although he is only meantioned when Sam says goodbye to him.  Glorfindel, however, is not in this movie.  His scenes are replaced by Arwen.  At first I wasn't too sure if I liked this or not, but realised, it is probably a good change for the movies since it better develops her character.  In the books, she really didn't have a major role until the last book.  With this scene, we get to know her a little more rather than just a passing introduction in Rivendel.Minor omissions aside, everything else was pretty much intact.  He really did a good job staying true to the book.  I can't wait for the next movie. I guess we got Episode II this summer to fill the void.",10,0,0,22 December 2001
The Lord of the Rings: The Fellowship of the Ring," Like all great classics, it's worth everyone's while to see these films
","I tend to find that the people who have not seen these films yet are people that assume they will not like it, or feel intimidated by its epic scale, running time, and/or feel turned off by the fantasy genre in general.Do not let this deter you from seeing these films, they are definitely worth your time for one viewing as they are great movies, and destined to be classics.  I would go as far to say that they are the best book adaptations to film, but this is, of course, all a matter of opinion.  (And as a long time fan of the books, I'm a bit biased).First of all, I highly reccomend seeing the extended editions of these films as opposed to the theatrical versions.  You may want to wait for the EE of RotK to come out on DVD before watching these films.  The Extended Editions are simply far superior versions because it more closely captures the pacing, and feel of the books.  There is also more depth of character and development introduced in the Extended Editions lacking from the shorter theatrical versions.  Whereas the theatrical versions are simple, but good action/special effect movies, the Extended Editions are grand epic adventures that have far more depth and intelligence to them.Secondly, unless you are watching them for the first at a LotR buttnumbathon type party, I do not reccomend watching them all at once.  All together, these films clock in at about 12 hours not including breaks.  Your rear will probably be hating its existence by the time you get to Return of the King.Instead, I reccomend watching it small doses.  The Extended DVD Editions split the films over 2 discs and are perfectly designed for 6 90-120 minute episodic viewings.  This is the length of an average film, and allow for much less of a time commitment.  Still, I reccomend you not wait too long before seeing the next part, as these films essentially are one story with many characters, place names, and plot lines that can be easily forgotten. It's best to watch one DVD per night over 6 nights.  Treat it like a really good TV mini-series that you don't want to miss each night.Lastly, turn off the lights, pump up the volume, and TURN ON THE SUBTITLES. There are many strange words in these films, and it helps if you can see them written in front of you.  The films are pretty easy to follow, but the plot is also complex and deep.  You will enjoy the films more if you understand as much as you can, as one of the main appeals of Tolkien's story is its attention to detail.I can guarantee you that if you give these films a chance and take my reccomendations to heart you will not be disappointed. Enjoy.",10,0,2,25 August 2004
The Matrix Revolutions," Great, but not perfect
","I was thoroughly satisfied with Matrix Revolutions.  It didn't blow me away like the first one, but it didn't leave a bad taste in my mouth like the second one did.  In fact the way it resolved made the second one a better movie overall.  It was the way the story had to end, and it ended well.  The special effects were the best yet, the story was good, and the battles were intense.  This was the battle I was waiting for since I saw the end of the first one.  It did not disappoint at all.  But it wasn't perfect.  There weren't as many great moments as the first.  Great little moments, like the little conversation with Mouse at dinner, or great big moments, like Neo awakening for the first time, or when he realises he is the One.  There were a few great big moments, but it's not as rewatchable as the first.  Also, I miss the original oracle.  The new actress does a decent enough job, but it just wasn't the same.  Still that's no ones fault, but a shame nonetheless.
spoiler Most importantly they did not cop out and take the whole 'Real World is part of the matrix' route, which was hinted at in the second one.  That would have ruined the whole story.  Instead they chose to end it the way it should have ended, with some interesting twists to boot.  But I'll let you see it for yourself.  Great movie, go see it.",8,0,0,7 November 2003
X-Men: Days of Future Past," The X-Men movie franchise is still alive, and better than ever
","It's very rare that you get to see a film franchise make it to its seventh installment and still have the ability to impress fans and critics alike. But never before has a film franchise made it to its seventh installment and actually topped all of its previous efforts.However, when I say seventh installment, I suppose I should include an asterisk. First this includes the two Wolverine films, the second of which didn't even have X-Men in the title. And secondly, The X-Men movie series, like the comics, is a bit of a convoluted mess, and it's sometimes difficult to figure which films are part of the 'official canon' and which aren't. The comics have the excuse of being around for over 50 years with dozens of spin-offs and thousands of comics/graphic novels between them. That's a lot of story continuity, so it's understandable that things will become convoluted after awhile.The movies don't have that excuse, and the cracks in continuity began to show as early as the fourth film, X-Men Origins: Wolverine. Indeed, some would argue that the previous film, X-Men: The Last Stand, was the beginning of the end. Those two films, though entertaining, were definitely a dark period for the X-Men films, and many of us were beginning to think the franchise would end with the disappointing fourth installment.But if Fox failed to make another X-Men movie in a timely manner, they would lose the rights to the franchise and Marvel Studios would take the reigns. For awhile I was hoping this would happen. X-Men would then be able to exist in the same universe as the Avengers, a team that has close ties with X-Men in the comics, and has shared more than a few members (one of whom, Quicksilver, actually does appear in both this X-Men movie and the upcoming Avengers film).But then fox released X-Men: First Class. At first I thought it was a reboot since it seemed to ignore most of the continuity of the last four films. But no, it turns out it was a prequel, and a fantastic one at that. It's very rare that prequels turn out to be better than the originals they are meant to precede, but First Class managed to do this, and it even managed to do it without the star character, Wolverine, who only made a brief cameo appearance.It seemed that the writers had learned that the key to a good X- Men movie wasn't Wolverine, it wasn't the action or even the mutant powers. It's the deeper competing philosophies that X-Men puts forward as exhibited by the two most important characters: Professor X and Magneto. The originals had these two amazing characters portrayed by Shakespearean stage play veterans Patrick Stewart and Ian McKellan. But it was fascinating seeing their younger selves as portrayed by James McAvoy and Michael Fassbender. Both pairs nailed their respective parts to perfection.This film, using one of my favorite science fiction plot devices: time travel, manages to bring both pairs together in the same film to brilliant effect. It's wonderful seeing the older and wiser Prof X and Magneto contrasted with their younger, more passionate selves. Peter Dinklage, playing the fanatical Bolivar Trask, manages to paint a sympathetic picture of the villain. If one thing X-Men does right, it's in its portrayals of villains. Very few of them are actually 'comic book evil'. They're just people, usually with deep convictions, who believe they are doing the right thing. The deeper themes of fanaticism, the horrors of war and genocide and how the road to hell is paved with good intentions is brilliantly adapted from the source material.I remember reading the 'Days of Future Passed' comic book double issue as a teenager and it had a deep impression on me. Many people have accused this film of ripping off The Terminator, but what they probably don't realize is that the original story-line was written in 1981 by Chris Claremont. If anything, The Terminator ripped off Days of Future Passed.That being said, aside from the premise, this film is quite different from the original 1981 comic book story arc. But those changes were necessary since the movie franchise exists in a very different universe than the comic book franchise. Still, major themes and the heart of the story is preserved, and that's really all that matters.So did this movie 'fix' the plot-holes and continuity issues of the previous six installments? Well, it's hard to say. Once you introduce multiple time-lines into the equation, I guess any plot-hole or inconsistency can be explained away simply by saying 'this movie exists on a different time-line where things happened differently'. It doesn't exactly explain why Professor X is suddenly alive again at the beginning of this film, but I guess it doesn't require an explanation either. It's not perfect, but I try not to let it bother me. At the end of the day the film stands on its own as an excellent bit of cinema. If you're looking for plot-holes, you're going to find them. But fortunately, the movie is so good that you forget to look for them.",10,2,5,5 June 2014
Alien vs. Predator," One of the better movies based on a game
","But that's not saying much.  While Alien vs Predator was a fine video game, it seemed unlikely that it would ever be made into a film.  First of all, franchise crossovers, while common in comic books, are extremely uncommon in movies, save for Japanese monster movies.  Also, the total lack of humans in the AvP game made it even more unlikely to be turned into a film.  I don't think film studios are brave enough to make a movie without any human beings in it.So, predictably but probably wisely, they took the Zerg vs Protoss route. For those that haven't played Starcraft it means it focused on a battle between Aliens (Zerg) and Predators (Protoss) with the humans caught in the middle serving as mainly hosts for the Aliens.  Predictable or not, it made for a fun movie with good fight scenes, decent acting, and an okay back story.But, on the downside, it pretty much played it completely safe.  Nothing really that major happened, and nothing really came as a surprise.  However, save for Alien 1, none of the previous movies had many serious surprises, so I guess it's no real loss.This movie was good enough to warrant a sequel, and I think this may be one of the few franchises where the sequel outdoes the original.  More big stuff needs to happen though.  7/10",7,1,1,13 August 2004
