movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Now THIS is a horror film!
","After the barrage of awful 'Scream' clones that Hollywood has been force-feeding the public for the past several years, two unknown filmmakers have brought us a film that should show people what makes a truly effective horror film.The acting from the three stars was in fine form and the ad-libbed dialogue was really impressive. It was totally convincing and never seemed fake or contrieved. It was interesting and rather unnerving seeing the them start out as cocky and full of gusto (especially Heather) and go on a slow, gradual emotional and psychological decline. How they gradually started getting more ditraught about their predicament and started turning on each other. Their 'discoveries' in the woods and the sounds in the distance was creepy for the audience as well as the characters.I was rather impressed at how they didn't use background music to cue the audience in on when to feel unnerved. The movie relied solely on the environment and the reactions of the characters to set the mood. I used to think that a movie with no music would never work but it looks like I was wrong.The last ten minutes of the movie were especially creepy. I could actually feel my heart racing. And the ending blew me, and the rest of the audience, away.It's nice to finally see someone make a horror movie the way it should be done. No cheap 'jump' shots. No young, photogenic stars from the WB network. No hit alternative rock soundtrack. Just good old fashioned mood and atmosphere. Recommended.",Null,1,2,2 August 1999
Alien 3," An ugly, depressing mess.
","Calling this movie a disappoitnment is an understatement. 'Alien 3' would be a bad movie on its own, but following the masterpieces that were 'Alien' and 'Aliens' makes it even worse.'Alien 3' is a relentlessly grim movie. For starters, Newt and Hicks are killed off literally at the beginning. The two people who gave Ripley some much-deserved completion and happiness in her life at the end of 'Aliens' are instantly killed. It's not a good sign when the audience is depressed before the opening credits are even over. The setting of the movie is really bleak as well. It's set on an abonened prison colony on a hot, lice-infested planer occupied by criminals who have formed some kind of religious cult. Ripley, like all the other occupants of the colony, are trapped on this planet with no way out. And as it turns out, an alien is right down there with them. The hopelessness of the whole scenario and the fact that there are no likeable characters other than Ripley make this movie a real downer. The whole movie is real ugly to look at and badly lit. The inept direction and editing make the whole movie real confusing. The score is decent, but it hardly matches up to the excellent scores of Jerry Goldsmith and James Horner in the first two films.Do yourself a favor and skip this movie as well as the next one in the series, 'Alien Resurrestion.' Watch the first two movies instead.",1,496,541,8 October 1999
Star Wars: Episode I - The Phantom Menace," A good first act
","On its own, 'Phantom Menace' probably wouldn't hold up too well. However, as a first part of a three-movie story arc, it suceeds quite well. The primary purpose of this movie appears to be to set up parts of this story arc which will presumably pay off with the next two movies. I found 'Phantom Menace' to an enjoyable movie. Not a great film, but not as bad as the press made it out to be.",9,1,2,16 September 1999
Monty Python's Life of Brian," The 'Dogma' of the 70's
","I disagree with the notion of this film being blasphemous. I'm a Christian and I found it really funny! This film shows the Pythons at their finest. Takes a look at religion and the life of Jesus and isn't afraid to have a few laughs in the process. While it's not a good as 'Holy Grail,' I recommend this movie to all Python fans and Christians who don't take all matters of faith too seriously.",9,2,6,26 November 1999
Shakespeare in Love," Decent romantic comedy, but nothing special.
","After all the hype and the Oscars, I finally got around to seeing 'Shakespeare In Love' when it came out on video. While it wasn't a bad film, I failed to see what all the fuss was about. It wasn't the best romantic comedy I've ever seen and certainly not Best Picture material. Especially when compared to the other films that were nominated. The sets and costumes were excellent. The acting was pretty good. Some of the dialogue was quite good. And I was impressed by the fact they decided to forgo the typical Hollywood ending.On the whole, this wasn't a bad movie. But it wasn't anywhere near as good as 'Saving Private Ryan' (which I feel should've won) or 'Elizabeth.' Hopefully the Academy will get it right next time.",Null,1,2,3 October 1999
Alien: Resurrection," Let's hope this is the last.
","This movie is not as bad as the horrible 'Alien 3,' but sadly not by much. As in the last film, none of the elements that made the first two 'Alien' movies so great are present. The premise cloning Ripley, complete with the alien embryo inside her, with a drop of her blood (how did they even find one 200 years afterwards?) just so that they could study a dangerous, long-extinct alien race is completely illogical. Come to think of it, the whole movie is completely illogical. It's easy to see why screenwriter Joss Whedon (of 'Buffy' fame) was so disappointed with the end results of this movie.I've head talk of the possibility of another 'Alien' movie being made. Let's hope they decide to quit while they're behind.",6,0,0,8 October 1999
Star Wars: Episode VI - Return of the Jedi," Satisfying conclusion
","'Jedi' is not as good as the first two films of the trilogy, but it's still a really good movie. Jedi's primary purpose is to tie up the loose ends from the first two movies while bringing the entire saga to a satisfying conclusion. I think they accomplish this quite well. As far as the Ewoks are concerned, I don't love them but I don't really dislike them either.",9,1,2,16 September 1999
Alien," A sci-fi classic.
","'Alien' ranks as one of the finest sci-fi movies ever made. One thing that makes this movie so unique, especially for its time, was that it combined elements of science fiction and horror. The spaceship, the outer-space setting and the alien itself (designed by H.R. Geiger) are the sci-fi elements. But when you get down to it, 'Alien' is more of a horror movie, only with a spaceship instead of a haunted house and an alien instead of a monster. The claustrophobic setting and the dark corridors provide the right atmosphere for this movie.The movie is wonderfully directed by Ridley Scott. The same man who would give us another sci-fi classic, 'Blade Runner,' three years later. The special effects are impressive, especially for 1979. The pacing is handled very well, subtle in just the right moments and chaotic in just the right moments. The score by Jerry Goldsmith is wonderful. The only real flaw in the film is that it gets a little slow at times. Minor complaint though.To see sci-fi cinema at its best, check out this movie and the excellent sequel that followed, 'Aliens.'",10,0,1,8 October 1999
Armageddon," The 'Plan 9 From Outer Space' of the 90's
","I've seen a lot of bad movies, but this is the first movie I ever saw which I felt was actually insulting my intelligence. I could write a book on all the things wrong with this movie (I could easily devote a few chapters to the scientific inaccuracies alone) and it seems that many other people here have done that already. The only redeeming value I can find in this noisy piece of Hollywood product is that it can be shown to film students as an example of how not to make a movie. If I hadn't gone to see this movie with a few friends, 'Armageddon' would've been the first movie I would've ever walked out of.",1,1,3,5 July 1999
American Beauty," A wonderful, complex film.
","After over two years of hyped-up, special-effects driven movies, it looks like 'real' movies are finally making a comaback. The latest addition to the list of quality films comming out lately is 'American Beauty.'The movie presents us with what seems like the ideal setting for any American: a life in the suburbs with a middle-class nuclear family. But we see that undeaneath the surface, things are not as ideal as they appear. Kevin Spacey is a man working a job he hates with an overbearing, slightly psychotic wife and an angst-ridden teenage daughter. Their new neighbors are an ex-marine, his teenage son who videotapes people and his really passive, unemotional wife. Thrown into the mix is the daughter's nymphomaniac friend who ends up inspiring Spacey to change his life, in a number of rash, illogical and not so wholesome ways.Over the course of the movie, we see that there's more to each and every single one of these people than meets the eye. And some of these aspects are more obvious than others. Each one of them has some sort of secret or dark side of their personalities that they try to hide under a facade of 'normality.' None of these people are happy with their lives or themselves, although they try to cover it up as best they can. Their feelings and insecutities continue to build up inside them right up until the film's bittersweet conclusion.Although none of the characters in the film could be considered likeable, they aren't presented in such a manner that the viewer can't muster up some degree of sympathy for them. All the elements of this film come together. It's very well directed. They acting is top-notch (even if Annette Benning threatens to go a little over the top on occasion), the script and dialogue are of top quality and the score is really good. My only complaint about the film is the opening line where Kevin Spacy says 'Within a year, I'll be dead.' This gives away stuff that the audience would rather not know and slightly lessens the impact of the film.'American Beauty' is the best movie I've seen this year so far and I certainly do not hesitate to recommend it. The somewhat downbeat nature of this film may keep it from getting nominated by the Academy Awards, but I really hope it will.",9,0,0,29 September 1999
