movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," Probably the best we have seen this year
","For me this is the best this year. And yes, I have seen Dunkirk. Denis Villeneuve is the new rising star who has constantly surprised us with exceptional direction. Blade runner, just like Arrival, seems out of the world. It's almost 3 hours long but I just didn't want it to end. It reminded me of Gravity. I didn't want to miss even one scene. It was captivating. It was new in all sense, but there was a hint of the original which made it memorable. The cast was well suited, with Ryan Gosling giving a ravishing performance. This creative venture is going to stay for long in people's mind as it is definitely a classic. I urge everyone to go and watch it in theatre as it is an experience worth your time. The movie is struggling on box office as it does not appeal to mass audience. But still I will ask them to give it a chance for the shear pleasure of watching stunning visuals which this film has captured and also, the music, which is the soul of this movie.",9,2,10,15 October 2017
Deepwater Horizon," Impactful depiction of the actual event
","Deepwater Horizon is based on a true event which happened in 2010. It is considered the largest accidental marine oil spill in the world, and the largest environmental disaster in U.S. history. The film is made in such a way that you will be attached to the characters before 'anything explodes' and when it does, you stop moving and hope that your favorite character survive. The first half is slow, a little too much some would say which I think, was vital in this case as it will make you feel more connected to the characters. But, a thought will be there in your mind that the second half better be good.It is. It is mind blowing!The second half of Deepwater Horizon is so thrilling that it made me sit on the edge of my seat the entire time. It was impossible to take my eyes off it. It is jam-packed with explosions, fire and gas leaks. It is rather technical what caused the explosion but you'll get it as it is explained in the first half very efficiently.The movie is also well equipped with a stunning star cast including Kurt Russell, Mark Wahlberg, John Malkovich, Dylan O. Bryan and Gina Rodriguez. Also, the background score and the camera work is quite effective to create a sense of thrill in the audience. I will recommend this movie to all those who won't mind a long (but necessary) build up before the good stuff.",8,1,2,9 December 2016
Us," US - Truly a Masterpiece
","Did you ever get a feeling that however normal your life seems, something sinister is always lurking around. Something, hidden in the shadows, is observing you and trying to get closer every second. That feeling came true for Adelaide when she revisited one of her childhood vacation place with her present family. Suddenly, the sweet family getaway becomes a fight for life for her family when they are attacked by some home invaders who share a close connection to them. They ARE them.Jordan Peele has done it again. He has made another movie which will be remembered in the history of times as a movie which made everyone ponder over it longer then they should. With Get Out, he made a clever satire about the inherent dark side of the elite white families in US. I liked the way how subtly that point was put that many still don't see it that way. In US, he has gone one step further. He has made a movie which can have multiple interpretation for anyone who's watching. Any interpretation you go with, one thing that we are sure of is that it's not just a home invasion movie.US has layers like an onion. On the front it seems like a horror thriller featuring a family being terrorised by their doppelgangers. But when you dwell more, you'll see how it presents different themes. Saying anything more than that will spoil the experience of those who are yet to watch it.One great thing about US is that it is a perfect blend of horror and comedy without actually being a horror comedy. It's very easy to bifurcate both moments in the film. You'll be laughing at one moment and in the next you could be extremely terrified. This energy keeps you hooked to it. The performance of almost every one is beyond great. The centre stage is held by Lupita N'yongo and she does everything with finesse. She is almost unrecognisable in as one in both her personas. Other things that make the movie an amazing watch are it's background score, the story and the climax.Although, like Get Out, I found the big reveal tad bit predictable but it is clearly visible that the reveal is not just the one thing which is holding it all together. Everything about the movie contributes to the big picture and makes it a cinematic marvel.Leave all the things and go watch US in theatres. It is one such film which has the power to strike long debates. What it more exciting that watching a movie which stays with you even after you're done watching it?!",8,0,1,13 April 2020
About Time," What a delight!
","I am a fan of Rachel McAdams. So when i heard there is a movie with her and time travel and similar concept, i had to watch it and those who liked 'The time traveler's wife' should too. I must say i am impressed.This movie is a fantasy where Domhnall Gleeson, about whom i didn't even know much before this movie and am thinking right now that nobody could do this better than him, got to know that he has the ability to travel back in time.So, we cannot say that it is a new concept, but when i heard that he uses his ability to get the girl, my decision to watch this movie was shaken. So when i started watching it, i had no expectation of originality at all. Maybe this is why i liked it even more.My favorite part of the movie were the conversation between Gleeson and McAdams. They were sweet and witty at the same time. Sometimes, it felt like the film is dragging and carrying unnecessary detailing with the core story, but it all sorted out quite fast.So, those who would like a sweet fantasy, with a little romance and family drama, they will like this too.",7,3,4,21 June 2015
My Neighbor Totoro," Breathtakingly Calm!
","My neighbor Totoro is an incredible film. Its about two sisters, who have this awesome dad and a sick but loving mother and how these two sometimes float into this mythical world where various nature spirits exit. One of the things i noticed was that the creators have given crucial amount of time to make the movie detailed. Like when one of the sisters trip and fell, they have dirt on their knees when they rise, like how strikingly similar features these sisters have like their parents. Watching this film, i had a smile on my face all the time. It has a calming effect which make you look away from all the tension in the world and just enjoy the adventures those girls are facing.I think it is an amazing and a must watch movie for kids.",8,0,1,6 April 2016
Moana," Songs that will touch your heart!
","Disney never seems to fail in amazing me. Whenever you feel that this again would be similar to what we have seen before and there Disney is with yet another unique concept.Moana is a story of a young girl who sails through the sea to find a demigod Maui, who will help her to save her island. It is a musical which has great songs (reminded me of Frozen) and heart touching background score. The story is simple but sensible and amazingly executed. It is NOT a spoiler, there is a chicken which made me laugh so hard tears fell from my eyes. Moana is a perfect blend of everything important for an animated movie to be likable and enjoyed by all. This is definitely one of the best Disney has delivered. Watch this movie if you like, well, just watch this movie I am sure you will like it.",8,3,14,2 December 2016
Doctor Strange," Another delight by marvel!
","Doctor strange is, well, strangely different but at the same time, similar to other Marvel movies. It is intriguing and thrilling but at the same time it seems like it is shot in a completely different style. As I said, it is a delight to watch, but gave it a 7 because I expected more. When you have such an elaborate concept on which you can build on, adding the almost perfect star cast why does it feel like that still something is missing? The film failed to thrill me when I expected the most. I was looking for some 'wow' moment which never came. Even if the movie is good, you need that moment which remains in your mind when you go home after watching it, i think the movie lacks that.There is no way I would ever blame the star cast for this because these are all my favorites, like McAdams, Ejiofor, Cumberbatch, Swinton etc. All played there part as smoothly as they did in Spotlight, 12 years a slave, Sherlock and (so many good ones for Swinton, but)We need to talk about Kevin, respectively. So, I would totally recommend you to watch this movie, if possible in 3D IMAX, because that is the main pull factor of this one, effects.",7,1,3,19 November 2016
Baby Driver," The most stylish movie of the year so far
","I knew I will like this movie as soon as I was finished watching the first trailer, but I didn't know I will be so pleased. Baby driver is not just a film, it can easily be one of the best musical we have seen so far this year. Every scene, every action has a rhythm to it. Every dialogue, every expression attached to a musical note. This movie is a good example of how greatness can be achieved by efficiently scoring the movie.Baby driver is about a getaway driver who got mixed with the wrong crowd when he was young and is now forced to pull heiss with them. Everything goes 'Bananas' when he falls in love and starts finding a way out.I've always been a big fan of Edgar Wright. But I always thought it is because Simon Pegg is his lucky charm. I know 'Scott Pilgrim vs the World' was good but it was nothing compared to 'Shaun of the Dead' or 'Hot Fuzz'. I even like 'At World's End' more. But at last, he has proved me wrong. Before going to watch Baby Driver, I also thought it could be that the movie may depend too much on the performances by the big names like Kevin Spacey and Jamie Foxx, but that was not the case. It was the amazing music and insane action sequences which are the actual star of the film.Some of the amazing scores of the movie are, 'Hocus Pocus' by Focus, 'Tequila' by The Champs and 'Brighton Rock' by Queen. Other worthwhile mentions are Egyptian Reggae, Bellbottoms, Smokey Joe's La La and B-A-B- Y Baby. I remember I was shaking my head in the theater on every one of these songs. It felt like every song just fits with the frame perfectly.There was this one scene which reminded me of another one from Shaun of the Dead, where Simon Pegg wakes up and goes to a shop to buy something. There is a similar one-shot scene here as well which resembles. I found out that such long one shots can be seen in other Edgar Wright movies as well.Ansel Elgort has done amazing in a movie which could be his big break into critically acclaimed mainstream cinema. Although he shared the screen with Kevin Spacey and others, he made sure that audience will remember who the movie is really about. His character is cool, stylish, mysterious but funny at the same time. Spacey and Hamm both looked badass. But Jamie Foxx was the one who I liked the most, after Elgort off course. His character was the usual type of villain you love to hate and Foxx played it exactly like that. Also, Eiza Gonzalez played this hot love interest of Jon Hamm's character. Lily James looked cute.So, in the end, I would like to say that Baby Driver is an awesome start for this season. After this, we have Spiderman – Homecoming, War of the Planet of the Apes (I am really excited about this one) and Dunkirk coming right after on another. So go watch it instead of going for Transformers and The Mummy.",8,7,12,6 July 2017
Split," SPLIT - James McAvoy's Finest!
","When I first saw McAvoy in the movie Wanted, I pegged him as just one of the plethora of actors who come and go and you don't even remember their face after some time. After about a year, I watched Atonement. I was surprised because the actor who I saw on the screen was no rookie, and before that, I was seldom wrong about such thing. So, I started looking for all the movies starring James McAvoy. In my quest, I found Filth and Trance, after which I became a die hard fan. He carries every one of his performance with a finesse which could pull up the entire movie by itself.So naturally, I was very excited about Split. One other reason was M. Night Shyamalan in whom I had faith even after watching The Visit. So, I went to the theater yesterday. First-day first show in Pune, India, about a month after its release in the US. There were 7 silhouettes I could see in the hall and I was afraid they would cancel the show, but I was wrong, fortunately.Let me tell you something about Split. It is not meant for a mass audience. The film is about a man named Kevin who has 23 different personalities and a 24th is about to come out. He kidnaps 3 girls for some sort of ritual to be performed before the 24th personality arrived. Some of the personalities are dominant and are eagerly waiting for the 'Beast', the 24th entity. The girls have to escape somehow before they become the victim of the beast. Also, apart from these 24 Kevins and the 3 girls, there was also Betty Buckley portraying Kevin's psychiatrist. I have to say the movie left me speechless, especially the second half. It took advantage of the silence so very well that we had to refrain ourselves from taking our eyes away from the screen because it felt like anytime the movie is going to throw something awesome on our face. The main story line is in perfect blend with the past story of Casey, played by Anya Taylor Joy who did an amazing job by the way.But, McAvoy stole the show. He played every one of his personalities so very well that in some of the scenes, he won't even speak a word but you will know from his body language what character he is in at that moment. In the second half, when the movie picked up a pace, you can hear a trace of a slur in his voice and then he would be a totally different person, with a different voice, accent, and behavior. My favorite out of the 24 was Hedwig, a 9-year-old child, who McAvoy portrayed with all the innocence he could bring up in his eyes. But that is the thing, there is this one personality which you would hate to love and there is this other one you would love to hate. Such a character can only come alive on screen if played by the finest actors we know.",7,1,9,23 February 2017
Captain America: Civil War," Hey look, this one had a story!
","I had a problem with the avenger movies. They get around with too little a story to tell. There is a bad guy, he did something, then the avengers discuss something and they fight this ultimate battle that nobody can deny loving. Captain America is not this sort of a movie. Russo brother must have given an amazing efforts, and took a chance to make a movie this long to convey a story. But it paid off, the action became sideline because the story is gripping.The character build up was precisely done. On top of that, the new and returning characters were given adequate importance. Ant-Man was great, Spidey and Black Panther had a great intro, Cap and Stark had marvellous confrontations.Now talking about action scenes, they were innovative. We saw a lot of it never scene before. It was fresh and kept us at the edge of our seats.Bucky did good too. He had a fare share of footage and most of the story revolved around him. Daniel Bruhl, another new addition was mysterious and well suited in his role. Friendship was the root cause of this civil war, so I was expecting some heated arguments between friends who are facing each other, But I got more that what I expected, and I had high expectations I tell you that.The climax was exhilarating. With a good ending, all is set to make it one gem of a movie.",9,3,7,6 May 2016
