movie_title,title,review,rating,helpful,total,date
Ford v Ferrari," Riveting reenactment of a remarkable race
","Back in the 1960s, Ferrari's racing team was the one to beat on the track. This is the story of how Ford Motor Company took on Ferrari in 1966 and won, with the help of automotive designer Carroll Shelby and race driver Ken Miles. The Ford team constructed the formidable GT40 which emerged victorious at the 24 Hours of Le Mans. Those who were previously unaware or oblivious of this juicy bit of history will find themselves captivated by its reenactment on celluloid. The film runs two and a half hours, yet it does not drag, thanks to a tight script and solid performances, superbly-edited racing sequences along with a music score that enhances the action onscreen. Matt Damon once again proves why he is one of the finest actors of his generation; he is absolutely spot-on in his portrayal of Shelby as a man with passion, confidence and determination. I love watching him in movies like this one and also Invictus. Christian Bale's performance as Ken Miles, while a little more mannered, still manages to beautifully capture the character's extremes of tenderness and cockiness. Also noteworthy is Tracy Letts as Henry Ford II; he shows that the magnate can have a commanding presence yet break down upon experiencing an epiphany. Ford v Ferrari brings a nugget of racing history to life through this well-assembled movie which is worth catching especially on the big screen.",9,6,16,14 November 2019
Kung Fu Panda," He's funny, he's adorable; he's The Incredible Bulk
","Po (voiced by the incredibly talented Jack Black) is a fat panda who likes kung fu but never dreamed that he would one day be chosen as the Dragon Warrior. He also never imagined having to fight the fearsome Tai Lung (Ian McShane), who is as mean and vicious as villains come. The reluctant fighter gets help in preparing for his showdown from Master Shifu (voiced by Dustin Hoffman), and the interaction between teacher and student provide many of the laughs. There's a lot more going on around this simple storyline, and the movie is filled with comedy and action from start to finish. The animation is brilliantly done, the characters' facial expressions are priceless while the kung fu action is flawless. Although much of the humor is action-based, there's also much wit and satire in the script along with a good dose of tenderness and heart. Among the many lovable characters, my favorites are Po, Master Shifu and Master Oogway, an even older and wiser teacher who decided that there's no reason why an ordinary panda cannot be a superhero if he just believed in himself.",8,3,6,20 June 2008
Rocketman," Thanks for sharing Your Song, Elton John
","I grew up listening to Elton John songs. His hits came out just when i was old enough to appreciate them, and so his songs have bookmarked my life. I have always admired Elton John as a performer so when Rocketman was released, i made sure not to miss it. And i am glad i didn't. What a treat for a fan. The songs from the first half of his career are in the movie, woven seamlessly into the storyline so that this really is a musical biopic. The actors do a great job, especially Taron Egerton who sings just like the Man himself; the portrayal is really on point. Songs like Crocodile Rock and Goodbye Yellow Brick Road transported me back to the days of my youth. Thanks for the memories!",8,2,3,15 June 2019
A Star Is Born," A kinder, gentler version of a showbiz tale
","So this is yet another version of the ever-popular story of a showbiz star helping a newcomer in business and then becoming the has-been.
Compared with the earlier adaptations, this one by Bradley Cooper is kinder and gentler in tone (there's even a dog!), though i find the one by Frank Pierson more gripping and enjoyable.
Cooper's Jackson is definitely more charming than Kristofferson's John Norman, but Lady Gaga's Ally doesn't blow you away like how Streisand's Esther did. Still, one finds these characters actually likable while the ones in previous versions were far less sympathetic.
The songs in this new version are just okay, while the ones sung by Streisand and Kristofferson in 1976 were more catchy and I remember how i just couldn't stop listening to that soundtrack then. Maybe 'Shallow' sticks a little better, because of the hook.",8,2,5,7 October 2018
Star Trek Into Darkness," Star Trek's stunning superior sequel
","I enjoyed the Star Trek reboot that was released in 2009, so much so that i thought that would have been hard to top. This superlative sequel proved me wrong. Kudos to the writers for a character-driven action screenplay that is laced with smart humor. Director J.J. Abrams nicely balances the action, suspense and drama without losing any steam in the middle but with regular edge-of-the-seat moments. The cast is a fine ensemble, but Chris Pine's standout performance as Captain Kirk confirms him as one of the finest actors of his generation. Also adding to the movie's attributes are the special visual effects, well-choreographed fight sequences and the sublime music score. A truly spectacular effort that exceeds expectations.",8,3,6,23 June 2013
Us," A spooky tale for the ages
","Eerie, creepy and spooky. Forget about the storyline logic, or lack of it, and just get in for the ride. And what an unpredictable ride it will turn out to be. The cast is excellent, each character playing two versions of themselves, but the standout is definitely Lupita Nyong'o who just wows as both main and tethered personalities. The cinematography is spot on, and so is the music score. This is a horror movie that will make your skin crawl more than have you jumping out of fright. But writer-producer-director Jordan Peele definitely laid out a tale that will win him respect from his peers and which horror movie fans will turn into a cult favorite.",8,2,6,8 April 2019
The Flowers of War," A tale of tragedy, sacrifice and hope
","This Zhang Yimou movie on the Rape of Nanking starts off unevenly, but thankfully, everything begins to fall into place by the halfway mark. At first, it is hard to care about the characters, as they are not introduced properly. However, we get to know each of them as the story slowly unfolds and, towards the end, one might even be choking back some tears. The acting is superb throughout. Christian Bale's casting is meaningful because his first movie was Empire of the Sun, which was also about the Japanese invasion of China. In the space of 25 years, we see him at the beginning of his career in master-director Spielberg's Empire, and as a seasoned actor in master-director Zhang's Flowers. The film is beautifully shot, and the music score also features solos by Joshua Bell. Suffice to say, production values are top notch.",7,0,2,25 April 2012
Sweeney Todd: The Demon Barber of Fleet Street," Tim Burton takes on a Broadway masterpiece
","Tim Burton is one of my favorite movie directors, Stephen Sondheim is my favorite Broadway composer/lyricist, while Johnny Depp and Helena Bonham Carter are among my favorite actors. So you can imagine how eagerly i was awaiting to enjoy this version of Sweeney Todd, the Broadway masterpiece, on the big screen. Well, was it up to my expectations? The first time i saw this movie, i was expecting too much because i was already so familiar with the stage version. However, the second time i saw it, i appreciated it a lot more. I had another chance to examine the movie's strengths, which there are indeed. The look is classically graphic, while the orchestrations involve Paul Gemignani and Jonathan Tunick - two experts on works by Sondheim. Yes, some numbers were unnecessarily cut off or shortened, including No Place Like London and Ah Miss!, both of which would have nicely added a softer, more humanistic, touch to the otherwise relentlessly gloomy proceedings. The By the Sea number was also sadly shortened and poorly edited. Although A Little Priest was not my favorite number of the musical, it was the best presented in the movie despite it also having been shortened. The acting is overall really superb, even if Helena Bonham Carter was a little too subdued as Mrs Lovett, although that makes you really feel for her character. But then, Mrs Lovett is supposed to be vile, and unlike Angela Lansbury's stage incarnation who spits her words out while chirpily enjoying manipulating Sweeney Todd, here Bonham Carter tries to sing melodically and as a result, she deprives the character of the oomph befitting a lead role. Nevertheless, she is still deliciously good, while Johnny Depp is amazing. The film is superbly edited too. And the way the blood in the movie spurts and gushes out is really reminiscent of the horror movies of old, which Burton and Depp supposedly love.",8,1,3,24 January 2008
Life of Pi," Life-affirming tale that resonates
","I should first confess that i have not read Yann Martel's novel, am not a vegetarian, and do not believe that all religions are the same. All that notwithstanding, i love this movie with the inspiring message that if life throws you lemons, make lemonade. When Indian boy Pi Patel faces taunts in school, he turns that to his advantage. When, as a teenager, he becomes shipwrecked and shares a lifeboat with a Bengal tiger, he learns to deal with the situation and because he never gives up hope, he gets to be amazed by the wonderful experiences brought about by his predicament. Suraj Sharma injects his performance with a combination of innocence and tenacity, while the virtual tiger named Richard Parker is an impressive work of art. Both complement each other beautifully. The screenplay is sharp and observant, while the music score is striking yet unobtrusive. Yes, director Ang Lee has delivered yet another masterpiece.",8,1,3,15 January 2013
Star Wars: Episode IX - The Rise of Skywalker," From one cliffhanger to another
","What an ending for a finale of the final trilogy for the Star Wars saga! Here, we see the return of the original characters including Luke Skywalker, Princess Leia, Han Solo, Chewbacca, R2D2, C3PO, Lando Calrissian and Palpatine/Darth Sidious along with newer ones like Rey, Ben Solo/Kylo Ren, Finn and Poe. There is never a dull moment with so many twists, surprises and cliffhangers from start to finish. Everyone acted well, and the visual effects were impressive. What a ride this has been, and now there is compelling need to watch the entire saga starting with The Phantom Menace. Let's roll!",9,3,7,2 January 2020
The Last Legion," A little too fantastic to be believable
","This movie kind of reminds me of the lower-budgeted Greek and Roman lesser epics of the 1960s -- still watchable as long as your expectations are not too high. I'm sure much of this film's budget probably went to its A-list cast, which i have to admit was the main reason for my going to see it. That said, the best performance came from young Thomas Sangster as the boy emperor Romulus. He more than holds his own against his veteran co-stars, and he delivered all his lines perfectly. As for delicious Aishwarya Rai, she looks good and fights well enough to justify being given the part of the woman warrior. Rather disappointing were Colin Firth, who looked like he was having second thoughts about taking the role, and Sir Ben Kingsley, who gives his philosopher-sorcerer an Indian accent as if he was another Gandhi. And the great Harry Van Gorkum is masked throughout the movie so you don't even get to see him until the very end. Story-wise, while the first half of the movie is almost a snooze, at least the last half-hour picks up and it ends quite satisfactorily.",6,1,3,19 October 2007
Ratatouille," A most delicious Ratatouille to be savored many times
","Let me declare this outright, Brad Bird is pure genius and on top of that, one with a lot of class. Here is an animated feature with EVERYTHING: comedy, suspense, satire, an engaging story, brilliant artwork and superb voice-overs, a fine music score (although no Randy Newman song *sniff*) and all that topped up with LOTS of Pizazz. As a critic, i always look out for flaws; as a movie-lover, i tend to be forgiving. In this case, there are hardly any flaws to speak of and so, nothing to forgive. Animated rats have always been cute, but the ones here are not only lovable but very realistically characterised as well. While this animated feature may have been made with the adult viewer in mind, there is more than enough of the fun factor thrown in so that the younger ones will find it appealing as well. At the same time, many life lessons were included as part of the story; thankfully, these were not imparted in a heavy-handed way. This is indeed a hearty feast for all the senses, and one to be savored over and over again.",9,2,3,16 August 2007
Yesterday," Interesting concept but too ambitious in execution
","First, what i enjoyed most in this movie is Kate McKinnon's delightful performance as a ruthless agent. Hers stands out among generally decent performances from the rest of the cast, and deserves an Oscar nomination for supporting actress.
The movie as a whole is a pretty shameless piece of work, perhaps not unlike McKinnon's character Debra Hammer. While the concept is interesting, those behind it try to take on too much and end up spoiling everything. One is allowed to be far-fetched up to a point and beyond that, the whole premise falls apart.
One suspects the whole idea behind this project is to make money from songs by the Beatles. On a positive note, at least it may introduce some new fans to the body of work. However, Yesterday the song was not rendered well, and including Back in the USSR is totally out of place and meaningless.
On the whole, one would give the filmmakers the benefit of the doubt and believe that their nostalgic intentions are good. One just wishes that they were more restrained and just focused on the sweet love affair in the middle, without wrapping it with so much ribbons, glitter and confetti.",6,1,2,28 August 2019
The Favourite," Refreshing life breathed into historical characters
","You don't have to love history to enjoy this movie, but this movie will make you more interested in history. The script is deliciously written, and is based on the intimate relationship between two women using power and influence, and a third one who comes in to disrupt that relationship. Emma Stone is amazing, Rachel Weisz is excellent, and Olivia Colman is great fun to watch. Nicholas Hoult, always impressive, has never been better. After watching this movie once, you will be haunted by it and want to watch it again.",9,7,13,28 January 2019
Once Upon a Time... in Hollywood," 1969 Hollywood, Tarantinized
","Real and fictional characters populate actual and imagined situations in Quentin Tarantino's mind-blowing saga aptly titled Once Upon a Time... in Hollywood. For older viewers, it's a nostalgic trip back in time while many references may be lost on those who are younger unless they are themselves well-versed with that period in movie and TV history. The main real person in the movie is Sharon Tate and while we all know her story, we still wait with bated breath to see Tarantino's take on what he would have liked to see happen. Brad Pitt's character Cliff Booth is given the best lines, and they are all delivered with immense charm. Pitt is in top form here, and he is the movie's brightest spark. Leo DiCaprio's Rick Dalton is a more complicated role, a character riddled with self-doubts and who constantly needs reassuring, yet in his element at all other times. The movie is filled with interesting supporting parts, many of them played by veteran actors including several who had not been working for some time. This being a Tarantino movie, the viewer should not be expecting conventionality; the writer-director plays fast and loose with the facts and reality so much so that the phrase 'it's only a movie' becomes almost an understatement. My advice to first-time viewers is to just sit back and enjoy the ride; there will be a lot to take in, so a second viewing may be helpful. As long as you watch with an open mind, you won't end up too disappointed.",7,1,2,21 August 2019
Aladdin," A feast for the eye, mind and heart
","This live-action version of the Disney animated musical based on the story from the Arabian Nights provides enough spectacle and drama to please the eye and mind. Mena Massoud is a very winning Aladdin; the character's singing and choreography are impeccable. Will Smith is brilliant as the Genie; Robin Williams did a great job voicing the character in the animated version, and Smith takes that job up one level. Marwan Kenzari is a suitably threatening Grand Vizier; it is delicious watching him lap up the role. And Naomi Scott and Nasim Pedrad make a delightful pair as Princess Jasmine and her handmaiden Dahlia. Oh, and Abu the monkey is super great fun to watch, even for one who is generally not fond of monkeys. My three favorite songs in the movie -- One Jump Ahead, Friend Like Me and A Whole New World -- were well-executed and did not disappoint. All in all, a more-than-satisfactory entertaining two hours.",8,0,2,30 May 2019
Stardust," A magical tale with twists and surprises at every turn
","It's a long story, as one often says, but in this case, the ride is well worth it. Stardust is a wonderfully inventive fairy tale, filled with twists and surprises at every turn. If you enjoy movies like Ladyhawke, then you will like this one even more. And for a film that is just 127 minutes long, it sure packs a lot. The engaging storyline, accompanied by a rousing score, unfolds like a gift being teasingly unwrapped; and by the end, the package is neatly tied-up again, topped off with a resplendent bow. Young Charlie Cox leads a starry cast, and they all gamely deliver deliciously off-beat performances. Stardust is a visual feast, and a tale that satisfies both the mind and the heart.",9,1,1,10 November 2007
