movie_title,title,review,rating,helpful,total,date
Angels & Demons," Your average thriller
","For me, this is one of the rare cases that doesn't call I-read-the-book-movie-sucks evaluation. Indeed, the screenplay cherry picks the reasonable parts of Brown's story omitting the nonsense in the book. With most action pulled by Tom Hanks, Ayelet Zurer's character seems like a filler for a female cast. To make things worse, Zurer acts more like a lab technician than a top notch physicist. The plot is simplistic and predictable. If you read Dan Brown's other books or saw Da Vinci code, it won't take you long to figure out the twists and the villain. Some nice scenes from Rome are the redeeming qualities of an otherwise average popcorn flick. This is not a thriller that will blow you away but will probably entertain you on a lazy Friday night.",6,0,1,11 September 2018
Marie Antoinette," A better storytelling is still in the waiting
","This movie seems about setting the records straight for one of the most misunderstood historical characters. It starts well with Antoinette's girlhood and her introduction to the French court as the Austrian bride. But then it drags on about her vanities, bitter marriage, her addiction to gambling and lavish lifestyle by completely missing the point that she lived at a time which makes up one of the most interesting historical turning points of the mankind. Only at the end of the movie, the revolution is depicted with an angry mob carrying pitchforks and sickles in a perfunctory manner. Indeed, her last years in the dungeon after her arrest are completely ignored, which could be a much more interesting subject than her superfluously narrated court life.Add to that, the pop soundtrack in the first half sounds too cheesy and turns a potentially historical gem into a chick-flick. The only positive side is the superb acting by Kirsten Dunst, who almost single-handedly saves the movie from a complete train wreck. Ironically, this also emphasizes the fact that she was alone in the leading role with a very obscure portrayal of her husband.",4,0,0,30 April 2018
The Ring," Typical horror flick
","The movie must certainly be a feast for the eyes of horror film lovers with all its tension and suspense. However, it can't escape the cliches by touching all the twisted imagination buttons ever created throughout the movie history. As a person who has done with supernatural crap long time ago, I expected some intelligence after seeing Naomi Watts on the cast. Indeed, she was the reason for me to spare some time for this genre but the end result was total disappointment. The part involving the research about Anne Morgan looked promising for a while but towards the finale, nails coming off the walls by themselves, a zombie girl climbing out of a well and then coming out of a CRT screen to scare people to death... Those were all too much occults marring a flimsy story which was struggling to be coherent up to that moment anyway. I also read that the director initially wanted to avoid big names from the cast with the idea of movie being discovered by itself (well, if you believe it...) Sorry for dashing your dreams pal, but this is just another run off the mill horror flick who'd never find this much success but for Watts. As for the movie itself, the storytelling is patchy and lacks cohesion. Some reviewers complain about the lack of character development but I guess this would be too much to expect from a horror movie, anyhow. I should finally give the director some credit that by using blood and gore sparingly, he acted wisely enough to jack up the creepiness level a notch high.",5,0,2,1 April 2018
Se7en," A dark psyco-thriller at its best
","A veteran detective counting his days to retirement and a rookie officer hungry for success and glory team up to hunt down a serial killer who refers to seven deadly sins in his gruesome murders. There's not a specific setting for the city where the drama unfolds except that it's a metropol area. The movie is perfect in directing, editing, acting and cinematography. Dark indoor scenes and narrow gloomy alleys shot under overcast and rainy skies fit very well with the brooding theme of the movie. Despite some intensive chase scenes and violence, Seven is not an action packed movie. Although it's technically classified as a crime thriller the psychological aspects of the main characters are emphasized. Some reviewers describe it as a slow paced movie but it is not. The scenes involving character development are as captivating as those with gun fights and rooftop chases. The tempo is successfully balanced in subplots but the tension is never lost and the movie never gets boring. While horrid murder scenes aren't for fainthearted they can't be compared to cartoonish blood and gore extravaganza in Tarantino's movie caricatures. Like all other scenes, the director D. Fincher uses them in moderation to instill terror in the audience. Some reviewers' comparison of the serial killer John Doe to Hannibal Lecture is ridiculous. With his unrealistic superhuman physical strength, H. Lecture's silly cartoon character looks more funny than frightening in scenes where he bites off ears and noses in a straight jacket and finds his way out from a locked iron cage. John Doe, on the other hand, is an average person who can be easily taken down in a fistfight but his psychopathic ramblings give him a much more real and menacing look.",10,1,1,19 July 2018
Unbreakable," Skinning the cat twice
","As most reviewers do I can't help but compare this movie against 6th Sense because the plot sits on the same framework with the same director, the same lead actor, a similar setup (a grownup and a boy at the center stage), the same dispassionate and wooden acting style from B. Willis, the same slow pace, a similar mystical scenario which defies logic and a sort of unexpected twist at the end... I actually enjoyed 6th Sense. But that doesn't mean I'd like to spend my time on its derivatives. When the originality is gone a stale work remains behind.",5,1,4,10 July 2018
Argo," A solid movie
","Argo is the best Affleck movie that I have seen so far. To start with, the story is so solid that the production doesn't need any embellishment for further dramatization. The script is very well written and acting is good. The scenes are very realistic although the shots seem to be taken in Turkey rather than Iran. This becomes especially obvious with women on streets without a headcover and more so with female airport agents in knee high skirts. In 80's Iran after revolution, it was impossible for women to dress like that, regardless of their nationality. It's amazing Affleck missed this important detail during the shots. Besides that, the editing and directing are in general above average keeping the tension up throughout the movie. Although the movie was criticized for slighting Canada's role in the operation the historical references are generally accurate and realistic. Recommended.",9,1,2,28 December 2012
Knives Out," An entertaining and hilarious story
","Mystery crime has long been a neglected genre in the movie industry with cheap and boring TV flicks like Murder She Baked, etc. With its star-studded cast and intelligent plot, Knives Out is certainly a refreshing and hopefully a revitalizing comeback. Although it feels like a modern day Agatha Christie adaptation with little new to offer, all its cinematographic qualities like acting, directing, scripting, editing are top notch. Despite the abundance of leading figures, the characters are surprisingly well developed and they are far from simplistic and single-dimensional. Take Joni, for example. When it comes to her personal interests and benefits, she sees nothing wrong with scheming a large sum of money from her father-in-law. Her political views on a polarizing subject like immigration, however, are progressive and humanitarian.
Indeed, the subject of immigration is the permeating subtle theme of the movie although the main plot revolves around a crime puzzle. The protagonist is a daughter of an illegal immigrant family from Latin america. She works as a caregiver to a bunch of wealthy white people none of whom has no real accomplishments but lives a posh life by simply leeching off of the rich patriarch. Most of their qualities are pretentious and skin-deep. Even the impressive 'ancestral manor' turns out to be an estate bought from a Pakistani tycoon some 40 years ago. I don't want to give away too much from the plot but the final scene metaphorically and hilariously clinches the underlying subject-matter.
All in all, Knives Out is an entertaining movie which certainly deserves seeing.",10,5,13,18 January 2020
500 Days of Summer," A fun to watch chick flick
","A romantic comedy about a metrosexual man and his sociopathic girlfriend. This is a decent work with good acting and a realistic plot which certainly respects your intelligence. The slow pace of unfolding events is typical for this kind of movies but the seemingly random selection of days and events from a series of 500 days manages to keep the audience attached. Despite its patchy stroytelling, the cohesion is not compromised. Well done...",7,0,0,1 April 2018
Hotel Rwanda," A masterpiece
","There are plenty of good reviews about this movie. It's very difficult to top them and I'll spend no effort to do so. This is about the genocide in our living memory which we indifferently watched on TV screens just like J. Phoenix put it while he was shooting a footage as a reporter in the movie. The reality of the scenes hits you so hard as to make you think you could be one of those souls stranded in the hotel if you were born under wrong circumstances. The acting, directing, story telling, everything about this movie looks impeccable. Technically, there could be some minor flaws to a trained eye, but the little cinematographic details are simply obstructed by the sheer power of the story. A movie about a million people who were butchered with machetes can't escape the violent and disturbing scenes but the blood and gore were craftily kept spare to keep the focus on human drama. Even then, you feel the violence much more powerfully than cheap Tarantino movies, in which brains and guts are lavishly splattered all over the place for redneck audience consumption. In the same vein, I can't imagine any horror flick that could instill the same kind of horror that this movie will fill you with.",10,1,1,8 May 2018
Interstellar," The most overrated movie of the year if not years to come...
","The movie starts very slowly. There's hardly anything interesting in the first hour. During that time, I almost fell asleep in the theatre. Despite the commendable efforts to make it comply with the predictions of modern physics like time dilation, twin paradox, etc. the plot is still full of gaps and utterly nonsensical actions which defy your logic. The 'scientific' references to quantum mechanics, general relativity and string theory (this one is rather implicit...) in the dialogues are very pretentious and most of the time plain silly. The only parts of the movie that would evoke interest and probably keep you awake are as usual about human drama, power struggle and emotional encounters. In this regard, all the efforts to make it compatible with the laws of modern physics become useless and a waste of time. Indeed, I have yet to see any movie that can pull it off since 'Contact.' In this regard, I'd rather see 'dumb' sci-fi movies which concentrate on drama like the first and 2nd gen Star-Trek than this sort of half-ass physics-wanna-be stuff which fail to address your imagination.On the positive side the plot is clear, unobstructed and easily understandable despite the references to theoretical physics. Compared to sheer crap like 'Cloud Atlas' that certainly deserves a praise hence my three stars for the rating.",3,5,9,25 December 2014
