movie_title,title,review,rating,helpful,total,date
Insidious: Chapter 2," Better than expected for sequel, but loses the magic of the first
","The first felt like a complete film - the dynamics between the main couple were interesting, there was a tension that gave depth and emotion to the horror element. The performances and atmosphere were properly attended to and it all worked.In the sequel, the performances, characters and emotional depth are discarded in favour of over-cooking the narrative. It plays out like a TV movie (shot on DV) of something like American Horror Story, where story elements, jump moments and historical causes fly thick and fast.There are too many references to other haunted house films and clichés, The Shining and Psycho. Those latter references (which are extremely blatant) make you wish you were watching a 'real' film of that calibre, and only serve to highlight how amateur feeling this whole thing is. Leigh Whannels script, whilst over excited does have some nice touches (as well as clunkers), but James Wan's direction felt totally uninspired and rushed this time around.",5,1,2,18 September 2013
It," Starts well but gets boring fast once you realise there is no goal
","The opening scene of IT is so promising - well directed, atmospheric, and Skarsgard's clown is compelling to watch. There is a brief moment where while laughing mutually with the kid, the clown suddenly goes quiet and stares menacingly. Its brilliantly unsettling. But sadly, that's it as far as unsettling clown performances go - the rest of the film is typical CGI scares, and the clown throwing out taunts like the deriative satire of Scary Terry in Rick and Morty. The cinematography and acting is great. Its watchable in an afternoon Netflix kind of way. But there is no real gist, goal or drive to the story, it all just sort of unfolds scene after scene, goalless and drifty like the string-along nature of a Police Academy film. Its OK - but it really isn't the classic that people are making out to be. Its been incredibly over-hyped. I personally found Insidious to be a far more effective supernatural chiller.",6,252,448,8 September 2017
Hereditary," Terrific chiller with great direction & attention to detail, but comes with a WARNING!
","Non-spoiler warning: do not see this film if you are grieving the loss of a mother, daughter or younger sister. Any recent grievances actually would be a bad thing to take into the film. It deals with them in a very unsettling, emotionally turbulent way. The film itself is a masterfully directed horror. If you're bored of Insidious, Conjuring, Annabelle, Ouija style flashy jump-scare movies and prefer your horror more subtle and considered (e.g. The Babadook, The VVitch, The Exorcist, Rosemary's Baby, arguably Killing of a Sacred Deer) then you'll relish Hereditary.What I love most about Hereditary is its firm footing in emotional family dynamics. The strained relationships form a solid backbone for the more eerie elements, and are often just as unsettling to watch and think about. In some ways I wish it had pushed this side more, as I like it when cinema has something interesting to say about humanity. As a horror though its very effective, and a terrific addition to those lists of 'what's your favourite horror?' that do the rounds regularly.",9,3,5,28 June 2018
Wind River," Its good - but VERY clichéd under its veil of self-importance
","Wind River almost suffocates under the weight of its self-importance - characters mumbling, most lines being a little over-cooked in their meaning, characters seeming a bit too contrived and self- conscious, a context that keeps throwing its metaphor at you. But once you cut through all that, you'll find a very clichéd, often sexist genre film complete with a moody, understated male hero, a rookie female FBI agent who basically looks pretty and needs rescuing, a couple of action scenes that feel a bit like random missions from GTAV (with plenty of characters that you have only just met getting arbitrarily killed). The main flaw of the film for me is the presence of a flash-back which ultimately shouldn't be necessary, but seems completely relied upon for audience satisfaction when it comes to a villain's denouement. The villains here have no depth or causality, they exist simply as villains to further the story, but perhaps that's where the unfair treatment of native Americans comes in again. Its good - worth seeing even - but if you've seen The Grey (Neeson's character specifically), Insomnia and The Valley of Elah, your recognition neurons will be fairly active.",6,18,37,21 August 2017
Passengers," It is a joke that anyone can review this positively, who is over 14 yrs old
","Someone even called it realistic. It isn't, in any way whatsoever, realistic. It starts off like a half-baked Black Mirror idea, played by two non-charismatic, self-conscious and wooden actors, complete with lines like 'that can't be good', 'not good', 'you've gotta be kidding me'. Then the plot turns, and it becomes a rushed, silly Saturday morning cartoon. The final scene is so pithy, trite and forced, and does no justice to the story that you've just wasted two hours on. Along the way you'll see huge imitations of Alien (petal like hibernation capsules), Prometheus (medic pod), Avatar (capsule shots of Chris Pratt that are composed, shot and colour-tinted exactly like those Worthington), Gravity (untethered in space, rescued by loose cord grabbing), Sunshine (plants on a ship, watching the sun from a viewing room), The Island (a strained relationship in a sci-fi environment that gives way to stupid action), Moon (AIs that respond with smiley faces, overall environment designs, food vending machines), The Shining (the look of the bartender, the pattern on some walls matching the carpet of the Overlook Hotel). Its SO derivative, and not just because its a spaceship movie - there are direct copies and I have no idea why. A real shame of the film also is that a few very short scenes were needlessly injected purely to make the trailers look like it was some wildly inventive action film. I'm talking about the brief anti- gravity shots, particularly the swimming pool one. They're completely unnecessary in the film, last mere seconds, yet were milked like crazy in the trailer as if the last act of the film was this wild anti-gravity action thing. Its just a very, very lame film.",2,4,11,25 February 2017
Ready Player One," Often exhilerating, but caves into formula
","I haven't read the book, so am reviewing this purely as a film. Its technically incredibly accomplished - amazing CGI, a packed, detailed screen most of the time, and the 3d is brilliant (particularly the VR scenes, the real world seemed flatter/duller which may have been intentional for the same effect as Tron Legacy). The sheer dizzying vibrancy of the VR world and all its references is often joyous and refreshing.But as time goes on (and theres a lot of it) I found myself craving some substance, some humanity, some depth, character and originality which doesn't materialise. All the references to Back To The Future make me kind of wish I was watching that instead - how much more loveable the characters are in that. RP1 descends into the same formula as every other mass-market movie - evil baddie, endless destruction, slick invulnerable CGI battles, good guys in great peril, etc etc that drags on a little too long. By the end I was glad it was over, and it had lost my earlier affection. Afterwards it started dissolving fast, without much staying behind. Great entertainment, but I feel like it could have been so much more. Maybe I've been spoiled by Black Mirror. If BTTF was made now, I'm sure Biff would be a megalomaniac evil time-lord trying to destroy the spacetime contiuum, and there would be an extra hour tagged on where Biff teams up with the Libyans to destroy Hill Valley with endless CGI bazooka missiles. One thing I'll say in RP1s favour is that there is an amazing setpiece (the second key) that had me smiling so hard it was worth the price alone.",6,10,26,28 March 2018
The Hateful Eight," Tarantino has absolutely forgotten how to tell a story
","Imagine this - a Tarantino fan is asked to write an eight hour season of a TV show, set in a log cabin for budget purposes. They write it, paying homage to Tarantino films in a few different ways, casting some of his usual players. They do their best to be Tarantino - there are too many self-indulgent speeches, the characters all talk the same flowery lingo, every question or fact has to be asked/given in some repetitive, distracting, and unbelievably self-conscious way. Yet, it doesn't have any of the verve or quotability of an actual Tarantino project. You eventually end up buying the DVD set of this series in a supermarket bargain bin. At home, you notice that one disc is labelled 'Deleted Scenes'. You put the disc in - check the time, and there are 180 minutes of deleted scenes. You watch them all in sequence. THAT is exactly the experience of watching The Hateful Eight.",2,123,263,31 December 2015
Molly's Game," Sorkin running himself into a slightly boring corner
","I miss the days when Aaron Sorkin put effort into writing stories, like Malice, A Few Good Men, or The American President. Sometime since, he fell so much in love with his own formula (characters delivering fast monologues involving random facts, statistics, distorting each others words into new meanings) that he doesn't seem to care about story any more. Apparently the audience will salivate and be duly aroused by yet another cutesy bit of fast-talking dialogue that could be about anything. Put simply, the story of Molly Bloom could have been told in half an hour. Heck, a 3 minute montage could have done it. Dragging it out to 2 hours 20 is just... silly. This is NOT an epic story. Its not even particularly interesting - the result has nothing in particular to do with anything. Jessica Chastain plays EXACTLY the same character as in the utter-Sorkin-imitation Miss Sloane. I was really hoping it would end soon, and there was still an hour left. Yes, Sorkins writing can be 'amusing' here and there, but most its taxing and irritating, people simply don't speak like that in real life, and it seems a real shame to let it get in the way of telling a good story. There isn't one here.",6,7,16,18 February 2018
BlacKkKlansman," Racist about racism
","The first half of this film is a tight, efficient, Departed/Donnie Brasco style thriller with suspense and lighter moments. Its enthralling, watchable, has some nice directorial flourishes and a fascinating context. By the second half, it descends into political spin, losing the thread of its suspense and dragging like hell. Its a strange point to make - by pushing the racism into extremes its almost like a distraction from the core human insecurity that leads to intolerance in the first place.",4,2,7,9 September 2018
"Three Billboards Outside Ebbing, Missouri"," Different and interesting at times, but distracting with its ridiculous moments
","This probably started out as a good idea. There's something fascinating about a cantankerous. outspoken kind of woman obsessing over an awful unsolved crime, and fighting the police on doing their job. Unfortunately, it ends up mixing the more occasional thoughtful, interesting moments with a ridiculously clichÃ©d portrayal of small- town police as redneck buffoons, absurd Saturday-morning-cartoon style logic, Tarantino-imitating dialogue (cutesy circular monologues where the speaker enjoys correcting themselves, overly witty for the character in question because what you're really hearing is a self-obsessed eager-to-impress screenwriter, a woman talking to herself via her slippers where every single line repetitively blurts 'm****rf****rs'), irritating un-pc humour (yeah we get it, rednecks endlessly throwing out 'n***er' and 'f***ot', child abuse, dwarfs, kicking girls in the crotch etc is so fearless and edgy!) and huge tonal shifts that ruin the moment before or after. An underlying message of the film (something about kindness being more curing than anger) gets compromised in a final scene which seems forced and against all character logic. A moment half- way through sends the core of the film in a different direction, where it could easily be retitled 'Three Letters from Ebbing, Missouri'.I haven't felt so frustrated before by the idea of less being better. If certain absolutely-unnecessary scenes, moments, lines, quips and slurs were edited out, it would be a much more efficient and powerful film. Its also awkward to see as a shared experience - audiences simply don't know how to react or respond to certain tonally uneven moments, so can't help but nervously laugh at anything they think is suggestive of humour (e.g. an innocent school girl getting needlessly kicked in the crotch by an adult woman). The protagonist is often entirely rude and ignorant in her attack monologues, but rather than sympathise with her mis-directed anger, audiences are more inclined towards 'go girl!' style moronic agreement. It just feels jarring. It Would be much better absorbed on the small screen.",5,19,36,12 December 2017
