movie_title,title,review,rating,helpful,total,date
The Blair Witch Project," Groundbreaking Film mortally hurt by excessive hype
","A spit in every major Hollywood studio's face, to say the least, and the second film this summer to learn a lesson from MTV's atrocious programming and put it to superior, even revolutionary use. With 'Run Lola Run' it was the relentless pace and non-dependence on dialogue which created a sublime effect, a near return to the silent era. 'Blair Witch' took the channel's utterly false reality of home-video footage and documentary-style acting, transforming it into perhaps the most realistic falseness to ever grace the silver screen. The enormous buzz that surrounds this amazing horror movie (which never aspires to be more than a cheeky genre entry) has already started an undeserved yet equally strong backlash, mostly by jealous film-students at first, then by the spoiled masses which could not comprehend anything beyond Will Smith's special effects-ridden vehicles. Misunderstood both by the critics who hailed it as the next cineamtic movement and the audiences bombasted by the hype, 'Blair Witch' should be taken at face value; although currently that is practically impossible to do. The degree of scariness in the exploits of three young idiots (types all too familliar to everyone who attended college) doomed to perish in the haunted Maryland woods will largely correspond to one's own level of sensitivity, but regardless of how frightened the film makes you, it amounts to an experience of gleeful delight,(akin to the great 'Evil Dead' series minus the cartoonish gore), of taking part in something new and refreshing. Of course the overall execution is not totally original, deriving mainly from 'The Real World' and an obscure 80's Vietnam flick called '84 Charlie Mopic', but what does it matter? Nothing, repeat NOTHING spurts out of the blue - (a classic case in point would be Tarantino inspired by Goddard and Melville inspired by Carol Reed and John Huston inspired by the 20's expressionist cinema and 'Public Enemy'). 'Blair Witch', while not transcending its genre, still has a share of pure visual artistry, some probably unintentional. A certain beauty lies in the shots of Heather Donahue's white shape jetting through the dark forest, the ominous rays of sun glittering in the evening trees. The amateur feel the directors generate is but an expertly-crafted illusion and therein lies the film's ultimate pleasure.",10,1,2,28 December 1999
Vertigo," Prime Hitchcock
","As mesmerizing as it is long and difficult to comprehend, 'Vertigo' is one of cinema's strangest tales of romantic obsession, the kind that certainly would not be made nowadays, since the subject is increasingly demonized in the American culture. Surprisingly enough, it works, in large part through the director's mastery over the medium. Some speculate that it was a highly personal project for him, a casting out of his own internal struggles. Such theories validity is questionable, but anyone watching will notice the movie's much lesser degree of calculating, joyful logic that almost all other Hitchcock's works are saturated with. Incredibly true to its title, by virtue of an eerie score and some dizzying cinematography, the movie induces the sense of romantic vertigo in the audience. A fantastic opening credits sequence which resembles digital animation, suggests a visionary quality that refused to be confined to its time period.",10,2,3,20 April 1999
Come and See," Apocalypse Then
","In all fairness, this Belorussian-made World War II picture detailing Nazi atrocities, holds a special distinction in world cinema: it is by far the most brutal and emotionally draining of all - in fact, a viewer whose senses have not been properly trained would most likely find it unwatchable. Those brave souls willing to be put through an ordeal of almost 2 1/2 hours will find themselves deeply immersed in an absolutely horrifying experience that will not easily subside whether they want it to or not.The title, 'Come and See', taken from the frequently repeating lines of the book of Revelation, clearly dares the audience to assume the role of St. John, witnessing the Apocalypse, or rather one of the darkest periods in the history of humankind. What we are assaulted with, plays somewhat like a demented version of 'Modern Times' transpiring across the panel of Brueghel's 'Trimuph of Death', if such a combination is possible. The camera is consistently filtered through a murky, slightly unfocused gaze, and the sound is often heard through shellshocked ears. This tends to eirly distance the events, yet make them even more frightening and unsettling. Much of the dialogue lacks specific meaning or even concrete sentences - it is replaced by subhuman growling, wailing and other spine-chilling, gluttural sounds of the war. What the director prepares is something Spielberg would never even dream of - no sign of compromise with the audience. A crowd of civilian villagers locked up in a barn by Nazi soldiers is not spared at the last minute like 'Schindler List's' Jews- they are burned alive, and we get to watch all of it.Unlike most of the films in this genre, 'Come and see' relies mainly on images and sounds instead of a coherent plot, which is not necesserily a weakness, since the sheer terror distorts time and space into a kind of hallucinatory blur, clearly intentional and understandable. But this incredible level of bleak intensity in the long run, has a negative effect on the film: the viewers have to desensitize themselves just so they can keep watching, so the most harrowing scenes are sat through in numbness.Another questionable move on the director's part is his occasional use of surrealism. While some visuals are painfully believable, while others are simply baffling: crazed villages consructing an effigy of Hitler, a pensive German commander with a pet slender loris (a rare African primate) on his shoulder, a female Nazi eating raw red lobster, not even mentioning a bizzare final montage wich is both inexplicable and obvious, ending with a real-life photograph that is perhaps the most terrifying of all in its implications. Yes, at times the movie overachieves its goals and seems almost like the footage in 'The Clockwork Orange' that they made Alex watch to cure him of 'ultraviolent' behaviour; yet other times it delivers the kind of jolts those accustomed to mainstream cinema could only wish they had. The face of a youth who had lost all sanity and aged many decades over several days, will be etched for an indefinite amount of time into the memory of anyone who has seen this film.",9,148,180,5 January 2000
Star Wars: Episode I - The Phantom Menace," To Lucas: 'If money is all that you love, than that's what you'll receive'
","Well, Ladies and Gentlemen, the verdict is out. The film that will undoubtedly outgross 'Titanic' in its opening weekend alone is  obviously not up to par with the now-sacred trilogy. It does not even try to match the original's level of greatness. As a matter of fact, the new Star Wars does not even constitute a work of cinema: it's not really a movie. Most of the time, it resembles a historical reenactment of Vader/Anakin's early years , complete with detailed ethnographic and technological insights into the Galaxy that Lucas built; a kind of dramatization one would see on the Discovery Channel, or better yet, 'America's Most Wanted', only with a 150 million dollar budget. Everything that could give the 'The Phantom Menace' any artistic merit, i.e. character development, evocation of suspense or any other emotion, and a dynamic plot, are utterly lacking.For true fans, however, such a thorough examination of their beloved space locales would not be a disappointment. Hordes of creatures, machines and buildings are fascinating to behold, a testament to the collective imagination of Lucasfilm's crew. But give any teenager with an imaginary universe the proper resources and you'll see the exact same results. They will be happy to document their world on camera, but in a form of a chronological, documentary-like fashion, rather than a true work of fiction with exciting personalities and an engaging story. The later requires a different kind of talent, that of a writer, like Tolkien, for example, not a mere dreamer. Perhaps, Lucas should have consulted one instead of taking on the job himself.Only the middle section of the film, set on the familiar Tatooine, can generate some form of excitement, with a magnificently staged pod-race, albeit stolen from 'Ben Hur'. The wooden acting of most non-digital characters seems to have been also adopted from that sleep-inducing 1959 epic. The most fully-developed creature, ironically, is young Anakin's winged blue owner, who resists Jedi mind tricks and displays basic feelings that others do not. Jar-Jar, a sidekick designed for   laughs is no Chewie, and largely detracts from the action with his irritating behavior and an inexplicable Caribbean accent. The Humans, meanwhile, appear to be going through the motions, some like Samuel L. Jackson, barely get to even open their mouth. Darth Maul, a potentially excellent villain, overflowing with malice as he slices and dices everything in sight with his double-light-saber is the movie's single biggest letdown. He almost never speaks and reveals absolutely nothing about himself, not even juicy one-liners that Vader was so fond of.Those who know and cherish the Star Wars mythology will revel in the stunning visuals, while those who do not will likely feel confused and alienated by this highly impersonal production which is in many ways typical of the decade's blockbuster overkill. Perhaps it is only for the better, that the prequel does not violate the sanctity of episodes IV, V, and VI. It simply offers an explanation of previous events without much pretense. George Lucas is fully aware that he cannot outshine the works without which this project would not be possible. In any event, by the century's end, he has proven to operate by the principle that once moved Han Solo. As Leia has pointed out to that lovable scoundrel, 'if money is all that you love, than that's what you'll receive'.",2,0,1,20 May 1999
Casablanca," A most enduring classic
","The only pre-MPAA rating system movie that holds its popularity and cult status from the very time it was released (even 'Gone With the Wind' had a minor period of neglect), 'Casablanca' is most people's primary association when they hear the word 'classic'. And rightly so: all aspects of the production have no glitches whatsoever. Plotwise, the film recounts the aftermath of a romance undermined by a disaster (in this case, a devastating war): a theme forever exploited for its box-office potential. Here, the three-hankie quotient is relatively low due to an intelligent script which concentrates on Europe's reaction to a near-apocalyptic threat to its way of life and its freedom of spirit. We also have some unforgettable musical moments (and an answer for why the Beatles used 'La Marselliase' in 'All You Need Is Love'), the inspiration behind the Mos Eisley cantina in 'Star Wars', the only representation of a black character up to that time that wasn't somehow demeaning, references which are widely speculated to be bisexual, and so much more! Some characters, one has to admit, are better developed than others (Bergman, who pimps herself back to Bogart in order to help the Resistance, is considerably more interesting elsewhere), but the writing is flawless and works of cinema and literature are still being named after the movie's lines of dialogue, one as recently as '95. Ironically, Ronald Reagan was supposed to play Rick Blaine before Humphrey signed on: what the picture might have been with him in the lead is anyone's guess.",10,0,0,15 April 1999
Fight Club," 'Clockwork Orange' this ain't...
","Is 'Fight Club' an endorsement of faschism and violence, or merely a cautionary tale? None of the above. David Fincher's controversial fourth feature is simply put, one big joke, that the unsuspecting audience is subjected to, under the pretense of criticizing modern consumerism and materialism, as well as mourning the loss of true masculinity by today's y-chromosome bearers. Edward Norton, a renegade corporate slave, and Brad Pitt, a flamboyant, mysterious rebel, organize a cult-like establishment where men can turn to for venting of their innate aggression. Before long, the aggression is redirected toward the rest of the world.  The film spews much venom aimed, it seems, at human life in general, occasionally hitting the right spots, provoking the viewer to sport a wicked grin or two, but no more. Fincher's penchant for nihilism does not leave room for any other feelings when viewing these frequently pointless displays of brutality. In the end, especially in the light of the twisted, 'Sixth Sense'-inspired parallel ending which only strengthens the 'joke effect', one gets the impression that the movie is trying to meddle in too many genres at once, while not being powerful or engaging enough to stand outside genre boundaries.",8,3,9,28 December 1999
The Birth of a Nation," Racist Propagana
","How 'Triumph of the Will' can be hailed as a masterpiece is strangely more understandable than the persistent acclaim of this atrocious example of a mass medium used to disseminate ideas of duplicitous evil. From a historical standpoint, Griffith's Civil War and Reconstruction themed saga of three plus hours, was a blueprint for modern narrative film, but do its methodological novelties justify the movie's claim to be a work of art ? Can, in any event, a practical recruitment ad for the Ku Klux Klan, be viewed as a work of art ? Can the climactic 'rescue ride' by the white-hooded clansmen be deemed exciting ? No more so, I daresay, than a pornographic video, no matter how high in quality, which depicts simulated rape or torture. But the latter's existence is in a way, more justifiable, since assisting a disturbed individual to release (usually his) dark fantasy in a safe manner is not the same as an active promotion of hatred. No smutmaker would ever demand legitimate recognition as an artist, and no critic would ever even give so much as a thought to lauding a smut flick, even if it's a personal favorite. But 'Birth of a Nation' has a greater purpose than instant gratification - as the opening intertitles declare, to 'preserve the purity of the Aryan race', and to paint the events as truth, albeit unfortunate. Watching the film in its entirety can be an ordeal which one does not soon forget. It is a spectacle of little dramatic merit : after calculated sentimentality of the prewar exposition, and a few grand-scale battles, the 'Negro savages' (white actors in blackface who act like subhuman troglodytes, bipedal apes) are introduced, and an indignant posse of 'noble white knights' is promptly assembled to liberate the South once and for all. What follows is a spectacle that makes one twitch in disgust and anger, the viewing of which can start a riot in a matter of minutes. Only for educational reasons, to stimulate meaningful discussion, Griffith's opus should not be prohibited from being shown, as any first-amendment protected work. The director himself later repented, making some real cinema with the the obvious title 'Intolerance' in 1916. Why the AFI voters did not include that instead, baffles any intelligent mind.",4,4,9,14 April 1999
Shakespeare in Love," Run, William, Run !
","An entertaining, ultimately shallow, yet well-meaning film, whose numerous verbal anachronisms can be forgiven for its sheer sense of fun. Joseph Fiennes makes for a goofy, doe-eyed Bard, and Paltrow (as his Muse) seems to fit the Elizabethan period well, although aside from her fashionable looks, Gwyneth's acting has little to recommend itself for. Most of all, the screenplay deals with the world of Theatre, the whole writing/production/staging process, here presented in a freespirited manner that at times rings true, but again, is all too superficial. Obvious visual inconsistencies irritate the eye (notably the mysterious accommodation of Paltrow's sumptuous hair under her tiny boyish disguise-wig ),but not enough to ruin the whole show. Perhaps the movie's biggest saving grace is that it rarely slows down, aside from the obligatory love scenes. Of course, the sex here is overdone and glossed over almost unbearably, but not as bad as in most mainstream genre pieces. If anything, it demonstrates that Miramax is truly no longer an 'indie' studio: it has fully accepted all of Hollywood's conventions and restraints. Also, SIL is notable for the second portrayal of Elizabeth I in '98: (this time around she's in her waning years ), probably in her best known context: exuding royal patronage on Shakespeare; a brief, yet definitive performance by Dench, fresh from playing Victoria in '97.",6,1,2,21 January 2000
Taxi Driver," The only flaw is the 'epilogue'.
","Scorcese must have known his Dostoyevsky well, and not strictly in the positive sense. In a decision of startling audacity for the seventies, he created a modern-day Rascolnikov as an emotionally scarred Vietnam vet, plunging into greater madness at the very core of the world's rotten heart: New York City. One who develops his own agenda of redemption, and eventually becomes a near automaton set to eliminate all that he hates at any cost. De Niro, as Travis Bickle is no more a mere promising talent, but a true revelation, a paragon of male urban despair, a picture-perfect definition of a walking timebomb. His metamorphosis into a killing machine is incredibly vivid and tense, a performance that glues to the screen and transcends all boundaries, making you revel in its very depravity and rejoice in the sublimely staged climax through which De Niro almost sleepwalks, blinded by uncontrollable obsession. This is interactive cinema: the kind that takes the viewers' senses into full custody and does not release them until the very last moment. Jodie Foster, unlike Dostoyevsky's fallen saints, plays her part with bitter cynicism combined with hidden vulnerability, a far more appropriate behavior for a teenage prostitute. Bernard Hermann, the man who brought you the 'Psycho' soundtrack creates an equally memorable score. Yes, 'Taxi Driver' would have been an all-around 10, if not for the final three minutes. Just as 'Crime and Punishment''s tacked-on epilogue of dubious 'salvation' spoils the overall experience, so does the film's, which should have ended right at the end of that overhead crane shot of authorities and bystanders arriving on the scene of Travis' ultimate crime.",9,0,0,20 April 1999
Forrest Gump," Worst Oscar Winner of the 90's
","A clear case of mass appeal prevailing over cinematic substance. The uber-conservative approach takes to US history is frankly misrepresentational at best. In a technique reminiscent of Woody Allen's 'Zelig', the title character involves himself in all of the most famous events of the last forty years. Basically, the movie vilifies the protest movements of the 60's and preaches blissful ignorance under the apparently Gump-invented slogan: 'S**t happens'. Why create a hero who celebrates stupidity as a national characteristic is anyone's guess. Any true American patriot with an intelligence quotient above 75 would be deeply offended by the disservice the film does to our country. But even on a purely objective level,  'Forrest Gump' is deeply flawed. Not only does the film shamelessly borrow (or makes a very conspicuous 'homage') from such masterpieces as 'Midnight Cowboy', it is also poorly structured. Lacking any visible climax, it has a potential to end at any point during its third hour. Alas, it pointlessly drags on and on, as Tom Hanks gets into even more of his 'stupid' adventures.",5,4,9,20 April 1999
