movie_title,title,review,rating,helpful,total,date
E.T. the Extra-Terrestrial," Still a great film
","I still think this is one of the best films and just because a few things were changed it doesn't bother me.  I only wish he decided to keep the guns in instead of being politically correct because it was so obvious they are not holding a walkie talkie.  However, it nonetheless receives my highest rating of a 10+.  Watch it regardless of the changes, it will be released in both formats on DVD so you have nothing to lose when they make it available to the public.",Null,0,0,13 April 2002
Minority Report," Brilliant!!!
","Another great film involving 1 of the best writers in science fiction with 1 of the best directors of our time and 1 of the best actors in Hollywood. This movie had everything you would expect for an adaptation of a Phillip K. Dick short story, especially the look of the film.  It was a lot like Bladerunner and Impostor, visually stunning, brilliantly directed, good casting, and very well put together.  It does make you wonder...if you could change the future would you?  A definite 10+ which, as you know, means its a must own.",Null,0,0,1 July 2002
Spider-Man 2," FANTASTIC!!!
","While I have always liked how these comic books are adapted into films, I really enjoyed the story in this one more than the comic book aspect of the film.  Roger Ebert said it best, 'This is a superhero movie for people who don't like superhero movies.'  There is so much depth to the characters and storytelling, especially the personal problems Peter Parker has to deal with.  I liked this movie just as much as the last one, and I recommend this at any price, which means I give it a 10+ on a scale of 1 to 10.  This is yet another movie I will definitely own.  I am very excited about the next movie and can't wait until it's released.",Null,0,0,2 July 2004
Finding Nemo," good...
","For an animation.  I usually don't care for these types of films because they only go so far before I lose interest.  This film was an exception. Pixar did a great job of keeping me interested.  They had a very good cast, especially Albert Brooks and Brad Garrett.  Hopefully Pixar will continue producing better movies as time goes by.  It would be nice to see another animation like this one come out.  Now that Pixar has left Disney, maybe they will have even more control over what they will do next.  Anybody interested in Finding Nemo 2?  If they have the right type of story, it would be fun to see a sequel of this made.  Assuming, of course,  they use the same cast again.",Null,0,1,3 March 2004
The Others," good ghost story
","I usually don't watch these types of films because I'm good at guessing what will happen next.  I will however say that I found this film to be quite good in the storytelling department.  Cleverly written, well acted, and a surprise ending that I will not reveal.  I have never been much of a fan of Nicole Kidman's films, but this particular 1 kept my attention to try and figure out what was happening.  The 'scare factor' was kept in the story and not in the amount of times they could shock you.  In any event this was much better than 'The Sixth Sense'.  I recommend this film highly and give it an 8 out of 10.",Null,0,0,7 July 2002
Troy," Exciting!!!
","Very good adaptation of the Iliad by Homer.  I was very impressed with the battle scenes and the cast.  It was funny how many of these actors already worked with each other in other films.  For example, Eric Bana and Orlando Bloom were in Black Hawk Down, and Sean Bean and Orlando Bloom were in The Fellowship Of The Ring.  I couldn't help but notice how Orlando Bloom used a bow and arrow the exact same way as in LOTR.  My only complaint about the film was that some of the actors not mentioned above overacted way too much. That aside, the special effects were fantastic, and the direction was very good.  Go see it at any price, you won't be disappointed.  I give it a 7 out of 10.",Null,0,1,15 May 2004
The Day After Tomorrow," Fun, but...
","It's hard to watch this without thinking of all the reasons things like this just couldn't happen.  (For more information, consult the goofs and trivia section and you will see what I am talking about.)  I enjoyed the special effects, the actors they chose, and the directing was just fine too.  My personal feeling was that after the movie was over it was just okay.  I wasn't depressed with any one thing, it just didn't impress me as much as say, Independence Day, which was by the same director and was a great movie as long as you didn't think about the plot.  I would strongly advise not to pay full price for this one.  I saw it for free and I'm glad I did.  I hope his next film is a little better than this one.  Oh, by the way, the girls were really cute.  I give this film a 5 out of 10.",Null,0,2,29 June 2004
Ocean's Twelve," Okay...
","This is not a bad film, just not a great film. The first was a lot better. There were only a few times I laughed out loud. I enjoyed the cast, except of course for Julia Roberts. If they bother making another movie, I hope they write a better script. If they worked on the story a bit more it probably would have been a better film. I was a little bothered that Bernie Mac and Carl Reiner didn't have bigger roles considering they were really good in the first movie. Considering the amount of talent in a movie like this, I would have hoped that this would have been a lot more fun than it was. If you're going to see this, make certain you don't pay full price. I give it a 5 out of 10.",5,0,0,31 December 2004
Scary Movie 2," funny but...
","As much as I appreciate comedies, this movie was a little too much in the sex department.  I was hoping for some more parodies rather than even more sex.  Any more and it should have been rated NC-17 or X.  As for the movie it had its moments, but it just wasn't all that great either.  I may have to watch it again to really say any more.  I did appreciate the cast, especially Chris Elliott, who is always funny, and Tori Spelling from Beverly Hills 90210 was great also, Kathleen Robertson also from 90210 was wonderfully cast as a temptress, and Tim Curry played a great part also. Overall this movie is worth watching but don't pay full price for it.  It's a much better movie at $5 NOT $7.  Also, don't go if you think there are too many people in the theater because all they will do is talk through it - a personal pet peeve of mine whether or not I like the movie.",Null,2,4,4 July 2001
Star Wars: Episode II - Attack of the Clones," ONE OF THE BEST FILMS OF THE YEAR!!!!!
","Let me first say I will not reveal anything about the movie's plot.  I was so impressed with this particular episode I will definitely see it again. Some of the best action I've ever seen since Raiders of the Lost Ark, and some of the best special effects I've seen.  My favorite characters were Count Dooku and Obi-Wan Kenobi.  What a great performance by Christopher Lee and Ewan MacGregor!  This movie receives my highest score of 10+ - go see this movie at any price and when the DVD comes out, pick that up too!",Null,0,0,16 May 2002
"Monsters, Inc."," okay
","I'm not much for animation films but I have to say I enjoyed this film. The story was actually very good, especially about how monsters view kids and not the other way around as much.  As I said before I don't watch a lot of these films, however, I really enjoyed this one.",Null,0,1,15 December 2001
