movie_title,title,review,rating,helpful,total,date
The Perks of Being a Wallflower," Maybe some other time
","I haven't read the book so the only expectations I had for this movie was my excitement to see Emma Watson since the Harry Potters ended. I'd heard from people that it was 'pretty good', so I saved it for one of those rare days where I was home alone with no boyfriend to protest while knocking some chores off my list of things to do. I'll give it this: it might be one of those movies where you really have to sit down and pay attention to it...because I was bored to death. I ended up turning it off halfway through because I just needed something more interesting and uplifting. It was so monotonous and well, dull...and honestly felt like it had some slightly dark tones. I just found myself being able to walk away, come back, and have not missed anything. All in all, there are a lot more movies on my list to catch up on and maybe one day I will get back around to it and give it another try, or maybe read the book first.",3,1,3,19 June 2013
Coraline," Um...no.
","I don't understand how people could like this movie. That being said, I was actually surprised that I DIDN'T like it. It has everything I like...animation, Tim Burton-style darkness and weirdness, and plays into your imagination. However, I just couldn't seem to drag myself into it. I tried! I think I've attempted to watch this movie at least 3-4 times by now but I never make it all the way through. I just kind of lose interest and walk away around the same time. I don't even really know what it is about that I don't like, it's hard to pinpoint. It just kind of falls flat for me. But everyone has different interests and tastes, so this is just my opinion. I know a lot of people who love the same kind of animated movies like I do and they didn't like it either, but I know others who love it a lot. I guess it just is one of those movies that speaks to certain people.",3,0,8,24 June 2013
The Notebook," Has yet to be topped
","The Notebook is, by all accounts, the greatest love story of all time. I have yet to see anyone top this movie in terms of romance. It is a necessary date night/Valentines Day/anniversary movie to remind us all that true love can yet be imperfect and in fact does exist. When I saw this in theaters, I was crying very hard. At the time, I was NOT a person who cried during movies (that is completely opposite now). Its not just about the way it makes you cry though, it teaches anyone a deep lesson about how even the greatest love has flaws and that it has to be worked on every single day, and is always worth it in the end. I can't imagine that this movie will ever be outdone in this century, and I firmly believe that it is the new Gone With The Wind...minus the extra 2 hours. This is the one and only time I think I will ever say that the movie is better than the book. What the book lacked, the movie changed for the better and did a flawless job with it. 10/10",10,1,3,24 June 2013
Madagascar," Enjoyable
","Madagascar is about four animal friends that reside in the New York Zoo. Alex the lion is the star and enjoys it. His best friend Marty the zebra yearns for open space and freedom, and on his birthday goes missing from his cage. Alex teams up with Gloria the hippo and Melman the giraffe to go looking for Marty and end up on a wild ride that lands them on the island of Madagascar. They slowly come to realize they have no idea what life in the wild is really like and begin their desperate attempt to find their way home. It is funny, colorful, and enjoyable for all ages. The actors voices are paired perfectly with their characters. 9/10!",9,0,0,26 June 2013
Ted," A lot better than I expected
","I'd heard from many people that Ted was not really that good, and since all my friends and I are huge Seth Macfarlane fans, this stunned me. We are also huge fans of Mila Kunis and Mark, so we thought it couldn't do any wrong. I waited for it to come out on DVD. I actually really loved it! I don't know what exactly people disliked about it, but I thought that it was great for what it was. Yes, there are a lot of 80's references. I am not an 80's lover AT ALL, so I thought this would be my point of undoing but I found that since I didn't really know most of the references very well, it wasn't anything to be bothered about. I love the use of weed smoking in this movie, because the hard truth that American's don't want to face is that more people than they realize smoke weed and it's really not that big of a deal. Those that think it is are just brainwashed by the government telling them that it's wrong and dangerous, yadda yadda. I'm not sitting here saying I do it, because I don't, but I also don't condemn those who do. I fully support movies that don't shy away from the subject. Anyhow, as long as you don't expect this movie to keep you laughing from start to finish without stopping, and you don't have a problem with a bit of drug use and partying and seeing Mila Kunis fog up your screen with her hot self, then this movie is great for you! Is it perfect? No. But it wasn't bad or disappointing. There are even a few heartfelt scenes for those who like that.",9,1,5,11 June 2013
My Neighbor Totoro," Still blows me away
","I watched this movie when I was a kid, and now at 25 years old watched it just last year again and am still totally enchanted by it. This movie got me in the threshold of the world of Anime, and although I'm not really THAT into it, it did open doors for certain movies for me. Having re-watched it recently, I found myself wishing it had gone on longer and was still totally captivated by the magic that is Totoro. It plays perfectly to your imagination and delights you to no end. It is 25 years old though, so don't expect the dubbing to be perfect. Great for young kids and parents watching with them will not get bored. Highly recommend!",10,0,1,24 June 2013
The Jungle Book," Still one of the greatest Disney's to date
","Disney is able to brag that 9/10 fans name The Jungle Book as their favorite of the Disney Classics. It is categorized as a Masterpiece, and masterpiece it is! Disney's magic touch was taking the classic stories and turning them into cartoons that kids and adults alike can enjoy, making characters and even certain villains into favorites. Most movies have one or two best characters, but in this movie you come to love almost all characters on the same level! Baloo will always be the go-to for favorites, being the goofy trouble-making big bear that befriends Mowgli. You can come to love the sly, realistic and fatherly Bagheera. Kaa the hypnotizing snake gets several laughs, voiced by the talented Sterling Holloway who gave us Disney gold such as Winnie the Pooh and the Cheshire Cat in Alice in Wonderland. This might be Disney's greatest villain as Shere Khan the tiger is coy, deceitfully honest, and frightening. They can never remake this movie and have it be anywhere near as good, and I hope many generations to come are able to have this wonderful movie touch their lives as it has my generation.",10,2,5,13 June 2013
21 Jump Street," Finally something that can stand up next to Superbad!
","I didn't see any previews and therefore had no expectations for this movie, but 21 Jump Street had me falling out of my chair laughing. I am so glad I saw this one in theaters, because comedies are best enjoyed with lots of people laughing right along with you. I thought Tatum and Jonah were comedy gold and executed their lines perfectly. I love that this movie called out the new generations of kids and their weird trends that don't even make sense. They referenced the old show, and even had a big surprise cameo at the end that had my theater screaming with delight. It's about two high school rivals who become best friends when they join the police academy. They get sent undercover to a local high school to uncover a drug ring for a new type of drug being introduced. They end up rediscovering themselves in a hilarious journey. If you liked Superbad, this movie might finally live up to your comedy expectations. It does happen to be one of those movies that are split with opinions...some people really love it, some people don't.",10,0,2,26 June 2013
Kung Fu Panda 2," Better than the first!
","Don't get me wrong, I loved the first one just as much as the next person. However, it is rare to find a sequel that boasts to be just as good if not better than the original, and this is one of those rare films. This one takes you behind the story of how Po came to be who he is, and I loved that concept. They took all the great elements of the first and emphasized them in this one, which is a smart move...the only thing missing was the 'skidoosh!' and that is a shame. They gave every character a little more. Even Tigress, who barely had any lines in the first, had a bigger role in this one. The action was greater, the villain was greater, and the story was greater. To top it off, the very final scene before the credits caused me to burst into tears of excitement! I really hope they make a third because I am dying to see them play on that scene!",9,0,1,24 June 2013
Silver Linings Playbook," What was that?
","Like other reviewers, I had high expectations for this movie. I didn't know anything about the plot, I just saw short previews and really wanted to see it because I am a huge Jennifer Lawrence fan and what girl doesn't swoon for Bradley Cooper? I was even more excited to see it when I found out Jennifer won a best actress Oscar for this role. I was so disappointed!The movie ends up being about Bradley Cooper (I forget the characters name) who catches his wife cheating on him in the shower of his home, and upon confronting them, the man she is cheating on him with tells him to leave. This sends Brad into a rage and he snaps mentally and beats him within an inch of his life. He is sent to a mental institution and is released about a year later. He returns to his parents home in Philly, and you slowly start to think that everyone in the town might be mentally unstable. His mom is an impossibly annoying woman who doesn't seem to have a backbone and lets her extremely OCD husband walk all over her. The dad is played by Robert DiNero, whom I had no idea was in the movie, so that was a nice surprise. This does seem to be the only movie that he is fully engaged in, and he plays his character very well, but to the point where you almost hate him. He bets on The Eagles' football games and has to have a remote placed in a certain spot and facing a certain direction. Brad is out of his mind weird, and although it was refreshing to see him playing such a different character, you just get so frustrated with the character and you find yourself wishing for the movie to end. Brad wears a trash bag over sweats in almost every single scene because he runs, and you come to loathe trash bags. Things do perk up a lot when he meets Jennifer, which comes into play because he goes over to his best friends house for dinner and his wife is the sister of Jennifer, who is played by Julia Styles. It was very nice to see her face again so that was something good about it. Jennifer also has mental issues, because her police husband died and she tends to say or do what she wants. She is a bit Gothic, but only a touch which is good because if she had been any more so I wouldn't have made it very far in the movie. Jennifer is, for lack of a better word, a slut. She is open about the fact that she sleeps with men and is not proud of it. She is great at adding life to the otherwise boring movie by throwing random tantrums and screaming. Brad and Jen team up for an upcoming dance competition that is meant for professionals and they both know they don't stand a chance. They help heal each other by their dancing and there is a nice little twist at the end of the movie (which I will not spoil for anyone) that turns out she knew a lot more about what was really going on than anyone else did. The movie ends with Brad's dad making a major bet that the Eagles would win and also that Jen and Brad would score a 5 in the competition, which are on the same night. All in all, the people I was watching this with were complaining loudly that they wanted it to end, and I was right there along with them. I don't really like watching movies about mentally unstable people and even more so about OCD people. I did really love Jennifer in it and thought she absolutely deserved the Oscar.",4,2,4,11 June 2013
