movie_title,title,review,rating,helpful,total,date
Blade Runner 2049," Long-awaited sequel
","Grade: A-Rating: R, 164 minutesIn a Nutshell: This is a LONG movie. If you're a big fan of the 1982 original Blade Runner, you'll probably love every minute, while admittedly, it's not everyone's cup of futuristic tea. This visually stunning sequel was a long time in coming and I'm thrilled that Harrison Ford was able to be in it so we can revisit his character.You don't have to see the original Blade Runner movie first, but it sure helps. While this film stands alone in an impressive way, it also deepens and expands the original. It's a science-fiction masterpiece that has director Denis Villeneuve earning the praise he deserves.Uplifting theme: What makes a man? What is humanity? Life....the value of life, the meaning of life.Things I liked: You had me at Ryan Gosling. When he touched a piano key, I kind of hoped he'd start singing City Of Stars (From 'La La Land' Soundtrack) ha ha Ana de Armas is just fun to look at. I loved her scenes with Ryan Gosling. Robin Wright sure has come a long way since The Princess Bride (one of my all-time faves.) They did an amazing job with creating a new world and time. The cinematography by Roger Deakins is outstanding. Some say it's the best of his career and worthy of an Oscar. The sound is impressive, but sometimes annoying. There are many surprises, which makes movie-going so much fun.Things I didn't like: Everything is so dusty! ha ha Some of the frames are just so long and drawn out and slow-moving. Did I say the same thing three times? There are a lot of scenes where people sit, think, and stare. Lots of monologues. It takes forever to be rewarded with scenes that include both Harrison Ford and Ryan Gosling. You kind of have to watch both films more than once to really understand it. I readily admit I don't get it all.Tips for parents: Kids may be confused with what's happening and get bored. Watching the movie requires a certain amount of patience. Violence. Some gory, bloody scenes. Full female nudity. Prostitute action. Some profanity.MOVIE REVIEW MOM@trinaboice",8,1,8,21 October 2017
Rocketman," Fantastical biopic of the genius that is Elton John
","'My name is Elton Hercules John.' This musical biopic is skillfully guided by actor-turned-director Dexter Fletcher who also worked on Bohemian Rhapsody, a biopic of Freddie Mercury in Queen. This film is timed perfectly to coincide with Elton John's 4-year retirement tour.It's important to know that many of the moments of the movie are not in correct chronological order, just in case you thought this was a factual retelling of sorts. Rocketman has been described by many as more of a fantasy than truth, more of a painting than a mirror. The presentation style of the story was perfect to honor the creativity of the genius that is Elton John.The acting is fantastic and will, hopefully, earn Taron Egerton an Oscar nomination. You can see my full movie review at Movie Review Mom.",10,3,5,4 June 2019
Captain Marvel," It's a decent start for this character, but not as MARVELous as we wanted it to be
","It's a decent start for this character, but not as MARVELous as we wanted it to be. Some people will get confused with all of the timeline back-and-forth story line. The de-aging of Agent Coulson and Fury was awesome.You can read my full movie review at Movie Review Mom.",6,1,4,9 March 2019
Deadpool 2," Bigger, but better?
","B+Rating: R, 119 minutesIn a Nutshell: Marvel is on a roll. The X-Force team assembles under the guidance of the most disrespectful, irreverent superhero ever, Deadpool, played expertly by Ryan Reynolds.As Ryan Reynolds says in the movie, 'The Academy's watching.' The sequel is definitely bigger....is it better than the first? Umm....probably not. Did it make me laugh? Definitely.  Tips for parents: 
Deadpool says in the beginning, 'Believe it or not, Deadpool 2 is a family movie.' Nope. Not true. This is a true rated R movie. If you set filters on VidAngel to delete profanity, violence and gore, this would be a 20 minute movie. 
Crude language and TONS of F-bombs. I hate it when kids swear especially, which Julian Dennison does as Russell.
Scoutmaster pervert joke. Ouch. I have 4 sons.
Lots of severed limbs and brutal, gory deaths.
Lesbians
You see a bottomless little kid's junk full Winnie the Pooh style and a man's naked rear end.
Super high body count, destruction, violence, crude gestures.
Guns.
Some fun music, but other songs with very crude lyrics.Uplifting theme: 
'We all need that sense of belonging. We all need a genuine sense of home.' - Deadpool (Ryan Reynolds)
'Kids - they give us a chance to be better than we are...better than we use to be.' - Vanessa (the beautiful Morena Baccarin) 
Family
Sacrifice for others
'Pain teaches us who we are.' - Blind Al (Leslie Uggams)
'No child is hopeless.' - Blind Al Things I liked:
The trailer was hilarious. I loved the crack about Superman's mustache in the trailer, referring to when DC had to use CGI to remove Henry Cavill's mustache in the movie Justice League. 
I got a kick out of the opening credits. Most of the time, we just ignore them, but read them this time!
This is the year of Josh Brolin as the evil villain. He voices a fantastic Thanos in Avengers: Infinity War
Great action sequences. As Deadpool says, 'Big CGI fight coming up.' Yep, LOTS of them.
Tons of fun jokes and visual gags, all lightning fast. You'll have to see the movie again in order to catch everything.
We learn a lot more about Wade Wilson, making his character development more deep and grounded.
You're going to get a kick out of some new twists.
Keep watching after the credits for a couple more fun scenes, but there's nothing at the very, very end of the music.
The Logan music box in the very beginning scene got the audience I sat with to immediately start laughing. There is a running gag about Logan during the entire movie. So funny. For example, both films played the same music during the death scenes. Ha ha
Tony Robbins. Love that guy.
Wade and his girlfriend watch the movie Yentl I always loved that movie and the music. Deadpool points out that the song, 'Papa, can you hear me?' is the same tune as Frozen's 'Do you want to build a snowman?' I never noticed that!
X-Men - trainee! Ha ha
I like Dub Step too. Ha ha
Several Canadian jokes. A lot of locations in Vancouver were actually used in the movie. 
At the end of the movie, it says that 15,000 jobs were created to make the movie. The stunt work was amazing. Sadly a stunt woman, Joi Harris, died while filming one of the stunts on a motorcycle. Production stopped for two days.
Tons of fun Easter eggs. For example, Deadpool refers to Cable, played by Josh Brolin, as 'One Eyed Willy', which was a character in the 1985 movie The Goonies which starred Josh Brolin.
Tons of movie, song, and pop culture references. One of the movie posters shows Deadpool in a Flashdance pose on a chair with bullets raining down on him. He definitely takes a beating in this film.
 Things I didn't like:
This is the first Marvel film to NOT give Stan Lee a cameo performance! Drats! I always look forward to those little moments. Instead, you can see him in a quick picture montage. Definitely not as good.
Sometimes trailers are deceiving. In an earlier trailer for DEADPOOL 2, Deadpool says, 'Pump the hate brakes, Thanos,' referencing Josh Brolin's role as Thanos in Avengers: Infinity War, but in the actual movie, he's talking to two lesbians and he says, 'Pump the hate brakes, Fox and Friends.'
I don't read the comic books, but Domino's character and alliances are much different there than in this movie, as well as her color and eye circle. It certainly didn't bother me, but some fans might be annoyed. Zazie Beetz did a fantastic job.
SPOILER: Have you seen The Terminator? Yeah, that's this plot.Funny lines:
'Forgive me for being late. I was busy gathering all the gluten in the world so it can not NOT hurt us.' - Deadpool
'That is why the man bun is just the Millennial mullet.' - Deadpool
'So dark. Are you sure you're not from the DC Universe?' - Deadpool
'Mission accomplished?' - Dopinder (Karan Soni)
'Well, in a George W. sort of way.' - Deadpool
'Every family film starts with a vicious murder...Bambi. Lion King. Saw 7.' - Deadpool
'It's time to get back on LinkedIn.' - Weasel (T.J. Miller)
Vanisher....ha ha IMDB shows his face listed as Brad Pitt! The studio actually wanted Brad Pitt to play Cable, but he had to decline that role due to scheduling conflicts.
'Never underestimate a man with a mustache.' - Deadpool
'I have no idea what's happening.' - Blind Al
'It's probably best.' - Deadpool
Interesting lines:
'Family was always an F word for me.' - Deadpool
'You are not your father.' - Vanessa
'I fight for what's right.' - Deadpool",8,3,6,19 May 2018
Thor: Ragnarok," hammers into our hearts with entertaining humor and action
","Grade: ARating: PG-13, 130 minutesIn a Nutshell: Count them17! Thor: Ragnarok is the 17th film in the Marvel Cinematic Universe. New Zealand director Taika Waititi directs this super colorful, funny superhero movie presented by Walt Disney Pictures. He also voices the lovable character Korg.It's fresh and fun family entertainment that makes us love Thor even more.Uplifting theme: Brother's keeper Forgiveness People are more important than places. Teamwork, unity Love, service to others 'A wise king must never seek out war, but must always be ready for it.' – Thor 'I choose to run towards my problems and not away, because that's what heroes do.' - ThorThings I liked: Chris Hemsworth is awesome, but everyone else in the cast also steals the show. It's a collection of fantastic actors who each contribute unique, entertaining characters to the story. Tom Hiddleston is a better Loki we're learning to love. I have adored the talented, beautiful Cate Blanchett for many years. How is it that she never ages, but I do? She makes a fantastic villain. Anthony Hopkins is always epic. Awwww, Benedict Cumberbatch. Doctor Strange has an amusing visit with Thor. Mark Ruffalo spends more time being The Incredible Hulk, but Hulk is really endearing in this film. Jeff Goldblum is hilarious. I love him in everything he does. Fun surprise cameo towards the very beginning of the movie. No spoilers! It appears that Marvel has finally learned that audiences love fun, funny, irreverent, out-of-the box thinking superhero movies. Ever since the first Guardians of the Galaxy (Plus Bonus Features)thrilled audiences, superhero movies have lightened up a lot more, don't you think? Female fans get to see Chris Hemsworth with his shirt off. Wow, those arms are the size of tree trunks! For those who love his long, golden locks, you're in for a surprise. I love that Marvel puts Stan Lee in every movie. I always look forward to seeing what funny line they give him. Stay until the end of the first set of credits to see more. Then, stay until the very, very end of all the credits to see another funny scene with the Grandmaster. In an interview, Taika Waititi said that 80% of the movie was improvised. What? That's crazy and amazing! Led Zepplin's Immigrant Song really rocks the final battle scene. The Gladiator scene with Thor and Hulk in the arena was extremely entertaining. Some new creatures and characters fill the Marvel Universe with even more creativity and fantasy. Energizing soundtrack: Thor: Ragnarok Things I didn't like: · Some fake video-game looking fight scenes. Some of the jokes don't quite get the reaction I'm sure the director hoped they would. It helps to have seen Thor and Thor: The Dark World and know the characters in the Marvel Cinematic Universe. You'll enjoy the movie more.Funny lines: 'Yes! We know each other! He's a friend from work.' – Thor talking about when he first sees Hulk in the arenaTips for parents: Superhero violence and destruction. You see the naked backside of Hulk. Some profanity Young children may be frightened by a big, fiery monsterMOVIE REVIEW MOM@trinaboice",10,2,9,4 November 2017
Ready Player One," Celebration of video games over the decades
","Grade: A-In a Nutshell: The creator of the largest virtual reality world ever, called the OASIS, dies and leaves a challenge to anyone who can find three invisible keys that lead to a hidden Easter egg to win a fortune and ownership over the OASIS. Directed by Steven Spielberg, it is full of imagination, fun, action, romance, humor, and a moral lesson. Game on!If you're not into video games, this movie is probably not for you. I don't really play video games, but I still enjoyed it. I have four sons who played video games for many years growing up, so I was exposed enough to most of the characters that make an appearance in this movie that I got a kick out of it all. One of my sons is now living his dream as a 3D character artist for the hugely successful video game company Blizzard. 
Tips for parents: 
· Ready Player One is rated PG-13 for tons of violence, bloody images, partial nudity, profanity, and some suggestive material. 
 * I was worried that the movie would glorify video games and encourage kids to plug into technology even more, but the message in the end is that we all need each other and real life. I thought the ending was actually very sweet.
· Some profanity and other crude language.
· A character flips the bird.
· It shows real people losing touch with reality as they play video games.
· Several people have face and body tattoos.
· The leading lady's avatar (Art3mis) has a super skimpy outfit on.
· You see the partial naked back side of a virtual reality woman. 
* There is an important reference to 'Rosebud' in the 1941 movie Citizen Kane that very few kids or even adults will catch.· 
Uplifting theme: 
· 'People need to spend more time in the real world.' - Wade/Parzival
· 'It's not about winning, but playing.' - Wade/Parzival
· 'As painful and terrifying as the real world can be, it's the only place you can get a decent meal...because reality is real.' - Halliday
· 'No man is alone who has a friend.' - I-R0k
· Illusion vs. reality
Real world consequences
 Things I liked:
The movie itself is classic Spielberg with absolutely fantastic action sequences and imagination. 
The special effects are really well done and blend easily from virtual reality environments into scenes with people in reality. 
The movie is overflowing with references that span several decades of movies, music, and pop culture, focusing mostly on the 1980's. While the main character (Wade Owen Watts) is looking for the grand prize, there are TONS of fun Easter eggs for the audience to look for and enjoy during the entire film. At one point, there is a scene with a famous Anime motorcycle that Spielberg is notorious for having rejected 30 years ago, dismissing it as 'unsalable' for film. It's fun to see how he now embraces and celebrates it on the big screen. 
There is some humor and heart in the film with most of the comic relief provided by a scary-looking, yet hilarious character named I-R0k, voiced by T. J. Miller. 
Alvin Silvestri offered an energizing and fun musical score. Originally, Steven Spielberg's favorite composer, John Williams, was going to tackle the project, but he had to step away to finish his work on another Spielberg film, The Post
If you can, try to see the movie in 3D, but it's still fun without the glasses and extra fee. 
Climb Mt. Everest with Batman. Ha ha
I love Simon Pegg and Mark Rylance in anything. Things I didn't like:
· Older folks will probably claim the movie is on sensory overload (they're right), but the younger crowd will feel like they're right in the middle of playing a video game. A really old guy sitting near me in the theater got up and walked out.
There are a LOT of exposition scenes that tell us what's happening and the movie drags a little bit in the Third Act. 
It's a very long 2 hours 20 minutes flick, so Grandpa or Junior may fall asleep.
 Sit farther back in the theater; otherwise, you won't be able to focus on everything going on. There is a LOT happening on the screen.Funny lines:
'There are only 3 things I hate in the world: Steam Punk, pirates, and Tabouli.' - I-R0k (T.J. Miller)
'Am I being punked?' - Aech/Helen (Lea Waithe)
'She wanted to go dancing, so we went to a movie.' - Halliday (Mark Rylance)
'She could be a dude, a 300 pound dude who lives in his mother's basement...and his name is Chuck. Think about that!' - Aech/Helen
'Voila....which is French for....' - I-R0k
'Do you want it or not?' - Anorak (Mark Rylance)Interesting lines:
'People go to the Oasis for all the things they can do, but they stay because of all the things they can be.' - Wade
'A fanboy knows a hater.' - Parzival
'Things move forward whether you like it or not.' - Ogden Morrow (Simon Pegg)If you loved it and want more, check out the book that it's based on, Ready Player One ,written by Ernest Cline. The movie adds to and deletes from the source material, frustrating true fanboys, but they both have something to offer. Cline actually mentioned Steven Spielberg in the original novel.",8,0,1,30 March 2018
Spider-Man: Homecoming," Training Wheel Protocol balances superhero with teenage life
","Grade: A-In a Nutshell: Another Spider-Man? Really? I rolled my eyes when I saw that yet one more Spider-Man origin movie was being made...6 movies in 15 years with 3 different lead actors. BUT, this isn't exactly an origin movie and it offers some fresh new takes on the story that you just might get a kick out of. Complete with a dental retainer, Spanish quiz, and best-friend secret handshake, Peter Parker is a goofy teenager who struggles with the 'Training Wheel Protocol' as he learns how to become a true superhero and Avenger. With plenty of action and humor, this is another effective arrow in Marvel's growing cinematic quiver.This new version of Spider-Man, directed by Jon Watts, really captures the innocence, naivete, and adolescence of everyday teenage life. It offers an impressive balance between superhero and high schooler. One of the movie posters does a great job of illustrating that.Uplifting theme: 'Times are changing. It's time we change too.' – Adrian Toomes (This idea also explains the existence of this new Spider-man remake)Take time to figure out who you are. Service, love, friendship, family.Things I liked: Tom Holland has the 15 year old personality to offer a unique perspective on this young superhero, as well as the 6-pack abs to make you believe he can be a powerful Avenger. I love Michael Keaton in anything he does. He had to get a kick out of playing this flying role as The Vulture, after winning awards for his quasi superhero character in Birdman. They did a great job with creating a backstory and motivation for The Vulture. He's a scavenger, which is what vultures do. I loved all of the different features on Spiderman's enhanced suit given to him by the tech genius Tony Stark. 'Enhanced Interrogation Protocol.' Ha ha Spider drone. I hate spiders, but that drone was pretty cool. Peter Parker says to his Spanish teacher, 'Me gusta hacer la tarea.' There aren't any subtitles, so I thought you might like to know what he said. 'I like to do homework.' Ha ha There's a short clip from Marvel's Captain America: Civil War to remind you where we first saw this new Tom Holland version of Spider-man. The 3D really pays off during the Washington, DC scenes, as well as any time Peter Parker is scaling buildings. Is the US Academic Decathlon a real thing? Yes, it is! www.usad.org Check out the dramatic backsplash in Adrian Toomes' kitchen. It doesn't have anything to do with the story; I just thought it was interesting. Cool cloaking feature on Tony Stark's plane. I love that Marvel always includes a cameo performance by creator Stan Lee. I get a kick out of seeing what oddball lines they choose to give him. In this film, he says, 'Don't make me come down there, you punk!' ha ha Speaking of Stan Lee, he has always said that people relate so much to Spiderman, because he's just a normal kid with normal problems. That's exactly what makes this new version of Spiderman so likable. Was the National Monument really built by slaves as Michelle suggests? While there is no definite evidence that proves she's right, there are quite a few other national monuments and famous buildings in Washington, D.C. that were. The guard at the monument gives a 'so-so' hand gesture, which is actually a good answer to the question. Keep watching during the rolling credits for a little hint at the next film in the series. Keep watching until the VERY end of all of the credits for a funny PSA announcement from Captain America. I love that Marvel includes those funny clips at the end of their movies. By the way, the entire movie is filled with funny PSA announcements by Captain America. Love him. I love the movie Ferris Bueller's Day Off so I got a kick out of the scene when Peter Parker is running through a bunch of people's yards and then you actually see that movie clip playing on someone's TV inside their house. ha ha I like that there are times when Spider-man doesn't have any buildings to swing around on to travel. What's a superhero to do? Instead, he has to run! Ha ha Tons of Easter Eggs for true comic book fans. Jacob Batalan makes for a great best friend and provides some great interaction and dialogue for Peter Parker. Cameo by Gwyneth Paltrow as Pepper Potts.Things I didn't like: The movie starts with a shaky cam technique which made me immediately worry that this was how the entire movie was going to be. Thankfully, it only lasts a couple of minutes and exists to show you that Peter Park is just an awkward teenager who keeps a video diary and is eager to learn everything and prove himself. A lot of Spider-man's powers come from Tony Stark's high tech suit that was gifted to Peter Parker, and not his actual 'spidey sense.' Don't get me wrong, the new suit is awesome. What's up with Aunt May's high-waisted pants? Is that back in fashion now? Are they trying to make the hot actress, Marisa Tomei, look frumpy or something? There is a LOT of Audi product placement in this movie.Tips for parents: Some profanity. Lots of violence and destruction. Ned tells a teacher he's looking at porn. It's supposed to be funny. It's not. The writers couldn't think of anything clever for him to say? The movie takes its time to develop characters, so little kids might actually get bored. @trinaboice",9,16,27,8 July 2017
Spider-Man: Into the Spider-Verse," Already nominated for a Golden Globe for Best Picture Animation
","Well deserved award nomination and I hope it receives more!
I've seen sooo many Spider-Man movies over the years that I wasn't really looking forward to yet ANOTHER spidey film, but I absolutely LOVED this one!It's action-packed, colorful, funny, clever, witty, entertaining and so fun.
You can read my full movie review at MovieReviewMom (dot) com",10,12,27,15 December 2018
Dunkirk," Immersive experience
","Grade: A-Rating: PG-13, 107 minutesIn a Nutshell: I write marketing reports for movie theaters and have felt terrible for Dunkirk the past few months, because their trailers almost always elicited ZERO response from the audiences. Well, audiences are speaking VERY loudly now. They LOVE Christopher Nolan's newest film, Dunkirk, based on the true WWII story.If you can see it in 70mm on an IMAX, do it. Christopher Nolan went to great lengths to make sure that his movie was as accurate as possible. The details are impressive. With thousands of Extras on the beach, this film is epic.The director's goal was to create an immersive experience. That it is.Uplifting theme: 'Hope is a weapon. Survival is victory.' Human resolveThings I liked: With real planes, real locations, and hundreds of Extras. Everything looked and FELT real. Technically, it is awe-inspiring. Do I smell an Oscar? The sound track is explosive and riveting, filled with intensity almost the entire time. I really liked the trailer tag line: 'When 400 soldiers couldn't get home, home came for them.' Teenage girls and fans of One Direction will be thrilled to watch Harry Styles as Alex. I love Oscar winner Mark Rylance in everything he does. I especially loved him in Bridge of Spies DVD and thought he was adorable in The BFG (Theatrical Version). SPOILER: I LOVED what Peter (Tom Glynn-Carney) did for Cillian Murphy's character at the end. I would hope that my 4 sons would have that kind of character and compassion. That small moment was extremely touching for me. I know a water scene is good when it makes me hold my breath. Rather than focus on big battle movements, the film takes it to a personal level and shows you how war affects the individual.Things I didn't like: You don't really get to know any of the characters and develop a strong connection. The film's action reminded me of Saving Private Ryan, yet that film carried so much more weight and emotional pull on my heart because of the character development. It's my all-time favorite war movie. You're not given any backstories in this film, however, and there are no quiet scenes where characters talk about their lives. Because of everyone's thick accents, you can't understand everything that's said. I probably missed a good 20% of the dialogue. I thought it was interesting that Tom Hardy would want a role like this. He played Farrier, a pilot whose face was completely covered almost the entire time. My 17 year old son, surprisingly, said he thought the movie was a little slow. The film runs almost in real time. SPOILER: We see only a few small boats coming to the rescue, but in reality, the number was closer to 700. I wish I could have seen a map to better understand where everything was located. Here's one:Interesting lines: 'He's shell-shocked George. He's not himself. He may never be himself again.' – Mr. Dawson (Mark Rylance) 'Well done.' – old, blind British man 'All we did was survive.' – Tommy (Fionn Whitehead) 'That's enough.' – old guy 'There's no hiding from this, son.' – Mr. Dawson 'What do you see?' – Colonel Winnant (James D'Arcy) 'Hope.' - Commander Bolton (Oscar nominated Kenneth Branagh)Tips for parents: This war movie is intense with MANY moments of life or death. Despite the high body count, it isn't super bloody and gory like Saving Private Ryan. There was a surprising lack of profanity. I thought I heard an F-bomb, but because the accents were so thick, I can't honestly say that's what the word was. Want to learn more about this part of history in World War II? Check out some of these:Dunkirk: The History Behind the Major Motion Picture The Miracle of Dunkirk: The True Story of Operation Dynamo@trinaboice",Null,3,6,22 July 2017
Yesterday," Charming and not a superhero movie
","While I love superhero movies, it sure was nice to see something DIFFERENT! Yesterday is charming and imaginative. My biggest complaint was why on earth would anyone cast the lovely and talented Lily James in a musical movie and not let her sing?!!!You can read my full movie review at Movie Review Mom (dot) com.",10,13,28,1 July 2019
